"d4r55","RfnDt","rsqaWe","wiI7pd"
"Julio Diarte","Local Guide · 824 reseñas · 3.508 fotos","Hace un año","Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King."
"Ma Ca","Local Guide · 1.248 reseñas · 21.819 fotos","Hace 5 años","Estación de metro que pertenece a la línea 11. No tiene cobertura móvil como en toda la linea. Dispone de ascensor. Tiene 2 accesos a la calle. La estación da un poco de mal rollo porque no es muy transitada."
"ALBERTO GARCIA CUARTERO","Local Guide · 77 reseñas · 79 fotos","Hace 7 años","He vivido 35 años en el barrio y reconozco que el metro nos dio vida y mejoró el barrio. Desgraciadamente el barrio que conocí prácticamente ha desaparecido. La gente joven se ha ido a otras zonas a vivir. Una pena"
"Ander G.","10 reseñas · 10 fotos","Hace 7 años","Un sitio tranquilo donde se puede llegar a vivir bien , Con un Centro de Salud muy cerca del Metro , Restaurantes de Comida Rápida , bazares , Farmacias y acceso al Metro de la Línea 11 (Abrantes) y Opañel Línea 6 con autobuses 247 y 47."
"Luis Angel Socarras Miranda","Local Guide · 132 reseñas · 1.389 fotos","Hace 3 años","Es una estación muy tranquila, ya que sólo circula por ella la línea de metro 11 de La Fortuna a Plaza Elíptica."
"Katiuska Dugarte","3 reseñas · 2 fotos","Hace 3 años","Los trabajadores de metro de esta estación son muy amargados... Te dicen las cosas de muy mala gana..."
"Vanessa Cabrera Torres","Local Guide · 44 reseñas","Hace 2 años","Es un barrio que está lleno de gente mala"
"JBJSMJ69 dit NINO","Local Guide · 125 reseñas · 137 fotos","Hace 5 meses","Asqueroso"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Abrantes es una estación del servicio de metro de Madrid línea 11 en el barrio Usera en Madrid España"
"Alvaro Leon","5 reseñas · 1 foto","Hace 4 años","😱😮57…"
"PAUL ALEXANDER CHUNGA","Local Guide · 245 reseñas · 231 fotos","Hace 2 años","Esta muy bien ubicado"
"Jose Enrique Marin Fernandez","181 reseñas · 9 fotos","Hace 8 años","localización con muchos bares interesantes"
"irene. L","Local Guide · 243 reseñas · 1.124 fotos","Hace un año","Estacion con mal olor"
"Jose Antonio Olmo Rodriguez","5 reseñas","Hace 7 años","Espero que hayan mejorais"
"nenita barrio","1 reseña","Hace 9 años","Excelente"
"guel Mi","44 reseñas","Hace 7 años","Excelente"
"Francisco Javier García Lozano","Local Guide · 108 reseñas · 128 fotos","Hace 8 meses",""
"Patricia Teles","Local Guide · 4 reseñas · 58 fotos","Hace 8 meses",""
"Ricardo Robles Simon","Local Guide · 45 reseñas · 783 fotos","Hace un año",""
"Teresita Quebec","Local Guide · 41 reseñas · 46 fotos","Hace un año",""
"Roberto Casado","2 reseñas","Hace 2 años",""
"Frederic Geovanny","Local Guide · 10 reseñas","Hace 3 años",""
"Jenniffer Angelina Molina Garzón","2 reseñas · 21 fotos","Hace 5 años",""
"Jose Luis Vera Nieto","","Hace 6 años",""
"bernabé lizano montoya","3 reseñas · 1 foto","Hace 7 años",""
"Emilio Nuñez De Paz","Local Guide · 141 reseñas · 7 fotos","Hace 7 años",""
"Esmeralda Gutierrez","2 reseñas","Hace 7 años",""
"Carlos Rodriguez","Local Guide · 92 reseñas · 181 fotos","Hace 7 años",""
"宛澂","Local Guide · 51 reseñas · 44 fotos","Hace 8 años",""
"Luis Gago","Local Guide · 69 reseñas · 4 fotos","Hace 8 años",""
"Adrian Gonzalez (AGP)","Local Guide · 149 reseñas · 141 fotos","Hace 8 años",""
"Ester Souza","2 reseñas · 2 fotos","Hace 9 años",""
