"d4r55","RfnDt","rsqaWe","wiI7pd"
"Laura Esteban","Local Guide · 179 reseñas · 316 fotos","hace 6 días","Chiquito pero muy bien organizado. Eso sí, te revisan hasta el alma, te hacen casi desnudarte para pasar por el escaner. Te hacen sacar el neceser de la maleta, tablet, portátil, tienes que quitarte el cinturón, los zapatos, la pulseras, anillos, reloj... vamos, que te quedas con la ropa justa. Así que, recomiendo ir con lo justo y necesario y si es posible, menos."
"Emiliano Sánchez-Crespo Romero","Local Guide · 19 reseñas · 2 fotos","Hace una semana","He venido a la T4 a recoger a un familiar. Le han perdido una maleta y tiene que notificarlo en los mostradores de la compañía (Iberia Expres) responsable. Parece que tiene una larga cola por delante. Se conoce que pierden muchos equipajes. Total que llevamos, de momento, una hora y media esperando de pie en la sala 10. Si. De pie, porque no hay un solo banco en toda la terminal. Y parece que tenemos para largo. Mientras tanto el contador del parque metro sigue contando. Espero que, ya que tengo que esperar porque han extraviado la maleta de mi familiar, Iberia me pague el aparcamiento."
"Nico VB","Local Guide · 51 reseñas · 64 fotos","Hace un mes","Fácil acceso y gran parking de pago, muy buena experiencia, siempre ir con tiempo porque las distancias son largas. Agua refeel gratis pero llévate tu botella de aluminio, las de plastico no pasan."
"Gari Suarez","Local Guide · 463 reseñas · 582 fotos","Hace 2 semanas","Esta terminal del aeropuerto está muy bien organizada. Aspecto moderno y limpio. Acceso a mostradores bien señalizado. Control de equipajes de mano muy fluido. El personal efectivo y amable."
"Publicidad X","Local Guide · 54 reseñas · 96 fotos","Hace un mes","Grande, cómodo y lleno de variedad de lugares gastronómicos mientras esperas tu vuelo"
"David","Local Guide · 54 reseñas · 86 fotos","Hace 4 meses","El aeropuerto de Madrid tiene un problema grande con los tiempos de entrega de equipaje en la T4. Y lo mismo se puede decir cuando te toca desplazarte a la T4 Satélite. Deberían buscar una solución. Gracias"
"Julio Rodríguez de la Rosa","Local Guide · 511 reseñas · 208 fotos","Hace un mes","Es un edificio moderno y grande pero le faltan espacios para esperas largas. Para las cortas cualquier espacio ed bueno pero cuando hay qie esperar mucho tiempo por problemas de enlaces, cosa frecuente tratándose de un aeropuerto de su nivel, la cosa es bastante incómoda. Tampoco sería despreciable contar con algún tipo de alojamiento dentro del propio edificio como en otros de su nivel."
"Williams Madrigal Gutierrez","Local Guide · 216 reseñas · 1.097 fotos","Hace 8 meses","Aunque es una terminal pequeña cuando la comparas con el edificio donde se encuentran las otras 3 terminales del aeropuerto de Madrid, tiene los mismos estándares que aquellas, aunque si es verdad que se nota más aglomeración de gente."
"luis adeva","Local Guide · 212 reseñas · 116 fotos","Hace 2 semanas","Es tal vez el Mejor Aeropuerto de Europa. Sus dos Terminales T4 y T4S al ser rectas y longitudinales son muy cómodas para localizar sus puertas de Embarque. Hay Aeropuertos en toda Europa que son muy complicados."
"Nicolas Lucchese","Local Guide · 17 reseñas","Hace 3 meses","Nunca he tenido una mala experiencia en esta terminal, suelo viajar con Iberia. Es la terminal mas nueva y en mi opinión la mejor mantenida, bastante amplia y se conecta rápidamente con la terminal T4S y el resto de terminales. También esta bien conectada con el centro de la ciudad a través del transporte publico."
"Elkin leonrey","Local Guide · 221 reseñas · 186 fotos","Hace 8 meses","Aeropuerto con buenas conexiones, esta terminal es la mas transitada, al viajar trata de venir con tiempo pues a veces es muy demorado el control. Por lo demás , cómodo, caliente, cuando hace frio y fresco en verano, el personal es amable , hay muchos servicios: baño, cafeterías, tienda de ropa, no consigues nada que comer por menos de 3€, antes habían unas maquinas que vendían sándwiches de esos hechos , pero parece que las han quitado. El agua mas de 3€ también , 1€ 100 ml en algunas tiendas, aceptan tarjetas de todo tipo y hay también para cambiar dinero, pero no lo recomiendo porque las tasas son muy caras. Pero si no hay otra opción es buena para salir de un primer apuro. Hay también agua potable fría en dispensadores, para rellenar botes( botellas). También es buena recomendación si vienes de otro sitio, descargarte la app de AENA  para tener internet gratis. Recomiendo siempre leer los carteles informativos pues los vuelos a veces cambian de puerta y no avisan o si avisan lo hacen por megafonía que a veces nadie está atento por ello. Airport with good connections, this terminal is the busiest, when traveling try to come early as sometimes control takes a long time. Otherwise, comfortable, hot, when it's cold and cool in summer, the staff is friendly, there are many services: bathroom, cafes, clothing store, you can't get anything to eat for less than €3, before there were some machines that sold sandwiches made from those, but it seems they have removed them. Water costs more than €3 too, €1 for 100 ml in some stores, they accept cards of all kinds and there are also money exchange options, but I don't recommend it because the fees are very expensive. But if there is no other option, it is a good one to get out of a first bind. There is also cold drinking water in dispensers, to refill jars (bottles). It is also a good recommendation if you come from another place, download the AENA app to have free internet. I always recommend reading the information signs because flights sometimes change gates and do not notify."
"Hector Martínez Torija","Local Guide · 110 reseñas · 561 fotos","Hace 2 años","Son varias las veces que he estado en el aeropuerto y no puedo poner ninguna queja. Las instalaciones limpias y con buena temperatura incluso en verano. El personal muy agradable y atento a cualquier preocupación que tengas. El propio aeropuerto tiene parking donde dejar el coche. Una cosa importante, las dimensiones del aeropuerto son muy grandes por lo que perderse o no orientarse está a la orden del día. No olviden que llegar con la hora justa no es nada positivo por los posibles contratiempos que puedan surgir en el proceso de abordaje."
"Diego Alvide","Local Guide · 496 reseñas · 4.935 fotos","Hace un año","Excelente aeropuerto, súper bien organizado, muy limpio y amplio. Varias tiendas, te devuelven el tax free. Todo muy bien, se puede llegar desde Atocha, no hace falta hacer muchas combinaciones de trenes."
"Carmen I.P.","Local Guide · 202 reseñas · 227 fotos","Hace 11 meses","He venido a esperar a alguien. He llegado en metro, excelente. He pagado 3€ para poder salir. Y no he encontrado nada para desayunar por menos de 3€. Un vaso de fruta, pequeño y de plástico de un solo uso, son 4'95€, eso sí pelada.  El personal es amable. Tendré que estar aquí dos horas, pero los asientos son cómodos y he traído lectura."
"Elba Pazos","Local Guide · 824 reseñas · 9.747 fotos","Hace 5 años","Excelente aeropuerto con un diseño espectacular dotado con múltiples y variados servicios, desde facilidades bancarias, devolución del IVA, habitaciones totalmente equipadas para descansar o dormir por horas, hasta instalaciones para calentar alimentos entre otras. Súper moderno y pulcro. Digna puerta de entrada a este bello país que es España!!"
"Elisabeth","Local Guide · 245 reseñas · 279 fotos","Hace 4 semanas","Es muy grande. Tiene varias tiendas y sitios para comer aunque sale bastante caro comer ahí cualquier cosa."
"Laura","15 reseñas · 5 fotos","Hace un mes","Muy mal el personal de Renfe (en concreto, hoy 1 de agosto 2024 en aeropuerto T4). Justo acabamos de llegar a Madrid, vamos a coger Renfe cercanías y ante la consulta que le hacemos a la chica que estaba en los tornos, ella ni nos mira. Solo queríamos saber si podíamos utilizar un billete de ida y vuelta, comprado por error, en un mismo trayecto. Su respuesta: ""No. Es personal."" Ni buenas tardes. Y lo peor, íbamos con un niño de 5 años, que no paga billete, y he tenido que pasar yo con él a la vez, y las 2 maletas, vaya, que se me ha cerrado el torno (las puertas) justo cuando pasaba, suerte que ha sido a mí y no al niño. Lo normal hubiera sido que nos abrieran la puerta lateral! Pero esta mujer ni se ha inmutado. Muy mal."
"David Garcia","Local Guide · 48 reseñas","Hace 3 meses","Muy moderno pero poco práctico. Un desastre de organización en todos los sentidos. Es una pena que esté en España, mala imagen. Aunque eso sí, bonito y bien comunicado. Buen diseño y mala organización."
"Ruben P.A.","Local Guide · 97 reseñas · 71 fotos","Hace 2 años","Situado al noreste de la ciudad de Madrid. La terminal 4, es la terminal mas nueva del aeropuerto de Madrid-Barajas. Su arquitectura es impresionante, siendo en su mayoria acristalada lo que hace que entre mucha luz natural. Destaca su techo ondulado hecho a base de laminas de banbu. Ya en su interior tiene todo tipo de servicios y hosteleria para hacer mas ameno el tiempo de espera."
