"d4r55","RfnDt","rsqaWe","wiI7pd"
"Turan Razavi","6 reseñas · 7 fotos","Hace 2 meses","Estación espaciosa pero sin ascensor o escaleras mecánicas desde la calle. No apta para minusválidos o carritos de bebé. Eso sí, la puerta (una vez bajadas las escaleras) sí que puede abrirse para minusválidos."
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.612 reseñas · 8.906 fotos","Hace un mes","Recientemente reformada, es accesible para personas con movilidad reducida"
"ThreeSix1513","Local Guide · 42 reseñas · 3 fotos","Hace 7 meses","Cuidado con el guardia de seguridad conocido como ""Rompetechos"", igual que su homólogo de los tebeos no se entera de nada! 🤣…"
"Julio Diarte","Local Guide · 824 reseñas · 3.509 fotos","Hace 3 años","📌 lo reformaron por dentro y quedo muy, hubieran aprovechado poner ascensor para personas con movilidad reducida.…"
"Cethomas Cagonazalez","7 reseñas","Hace 8 meses","Bueno poco hay que decir una estación amplia muy limpio y sin problemas está todo muy bien indicado"
"María del Carmen Ruiz Fernández","Local Guide · 300 reseñas · 19 fotos","Hace un año","- No hay acceso desde la calle habilitado, para coches de bebés, sillas de ruedas y personas con movilidad reducida. - Cuando se han hecho obras hace poco tiempo, no han puesto ascensor. En esta…"
"Cris Sánchez De Paz","Local Guide · 2.131 reseñas · 2.033 fotos","Hace 6 meses","La estación esta genial, hay un mercadona al salir"
"Miguel Angel Brieba","Local Guide · 105 reseñas · 46 fotos","Hace 2 años","Estación que necesita ascensor al exterior porque es la de salida para ir al Registro civil a inscribir a recién nacidos y es penoso para la madres generalmente subir los escaleras con los cochecitos de los niños"
"Alicia García Ramírez","Local Guide · 367 reseñas · 595 fotos","Hace 2 años","Estación de metro de la linea 4 de Madrid. La salida la tiene en una zona peatonal, una plaza con bancis. Una zona muy agradable. Está enfrente de una sala antigua de cine, "" El Covacha"" que ahora es un bloque de pisos. Antuguo cine Covadonga. Que tiempos!!"
"VÍCTOR VIRGÓS","Local Guide · 1.719 reseñas · 18.902 fotos","Hace 3 años","Está súper animado con la cercanía de bares, locales, restaurantes, tiendas de todo tipo. Pasan diversas líneas de autobuses y el metro de Alfonso XIII donde siempre baja y sube mucha gente a diario. Además tienes supermercados fantásticos como Mercadona a tiro de piedra"
"Isa B.","Local Guide · 108 reseñas · 61 fotos","Hace un año","Es bulliciosa y no está siempre limpia. Está señalizada y hay personal atento siempre."
"Guillermo García","Local Guide · 786 reseñas · 2.193 fotos","Hace un año","Buena estación de Metro, línea 4 fácil de encontrar y quizás necesite un ascensor para las personas con problemas de movilidad."
"maestr 2uella","Local Guide · 259 reseñas · 73 fotos","Hace un año","Ufffffffff mientras estén en huelga noc los recomiendo a nadie yo estuve en la cola por 4 horas para poder entrar"
"raspajunior","Local Guide · 206 reseñas · 28 fotos","Hace 8 años","He pasado muchas veces por aquí. Una parada sencilla, antigua y con encanto típico. Suele haber demasiada gente a la salida, algunos con mala pinta"
"Sr. Mayor","Local Guide · 688 reseñas · 421 fotos","Hace 6 años","Tiene cajero de Bankia. Servicio permanente en taquilla. No tiene ascensor para minusválidos ni padres con carritos de 👶.…"
"Óscar C","Local Guide · 194 reseñas · 227 fotos","Hace 8 años","Estación con mucho transito pero sin ascensor y con cajero automático, no siempre funcionan las maquinas de billetes, no tiene cobertura para móvil ."
"mihacaye Bora","14 reseñas","Hace 2 años","Siempre o casi siempre no funciona las escaleras mecánica y claro ascensor no hay"
"Juan Carlos Salvo López-Tofiño","Local Guide · 52 reseñas · 76 fotos","Hace 4 años","Está en obras, cuidado con los andamios...Una sola boca de metro para entrar y salir, un poco estrecha...En fin, esperemos que mejore tras las obras."
"Maripepa Aguado","2 reseñas","Hace 6 años","Nooo tiene escaleras mecánicas en el tramo de salida a la calle y tiene unas escaleras muy malas difíciles para las personas mayores"
"marha carvajal","Local Guide · 36 reseñas · 198 fotos","Hace 2 años","DERRIBANDO TODO PENSAMIENTO Y LLEVANDO CAUTIVO A OBEDIENCIA A JESUCRISTO AMEN. GRACIAS A DIOS CONOCI LA CALLE Y ME GUIE AL REJISTRO"
"Carlos Gold","Local Guide · 401 reseñas · 164 fotos","Hace 2 años","Mucha gente fea en los rededores. Debería haber alguien que los quite de allí"
"Alberto Pastor","Local Guide · 1.514 reseñas · 7.263 fotos","Hace 7 años","Estación normal, de las antiguas. Sin ascensor. Pasillos largos y estrechos. Tiene puesto de atención y cajero"
"Mario Rodríguez","Local Guide · 53 reseñas · 3 fotos","Hace 3 años","Linea 4. 65% de probabilidad de poder colarse en la estación."
"Ernie Aparicio","Local Guide · 122 reseñas · 140 fotos","Hace un año","Buen emplazamiento de la estación. Limpio."
"Andres Eduardo Bustamante Delgado","Local Guide · 84 reseñas · 37 fotos","Hace 6 años","A pesar de la lentitud de la linea 4, la estación esta bien ubicada y de fácil uso"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Alfonso XIII es una estación del servicio de metro de Madrid línea 4 en el barrio prosperidad en Madrid España"
"Rosalía Vallejo","Local Guide · 364 reseñas · 212 fotos","Hace un año","Un lugar cómodo y  animado."
"Planetager S.A","Local Guide · 27 reseñas · 28 fotos","Hace 3 años","👍…"
"Víctor Francisco Rollón","Local Guide · 243 reseñas · 594 fotos","Hace 8 años","La uso todos los días, una estación de metro sin mas"
"Eva Maria Alcaide","Local Guide · 24 reseñas","Hace 4 años","Una parada de metro como nuna he visto otra"
"Danilo Márquez","Local Guide · 19 reseñas · 73 fotos","Hace 10 meses","Excelente"
"Francisco Martinez","Local Guide · 223 reseñas · 302 fotos","Hace 10 meses","Aceptable"
"Javier García de Cabo","Local Guide · 116 reseñas · 8 fotos","Hace 8 años","Sin acceso para minusválidos."
"ionut emil","1 reseña","Hace 8 años","metro alfonso 13 calle diaz zorita 4"
"José Francisco Reina Barbero","Local Guide · 131 reseñas · 14 fotos","Hace 3 años","Una estación de metro normal"
"Jesús Velázquez","Local Guide · 335 reseñas · 585 fotos","Hace 8 años","Un zulo en las profundidades.Pequeña estrecha y profunda"
"Adam You Nice","1 reseña","Hace 7 años","Es total te sale todo"
"PRIMAVERA GONZRAZ","Local Guide · 24 reseñas","Hace 6 años","ESTÁ MUY BIEN COMUNICADO"
"MiKi R3Y","Local Guide · 186 reseñas · 289 fotos","Hace 7 años","Estación de metro Alfonso XIII"
"Natalia Diaz","13 reseñas · 8 fotos","Hace 2 años","Agradable!!"
"Graciela Gómez","1 reseña","Hace 7 años","Me gusta mucho"
