"d4r55","RfnDt","rsqaWe","wiI7pd"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 3 meses","Estación inaugurada en 2007, con andén central. Pertenece a la línea 3 de metro. El ascensor que da a la calle la mitad de las veces esta estropeado. Dispone de 2 salidas a la calle."
"Santiago Miñano","31 reseñas · 8 fotos","Hace 2 meses","Una estación de metro como otras en Madrid. Es de construcción reciente, hace pocos años"
"Julio Diarte","Local Guide · 824 reseñas · 3.509 fotos","Hace 3 años","📌 Es completo, tiene escalera mecánica hasta la salido y tiene ascensor para personas con movilidad reducida. Actualmente ya tiene conexión Internet.…"
"Francisco Javier Lopez Estrella","Local Guide · 36 reseñas · 63 fotos","Hace 3 meses","Pues sol fue de paseo por la zona nada mas"
"Ma Ca","Local Guide · 47 reseñas","Hace 4 años","Estacion de metro que pertenece a la linea 3. Dispone de ascensores pero no de cobertura movil. Ademas la estacion tiene goteras. No suele estar muy transitada de gente."
"Paola Idoña","Local Guide · 124 reseñas · 278 fotos","Hace 3 años","Excelente lugar para aparcar. Pueden encontrar este coche para alquilar en amovens.com! Coche a toda carrera para una buena escapada de Madrid. Por otro lado el jamón y la cerveza está muy barata en la casa el museo del jamón. Recomendado!!!!"
"Alberto","11 reseñas","Hace 2 años","A las 13:30h del 25 de agosto, no hay vigilante ni personal de metro.. después de 10 min tocando al telefonillo nada de nada.. como para tener una emergencia"
"kefasmania","Local Guide · 302 reseñas · 2.315 fotos","Hace 6 años","Le pongo una estrella porque es una estación que no tiene ninguna cobertura de móvil con lo que, hoy por hoy, eso conlleva. Puede que sea nueva, pero si no hay cobertura no hay nada de nada."
"Miguel Rocha","Local Guide · 135 reseñas · 17 fotos","Hace 6 meses","Por qué se han quitado las papeleras del andén??? 😠…"
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Situada cerca de la Administración de Hacienda de Usera-Villaverde. Ascensor. Amplios andenes."
"david rodriguez","Local Guide · 415 reseñas · 709 fotos","Hace 10 meses","Estación de metro bien ubicada, accesible."
"J O","Local Guide · 543 reseñas · 894 fotos","Hace un año","Amplia estación de la línea 3 desde la cual llegar en 5 minutos al hospital 🏥 12 octubre (uno de los más importantes en Madrid ) y en 5 estaciones 🚉 , dirección Sol, al centro de la Capital…"
"Mari vegas","Local Guide · 117 reseñas · 11 fotos","Hace 10 meses","Los edificios y la estructuras al rededor bien bonito y limpio"
"Ángel Arbeteta Losa","Local Guide · 142 reseñas · 10 fotos","Hace 2 años","Barrio de inmigración latinos y chinos: periferias existenciales por su geologia de emigración interior de los años cincuenta sesenta"
"Gabriel Montero Montes","Local Guide · 403 reseñas · 582 fotos","Hace 8 años","La estación de metro de Almendrales fue inagurada el 21 de abril de 2007. Presta servicio la Linea 3 (Amarilla). Se encuentra ubicada en la intersección de la Avenida de Córdoba con Calle Piedrabuena. Se encuentra cerca de la Delegación de Administración de Hacienda de Usera."
"Rachel Esteban","Local Guide · 783 reseñas · 2.382 fotos","Hace 2 años","Una estación de metro amplia, limpia, con escaleras mecánicas y ascensor funcionales."
"Gustavo Molina","Local Guide · 83 reseñas · 20 fotos","Hace 2 años","Estación de la línea 3 que funciona muy bien y estás en el centro de Madrid en diez minutos"
"Alonso QL","Local Guide · 161 reseñas · 44 fotos","Hace 6 años","Estacipn amplia y arquitectonicamente moderna falta personal y de la calle al vestibulo hay ascensor y escaleras pero de vestibulo a anden solo hay ascensor"
"Johan Sebastian","3 reseñas · 1 foto","Hace 2 años","La estación está bien pero el metro es como un sauna en verano 🥵🥵…"
"Angel Jimenez","Local Guide · 30 reseñas · 8 fotos","Hace 3 años","Visitar edificio emprendrdores y avtividades univertarias de avenidad de cordoba, junto a metro almendrles, mensale dirijido a la poblacion escolar un ssludo"
