"d4r55","RfnDt","rsqaWe","wiI7pd"
"Elizabeth Garcia","Local Guide · 20 reseñas · 4 fotos","Hace un mes","Una de las peores estaciones de metro. Los vigilantes 0 atención al cliente. Dos vigilantes solo los tienen de lujo por q son unos groseros y mal hablados. Parados sin hacer nada y hablando y no te ayudan ni para colaborar en solucionar para la compra de un billete"
"juanjo ovied","282 reseñas · 506 fotos","Hace 7 años","Parada Alonso Cano L7 del metro, si tomas escalera de la derecha vas directo a “Ponzanig"", las de la izquierda son las mejores para llegar al Mercado de Chamberí ( primer giro derecha) al ambulatorio Modesto Lafuente (segunda calle izda) y hospital La Milagrosa ( segunda calle dcha)."
"Carolina Hernandez","Local Guide · 22 reseñas · 32 fotos","Hace 5 meses","Pues no tengo quejas la verdad siempre cruzó por ahí y es muy rápido"
"Andrés","Local Guide · 566 reseñas · 219 fotos","Hace 7 años","En muchas ocasiones, paran por las noches tanto los ascensores como las escaleras mecánicas alegando fuera de servicio, haciendo inaccesible esta estación a personas con movilidad reducida. Lo más sorprendente es que al día siguiente a primera hora están todos funcionando perfectamente. Una medida de ahorro que va en contra de los más débiles."
"Ioan Chesa","Local Guide · 46 reseñas · 74 fotos","Hace 2 años","Sitio Buenos 0ars las música"
"Antonio González","11 reseñas","Hace 2 meses","La cojo todos los días"
"Rebeca S","Local Guide · 160 reseñas · 312 fotos","Hace 2 años","Lo único malo de esta estación es que o el ascensor esta estropeado, que para la gente mayor es un fastidio. O las escalera mecánicas al anden están rotas, la ultima vez estuvieron rotas un mes."
"Jose M Girón","Local Guide · 176 reseñas · 187 fotos","Hace 2 años","Estación accesible y cercana a muchos puntos de interés del barrio de Chamberí. Situada entre dos estaciones importantes de la línea, Gregorio Marañón y Canal"
"Jose Maria Cid Montes","Local Guide · 842 reseñas · 85 fotos","Hace 2 años","Parada de metro Alrededores muy atractivos pues el barrio es una maravilla"
"Mari Jose Ramiro","Local Guide · 74 reseñas · 8 fotos","Hace un año","Esta todo bien señalizado y la estación está bastante limpia."
"Juan Milla Rodríguez","Local Guide · 61 reseñas","Hace 3 años","LUGAR DE OCIO CON DISTINTAS TERRAZAS PARA DISFRUTAR DE UNAS BEBIDAS EN COMPAÑÍA. LO MSMO, ES QUE HAY DEMASIADO TRÁFICO."
"Víctor Rodríguez Marrero","Local Guide · 8 reseñas · 3 fotos","Hace 7 años","Estaría mucho más aprovechada si se pudiese conectar de alguna forma con las estaciones de la línea 1 Ríos Rosas o Iglesia."
"Josefa Martínez Soler","Local Guide · 22 reseñas · 4 fotos","Hace 2 años","Me encantaría que la gente haga muestra de la solidaridad que nos caracteriza y aporte lo que pueda. Gracias."
"Catedral González durán","1 reseña · 2 fotos","Hace 8 años","Punto de encuentro y partida de Madrid, ocio, negocio y residencia se unen en un marco Inmejorable de posibilidades en pleno Chamberí"
"Monica Maria de la Fuente","Local Guide · 24 reseñas","Hace 5 años","Me intentaron robar el bolso y estaba el seguridad gracias al cielo, si no es por el se lo llevn y a mi detras."
"javier vitores","Local Guide · 46 reseñas · 2 fotos","Hace 7 años","No sé si es por la llegada del verano pero el servicio es cada vez más escaso incluso en una línea como la 7 que antes funcionaba bien cada vez es masmás corriente esperar un mínimo de 7 minutos"
"juan carlos hurtado delgado","Local Guide · 320 reseñas · 2.015 fotos","Hace un año","Una estación moderna. Bien diseñada"
