"d4r55","RfnDt","rsqaWe","wiI7pd"
"Cranganumaria@gmail.com Carmenadi","Local Guide · 209 reseñas · 28 fotos","Hace 3 años","Es una estacion bien comunicada. El paseo de extremadura te ofrece casi todo que necesitas y puedes disfrutar de experiencias cercanas. Casa del Campo con el teleferico, el zoo, paseos en bici en zona verde , el parke de atracciones y todo que puede ofrecer . Cuando vas presta atencion y vas a ver liebras , conejos , monton de paharos y arboles . Siempre tienes fuentes de agua y mira bien por que tienes mapas del parque para saver donde te encuentras. El lago ahora esta bien y ofrece alquiler de barcos  ,tambien los resorantes estan a tope. Yo voi cada dia para pasear ,este seguro y puedes mantener la distancia . Me alegra la vida ."
"Carlos Ortega","Local Guide · 261 reseñas · 109 fotos","Hace 4 años","Jolines es una estación de metro no sé qué tiene de especial"
"ANTONIO ORELLANA MARTIN","Local Guide · 1.777 reseñas · 9.603 fotos","Hace 4 años","Estación de metro de Madrid  de la linea 6 sin conexiones"
"Porfirio Córdoba Reina","Local Guide · 131 reseñas · 57 fotos","Hace 3 años","Siempre están las escaleras rotas."
"Ciro L. Medina Mariani","4 reseñas","Hace 6 años","Excelente herramienta"
"Gustavo Robleto","Local Guide · 113 reseñas · 128 fotos","Hace 2 años","El Metro de Madrid (en español: Metro de Madrid) es un sistema de tránsito rápido que sirve a la ciudad de Madrid, capital de España.  El Metro de Alto de Extremadura se encuentra en la circulación 6. Esta línea de metro tiene conexión con todo el sistema de metro de Madrid."
"David López","Local Guide · 11 reseñas · 1 foto","Hace 3 años",""
"gondumi","Local Guide · 144 reseñas · 1.578 fotos","Hace 4 años",""
"Edward Olive","Local Guide · 279 reseñas · 78 fotos","Hace 5 años",""
"Josefina Ruiz Sanchez","46 reseñas","Hace 6 años",""
"Fermin Sanchez","Local Guide · 26 reseñas · 3 fotos","Hace 6 años",""
"samu24/07 :v","1 reseña · 1 foto","Hace 6 años",""
