"d4r55","RfnDt","rsqaWe","wiI7pd"
"Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","La estación de metro Aluche es una de las estaciones importantes en la red del Metro de Madrid, notable por su ubicación y las conexiones que ofrece. A continuación, se presenta una reseña detallada sobre esta estación: ### Ubicación y Accesibilidad La estación de Aluche se encuentra en el distrito de Latina, al suroeste de Madrid. Es un punto clave de conexión en la red de transporte público de la ciudad, ya que no solo forma parte de la línea 5 del metro, sino que también es una estación de intercambio con la línea C-5 de Cercanías Renfe. ### Diseño y Estructura Aluche cuenta con un diseño funcional que facilita el acceso y la movilidad dentro de la estación. Dispone de varias entradas y salidas, así como escaleras mecánicas y ascensores, lo que permite un acceso fácil para personas con movilidad reducida y otros usuarios. ### Servicios y Comodidades - **Conectividad:** La estación de Aluche es una de las más importantes en cuanto a conectividad, ya que permite a los usuarios transferirse entre la línea 5 del metro y la línea C-5 de Cercanías Renfe. Esto la convierte en un nodo crucial para moverse tanto dentro de Madrid como hacia las áreas suburbanas. - **Entorno:** Aluche está situada en una zona con una gran cantidad de servicios y comodidades, como tiendas, supermercados, centros educativos y el Centro Comercial Aluche. Además, está cerca del Parque Aluche, que ofrece un espacio verde para el ocio y la recreación. - **Seguridad:** La estación está bien equipada con cámaras de vigilancia y presencia de personal de seguridad, lo que contribuye a un entorno seguro para los viajeros. ### Experiencia de Usuario Los usuarios suelen valorar positivamente la estación de Aluche por su funcionalidad y las múltiples opciones de conexión que ofrece. La estación está bien mantenida, limpia y tiene una señalización clara que facilita la navegación. Las instalaciones como las máquinas expendedoras de billetes y los puntos de información son accesibles y útiles para los pasajeros. ### Opinión General Aluche es una estación estratégica en la red de Metro de Madrid, destacada por su capacidad de conexión entre el metro y el cercanías. Su ubicación en una zona bien servida por servicios y comodidades adicionales la convierte en una parada conveniente tanto para los residentes locales como para los viajeros que transitan por la ciudad. En resumen, la estación de metro Aluche es una parada eficiente, accesible y bien conectada en la red de transporte público de Madrid. Sirve como un importante punto de intercambio, facilitando el movimiento dentro de la ciudad y hacia las áreas suburbanas, mientras proporciona una experiencia de usuario positiva gracias a su diseño funcional y la proximidad a diversos servicios."
"VIRGINIA AHIJADO","Local Guide · 12 reseñas","Hace una semana","En el íntercambiador de Aluche (metro y RENFE) no existe ascensor ni acceso para sillas de ruedas."
"Ma Ca","Local Guide · 1.249 reseñas · 21.843 fotos","Hace 6 años","Si no conoces la zona, la entrada al cercanías apenas se ve y no está señalizada muy allá. La estación es bastante antigua, aunque suele estar siempre limpia. Los trenes de esta línea casi siempre funcionan bien. No hay ni ascensor ni acceso para gente con discapacidad"
"Adela Nieto (Babyboom)","Local Guide · 667 reseñas · 3.216 fotos","Hace 2 años","En este intercambiador puedes encontrar bus, metro y tren que te acercan a los principales puntos de interés de Madrid en poco tiempo, está bien situado. En la plaza hay algunas panaderías, bares y de vez en cuando también ponen puestecillos de artesanías."
"Javier V.R","Local Guide · 591 reseñas · 1.821 fotos","Hace 4 meses","Estación intermodal dónde confluyen varias paradas de autobuses de la EMT (17,31,138..) lineas interurbanas que van a la zona sur como Leganés por ejemplo, una linea de metro de la linea 5 ( verde) y otra de cercanías de la linea C5 ( Humanes/Fuenlabrada- Móstoles). Aunque es muy práctica necesita un lavado de cara en algunas de sus instalaciones que ya van notando el paso del tiempo"
"Juan P","Local Guide · 27 reseñas · 25 fotos","Hace un año","Es lamentable comprobar cómo esa estación, siendo de las top de uso de la ciudad, sigue con el paso de los años sin alguna facilidad para el uso de pasajeros con DISCAPACIDAD física o incluso para salvar las escaleras con BICICLETA. NO es tan costoso colocar unas rampas/railes metálicos para calzar las ruedas y subir una bici o carro de contra. En la Europa del siglo XX (siglo pasado) lo tienen. Mucha publicidad de supuesta  movilidad sostenible... pero poca facilidad real en el día a día."
"irautz etxeberria","Local Guide · 747 reseñas · 1.356 fotos","Hace 6 años","Excelente intercambiador de ferrocarril a metro o buses urbanos o interurbanos . Gran estación en si ,que posee alrededor restauración y cerca del carrefour de aluche ."
"Maria Angeles Pellin","Local Guide · 78 reseñas · 147 fotos","Hace 6 meses","Aluche. Mi barrio. Mi vida. Amigos, hermano, padres queridos, de la generación que con ilusión fundó este barrio, con sus sueños, sus proyectos. Un barrio con un gran sentido de vecindad, con comercios pequeños y medianos. Con jardines entre los grupos de casas, en las que hemos jugado. Sigue siendo un gran BARRIO de los de verdad. Te quiero, Aluche."
"Óscar González","Local Guide · 200 reseñas · 406 fotos","Hace 4 años","gran parada de cercanias y metro. en un barrio mítico de Madrid. espacio abierto en frente de gasolinera y del cc de aluche. muy bien comunicado con autobuses. Aluche aluche aluche"
"Miguel López","Local Guide · 112 reseñas · 378 fotos","Hace un mes","Intercambiador de tren, metro,bus urbano e interurbano y taxi  Con panaderías y bar."
"Alvaro","Local Guide · 354 reseñas · 3 fotos","Hace un mes","Como todos los barrios, tiene buenas y malas zonas"
"Maria Elena Neska","Local Guide · 249 reseñas · 797 fotos","Hace 4 meses","Un barrio normal, con gente normal. Nada me llamó la atención"
"sebastian alvarez","Local Guide · 11 reseñas · 2 fotos","Hace un mes","Muy sucio parece q no hay personal de limpieza"
"Luis Alonso","Local Guide · 78 reseñas · 68 fotos","Hace un año","Una estación muy limpia. Tiene conexión con línea 5 de metro y línea C5 de cercanías. Tiene un intercambiador con líneas interurbanos zona de Leganés y hasta un total de autobuses de la EMT 17,138,155,121,131,31,139. Parada fija de taxis. Como curiosidad tiene dos parques muy interesantes para hacer deporte o simplemente dar un paseo,son parque de aluche y parque de las cruces. Cercanía con la comisaría de aluche y el centro comercial parque de aluche. La verdad una zona muy concurrida en fin de semana incluido el mercadillo de fin de semana y el polideportivo municipal de aluche"
"G. Dun","Local Guide · 27 reseñas","Hace un año","De ser posible le pondría menos estrellas. Tanto la estación como la línea 5 son un desastre en su funcionamiento. La línea usa generalmente vagones muy antiguos, sucios y rotos. Muchas veces solo va hasta Aluche y te avisan una o dos estaciones antes y dejan hasta 30 o 40 segundos las puertas bloqueadas. Lo peor de esta estación es ver todos los días cada vez que pasó al menos una persona pasando sin pagar, saltan o pasan por la salida, siempre del lado de la estación de autobuses donde nunca hay un guardia cuidando."
"Jaime Aurell","13 reseñas","Hace un año","Esta tarde, en la estación de aluche  una trabajadora de metro me ha ayudado a solucinar un problema con la tarjeta del abono, mostrándose profesional resolutiva y cercana además de muy amable, da gusto cuando alguien te ayuda y es profesional, gracias."
"Lucy Isabel De Los Reyes Tovar","Local Guide · 509 reseñas · 2.595 fotos","Hace 5 años","Me encanto la instalación, limpia, agradable y fácil de ubicarse por los numeroso avisos que están para la información"
"Carlos Manuel Suarez Mayta","Local Guide · 139 reseñas · 3 fotos","Hace 3 meses","Todo bien"
"Lourenço Anastacio “LOU”","Local Guide · 94 reseñas · 6 fotos","Hace 3 meses","Un barrio mui coll de Madrid 🇪🇸 😁…"
"Tomas Gonzalez Garcia","Local Guide · 230 reseñas · 148 fotos","Hace un año","Estación tanto de metro como de tren de cercanías además en los alrededores también paran gran cantidad de autobuses tanto urbanos como interurbanos. Posee máquinas automáticas para sacar los billetes así como tiendas en sus alrededores para comer algo o comprar café y dulces."
"Alvaro Montero","Local Guide · 298 reseñas · 92 fotos","Hace un año","Intercambiador con Cercanías, Metro, autobuses EMT y autobuses ""de los verdes"" con gran variedad de destinos. Dispone de aparcamiento disuasorio a menos de 2 minutos andando. Hay cafeterías y tienda."
"Alejandra Zelaya","Local Guide · 140 reseñas · 72 fotos","Hace 3 meses","Esta bien"
"JUAN JOSE VICIOSO BARBADILLO","14 reseñas · 113 fotos","Hace 3 años","Porque es la parte comercial de mi barrio"
"Esperanza Fernández “Espe”","Local Guide · 423 reseñas · 839 fotos","Hace 6 años","Este intercambiador está muy bien. Te plantas en Atocha en diez minutos si todo va bien. Echo de menos más personal para atender a la hora de sacar billetes etc, y no tanto a la salida del mismo. Dentro hay algún sitio donde picar algo o desayunar mientras esperas el metro o el cercanías."
"Jose P","Local Guide · 65 reseñas · 1 foto","Hace 5 años","El cercanias de Aluche una de las estaciones mas míticas de Madrid, con linea directa a ATOCHA La estación suele estar bastante limpia en cuanto el personal es muy escaso desde que pusieron las máquinas expendedoras de billetes. Se agradecería algo mas de personal de seguridad, mucha gente se salta los tornos. Por lo demás esta OK"
"Julia Sanchez","7 reseñas","Hace 3 años","Es una estación que está super sucia, sobre todo la zona de entrada dirección a la Renfe es horroroso nunca ves nadie limpiando,techos llenos de telarañas ,manchas de grasa Creo que necesita una buena remodelacion por dentro y por fuera"
"Víctor García","Local Guide · 89 reseñas · 86 fotos","Hace 3 años","Una estación de metro bastante concurrida de lunes a viernes, una de las pocas estaciones de metro al aire libre. Buenas tiendas en el interior por si necesitas algo de comida. También hay una estación de cercanías en la plaza, donde en navidades se ponían puestos artesanales."
"hab el berro","Local Guide · 116 reseñas · 13 fotos","Hace un año","La zona un poco tranquila y limpia y a la hora de hacer las compras de la comida bien todo está serca del metro"
"César Pérez","Local Guide · 41 reseñas · 2 fotos","Hace 7 años","La estación de toda la vida, envejece bien pero no está adaptada para discapacitados. Además, hay mucha multiculturalidad, pero la cafetería y el ambiente “de barrio” de la propia estación lo suplen con creces."
"f e r a s i t o.","Local Guide · 7 reseñas · 19 fotos","Hace 3 años","Estación con servicios de metro destino, Canillejas, Ciudad Lineal, Carabanchel, Aluche, Casa de Campo. Cuenta con una linea de cercanías circular no cerrada y conecta el intercambiador con Metrosur, Atocha, y Humanes. Tambien dispone de una estación de autobuses interurbanos con destino, Pozuelo y Leganés, tiene una cercanía con la Casa de Campo y el Parque de la Cuña Verde de Latina, y con un gran centro comercial. También se necesitaría mas accesibilidad en la parte de metro pero sobre todo en la de cercanías, ya que está algo abandonada..."
"Jesus Gutierrez","Local Guide · 86 reseñas · 139 fotos","Hace 6 años","Intercambiador en superficie que ya es un plus, con aparcamiento disuasorio, bares con terrazas, centro comercial cruzando la calle, pero en el tema aseos... Sigue sin tener. Lugar habitual para las ferias de artesanía, alrededor de una de las fuentes"
"maribel campo","Local Guide · 287 reseñas · 72 fotos","Hace 4 años","Me gusta normalmente hay personal que queda ahí"
"Angela Basulto","1 reseña","Hace 5 años","Acabo de pasar por taquilla para solicitar 1 billete con título zona A, para Guadalajara y estando 2 interventores o señores en taquilla, me dice el más próximo a ventanilla, que no me lo puede dar en ese momento porque está cerrado. Le pregunto y me indica que bajarme en atocha. Y yo me digo, tengo que perder mi tiempo en bajar en atocha, quizás mi tren. Para qué se promociona un servicio que no facilita el transporte publico. Muchas máquinas, pero ninguna adaptada para poder sacar este tipo de billetes. He llegado a atocha y he tenido que dejar mi tren para no montarme sin billete. Esto a qué puede llevar ?"
"Jose luis Gonzales","45 reseñas","Hace 3 años","Es una estacion metro y renfe de aluche muy concurrida el cual cuenta con muchas rutas de autobuses con varias direcciones algunos bares o Restaurantes  cerca muy buena area para personas con discapacidad y se encuentra la policia de extranjeria en esta zona con un Grandioso centro comercial a sus alrededores... y unas maquinas dispensadoras de golosinas que en ocasiones son un Robo"
"Zhen Yan Ye","11 reseñas · 4 fotos","Hace 2 años","Un grupo de nosotros esperamos el metro allí durante casi media hora, y luego la luz del anuncio mostró que teníamos que esperar 15 minutos. Fue realmente asqueroso. No nos informó con anticipación, perdiendo el tiempo. ir a el autobús"
"Claudia Otero Palacio","52 reseñas","Hace 7 meses","Aunq el trajín de gente es continuo los accesos son grandes y muchos"
"Javier P.C","Local Guide · 242 reseñas · 34 fotos","Hace 5 años","La utilizo todos los días para ir y venir del trabajo, y el error y olor que hay en sus andenes siempre es repugnante. El aire espeso y cargado con 1 indeterminado, que lo hace más preocupante aún. Espero que no sea perjudicial..."
"JORGE ERNESTO RODRIGUEZ MEDINA","Local Guide · 80 reseñas · 53 fotos","Hace un año","Es un excelente intercambiador de servicio de transporte público. Muy eficiente y práctico. Solo mejorar un poco que los usuarios tiran mucho papel al piso.  Un poco más de limpieza vendría bien."
"Jesus Alonso Criado","Local Guide · 5 reseñas","Hace 4 meses","Mejorar limpieza, sobretodo el ascensor ....."
"Alfredo Romero Sanz","2 reseñas","Hace 4 años","Una estación de renfe. Le pongo 5 estrellas porque uno de sus trabajadores (creo que de seguridad) guió a un familiar  a llegar destino  a Cercedilla. Ojalá todos fueran como él. Es un hombre creyente y que escribe leyes por afición."
"Efigenia Lopez Ruiz","Local Guide · 37 reseñas · 2 fotos","Hace 2 años","Con la ola de calor que se pasa casi todos los dias la renfe tiene demora de casi media hora y casi ninguno pone el aire acondicionado,una pena de servicio con lo caro que estan los pasajes"
"eli","Local Guide · 80 reseñas · 41 fotos","Hace 5 años","Le doy 3 estrellas 1° estrella:su comunicacion En cercanias en menos de 10 min te has plantado en Atocha En metro esta bien comunicado 2° estrella:su limpieza esta muy bien 3° estrella:puedes tomar un desayuno mientras viene el tren -1 estrella:No tiene acceso para anciano con problemas o con personas con movilidad reducida -1 estrella: es dificil ver desde meteo donde queda el cercanias esta mal señalado"
"Francisco Javier Sánchez Sánchez","Local Guide · 253 reseñas · 704 fotos","Hace 2 años","Intercambiador de transportes: EMT, Carcanias Renfe, Metro, Bus periféricos y tiendas. Cerca de Carrefour y centro de ocio comercial, y Parque,bien comunicado"
"David Crespo","Local Guide · 1.353 reseñas · 6.918 fotos","Hace 3 años","Intercambiador de transporte público METRO,BUS y CERCANÍAS. ES una estación antigua pero a la vez moderna. Buen accesos para personas con movilidad reducida ♿🚻.100% recomendable.…"
"Goruni Go","Local Guide · 20 reseñas · 1 foto","Hace 5 años","¡ATENCIÓN! Guardia de seguridad histérica que enseguida se enciende y te grita. No traten de dialogar en voz baja y con respeto, la señora no lo entiende. Visto el 22 de agosto a las 13:45."
"Sergio Núñez López","Local Guide · 889 reseñas · 11.690 fotos","Hace 5 años","Estación de cercanías de la línea C5 y de Metro de Madrid la línea 5."
