"d4r55","RfnDt","rsqaWe","wiI7pd"
"Julio Diarte","Local Guide · 824 reseñas · 3.509 fotos","Hace un año","Es moderno con fácil acceso a personas con movilidad reducida."
"Julián Martín","Local Guide · 481 reseñas · 8.482 fotos","Hace 4 años","Es una avenida de Madrid que segmenta un barrio modesto pero bien equipado. A lo largo de ella se encuentran dos supermercados de cadenas nacionales, así como establecimientos de todo tipo centrados en las necesidades diarias: fruterías, bazares, farmacias, bares, restaurantes económicos, cafeterías, etc. En las calles aledañas, pequeñas tiendas y abundancia de pequeños parques con instalaciones para niños y personas de edad. En ellas también instalaciones municipales: cultura, tercera edad, deporte. Es un barrio tranquilo y seguro bien comunicado."
"Morris Villarroel","Local Guide · 511 reseñas · 8.887 fotos","Hace 2 años","Relativamente nuevo, amplio y de color 🍊!!…"
"Javier Maridueña","Local Guide · 53 reseñas · 6 fotos","Hace un año","Estación limpia, buenos accesos, amplia. Hay poco personal pero suficiente."
"Francisco Gonzalez","Local Guide · 63 reseñas · 2 fotos","Hace 6 años","Limpio y rápido.Por ponerle un pero.....pero por qué no hay wifi,siendo una de la lineas de metro más nuevas??😂…"
"Angela Navarro","Local Guide · 7 reseñas · 73 fotos","Hace un año","Una de las estaciones más limpias de Madrid!"
"Olivier Rodríguez","Local Guide · 1.383 reseñas · 10.275 fotos","Hace 7 años","No es de las estaciones más modernas, pero sí muy necesaria en esta parte de la ciudad."
"Francisco Igual Peña","Local Guide · 168 reseñas · 9 fotos","Hace 7 años","Buen servicio, estación amplia y siempre en buen estado."
"Alex Vicente Yubero","Local Guide · 87 reseñas · 10 fotos","Hace 6 años","De las mejores estaciones de metro de todo Madrid, Antonio Machado."
"En Ruta","Local Guide · 417 reseñas · 36.056 fotos","Hace 6 años","La estacion muy limpia"
"Hada luz de luna White","Local Guide · 63 reseñas · 270 fotos","Hace 5 años","Un barrio estupendo."
"Kayla Rivers","79 reseñas","Hace 7 años","Buen servicio y siempre en buenas condiciones."
"Alberto Martín de Hijas Liste","Local Guide · 177 reseñas · 4.662 fotos","Hace un mes",""
"Enrique Garcia Merlo","Local Guide · 107 reseñas","Hace 4 meses",""
"ARLY Aranda","Local Guide · 3 reseñas · 2 fotos","Hace un año",""
"Manuel Luengo","Local Guide · 24 reseñas · 4 fotos","Hace un año",""
"VICTORM. DELBLANCOGLZ","Local Guide · 279 reseñas · 174 fotos","Hace un año",""
"kike","Local Guide · 63 reseñas · 38 fotos","Hace un año",""
"siser 879","Local Guide · 54 reseñas · 32 fotos","Hace 2 años",""
"M RR","Local Guide · 104 reseñas · 149 fotos","Hace 2 años",""
"Ricardo Riveiro Carracedo","Local Guide · 15 reseñas","Hace 2 años",""
"Lia Rodriguez","Local Guide · 39 reseñas · 42 fotos","Hace 3 años",""
"Jose A. Correa B. (JotaLite)","Local Guide · 195 reseñas · 177 fotos","Hace 3 años",""
"Esther De Roa Sepúlveda","Local Guide · 7 reseñas","Hace 4 años",""
"Dayen Mariño","8 reseñas","Hace 4 años",""
"Fco. Javier Márquez","Local Guide · 296 reseñas · 244 fotos","Hace 6 años",""
"Carlos Andres","Local Guide · 21 reseñas · 15 fotos","Hace 6 años",""
"José María Pérez","Local Guide · 1.020 reseñas · 295 fotos","Hace 6 años",""
"angel alberto","Local Guide · 193 reseñas · 36 fotos","Hace 6 años",""
"Paula R","Local Guide · 83 reseñas · 13 fotos","Hace 6 años",""
"Rocio Alonso","Local Guide · 151 reseñas · 64 fotos","Hace 6 años",""
"Víctor Martínez","Local Guide · 5 reseñas · 8 fotos","Hace 6 años",""
"celia alfonso alvarez","2 reseñas · 5 fotos","Hace 7 años",""
"paloma garrido","","Hace 7 años",""
"Mercedes Guirao Prieto","4 reseñas · 7 fotos","Hace 7 años",""
"david piedrahita jimenez","Local Guide · 10 reseñas · 16 fotos","Hace 7 años",""
"María D","Local Guide · 302 reseñas · 419 fotos","Hace 7 años",""
"Guillermo Olivieri","Local Guide · 221 reseñas · 225 fotos","Hace 7 años",""
"Inma Díaz Zamora","","Hace 7 años",""
"Xiaxia Zheng","6 reseñas","Hace 7 años",""
"nacho.","Local Guide · 3 reseñas · 22 fotos","Hace 8 años",""
