"d4r55","RfnDt","rsqaWe","wiI7pd"
"Candy Diaz","1 reseña","Hace 6 meses","Conductor de metro ligero , parada Antonio Saura, muy mal fatal,en la puerta de metro y no abrió,  gracias"
"Tobias Valdes","Local Guide · 68 reseñas · 65 fotos","Hace un año","Cumple! Pero los tiempos nunca coinciden con lo que dice google, los fines de semana tarda mucho más."
"Dolores Castro","14 reseñas","Hace 3 años","Si tiene sitio para  coche de  ruedas  y mucho  espacio  para  las separaciones  contra el virus  muy bien  lo recomendó"
"Javi","14 reseñas · 7 fotos","Hace 3 años","De lunes a viernes buena frecuencia de trenes pero los fines de semana tardan 15 minutos…"
"Mateo Vacas","Local Guide · 101 reseñas · 8 fotos","Hace 3 años","La parada tiene un asiento roto y precintado espero que lo arreglen pronto."
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Antonio Saura es una estación del servicio de metro ligero 1 en la calle Príncipe Carlos en Madrid España"
"M E","Local Guide · 563 reseñas · 299 fotos","Hace 7 años","Estación de metro ligero estándar."
"Anamaria Iannelli","Local Guide · 40 reseñas · 4 fotos","Hace 7 años","Te acerca al metro y cercanìas!"
"Manuel Culebras Martínez","Local Guide · 49 reseñas","Hace una semana",""
"J A P V","Local Guide · 72 reseñas · 245 fotos","Hace 3 semanas",""
"Sandra Moumary","Local Guide · 34 reseñas · 1 foto","Hace 4 años",""
"kamruzzaman Ashraf AKTER “Kam”","Local Guide · 18 reseñas · 6 fotos","Hace 6 años",""
"Raul Alvarez","Local Guide · 8 reseñas · 6 fotos","Hace 7 años",""
