"d4r55","RfnDt","rsqaWe","wiI7pd"
"Pablo","Local Guide · 76 reseñas · 17 fotos","Hace 5 años","Estación de cercanías RENFE de Aravaca. Entre las estaciones Pozuelo y Príncipe Pío. Todos los trenes que pasan por esta estación, paran. Se considera Zona A. Una estación moderna que cuenta con todas las instalaciones necesarias. Existe una cafetería dentro y una pequeña tienda de alimentación. La estación cuenta con dos parkings exteriores gratuitos. Uno de ellos enorme y el otro, debajo, más pequeño, pero de fácil aparcamiento. En esta estación inicia la linea ML2 de metro ligero."
"Javier García","Local Guide · 238 reseñas · 714 fotos","Hace 4 años","Una estación de cercanías normal y corriente, puedes aparcar cerca del tren e ir en el cercanías a Madrid capital y así te evitas los líos de si puedes circular o no con tu coche por el centro. La parada si vas al centro es la de Principe Pio."
"Mario Giménez","Local Guide · 532 reseñas · 1.710 fotos","Hace 7 años","Una estación con un aparcamiento escaso donde, sin estorbar a la circulación, a veces mandan a la grúa. La estación no tiene cuartos de baño. Hay unas encargadas amables, pero los trenes tienen pésimos rótulos anunciadores del destino. Suele haber retrasos, pero el servicio es uno de los mejores de Europa."
"lane boy","55 reseñas · 6 fotos","Hace 4 años","La estación de Cercanías no está conectada con la de Metro Ligero. Para pasar de un andén a otro de Cercanías hay que salir fuera y dar la vuelta por unas escaleras. Las indicaciones no están claras."
"Juan M","6 reseñas","Hace 7 años","Es la estacion mas retrasada de todos los cercanias de Madrid. Los tiempos de espera rondan los 20/25 minutos. Hoy vuelvo a llegar tarde. Explicaciones, cero. Mi valoracion: un 1."
"Larry Medina Andrade","Local Guide · 270 reseñas · 547 fotos","Hace 6 años","Muy cómodo y práctico recome dado"
"ramon aragon rodriguez","Local Guide · 761 reseñas · 4.694 fotos","Hace 6 años","Funcional elegante instalación pública que da servicio de tren a toda la zona de Aravaca y avenida Europa de Pozuelo"
"peterpan demolde","Local Guide · 27 reseñas · 37 fotos","Hace 6 años","Trayectos largos y encima suelen tardar hasta 15 minutos por tren, eso sí no hay demoras, hay para poder aparcar"
"Adrian marron hidalgo","6 reseñas","Hace 6 años","Desde hace semanas llevo viendo una plaga de insectos, me atrevería a decir que son cucarachas pero más grandes Enviad a un equipo para desinfectar la estación"
"Sergio O","Local Guide · 126 reseñas · 178 fotos","Hace 6 años","Retrasos habituales en dirección villalba, sin aseos publicos lamentable para una estacion aparentemente moderna :( mal muy mal adif"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Estación de Aravaca es una estación del servicio de metro ligero 2 en Pozuelo Alarcón en Madrid España"
"Claudia Reyes","Local Guide · 30 reseñas · 44 fotos","Hace 3 años","Justo para lo que es. De facil acceso y conecta a Aravaca con miles de sitios. Es genial!"
"Lombardic Silva Alfonso","Local Guide · 33 reseñas · 97 fotos","Hace un año","Bonita experiencia el tren ligero"
"Iñigo Lorente","Local Guide · 634 reseñas · 5.532 fotos","Hace 7 años","Estación de cercanías como otra cualquiera. Deberían reformarla y mejorar los sistemas de información en los andenes."
"Fertik","Local Guide · 116 reseñas · 6 fotos","Hace 6 años","Tanto el metro ligero como los cercanías tardan mucho"
"Maria Pastor Revuelta","3 reseñas","Hace 5 años","Se debe tener cuidado más de una vez no he podido pagar bien el billete"
"Gonzalo Rein","Local Guide · 163 reseñas · 57 fotos","Hace 7 años","Los trenes de la tarde casi siempre se retrasan más de 10 min"
"Tommy Martínez","Local Guide · 13 reseñas · 1 foto","Hace 7 años","Por lo menos aseos ya que tardan tanto los trenes x la noche"
"Antonio Sánchez","Local Guide · 21 reseñas · 29 fotos","Hace 7 años","Por las mañanas bien, por la tarde retrasos en cercanías de más de 15 minutos"
"Gonzalo Valdés","Local Guide · 170 reseñas · 4 fotos","Hace 7 años","Estación cómoda y practica para moverte al centro de Madrid"
"Mihaela Albu","1 reseña","Hace 7 años","Por el metro ligero que simpre ai que esperar mucho!"
"nahir liliana yegros","17 reseñas · 3 fotos","Hace 7 años","Es deplorable se espera más de lo debido😡😡…"
"Carlos M. Díaz Honrado","Local Guide · 258 reseñas · 721 fotos","Hace 6 años","Al lado tienes el metro ligero oeste"
"kike MdC","2 reseñas","Hace 7 años","La peor línea de cercanías tarda mucho"
"Wendy Paez","12 reseñas","Hace 6 años","Excelente"
"Isidoro Toribio","Local Guide · 262 reseñas · 1.106 fotos","Hace 7 años","Bien comunicada."
"L' HUNSRUCKER","Local Guide · 449 reseñas · 1.124 fotos","Hace 4 años","Dos líneas, la Renfe y la circular del tranvía de la aglomeración de Pozuelo de Alarcón."
"Rodin Asangkay Sejekam","1 reseña","Hace 7 años","Amo España😍😍😍…"
"Belén Gil de Arana","Local Guide · 53 reseñas · 25 fotos","Hace un año",""
"José De Oliveira","Local Guide · 681 reseñas · 2.609 fotos","Hace 2 años",""
"Francisco","Local Guide · 1.404 reseñas · 7.759 fotos","Hace 4 años",""
"Rosa Calleja","Local Guide · 26 reseñas · 4 fotos","Hace 5 años",""
"Guido Adrian Prieto Scavone","Local Guide · 1 reseña · 1 foto","Hace 7 años",""
"gema mago","","Hace 7 años",""
"Alvaro Martínez","Local Guide · 1 reseña","Hace 7 años",""
"Pedro Francisco","Local Guide · 310 reseñas · 948 fotos","Hace 7 años",""
"Ri Rodriguez","Local Guide · 198 reseñas · 187 fotos","Hace 7 años",""
"Mauricio C.G.","Local Guide · 537 reseñas · 282 fotos","Hace 7 años",""
"Myroslava Sofiychuk","Local Guide · 2 reseñas · 10 fotos","Hace 7 años",""
"Alvaro garcia gomez","13 reseñas","Hace 7 años",""
"Manuel Sanchez","3 reseñas","Hace 7 años",""
"Blanca Smith","1 reseña","Hace 7 años",""
"Jose Luis Antolin Valverde","Local Guide · 10 reseñas · 6 fotos","Hace 8 años",""
"iñigo Sola torres","Local Guide · 57 reseñas · 44 fotos","Hace 8 años",""
