"d4r55","RfnDt","rsqaWe","wiI7pd"
"Fernando Fábrega Schiozzi","Local Guide · 663 reseñas · 167 fotos","Hace 2 meses","Muy bueno"
"Arturo Bird","Local Guide · 87 reseñas · 327 fotos","Hace 5 años","Estación de metro de una sola línea (7) dotada ascensores y escaleras mecánicas que facilitan el acceso a personas de movilidad reducida la estación es moderna, limpia y amplia. Muy recomendable"
"Victor Manuel Gonzalez","Local Guide · 12 reseñas · 5 fotos","Hace 2 años","En mi mas sincera opinión es la estación mas bonita,limpia,tecnológica y mas tranquilo del metro de madrid.Esta en una zona poco concurrida y todo decorado de la fauna y la flora de la sierra de guadarrama."
"Marcela Basconi","207 reseñas","Hace 2 años","Para esta época del año, otoño y más adelante, invierno, está bien porque el sol da hasta que cae, pero en verano es mortal!!! Está bien solo después de las 22 o 23 hs."
"Nohelia De La Cruz","Local Guide · 60 reseñas · 598 fotos","Hace 4 años","Aura guay"
"Antonio Gonzalez","Local Guide · 405 reseñas · 1.911 fotos","Hace un año","Estación nueva y moderna, totalmente accesible y amplia"
"Edxon La Rosa","Local Guide · 172 reseñas · 145 fotos","Hace 3 años","Estación de metro super limpia, tranquilo y lindo...."
"Marta Jiménez","8 reseñas · 1 foto","Hace 3 años","No entiendo por qué Google Maps no lo tiene en cuenta como parada de metro de la línea 7 al mostrar trayectos"
"Antonio Durán","11 reseñas","Hace 4 años","Bonita estación con imágenes de la sierra de Guadarrama."
"Sergiy Mykhaylenko","Local Guide · 82 reseñas · 1.302 fotos","Hace 4 años","Es un lugar muy bueno para vivir con los niños"
"loli ariaS","1 reseña","Hace 2 años","Me gusta"
"Jose Rosales","Local Guide · 212 reseñas · 420 fotos","Hace 2 años","Muy limpio"
"Anecdonet (anécdotas y viajes)","Local Guide · 245 reseñas · 4.293 fotos","Hace 6 meses",""
"Cristina resquin Báez Resquin Báez","45 reseñas · 11 fotos","Hace 8 meses",""
"Gabriel Manquillo","Local Guide · 220 reseñas · 8.488 fotos","Hace un año",""
"Aitor Galisteo","Local Guide · 109 reseñas","Hace 2 años",""
"Juan Gonzalez","Local Guide · 64 reseñas · 31 fotos","Hace 3 años",""
"Analyn fernandez","Local Guide · 29 reseñas · 2.774 fotos","Hace 3 años",""
"Pastor Castillo","Local Guide · 82 reseñas · 23 fotos","Hace 4 años",""
"Avelino Navarro","Local Guide · 79 reseñas · 373 fotos","Hace 5 años",""
"Vicente Hernández Manzano","3 reseñas","Hace 5 años",""
"Vicente Hernández Manzano","7 reseñas","Hace 5 años",""
"Pedro Fuertes","Local Guide · 727 reseñas · 61.937 fotos","Hace 5 años",""
