"d4r55","RfnDt","rsqaWe","wiI7pd"
"Sandra Blanco Benavente","5 reseñas","Hace una semana","Sin indicaciones, guíate por tu intuición para salir de este laberinto. Si llegas a esta estación de cercanías para ir a  Atocha Alta velocidad, tienes que llegar allí por intuición. No hay carteles, ni operarios a quien preguntar. Tendrás que ir con una hora de tiempo o no llegas al Ave. Esta sucia, es caotica, no hay donde sentarse, los operarios están entrenados para ser maleducados y desagradables"
"Enoc Castañeda Especialista tec. internacional O&M","8 reseñas · 5 fotos","Hace 4 meses","Le consulto a un guardia haitiano ( el único que había a diferencia de los otros guardias españoles) por una linea de metro y me dice que no existe. Y se enoja por qué le digo que está equivocado. Le pregunto a la chica de boletería y me manda por otro lado. Le pregunto al personal del aseo y ellos si me dan la ubicación correcta con lujo de detalles.  No puede ser que el personal de aseo esté mejor calificado que un guardia que habla mal el español  y una cajera para ayudar a los turistas extranjeros. Es una vergüenza"
"JMFT","Local Guide · 45 reseñas · 240 fotos","Hace 4 meses","Cuidado con los guardas de seguridad del control de seguridad. Se dedican, como en mi caso a retardar tu entrada si te denotan que vas ajustado de tiempo y eres vulnerable. A pesar de llevar correcta identificación y justificación del contenido,  se dedicaron a registrar mi maleta, cuando les indique que podía perder el tren. Creo que necesitan mas trabajo intelectual y menos gimnasio."
"M White","Local Guide · 82 reseñas · 813 fotos","Hace 2 años","5 estrellas para el tren y 1 para los aseos, escaleras mecánicas, máquinas expendedoras, y iluminación. Lo bueno es que compre los billetes en linea y que el tren ave es confortable y toca 300kph. Sali de Alicante y llegue a Madrid con 17 grados. Afuera el edificio se ve bien, pero adentro esta en plena reconstrucción. Después de seguir direcciones incompletas durante 20 minutos, llegue a los aseos cerrados. Después de 20 minutos mas preguntando, baje a nivel tierra por la zona amazónica, donde encontre a los aseos de damas y hombres con 100 metros de distancia entre ellos, una pesadilla con los niños y para menos habiles. Hay que tener monedas de 1 euro (si se acuerden de ellas) o tarjeta de crédito. La maquina expendedora llevo las monedas sin despachar la botella."
"CS","Local Guide · 230 reseñas · 51 fotos","Hace un mes","AFORO ILIMITADO-PELIGROSA Pasamos por la famosa estación de Atocha,¿ como puede un pais como España ,con tanto turismo ofrecer esa cara, de una estación masificada con aforo Ilimitado SIN AIRE ACONDICIONADO, sí ,sin aire ,muy fuerte!!,miles personas ,casi sin espacio para moverese ,NO IMAGINO SI OCURRIESE UNA TRAGEDIA !!,por dónde sales...un solo bar ,de lo más incómodo,sin bancos para esperar,precios desorbitados de los productos en tienda,para eso pago un billete de AVE carísimo UNA VERGUENZA .Después quereis fomentar el transporte público.RENFE es una verdadera  KK y miserable empresa."
"Raúl Ramírez-Hernández","Local Guide · 463 reseñas · 5.785 fotos","Hace un año","Great train station. I traveled from/to it and it was easy to navigate. Don't know too much about it but I used the metro (subway) and train lines. Gran estación de trenes. Viajé desde/a ahí y fue muy fácil de navegar. No sé mucho sobre ella pero usé los servicios de trenes y metro lines."
"Aleex","Local Guide · 18 reseñas · 8 fotos","Hace un año","VERGÜENZA DE ESTACIÓN, ESPERAS DE 20/30 MINUTOS AL TREN, ESTO A LAS 6Y MEDIA DE LA MAÑANA, QUE VERGÜENZA, TODO HECHO UN ASCO, TODO SUCIO, Y LLENO LLENO DE GENTE QUE SE ACUMULA EN, 30,MINUTOS ESPERANDO AL TREN, EL ANDEN HASTA LOS TOPES, SON UNOS SINVERGÜENZAS QUE PARECE QUE NO SABEN TRABAJAR, SOLO SABEN FUMARSE NUESTRO DINERO.."
"Rubén Ramiro","Local Guide · 102 reseñas · 155 fotos","Hace 2 años","Que los baños cobren 1€ por entrar , me parece una vergüenza. Bien está que hay que cobrar por la limpieza , pero incluyendo los productos sanitarios del COVID-19 , me parecería un precio acorde 0,50€. Por otro lado en la sala de espera anterior a entrar en el tren , no hay casi asientos. En general las instalaciones bien , un 5 raspón , en cuanto a los precios de los trenes , ya irán callendo ellos solos con los nuevos competidores ."
"Xiaoan Mo","13 reseñas · 10 fotos","Hace 4 meses","La peor estación, han bloqueado las escaleras y ascensores por obras para el cambio de sentido, te hacen pagar el doble viaje si te has equivocado de estación y quieres cambiar de sentido, vaya desastre."
"Mikel Rodriguez","Local Guide · 626 reseñas · 3.126 fotos","Hace 2 años","Es una estación vital para la vida de viajeros y de la ciudad. Lo mejor es que hay mucha variedad de puestos de comida y establecimientos. Lo peor es el impuesto revolucionario de los baños de fuera. El truco es pasar el arco de seguridad e ir gratis!"
