"d4r55","RfnDt","rsqaWe","wiI7pd"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 2 meses","Estación de metro que pertenece a la línea 2. Dispone de ascensores y una única salida a la calle. Estación amplia."
"Rafael Villa","17 reseñas · 4 fotos","hace 5 días","Casi siempre elijo está estacion para moverme, muy buena estación ya que tiene buena comunicación, cerca está la estación de Retiro (Parque), La Almudena (Cementerio), Alsacia (Centro Comercial), Banco de España (Museo del Prado), Sol (Puerta del Sol), Ventas (Plaza de Toros) etc... Hay acceso para discapacitados y casi siempre muy poca espera al convoy."
"Julio Diarte","Local Guide · 824 reseñas · 3.509 fotos","Hace un año","Esta estación es limpia y es comodo para personas con movilidad reducida."
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Modernas instalaciones. Tiene un solo acceso/salida que dispone de escaleras y ascensor. Nos deja muy cerca de la Facultad de Óptica y Optometría de la Universidad Complutense de Madrid."
"Manuel Díaz","Local Guide · 913 reseñas · 3.024 fotos","Hace 2 años","Una estación de metro, casi al final de la línea. Aparcar está complicado, hay que venir temprano y si no se puede en el aparcamiento de enfrente ( hueco para unos 20/30 coches), se puede encontrar hueco en la vecina calle Albericia. No hay plazas reservadas para minusválidos, pero la estación tiene 2 ascensores, que dan servicio directamente al andén."
"Blanca De Cai (Afroditana)","Local Guide · 213 reseñas · 146 fotos","Hace 2 años","Si se refiere al metro es de fácil acceso y al ser la penúltima o segunda parada siempre hay sitio para sentarse, que se agradece."
"Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace 5 meses","Totalmente innecesaria, huele a pis"
"Javier Lenis Blanco","Local Guide · 39 reseñas · 10 fotos","Hace 6 años","Estación muy moderna, accesible con Ascensores tanto de bajada al vestíbulo como al andén, siempre limpia y todo funcionando a la perfección."
"Retana Vélez","Local Guide · 83 reseñas · 1 foto","Hace 3 años","Estación limpia y ordenada. El nombre de la estación hace alusión a la ciudad de Guadalajara en México."
"Raul Domínguez Galache","Local Guide · 382 reseñas · 3.258 fotos","Hace 6 años","Estación de metro de la línea 2. Avenida de Guadalajara. Moderna y amplia. Con escaleras mecánicas y ascensores hasta la calle." 
"J M.M.","Local Guide · 357 reseñas · 1.585 fotos","Hace un año","Está bien equipada de restaurantes y tiendas, comercial"
"El explorador Ser de luz","Local Guide · 124 reseñas · 189 fotos","Hace 2 años","Avenida de Guadalajara está muy bien hay negocios y uno de ellos es el CARREFOUR, QUE ESTA MUY BIEN"
"José Antonio Prados","Local Guide · 121 reseñas · 10 fotos","Hace un año","Está bien"
"Margarita Fernandez","157 reseñas · 49 fotos","Hace 2 años","Amplio, limpio, rápido, una maravilla"
"Mario Ojeda","Local Guide · 68 reseñas · 356 fotos","Hace 5 años","Muy buenas instalaciones. Un saludo a todos. Mario"
"Álvaro J. Guillén S.","Local Guide · 414 reseñas · 1.983 fotos","Hace 6 años","Muy buena ubicación, instalaciones y personal."
"Adriana Garcia","Local Guide · 38 reseñas · 35 fotos","Hace un año","Muy limpio y bonito"
"Jorge aguado","Local Guide · 173 reseñas · 38 fotos","Hace 6 años","No está mal suele estar limpio pero seguridad no está cuando se le necesita"
"José Antonio","Local Guide · 214 reseñas · 222 fotos","Hace 6 años","Ascensor estropeado desde hace semanas, ya no es accesible para parte de la población"
"Jorge Mayo","Local Guide · 14 reseñas","Hace 6 años","Estación moderna con cobertura y ascensor"
"Andrés Velasco Antuña","Local Guide · 371 reseñas · 10 fotos","Hace 4 años","Es mi barrio y  mucho  que mejorar"
"Matilde Arteaga Lozano","Local Guide · 159 reseñas · 176 fotos","Hace 6 años","Exquisita la comida y porsupuesto el trato."
"Un opinante delirante","Local Guide · 2.051 reseñas · 6.877 fotos","Hace 3 años","Buena estación de metro, como todas"
"Anel Casero","Local Guide · 108 reseñas · 63 fotos","Hace 7 años","situado Shiatsu Center Ángel Casero"
"José Concepción Garcés Rogert","Local Guide · 867 reseñas · 3.167 fotos","Hace 2 años","Bien cuidada."
"Hostelería Madrid","48 reseñas","Hace 6 años","Buena accesibilidad"
"Rafael Diaz Moreno","Local Guide · 177 reseñas · 27 fotos","Hace 7 años","Es muy modena"
"Aurora Mendez","19 reseñas","Hace 7 años","trabajo en este citio"
"Aquin J","Local Guide · 535 reseñas · 8.374 fotos","Hace 6 años","Estación de metro con ascensor."
"suzanna kesek","Local Guide · 117 reseñas","Hace 2 años","La mejor estación del sistema de metro, muy limpia."
"JOSE LUIS PEREZ","Local Guide · 156 reseñas · 205 fotos","Hace 3 meses",""
"Angel Garcia Morales","157 reseñas · 277 fotos","Hace 11 meses",""
"Juan jsgroup","Local Guide · 60 reseñas · 210 fotos","Hace un año",""
"Andres Ruiz-Valdepeñas del Amo","Local Guide · 27 reseñas · 20 fotos","Hace un año",""
"Stelian Nedelea","Local Guide · 12 reseñas · 703 fotos","Hace un año",""
"Ignacio Egido","Local Guide · 27 reseñas · 366 fotos","Hace un año",""
"Gabriel Manquillo","Local Guide · 220 reseñas · 8.488 fotos","Hace 2 años",""
"Sandra Mira Baena","Local Guide · 81 reseñas · 16 fotos","Hace 2 años",""
"Ricardo Latouche","Local Guide · 127 reseñas · 47 fotos","Hace 2 años",""
"gabriel","Local Guide · 189 reseñas · 51 fotos","Hace 2 años",""
"N. Salas","Local Guide · 36 reseñas · 9 fotos","Hace 2 años",""
"Diego Ortego","Local Guide · 115 reseñas · 26 fotos","Hace 3 años",""
"JUANITO Traore","Local Guide · 3 reseñas · 1 foto","Hace 4 años",""
"Joselu","Local Guide · 102 reseñas · 192 fotos","Hace 5 años",""
"Sergio Platas","Local Guide · 21 reseñas · 11 fotos","Hace 6 años",""
"Hortensia Coronado Vallejos","","Hace 6 años",""
"Juan Illeras","Local Guide · 169 reseñas · 8 fotos","Hace 6 años",""
"Alfredo Ruiz","Local Guide · 41 reseñas · 4 fotos","Hace 6 años",""
"Linda Fuenmayor","","Hace 6 años",""
"EVA","1 foto","Hace 7 años",""
"Fernanda Tituaña","Local Guide · 47 reseñas · 60 fotos","Hace 7 años",""
"Raul Victor Neves Ravel","","Hace 7 años",""
"Iván Martínez Herrera","Local Guide · 731 reseñas · 3.965 fotos","Hace 7 años",""
"Miguel Angel Motos","Local Guide · 36 reseñas · 4 fotos","Hace 7 años",""
"Cris J.D.","2 reseñas","Hace 7 años",""
"Jesús Perdigones","Local Guide · 16 reseñas · 14 fotos","Hace 7 años",""
"Guille Wolfy","Local Guide · 23 reseñas · 9 fotos","Hace 7 años",""
"Roberto Lopez Duarte","2 reseñas","Hace 8 años",""
"Paula García del Valle","2 reseñas · 3 fotos","Hace 8 años",""
"maria jesus moreno","4 fotos","Hace 8 años",""
"Paula Molina","5 reseñas","Hace 8 años",""
"Félix González","","Hace 8 años",""
