"d4r55","RfnDt","rsqaWe","wiI7pd"
"JuldeS 125","6 reseñas","Hace 4 meses","Estación que suele tener áreas del suelo sucias y el suelo resbaladizo Siempre tiene una de las escaleras mecánicas del anden que va hacia valdecarros averiada y a veces hay algún torno que no funciona"
"Jonathan Hernández","Local Guide · 493 reseñas · 1.013 fotos","Hace 6 años","Estación de la línea 1 de Metro de Madrid. Es bastante nueva, supongo porque ha sido renovada recientemente. Dispone de ascensores y escaleras mecánicas, lo que hace la estación completamente accesible a personas con discapacidad."
"Jose Antonio","Local Guide · 97 reseñas · 801 fotos","Hace 4 años","La estación más ruidosa y con la información más falsa del metro de Madrid en la que no hay cobertura. Es una estación en la que el andén dirección Valdecarros, siempre tiene la señalización del tiempo de espera incorrecto. Cuando pone que le queda un minuto para llegar y después que va a centrar en la estación en realidad siempre le quedan alrededor de dos minutos. A pesar de haber se lo dicho a los trabajadores de la estación y el Consorcio de transportes esto lleva siendo así desde hace varios años. Es una estación que a pesar de ser la de referencia para ir a la agencia de comunicación EFFE, no tiene cobertura de móvil ni datos móviles. Es una estación extremadamente ruidosa cada vez que llega un tren desde Chamartín. Mucha gente suele tener que estar tapándose los oídos ya que el ruido puede ser bastante desagradable y ocasionar dolor de oídos. Es una estación que a pesar de ser moderna, no cuenta con los mínimos de calidad como es el aporte de la información de espera real (100% es mentira lo que pone), y un aislamiento acústico inexistente que hace que la espera sea tan desagradable que te dan ganas de ir andando a la siguiente estación."
"DANY YOLI","Local Guide · 650 reseñas · 5.662 fotos","Hace un mes","Estación de Línea 1."
"Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace 5 meses","buen nombre, original , me recuerda a los pandas"
"Alejo Cabrera","Local Guide · 83 reseñas · 14 fotos","Hace 5 años","No suele haber aglomeraciones ya que la mayoría de pasajeros descargan en Chamartín, bien adaptada y climatizada. Los metros que vienen de Pinar de Chamartín tardan un poco en llegar y no suele aparecer el tiempo que les falta en los letreros hasta que falta entre 1 y 2 minutos. Lo único realmente negativo es que no hay cobertura alguna para móviles."
"K","Local Guide · 1.250 reseñas · 2.852 fotos","Hace 7 meses","Acceso universal. Estacion nueva. Amplia limpia y cuidada. Es difícil aparcar"
"David Gutiérrez Sacristán SPAIN","Local Guide · 1.184 reseñas · 22.136 fotos","Hace 4 años","Bien comunicada con tres paradas de autobús EMT. 129,150, 174. A un paso De chamartin. Podria utilizarse para ir al barrio de Las Tablas"
"Francisco León","Local Guide · 291 reseñas · 1 foto","Hace 10 meses","Moderna, amplia y limpia."
"Esteban GM","7 reseñas","Hace 7 meses","No hay donde aparcar"
"Merce Navarro","Local Guide · 188 reseñas · 29 fotos","Hace 2 años","Me encanta esta salida de Metro y tiene mucho verde"
"Juan Antonio","Local Guide · 193 reseñas · 929 fotos","Hace 6 años","Estación de metro, amplia y que no suele tener muchas aglomeraciones."
"M E","Local Guide · 563 reseñas · 299 fotos","Hace 7 años","Parada de la línea 1. Está renovada y es amplia."
"Ruth Sánchez","Local Guide · 111 reseñas · 183 fotos","Hace 5 años","Moderna y espaciosa estación de metro."
"Adrian Garcia","3 reseñas","Hace 9 años","Me encanta la bruha que vive allí, ASHITERU"
"Cristóbal Pompa","Local Guide · 24 reseñas · 4 fotos","Hace 4 años","Muchos viajeros en hora punta"
"M. Bazurto","4 reseñas · 3 fotos","Hace 4 años","Un concierto realmente espectacular"
"Thomas Riedl","Local Guide · 146 reseñas · 5 fotos","Hace 2 años","Bien"
"Andrés Medrano","3 reseñas","Hace 9 años","Exquisita carne a la parrilla"
"Joana Santiago Perez","Local Guide · 57 reseñas · 20 fotos","Hace 3 años","Simplemente un metro"
"Rosa Rodríguez","Local Guide · 275 reseñas · 1.987 fotos","Hace 5 años","Amplia estación"
"Urban Traveler","Local Guide · 2.505 reseñas · 6.636 fotos","Hace 4 años","Pequeña estación. El barrio no es muy atractivo."
"NAS","Local Guide · 474 reseñas · 423 fotos","Hace un mes",""
"Miguel Angel","Local Guide · 192 reseñas · 149 fotos","Hace 5 meses",""
"Karolina Avila","Local Guide · 79 reseñas","Hace 8 meses",""
"Mauricio Reina Cárdenas","Local Guide · 2 reseñas · 9 fotos","Hace un año",""
"ANA ANGULO","5 reseñas","Hace un año",""
"ANGEL M","1 reseña","Hace 3 años",""
"Pablo Fernández","Local Guide · 333 reseñas · 2.455 fotos","Hace 4 años",""
"Julián","Local Guide · 2 reseñas","Hace 6 años",""
"Sergio Agilar","Local Guide · 3 reseñas","Hace 6 años",""
"Elisa Valdeolivas","6 reseñas","Hace 6 años",""
"Ernesto Benito Garre","5 reseñas","Hace 7 años",""
