"d4r55","RfnDt","rsqaWe","wiI7pd"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 2 años","La estación metro que pertenece a la línea 9, es una estación antigua, pero no está mal del todo. Dispone de 2 accesos a la calle (que están enfrente la una de la otra) y estan cerca del centro comercial de la vaguada. No dispone de ascensores ni a la calle ni a los andenes. Suele está transitada de gente."
"Kiverling León","Local Guide · 26 reseñas · 16 fotos","Hace 3 meses","Buen Barrio hay de todo y el centro comercial está estupendo 👏🏻👏🏻…"
"Roberto Rios","Local Guide · 362 reseñas · 927 fotos","Hace un año","La estación de metro (Barrio del Pilar - L9) está un poco deteriorada y necesita un poco más de atención, pero sigue siendo muy buena. Muy cerca del centro comercial La Vaguada."
"CoLouRFuLSTaR89","6 reseñas · 1 foto","Hace un año","Pese a haberme puesto en contacto con el personal de esta estación, estos hacen caso omiso para rescatar a una urraca que se encuentra atrapada. Falta de empatía y humanidad para salvar a un ser vivo que lleva muchos días ahí y que acabará muriendo si no hacen nada por sacarla de allí. Y porque no puedo poner menos estrellas, porque no os merecéis ni una."
"QK RM-M","Local Guide · 95 reseñas · 17 fotos","Hace un año","Le doy una estrella porqué no le puedo dar cero estrellas.... No son capaces de permitir que se rescate a una urraca encerrada dentro desde hace un montón de días. Falta de humanidad absoluta, así que como para darles publicidad encima!! Mala gente!"
"Jesus Leyva","1 reseña","Hace un año","Malas personas, una urraca está atrapa muchos días en esa estación y ninguno de los trabajadores quiere hacer algo por ella. Quieren que se muera de hambre y sed."
"Pilar GS","Local Guide · 187 reseñas · 156 fotos","Hace 10 meses","Barrio ideal para vivir.  Zonas verdes, muchas tiendas, centro comercial, y transportes"
"VEBRMAD","211 reseñas · 11.394 fotos","Hace 11 meses","Un poco sucia y mal cuidada la estación de metro del Barrio del Pilar, comunica con la linea 9"
"VÍCTOR VIRGÓS","Local Guide · 1.719 reseñas · 18.902 fotos","Hace 2 años","Muy animado. Voy sobre todo cuando tengo que acercarme a la fantástica Vaguada, un centro comercial muy vanguardista en su día. Muchas tiendas y bares de barrio todo a precios populares"
"Julio Ub","13 reseñas","Hace un año","Es una estacion cuyos gestores no tienen alma,hay una hurraca que lleva atrapada una semana dentro de la estacion sin agua ni comida,se ha comunicado a los responsables, su respuesta la indiferencia,dais asco,viva la empatía de esta empresa con cero respeto a la vida animal y su sufrimiento"
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.612 reseñas · 8.906 fotos","Hace un mes","Estación con una sola línea. La menor opción para ir en metro a la vaguada"
