"d4r55","RfnDt","rsqaWe","wiI7pd"
"Jaime Cape","Local Guide · 38 reseñas · 9 fotos","Hace un año","Van mejorando con el paso del tiempo. Recientemente la línea cuenta con datos internet para el teléfono, cosa que antes se iban cuando te metías en las estaciones soterradas. Como pega, la frecuencia con la que pasan los trenes en horarios que no son la hora punta es algo escasa."
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.715 reseñas · 8.948 fotos","Hace 3 meses","Parada del metro ligero, no tienen demasiada frecuencia"
"Francisco León","Local Guide · 298 reseñas · 1 foto","Hace 5 meses","Muy recomendable. Y la zona exterior un lujo."
"Juan Antonio","Local Guide · 193 reseñas · 964 fotos","Hace 5 años","Estación de metro subterránea, con tornos de puerta. Dispone de ascensor, escaleras mecánicas y escaleras. No tiene maquinas de vendin. Tiene tres máquinas para sacarse el abono y los billetes de un viaje, ect. No dispone de personal en la estación, se llama por un interfono y vienen de otras estaciones."
"Anurivic Lorenzo","Local Guide · 247 reseñas · 686 fotos","Hace 7 años","Es una estacion del metro lihero pequeña techada . Con acceso por ascensor y escaleras mecanicas  . Buen acceso para minusvalidos. A veces el piso esta algo sucio pero en general funciona bien. Tranquila"
"Rodrigo","Local Guide · 21 reseñas","Hace 2 años","Me sirve, tampoco le voy a pedir nada más si ya tiene lo necesario"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Blasco Ibáñez es una estación del servicio de metro ligero 1 en la calle Príncipe Carlos en Madrid España"
"Habieru Grandson","Local Guide · 132 reseñas · 154 fotos","Hace 7 años","Estación subterránea de Metro ligero tiene ascensor y máquinas de vending."
"Sergio Larrad","Local Guide · 87 reseñas · 27 fotos","Hace 8 años","Frecuencias un poco bajas, pero al igual que el resto de la linea de ML1"
"Raquel Morales","Local Guide · 239 reseñas · 30 fotos","Hace 7 años","14 minutos de espera con huelga, normalmente funciona mejor 5 minutos o menos"
"Fernando Lillo C","Local Guide · 1.247 reseñas · 375 fotos","Hace 8 años","Muy comoda"
"Alicia Del Burgo","Local Guide · 154 reseñas · 1 foto","Hace 7 años","No esta mal"
"Charles Neau","Local Guide · 220 reseñas · 372 fotos","Hace 8 años","La arquitectura es impresionante."
"Van Torres","2 reseñas · 8 fotos","Hace 6 años","Mi zona trangila"
"Fernando","Local Guide · 30 reseñas · 36 fotos","Hace 11 meses",""
"Marcos Ortega","Local Guide · 37 reseñas · 12 fotos","Hace 2 años",""
"Fernando Mayor","Local Guide · 46 reseñas · 52 fotos","Hace 2 años",""
"Cris Robledo","2 reseñas · 4 fotos","Hace 6 años",""
"Andreina Acosta","Local Guide · 50 reseñas","Hace 6 años",""
"David Fernández","Local Guide · 46 reseñas · 236 fotos","Hace 7 años",""
