"d4r55","RfnDt","rsqaWe","wiI7pd"
"Miguel Ramos","Local Guide · 272 reseñas · 752 fotos","Hace 5 años","De lunes a viernes. Pasan con frecuencia de 6 minutos. Pero fines de semana y festivos fatal , cada media hora , abierto y no muy cómodo"
"Ri Rodriguez","Local Guide · 198 reseñas · 187 fotos","Hace 7 años","Parada de metro ligero al aire libre."
"Maria J Crespo","Local Guide · 73 reseñas · 57 fotos","Hace 6 años","Parada comoda, con marquesina, sitio para sentarse y anuncio de llegada de trenes. A veces fallan las máquinas de compra de billete."
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Bélgica es una estación del servicio de metro ligero 2 en somosaguas en Madrid España"
"riad gomez","Local Guide · 6 reseñas · 2 fotos","Hace 4 años","Es una parada de metro ligero al aire libre"
"Bernardo Chicharro Hernández","Local Guide · 291 reseñas · 3.816 fotos","Hace 8 años","Usa la app de metro ligero o te eternizarás esperando"
"MARILUZ ALM peluqueria luz","Local Guide · 26 reseñas · 49 fotos","Hace 6 años","Muy bien"
"Ceus Rayo","Local Guide · 15 reseñas · 6 fotos","Hace 7 años","Trabajo"
"Teresa Carramolino","Local Guide · 57 reseñas · 23 fotos","Hace un año",""
"José Ramón Sánchez","7 reseñas","Hace 2 años",""
"Francisco","Local Guide · 1.404 reseñas · 7.759 fotos","Hace 2 años",""
"Cristino Minaya","","Hace 6 años",""
"Rosario Mendoza Recinos","Local Guide · 22 reseñas · 17 fotos","Hace 7 años",""
"carlos otero","Local Guide · 86 reseñas · 38 fotos","Hace 7 años",""
"Plaza Mar2","1 reseña · 1 foto","Hace 7 años",""
