"d4r55","RfnDt","rsqaWe","wiI7pd"
"Marco Antonio Nuñez Corao","Local Guide · 103 reseñas · 38 fotos","Hace 5 meses","no hay sombras ni techos y mientras se espera el bus o te insolas o te mojas... de noche la plaza delnintercambiador esta a oscuras y hay muchos fumanso porros"
"Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO CANILLEJAS SE ENCUENTRA EN EL BARRIO DE CANILLEJAS, EN EL DISTRITO DE SAN BLAS-CANILLEJAS, AL NORTE DE MADRID. ES UNA PARADA DE LA LÍNEA 5 DEL METRO. ### DISEÑO Y ESTRUCTURA CANILLEJAS TIENE UN DISEÑO FUNCIONAL Y MODERNO, CON VARIAS ENTRADAS Y SALIDAS BIEN SEÑALIZADAS. LA ESTACIÓN ESTÁ EQUIPADA CON ESCALERAS MECÁNICAS Y ASCENSORES, LO QUE FACILITA EL ACCESO A PERSONAS CON MOVILIDAD REDUCIDA Y A OTROS USUARIOS. ### SERVICIOS Y COMODIDADES - **CONECTIVIDAD:** LA ESTACIÓN DE CANILLEJAS OFRECE UNA BUENA CONEXIÓN A TRAVÉS DE LA LÍNEA 5, QUE PROPORCIONA ACCESO A DIFERENTES ÁREAS DE MADRID. TAMBIÉN ESTÁ BIEN CONECTADA CON OTRAS FORMAS DE TRANSPORTE PÚBLICO, COMO LAS PARADAS DE AUTOBUSES. - **ENTORNO:** LA ESTACIÓN ESTÁ UBICADA EN UNA ZONA RESIDENCIAL Y COMERCIAL, CON ACCESO A VARIOS SERVICIOS LOCALES, COMO TIENDAS Y RESTAURANTES. ES UNA ÁREA TRANQUILA Y RESIDENCIAL. - **SEGURIDAD:** CANILLEJAS ESTÁ BIEN VIGILADA CON CÁMARAS DE SEGURIDAD Y PRESENCIA DE PERSONAL DE SEGURIDAD, LO QUE OFRECE UN ENTORNO SEGURO PARA LOS VIAJEROS. ### EXPERIENCIA DE USUARIO LOS USUARIOS VALORAN LA ESTACIÓN DE CANILLEJAS POR SU UBICACIÓN CÓMODA Y SU BUENA CONEXIÓN CON LA LÍNEA 5. LA LIMPIEZA Y EL MANTENIMIENTO SON ADECUADOS, Y LA SEÑALIZACIÓN ES CLARA Y EFICAZ. LAS MÁQUINAS EXPENDEDORAS DE BILLETES Y LOS PUNTOS DE INFORMACIÓN SON ACCESIBLES Y ÚTILES. ### OPINIÓN GENERAL CANILLEJAS ES UNA ESTACIÓN PRÁCTICA EN LA RED DE METRO DE MADRID, DESTACADA POR SU UBICACIÓN EN UNA ZONA RESIDENCIAL Y COMERCIAL TRANQUILA. SU FUNCIONALIDAD Y ACCESIBILIDAD LA CONVIERTEN EN UNA PARADA CONVENIENTE Y PRÁCTICA PARA LOS VIAJEROS. EN RESUMEN, LA ESTACIÓN DE METRO CANILLEJAS ES UNA PARADA BIEN EQUIPADA QUE OFRECE UNA BUENA CONEXIÓN A DIFERENTES PARTES DE MADRID Y PROPORCIONA UNA EXPERIENCIA DE USUARIO POSITIVA GRACIAS A SU DISEÑO FUNCIONAL Y SU UBICACIÓN EN UNA ÁREA RESIDENCIAL TRANQUILA."
"Ma Ca","Local Guide · 1.248 reseñas · 21.843 fotos","Hace 3 meses","Estación de metro que pertenece a la línea 5 de metro. Dispone de 2 salidas a la calle que están enfrente. No dispone de ascensores."
"SoFamily","3 reseñas","Hace 4 meses","ASCENSOR YA!! Ni la gente mayor del barrio,ni bebes en carros,ni viajeros con maletas pueden usarlo!! Una vergüenza!cuando sobra sitio para poner un Triste ascensor"
"samer carrion","Local Guide · 51 reseñas · 394 fotos","Hace un mes","Solo paso cuando voy a trabajar, es bonito y los buses pasan rápido."
"pilar Guijarro","1 reseña","Hace 4 meses","Una vergüenza que no tenga ascensor, nada accesible y un día si y otro también las escaleras mecánicas estropeadas."
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Dos accesos/salidas a ambos lados de la Calle Alcalá, el lado de los números impares nos deja en el intercambiador descubierto de autobuses. Esta estación fue cabecera de la línea 5 hasta 2006."
"Walter Quintero Moreno (Walter)","Local Guide · 134 reseñas · 10 fotos","Hace un año","Como barrio es de clase media y viven personas muy amables y de buen corazón, la mayoría son latinos y pocos españoles de.adultos mayores, como parada de marquesina para ir al plenilunio es falta porque esta en dos bares y cuando hay mucha gente bo se sabe por donde hacer la cola y es la única en  canillejas"
"Christian Guerrero","4 reseñas · 7 fotos","Hace 6 meses","Solo conocí el Metro, estaba genial, limpio y todo en orden."
"nanimarbella","3 reseñas","Hace 10 meses","Un metro principal para desplazamientos varios (Aeropuerto etc) Sin ascensores!!Los ascensores para cuándo?ni los mayores, ni los viajeros, ni las mamás con cochecitos de BB, pueden usarlo. ASCENSORES YAAAA"
"G Vicente","Local Guide · 70 reseñas · 39 fotos","Hace un año","Lamentable episodio el que me ha tocado vivir en presencia de mis hijos menores de edad en la parada de metro de Canillejas. El vigilante de seguridad, al más puro estilo Torrente( pelos largos , sucio , desaliñado...) me he identificado con pase autorizado y en tono chulesco, manos en los bolsillos y sin mirar a la cara, me dice que los críos al tener más de 4 años( tienen 5 y 6) deben pagar, cuando en todos los días que hago uso del metro NUNCA me había pasado. Que si hay que pagar, SE PAGA, cómo todo.hijo de vecino, pero la educación y el servicio a los demás debería ir por delante. Malas formas, malos modales. Espero que reciba el doble de lo que da. Podéis estar tranquilos que ya tenéis heredero. LAMENTABLE, TRISTE Y ABERRANTE."
"Aqui Chrysaetos","Local Guide · 66 reseñas · 257 fotos","Hace 11 meses","Barrio excelentemente comunicado, muy tranquilo y con grandes zonas verdes cercanas."
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.612 reseñas · 8.906 fotos","Hace un mes","Una estación reformada, tiene muchas salidas. Muchos buses cerca tanto urbanos e Inter urbanos"
"Mª del Angel Rodriguez","Local Guide · 35 reseñas · 174 fotos","Hace 7 meses","Sucio, y sin accesos para las personas mayores o en silla de ruedas,  andadores etc"
"Sergio Ángulo Rodríguez","Local Guide · 214 reseñas · 329 fotos","Hace 3 años","Esperé a mi amiga Rocío en un banco enfrente del bar de la foto durante 45 ó 50 minutos, ambientazo de gente tomando unas cerves. Nos volvimos al metro dirección Metro Pueblo Nuevo para ir al teatro Urban. QUÉ OBRA, qué espectáculo tan fantástico, id, id, id, no os lo perdais por nada!!!!!!is, risas, risas,risas, MÁS RISASn"
"GABRIELLA L.P","Local Guide · 162 reseñas · 3.347 fotos","Hace 8 meses","Sitio muy concurrido con paradas de bus y metro tiendas y cerca del aeropuerto"
"Pablo Aparicio","Local Guide · 22 reseñas","Hace un año","Un buen barrio para vivir, no tiene mucho verde pero es pequeño y tranquilo"
"Daniel velarde ruiz","Local Guide · 262 reseñas · 1.195 fotos","Hace 2 años","Canillejas es un barrio residencial que colinda con el parque Quinta de Torre Arias, un espacio paisajístico poblado de almendros y cedros que rodean un palacio centenario."
"NATALIA SALGADO NOGUERA","Local Guide · 60 reseñas · 11 fotos","Hace 3 años","Es la estación de metro de la línea 6, que es la única que se acerca a la zona de Alameda de Osuna ,1era estación y última, Casa de Campo. La de Canillejas es la 2da cuando lo coges en La Alameda. A QUIEN LE GUSTE MI RESEÑA ,AGRADECERÍA MUCHO QUE ME DIESEIS UN LIKE. MIL GRACIAS ."
"Julio MM","Local Guide · 718 reseñas · 2.250 fotos","Hace 8 años","Durante muchos años fue el final de línea. La línea 5, para colmo, siempre ha sido una de las líneas más abandonadas, aunque ha tenido alguna reforma, sigue manteniendo ese aire triste y algo desangelado."
"Patricia Peral Román (Jade)","Local Guide · 81 reseñas · 538 fotos","Hace un año","Es una estación de la peor línea de Madrid, a mi modo de ver. Además, en la estación no hay ni siquiera personal."
"Yolanda.D. MORALES","Local Guide · 70 reseñas · 105 fotos","Hace un año","Un hermoso barrio, plaza para los pequeños un lindo lugar"
"Carmen Martin","Local Guide · 77 reseñas","Hace un año","El metro está bien situado,  dado que hay paran autobuses para todos los municipios de Madrid"
"Eva García","Local Guide · 290 reseñas · 7 fotos","Hace un año","Sólo he visto la estación de metro y,...sin más"
"Rafael Viñuela","Local Guide · 438 reseñas · 69 fotos","Hace 7 meses","Esta bastante bien, pero le falta mejorar"
"Ildefonso Carvajal Calderon","Local Guide · 208 reseñas · 2.071 fotos","Hace 2 años","Buen barrio de Madrid, con metro, autobuses y parques. Así como bares y comercios."
"JOSE ALCOLEA","Local Guide · 53 reseñas · 19 fotos","Hace un año","Un buen lugar con estación de metro, con parking gratuito cerca y a poca distancia del centro de Madrid"
"Verónica Vereda Fernández","Local Guide · 201 reseñas · 88 fotos","Hace un año","Escaleras interminables, el acceso no está adaptado a personas con diversidad funcional."
"Felix Boyer","Local Guide · 93 reseñas · 11 fotos","Hace 4 meses","Falta limpieza"
"Freddy Montenegro","Local Guide · 131 reseñas · 21 fotos","Hace 3 años","Es mi barrio y tenemos de todo por eso mis 5 estrellas"
"Yenny Zapata","Local Guide · 53 reseñas · 45 fotos","Hace 3 años","Es limpio y en sus marcas propias tienen buenos precios las otras si son un poco más caras"
"Gaspar Herman","Local Guide · 345 reseñas · 500 fotos","Hace 11 meses","Buenas instalaciones y hay un intercambiador de autobuses"
"Susana Garcia Martinez","Local Guide · 78 reseñas · 16 fotos","Hace un año","La comida muy buena, la atención un poco seca."
"Jennifer Walker","Local Guide · 26 reseñas · 6 fotos","Hace 3 años","Perfecto. Pero hay muchos que se cuelan y a veces te da un poco de rabia"
"Maria Al.","Local Guide · 219 reseñas · 135 fotos","Hace 2 años","Desde ahí se cogen bastantes buses."
"Juan Carlos","Local Guide · 115 reseñas · 90 fotos","Hace 2 años","Excelente ubicación y bares y sitios de comida cercas"
"Naima El Amrani","Local Guide · 35 reseñas · 163 fotos","Hace un año","Estaba muy contenta de estar alli. Todo cerca."
"Aldara Martín (Aldaramg)","Local Guide · 251 reseñas · 977 fotos","Hace 7 años","Estación antigua pero funcional. Aparcamiento y conexión con autobuses intercontinentales. Se renueva en 2017."
"Dana Dd","Local Guide · 48 reseñas · 97 fotos","Hace un año","Excelente! Distribución para el transporte público,"
"EVA SOUZA MARTINEZ","Local Guide · 330 reseñas · 25 fotos","Hace un año","Muy buen intercambiador de autobuses"
"D","Local Guide · 187 reseñas · 430 fotos","Hace 4 años","Estación de metro con máquinas de comida en el interior aunque para cambiar de andén hay que usar el bono"
"Ricardo","Local Guide · 225 reseñas · 5 fotos","Hace 11 meses","Excelente punto de conexión entre rutas"
"Andy Hay","39 reseñas · 331 fotos","Hace 2 años","La mujer es muy simpático y los empanadas son muy bien"
"eduardo laguna","Local Guide · 463 reseñas · 441 fotos","Hace un año","Es un sitio tranquilo para vivir"
"Julissa Garcia","Local Guide · 145 reseñas · 1.047 fotos","Hace un año","Hermoso lugar para paseos"
"Miguel Angel Jiménez","Local Guide · 205 reseñas · 4.966 fotos","Hace 7 años","Capacidad de aparcamiento reducido. Muy buena comunicación con Avda. de América y con Gran Vía"
"Paloma J.G.","8 reseñas","Hace 11 meses","Muy rico todo"
"Gisela","Local Guide · 375 reseñas · 405 fotos","Hace 2 años","Necesitan poner baños en el metro"
"José Luis E S","Local Guide · 271 reseñas · 296 fotos","Hace 7 años","Estacion inaccesible por acceso deficiente en coche desde carretera barcelona.un 0"
"JENNY ANDREA BARRERA LEAL","Local Guide · 74 reseñas · 119 fotos","Hace 2 años","Transporte fluido"
"JL TC","128 reseñas · 1.044 fotos","Hace 2 años","Mi barrio"
"eduardo latorre palomares","Local Guide · 261 reseñas · 99 fotos","Hace 11 meses","Una estación de metro normal y corriente"
"Jesus maria Henao","Local Guide · 323 reseñas · 320 fotos","Hace 2 años","Muy bonito agradable"
"Felix Merino","Local Guide · 115 reseñas · 363 fotos","Hace 5 años","Lugar de muchas conexiones de autobuses de cercanías con el metro."
"Felix Boyer","Local Guide · 184 reseñas · 17 fotos","Hace 7 meses","Buena zona"
"Lucía Ortiz","Local Guide · 248 reseñas · 40 fotos","Hace 7 años","Difícil acceso en coche, es una zona muy concurrida."
"miguel arenaza","Local Guide · 169 reseñas · 74 fotos","Hace un año","Para de metro normal"
"Ietra i","Local Guide · 84 reseñas · 24 fotos","Hace 3 años","Pocos lugares para salir"
"Antonio Barriopedro Garcia","Local Guide · 10 reseñas · 1 foto","Hace 7 años","Supertascado y más ahora con los servicios especiales parando prácticamente juntos"
"Martin González","Local Guide · 99 reseñas · 340 fotos","Hace un año","Grande y ventilado"
"Enyell Seco","Local Guide · 21 reseñas · 16 fotos","Hace 10 meses","Buen"
"Manuel Navarrete","25 reseñas · 14 fotos","Hace 6 años","Tremendo atasco en la rotonda mucho retraso  provoca"
"Mónica MARTINEZ MARTINEZ","Local Guide · 19 reseñas · 13 fotos","Hace 7 años","La rotonda no soluciona correctamente los problemas de tráfico."
"Kelvin Aristiguieta","Local Guide · 24 reseñas · 125 fotos","Hace 3 años","El clima"
"Raquel Monzón Pérez","Local Guide · 10 reseñas · 27 fotos","Hace un año","Bien"
"gabriel niveyro","Local Guide · 122 reseñas · 78 fotos","Hace un año","Muy bonito"
"ruy dejesus","Local Guide · 369 reseñas · 129 fotos","Hace 2 años","Excelente"
"Mauricio Collantes","Local Guide · 40 reseñas · 5 fotos","Hace 8 años","bastante atasco pero siempre llegas loco"
"Nelson Ostos","Local Guide · 178 reseñas · 348 fotos","Hace 4 años","Muy buen lugar"
"Raul Choy","Local Guide · 33 reseñas · 49 fotos","Hace 4 años","Mi barrio"
"Jose ramon Esperalta lopez","Local Guide · 347 reseñas · 13 fotos","Hace 2 años","Bueno"
"Rafael Poma Salvador","Local Guide · 73 reseñas","Hace un año","Estación descuidada"
"Paula","Local Guide · 39 reseñas · 12 fotos","Hace 3 años","Buen barrio"
"Artemio Eustaquio","Local Guide · 42 reseñas · 161 fotos","Hace 2 años","Muy bonito"
"J. Alexander Ortega","Local Guide · 91 reseñas · 122 fotos","Hace 4 años","Excelente lugar"
"Leti","Local Guide · 215 reseñas · 1.110 fotos","Hace 3 años","Linda ciudad"
"José Manuel López Rodríguez","Local Guide · 60 reseñas · 250 fotos","Hace 2 años","Línea de bus"
"M E","Local Guide · 563 reseñas · 299 fotos","Hace 7 años","Parada de metro estándar."
"bukola adewuyi","Local Guide · 172 reseñas · 139 fotos","Hace 2 semanas","Bueno 👍…"
"jarek r","Local Guide · 25 reseñas · 200 fotos","Hace 11 meses","Puedes comprar y recargar un Tarjet multi"
"Darren Smith","Local Guide · 32 reseñas · 2 fotos","Hace un año","Barrio subestimado. Muchos parques tienen buena comida barata. La vida es buena aquí."
"Dávid Szente","Local Guide · 1.251 reseñas · 5.533 fotos","Hace un año","Estación de metro difícil de ver, pero limpia y luminosa."
"Marcus Stange","Local Guide · 299 reseñas · 1.725 fotos","Hace 4 años","El metro es limpio y rápido."
"Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","Metro Canillejas L5"
"pietro zanetti","Local Guide · 48 reseñas","Hace 3 años","Estación de Metro de Madrid"
"Musta Ben Ali","1 reseña","Hace 8 años","BIEN"
