"d4r55","RfnDt","rsqaWe","wiI7pd"
"Luis Morato","Local Guide · 275 reseñas · 11.647 fotos","Hace 2 semanas","Teóricamente hay un mural de Santibáñez en esta estación. Lo del ambiente paleontológico esta muy bien pero espero que no haya sido tapado con una reproducción del pleistoceno."
"Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","La estación de metro Carpetana es una estación en la red de Metro de Madrid, situada en el distrito de Carabanchel. Es una estación que sirve a una zona residencial y tiene importancia local debido a su conexión con otras partes de la ciudad. ### Línea de Metro Carpetana es servida por: - **Línea 6 (Circular)** ### Ubicación La estación se encuentra en la Avenida de Nuestra Señora de Valvanera, en el barrio de Vista Alegre, dentro del distrito de Carabanchel. Esta ubicación proporciona acceso a una zona residencial y está cerca de varios puntos de interés local. ### Servicios y Facilidades La estación de Carpetana cuenta con varias facilidades para los usuarios: - **Ascensores y escaleras mecánicas** para mejorar el acceso. - **Instalaciones accesibles** para personas con movilidad reducida. - **Máquinas expendedoras** de billetes y puntos de recarga para abonos. - **Conexiones con autobuses urbanos**, que permiten a los pasajeros continuar su viaje hacia diferentes partes de la ciudad. ### Importancia Carpetana es una estación importante para los residentes de Carabanchel, ya que ofrece un acceso conveniente a la Línea 6 del metro, una de las líneas más transitadas debido a su recorrido circular. Esto facilita el desplazamiento a diferentes partes de Madrid, incluyendo conexiones con otras líneas de metro. ### Lugares de Interés Cercanos - **Museo de San Isidro:** Un museo dedicado al patrón de Madrid, con exposiciones sobre la historia y la cultura de la ciudad. - **Parque de la Cuña Verde de Latina:** Un extenso parque que ofrece áreas recreativas, senderos para caminar y espacios verdes. - **Hospital Central de la Defensa Gómez Ulla:** Un importante centro hospitalario en la zona. Si necesitas más detalles, como horarios específicos o información adicional sobre los servicios disponibles en la estación, estaré encantado de proporcionártela."
"francisco guevara","Local Guide · 221 reseñas · 4.608 fotos","Hace 3 años","Una estacion del metro de Madrid en el barrio de carpetana exelente ubicacion en la linea metro 6 con escaleras mecanicas y ascensores para personas con discapacidad si es verdad que para salir a la calle isiera falta alguna escalera mecanica pero muy buena ubicacion y con unas fraces u escritos muy llamativos y un estilo museo de animales prehistoricos Maravilloso..."
"Alfredo Márquez","Local Guide · 33 reseñas · 9 fotos","Hace 5 meses","Esta puntuacion esta valorada 100% por el personal de seguridad. Pasamos por esa estacion y le preguntamos a un guardia una duda. No solo nos la resolvió sino que nos acompañó hasta nuestro destino con una amabilidad que se extralimita de sus funciones. Pena de nosotros no saber su nombre para darle la mencion que se merece. Gracias"
"Maria Lourdes Sánchez Campo","Local Guide · 323 reseñas · 745 fotos","Hace 8 meses","Dispone de ascensor para personas con movilidad reducida,carritos bebé o personas que lleven peso cómo maletas o compras Una buena estación de metro"
"victor nuñez (oso)","8 reseñas · 27 fotos","Hace 2 años","Tienda de segunda mano artículos desde 2 euros a 10 euros"
"Maria Enelida Ramos Ballesteros","Local Guide · 119 reseñas · 40 fotos","Hace 3 meses","Sin más, un barrio de Madrid que tampoco conozco mucho"
"binguera sedienta","Local Guide · 70 reseñas · 1 foto","Hace 4 años","Estaría bien ponerle unas escaleras mecánicas de acceso, hay que tener en cuenta q el 80% de las casas de la zona no tienen ascensor, estamos hartos de escaleras extras en nuestro día a día, nuestro abono mensual cuesta lo mismo que el de la gente que vive por otras zonas, escaleras mecánicas de acceso ya!!"
"Jenny Cardona","Local Guide · 72 reseñas · 33 fotos","Hace 5 meses","Muy buena me encanto"
"Javier P","Local Guide · 464 reseñas · 524 fotos","Hace 2 años","Estación de la línea 6 del Metro donde se han encontrado restos paleontológicos de animales que había en esta zona hace millones de años y que están expuestos de manera modesta en dos vestíbulos diferentes de esta estación."
"Gabriel Strano","Local Guide · 20 reseñas · 7 fotos","Hace 3 años","Un cartel que pone flecha hacia la izquierda señalando para el anden 1 entre un pasillo a la izquierda y la escalera mecánica a la derecha. Si haces caso a la fecha, la izquierda te lleva a un pasillo largo que solo al final descubres que…"
"Jose luis Gonzales","45 reseñas","Hace 3 años","Una estacion de metro en la linea 6 maravillosa cuenta con acsensor para personas con movilidad reducida con escaleras mecanicas en diferentes pisos menos a la salida de la misma in estilo museo con animales y escritos prehistoricos encantadores muy diferente a las demas estaciones en el barrio de carabanchel carpetana dotada de desfibrilador"
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.612 reseñas · 8.906 fotos","Hace un mes","Estación muy profunda con solo una línea, no funcionan siempre los ascensores"
"Betsy & The City","Local Guide · 1.375 reseñas · 9.339 fotos","Hace un año","Para bajar en los ascensores siempre hay mucha gente. La L6 deja mucho que desear"
"Jesús Martínez","Local Guide · 361 reseñas · 2.869 fotos","Hace 4 años","Tiene buenos accesos. La entrada tiene ascensor y escaleras. Está muy cerca de varias líneas de autobús y de varios centros comerciales. Muy bien comunicado."
"Astrid Albarran","27 reseñas · 6 fotos","Hace un año","De todas las líneas creo que es la que peor funciona. Deberían hacer otra conexión con la línea 11. Es una falta de respeto"
"Jihad Hasan","Local Guide · 74 reseñas · 335 fotos","Hace 3 años","Es mi barrio xd!"
"Janio Renwick VAVAV","Local Guide · 452 reseñas · 4.138 fotos","Hace 5 años","MUY SORPRENDENTE...!!!! LA ESTACIÓN DE METRO. TE MUESTRA 14 MILLONES DE AÑOS, OBTENIDO , EN LOS HALLAZGOS, DURANTE LAS EXCAVACIONES DE LA OBRAS DEL METRO, TE OFRECE 45 METROS DE PASILLO, CON PANELES CÓMICOS SERIGRAFIADOS , QUE RELACIONA LA HISTORIA DEL METRO, SU CONSTRUCCION Y LA FAUNA APARECIDA. EXIBEN RÉPLICAS A TAMAÑO NATURAL EN GRANDES VITRINAS, MUY DIGNAS DE VISITAR. UN INSTRUCTIVO YACIMIENTO PALEONTOLOGICO DE EXCEPCIONAL INTERÉS. 15.000 RESTOS DE FÓSILES. ÉPOCA PREHISTÓRICA DEL MICENO. 23 Y 25 MILLONES DE AÑOS ATRAZ. UN LUGAR NO TURÍSTICO, DE ESOS QUE NO APARECEN EN LAS GUÍA DE VIAJES CONVENCIONALES. #HELLOMADRIDNEWS #INFO #LETSGUIDE #VAVAVGUIDE #VENAVERMEALGUNAVEZ #HELLOMADRIDNEWS #LAESTRELLADEPANAMA"
"Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","La estación de Carpetana se ha convertido en el mayor yacimiento de restos paleontológicos de la historia del suburbano, ya que desde el inicio de las obras de mejora de la estación, los especialistas encontraron más de 5.000 restos de animales con una antigüedad superior a los 14 millones de años. La cordillera Carpetana (antigua denominación del Sistema Central) da nombre a la calle Vía Carpetana, donde se ubica la estación. En otro tiempo se llamó Avenida de las Ánimas. La estación de Carpetana se encuentra entre los distritos de Latina y Carabanchel y tiene salida a la calle Vía Carpetana. Carpetana, que se abrió al público el 1 de junio de 1983, es una estación de la línea 6 donde, en el año 2008, durante las excavaciones realizadas para la construcción de 6 ascensores y cuartos técnicos en la estación, aparecieron restos fósiles del Mioceno Medio, pertenecientes a gran variedad de géneros como Anchitherium, Amphicyon o Cheirogaster.  En enero de 2008, tras finalizar las obras de remodelación de la estación, se  colocaron también  algunas réplicas de algunos de los fósiles convirtiendo a la estación en un museo integrado en diversos espacios, de modo que los usuarios del suburbano pueden encontrar a su paso paneles explicativos y vitrinas con réplicas de la flora y fauna  que habitaban la zona."
"Karla Franco","Local Guide · 20 reseñas · 66 fotos","Hace 2 meses","Ayudas a otras personas"
"Leandro Da silva","12 reseñas · 1 foto","Hace 6 meses","Super sucio la escaleras"
"Gonzalo San Segundo Soler","Local Guide · 93 reseñas","Hace 4 años","Hoy han robado el mobil a mi mujer en esta estación si alguien ha visto al individuo le agradecería me dijera algo"
"Manoel T","Local Guide · 123 reseñas · 91 fotos","Hace 3 años","Una zona sin nada especial, de un barrio obrero de Madrid."
"David López","Local Guide · 486 reseñas · 2.057 fotos","Hace 6 años","Tiene Ascensor, lo cual se agradece, de vez en cuando falla la ventilación del anden."
"Gtac Uri","Local Guide · 28 reseñas","Hace 4 años","En Google Maps no aparece la estación de metro carpetana como ruta, salta directamente a metro laguna, imposible calcular ruta desde esta estación"
"Armando Jose Capoeira da Silva (ARMANDO CAPOEIRA)","Local Guide · 104 reseñas · 1.128 fotos","Hace un año","Una estación que me encanta por lo Mural"
"Raquel Gil","Local Guide · 531 reseñas · 3.646 fotos","Hace un año","Museo estación de metro con hayazos arqueológicos ."
"Jose angel Sanchez","Local Guide · 44 reseñas","Hace un año","Excelente cuenta con ascensor"
"Jesus maria Henao","Local Guide · 323 reseñas · 320 fotos","Hace 2 años","Bonito arquitectónico buen comercio"
"Faheem Akhtar","Local Guide · 87 reseñas · 929 fotos","Hace 3 años","Es mi barrio muy bonito"
"Guille Jalmero","Local Guide · 75 reseñas · 30 fotos","Hace 7 años","Tiene ascensor para discapacitados y bien decorada."
"Roberto Peña Arias","Local Guide · 151 reseñas · 2.090 fotos","Hace 4 años","Es una Estación Museo, espectacular..."
"Deni Lloper","Local Guide · 1.012 reseñas · 938 fotos","Hace un año","Muchas escaleras. Línea 6"
"Fernando Acevedo","Local Guide · 77 reseñas · 63 fotos","Hace 7 años","Me encanta la historia que lleva incrustado en sus paredes."
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Carpetana es una estación del servicio de metro de Madrid línea 6 en el barrio Lucero en Madrid España"
"Dam","Local Guide · 312 reseñas · 185 fotos","Hace 7 años","Tienen acceso para discapacitados"
"Marta Lara","Local Guide · 15 reseñas · 219 fotos","Hace 6 años","Muy lindo parque"
"Marlon abreu","7 reseñas · 10 fotos","Hace 2 años","Genial"
"Sobandero Leo franco","Local Guide · 332 reseñas · 280 fotos","Hace 2 años","Bueno"
"Jose Antonio Espina Cillan","15 reseñas · 1 foto","Hace 7 años","Muy buemo"
"Antonio Arroyo","Local Guide · 69 reseñas · 42 fotos","Hace 2 años","Muy tranquilo"
"AYA 03","9 reseñas · 4 fotos","Hace 6 años","Soy nuevo en este barrio!"
"Dariia Pakhomova","Local Guide · 35 reseñas · 16 fotos","Hace 2 años","Todo perfecto"
"Alerking Vegas","Local Guide · 186 reseñas · 989 fotos","Hace 7 años","Bastante accesible"
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años",""
"Walquiris Rodriguez","","Hace un mes",""
"Daniel Mato","Local Guide · 94 reseñas · 11 fotos","Hace un año",""
"maria dolores sanz gil","Local Guide · 39 reseñas · 29 fotos","Hace un año",""
"victor fabian","Local Guide · 7 reseñas · 3 fotos","Hace un año",""
"David Escudero","1 reseña","Hace 2 años",""
"Yurany H.","Local Guide · 2 reseñas","Hace 2 años",""
"Naresarie Courage (Nare)","Local Guide · 39 reseñas · 26 fotos","Hace 2 años",""
"Aura B","Local Guide · 2 reseñas","Hace 2 años",""
"Micheal Aondona","7 reseñas · 76 fotos","Hace 2 años",""
"Fernando Moreira Do Cen","Local Guide · 52 reseñas · 1.092 fotos","Hace 2 años",""
"Francisco Del Carmen Lopez","Local Guide · 6 reseñas · 39 fotos","Hace 2 años",""
"Adrian I S","Local Guide · 39 reseñas · 9 fotos","Hace 2 años",""
"Mjesus J","4 reseñas","Hace 2 años",""
"Lucia Delosangeles","","Hace 3 años",""
"Miguel Caceres","","Hace 3 años",""
"Kevin Zhunio","","Hace 3 años",""
"Arthur Vianna","Local Guide · 8 reseñas · 42 fotos","Hace 4 años",""
"Kevin Hinojosa","1 reseña · 1 foto","Hace 4 años",""
"Zhi Ming","2 reseñas","Hace 4 años",""
"Hayder Alkhafaji","Local Guide · 16 reseñas · 284 fotos","Hace 4 años",""
"Manuel Jimenez “Putxi”","Local Guide · 268 reseñas · 22 fotos","Hace 4 años",""
"mariem hamed","","Hace 5 años",""
"LC JS.","Local Guide · 36 reseñas · 379 fotos","Hace 6 años",""
"el señor critico madrid","4 reseñas","Hace 6 años",""
"Kiki Kiki","1 reseña","Hace 6 años",""
"Elena Guinot y la Gata Isis","Local Guide · 56 reseñas · 259 fotos","Hace 6 años",""
"Daniel Martos","Local Guide · 5 reseñas · 10 fotos","Hace 6 años",""
"Alba Vargas","","Hace 6 años",""
"Mario caumel Ruiz","1 reseña","Hace 7 años",""
"a.javier Escobar","","Hace 7 años",""
"Cristy Cristy","","Hace 7 años",""
"Ernesto Buesa","Local Guide · 7 reseñas · 217 fotos","Hace 7 años",""
"Andre Corrales","Local Guide · 58 reseñas · 325 fotos","Hace 7 años",""
"vanessa mangue","Local Guide · 25 reseñas · 43 fotos","Hace 7 años",""
"Carlos Lopez","","Hace 7 años",""
"alejandro gomez hernandez","Local Guide · 10 reseñas · 14 fotos","Hace 7 años",""
