"d4r55","RfnDt","rsqaWe","wiI7pd"
"Ibero PIZZERIA ARTESANAL","Local Guide · 35 reseñas · 428 fotos","Hace un año","Bus L- 1 . Conductor sin Mascarilla y hablando por el móvil mientras ccnduce. Bus 5497 13,24"
"Laura Trujillo","Local Guide · 230 reseñas · 561 fotos","Hace un año","Parada de metro de línea 7 ,no he andado mucho por aquí , solo algún trasbordo"
"Simon Henriquez Torrealba","Local Guide · 35 reseñas · 13 fotos","Hace 3 años","Estación con poca afluencia en las escaleras y vestíbulos, andenes un poco llenos"
"Retana Vélez","Local Guide · 83 reseñas · 1 foto","Hace 3 años","Estación ordenada que su nombre haga una referencia a la ciudad de Cartagena en Colombia."
"David MB","Local Guide · 31 reseñas · 57 fotos","Hace 6 años","Sin wifi"
"Ernesto Gonzalez Franco","Local Guide · 159 reseñas · 3 fotos","Hace 11 meses","Estacion de metro  que cumple sus funciones"
"José Luis","Local Guide · 76 reseñas","Hace un año","Comida normalita servicio muy lento"
"JUAN CARLOS SIERRA CABRERA","Local Guide · 111 reseñas · 320 fotos","Hace 2 años","enorme"
"Andres Solanas Gregorio","Local Guide · 195 reseñas · 57 fotos","Hace un año","Cerca de los sueños no vividos"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Al lado de avenida de América está la estación de Cartagena como la ciuda"
"Inferbeauty","Local Guide · 405 reseñas · 86 fotos","Hace 6 años","Sin cobertura, escaleras averiadas a menudo"
"Polo Arcia","Local Guide · 712 reseñas · 4.281 fotos","Hace un año","Falta ascensor"
"Juan Ja Guipe","Local Guide · 829 reseñas · 399 fotos","Hace 2 años","Divertido"
"Eduardo Martínez","Local Guide · 200 reseñas · 8 fotos","Hace 7 años","No tiene cobertura a la conexión de datos"
"Antonio Jiménez Valcárcel","Local Guide · 263 reseñas · 171 fotos","Hace un año","Necesita una reforma"
"Heberlid Vargas","1 reseña","Hace un año","Exelente"
"diana pinilla","1 reseña","Hace 6 años","Buena"
"Diamond Design","Local Guide · 31 reseñas · 69 fotos","Hace 2 años","Ciudad bonita, bonita y limpia. Mucha historia y bonitos museos."
"Pascal lemarchand","Local Guide · 296 reseñas · 1.249 fotos","Hace 4 años","Un distrito de Madrid muy animado y con mucho tráfico."
"drix karasu","Local Guide · 133 reseñas · 82 fotos","Hace 6 años","Estación pequeña, cuenta con personal en el lugar."
"Szymon Zielinski","Local Guide · 1 reseña · 92 fotos","Hace 6 años",""
"daniel carreño","19 reseñas","Hace un mes",""
"Gustavo Goldaracena Aviotti","Local Guide · 184 reseñas · 34 fotos","Hace 7 meses",""
"Petrica Muliga","Local Guide · 16 reseñas · 1 foto","Hace 10 meses",""
"Gregorio Morena","Local Guide · 7 reseñas","Hace un año",""
"Jose Ignacio Cruz Carretero","138 reseñas","Hace un año",""
"Mario Ospina Castaño","Local Guide · 21 reseñas · 5 fotos","Hace un año",""
"Jesús gabriel García soto","Local Guide · 23 reseñas","Hace un año",""
"CRISTHIAN SOL FLORES","Local Guide · 47 reseñas · 300 fotos","Hace un año",""
"Alvaro Oliver","Local Guide · 431 reseñas · 159 fotos","Hace un año",""
"Leticia Ramos Setim","Local Guide · 71 reseñas · 1 foto","Hace un año",""
"Jesus Garcia","Local Guide · 287 reseñas · 170 fotos","Hace 2 años",""
"Reda Haddou","Local Guide · 508 reseñas · 504 fotos","Hace 2 años",""
"Maria José Garin","Local Guide · 2 reseñas · 24 fotos","Hace 2 años",""
"Andrés Valdivieso","Local Guide · 36 reseñas · 739 fotos","Hace 2 años",""
"franklin turbi febles","4 reseñas","Hace 3 años",""
"LT C","Local Guide · 44 reseñas · 85 fotos","Hace 3 años",""
"Gustavo Galarza Rodriguez","Local Guide · 51 reseñas · 57 fotos","Hace 3 años",""
"Carlos N.","Local Guide · 65 reseñas · 63 fotos","Hace 3 años",""
"shequer ben mansour","1 reseña","Hace 3 años",""
"Carlos Trejos","Local Guide · 767 reseñas · 2.717 fotos","Hace 3 años",""
"Isabel Patán","3 reseñas","Hace 4 años",""
"Antonio Durán","11 reseñas","Hace 4 años",""
"Gabriel Manquillo","Local Guide · 221 reseñas · 8.489 fotos","Hace 4 años",""
"Ariyuri Rodríguez","Local Guide · 162 reseñas · 3 fotos","Hace 4 años",""
"Borja Notario","Local Guide · 7 reseñas · 159 fotos","Hace 5 años",""
"Sebastian Rendon","3 reseñas","Hace 5 años",""
"JE EH","Local Guide · 123 reseñas · 1.401 fotos","Hace 6 años",""
"Rafael González","Local Guide · 8 reseñas · 16 fotos","Hace 6 años",""
"Martirio M","2 reseñas","Hace 7 años",""
"Dario N Parra Galaz","15 fotos","Hace 7 años",""
"Maria S","8 fotos","Hace 9 años","" 
