"d4r55","RfnDt","rsqaWe","wiI7pd"
"maite pimentel","2 reseñas · 1 foto","Hace 2 meses","Hermoso ubicado en un buen lugar todo limpio buenas personas excelente zona para vivir"
"Ma Ca","Local Guide · 1.249 reseñas · 21.869 fotos","Hace 6 años","La estación está bastante bien, es grande y suele estar limpia, la pega es que aún no llega cobertura a esta parte de la linea..."
"Julio Diarte","Local Guide · 825 reseñas · 3.509 fotos","Hace un año","Tiene fácil acceso para personas con movilidad reducida. Ciudad de los Ángeles es una zona muy buena para vivir 👍🏻…"
"fco javier","Local Guide · 162 reseñas · 1.226 fotos","Hace 2 años","Un paraiso recomiendo visitar y dar un Paseo. Y conocer sus gentes. Y negocios"
"Pablo BC","Local Guide · 65 reseñas · 219 fotos","Hace 6 años","Una de las últimas ampliaciones de la Línea 3 de metro que va hasta Villaverde. Estación muy amplia y con bastante afluencia de viajeros sobre todo en horas punta. El ascensor que tiene también es amplio y soporta bastante usuario"
"Carmen Britez","Local Guide · 51 reseñas · 18 fotos","Hace 5 meses","Tranquilo buenas tiendas,buena comida ideal para venir en familia"
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Ascensores. Andenes amplios. Cercana a la Comisaría Nacional de Policía del distrito Usera-Villaverde"
"Eduardo Fórneas","Local Guide · 79 reseñas · 6 fotos","Hace un año","Dos plantas con acceso por rampa mecánica, baño adaptado y el personal de seguridad muy amable."
"Magui mmc","Local Guide · 62 reseñas · 110 fotos","Hace 2 años","Horrible lo peor, un sin vivir cn los coches y fiestas de gritos en la calle. La gente muy quemada y lo unico bueno, q es un barrio racial. Es muy bonito sus intalaciones de edificación. La convivencia vecinal de Pena."
"garcia garcia","Local Guide · 35 reseñas","Hace 6 años","Es un barrio muy tranquilo comparado con otros del distrito, la gente muy amable y ahora las calles ya no son lo que era, está todo renovado!!. Tienes el centro de Madrid a 15-20 minutos, cerca del Madrid Rio, bien comunicado. Qué más se puede pedir ?"
"Maite Martinez Castrillo","11 reseñas","Hace un año","No me parece nada mal el metro, y sales arriba, a la calle y da gusto ver ese bulevar, muy bien"
"Esther Rodríguez Sánchez","Local Guide · 144 reseñas · 58 fotos","Hace 3 años","Estuvimos tomando algo y era la primera vez y sin duda un 10!! El trato de la chica fue super atento, los aperitivos generosos y las raciones grandes. Y tengo q resaltar que las croquetas son casi como las de mi abuela. Olé olé ole"
"Alberto Abreu","Local Guide · 52 reseñas · 67 fotos","Hace un año","Excelente, con ascensor, tres maquinas para recargar tarjetas de metro y muy amplia."
"Santiago Yela García","Local Guide · 280 reseñas · 82 fotos","Hace un año","Barrio de Villaverde entre la M-40 y la av. de Andalucía. Llevo viviendo aquí desde el 2002."
"Sara","Local Guide · 173 reseñas · 15 fotos","Hace 6 años","Ultimamente siempre que voy a coger el metro alguien se cuela sin pagar y mientras el de seguridad con el movil. Antes habia 4 maquinas para coger billetes, quitaron una formandose colas. Solo quedan dos de efectivo y una de tarjeta. Parada grande y limpia."
"Magdalena Pineda","Local Guide · 276 reseñas · 98 fotos","Hace 8 meses","Un centro comercial pequeño pero bonito"
"Gabriel Montero Montes","Local Guide · 403 reseñas · 582 fotos","Hace 8 años","La estación de metro de Ciudad de los Ángeles fue inagurada el 21 de abril de 2007. Presta servicio la Linea 3 (Amarilla). Se encuentra ubicada en la intersección de la Avenida de Andalucía con la Calle Generosidad. Da servicio a los barrios de Ciudad de Los Ángeles y El Espinillo. Es la parada más cercana a la Comisaría de la Policía Nacional y al centro comercial Los Ángeles."
"mercedes esteban","Local Guide · 146 reseñas · 50 fotos","Hace 7 años","Me encanta este barrio suele ser tranquilo. Hay todos los servicios. Es un buen barrio para vivir"
"Consuelo Gonzalez De Garay Moreno","44 reseñas · 9 fotos","Hace un año","Bien, he pasado frío pero al sol se estaba mejor"
"Mari Carmen Diaz","Local Guide · 334 reseñas · 106 fotos","Hace 3 años","Ha quedado desfasado, es un barrio poco cómodo para pasear por él"
"Marta del Castillo","Local Guide · 77 reseñas · 51 fotos","Hace un año","Fui de paso pero es como otra ciudad de la capital. Con grandes avenidas."
"Piedad Paniagua","Local Guide · 486 reseñas · 2.519 fotos","Hace 5 meses","Poco que decir del lugar."
"Carlos Palancar Clavo","Local Guide · 210 reseñas","Hace 8 meses","Buen centro comercial"
"Gustavo Diaz","Local Guide · 107 reseñas · 91 fotos","Hace 7 años","Barrio joven, moderno, con muchos equipamientos, con Metro, al lado de Madrid Río (sur). Qué más se puede pedir? 😀…"
"Ge","Local Guide · 261 reseñas · 108 fotos","Hace 5 años","Barrio sur de Madrid muy tranquilo y con conexiónes excelentes tanto por metro bus o cercanías"
"Mercedes. Suñiga","14 reseñas","Hace 7 años","Éste lugar es tranquilo ,  acogedor y bonito, sus medios de transporte público son excelentes, me gusta éste lugar."
"Leonardo Paz","Local Guide · 35 reseñas · 14 fotos","Hace 3 años","Hermoso lugar. Hay un mito con los barrios de Madrid."
"Jaime Peluca","Local Guide · 127 reseñas · 15 fotos","Hace 7 meses","Guay"
"Alvaro B","Local Guide · 213 reseñas · 57 fotos","Hace 7 años","Las escaleras mecánicas casi siempre funcionan, algo que se agradece en comparación con otras estaciones"
"David Romero","Local Guide · 152 reseñas · 70 fotos","Hace 11 meses","Amplia estación de metro con cómodos servicios."
"Alonso QL","Local Guide · 161 reseñas · 44 fotos","Hace 6 años","Aki vive la deni SPAM DEL WUENO @deniblackburn seguirla es la ptama de ña sity"
"Alexander Espada","4 reseñas · 6 fotos","Hace 6 años","Lugar muy tranquilo para vivir...."
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Ciudad de los Ángeles es una estación del servicio de metro de Madrid línea 3 en el barrio orcasur en Madrid España"
"Ramkrishna Pudasaini","Local Guide · 454 reseñas · 5.338 fotos","Hace 5 años","Moderno y nuevo...siempre esta limpio"
"Laxman Sharma","Local Guide · 167 reseñas · 24 fotos","Hace 2 años","Muy bien"
"Keyron el Empresario","39 reseñas","Hace 4 años","Genial 😃 mira mi foto…"
"Jesús Ayerra","Local Guide · 112 reseñas · 66 fotos","Hace 2 años","Es mi barrio!!"
"Maria Josefa Ramirez","Local Guide · 89 reseñas · 1.106 fotos","Hace 6 años","Muy bien  tiene muchos parqués"
"Juankar Vive","Local Guide · 46 reseñas · 13 fotos","Hace 7 años","barrio trankilo para vivir. viva la citi"
"Ignacio Torres Labrada","20 reseñas · 3 fotos","Hace 7 años","Porque aquí se encuentras todos los producto que buscamos"
"Lucía Ayuso","Local Guide · 23 reseñas · 39 fotos","Hace 5 años","Barrio tranquilo y acogedor"
"Moises Etcheverry","Local Guide · 57 reseñas · 161 fotos","Hace un año","Bonito"
"Ivo alvaro Boia cunha","Local Guide · 48 reseñas · 12 fotos","Hace 3 años","E una jona bonita"
"Fher","Local Guide · 98 reseñas · 175 fotos","Hace 7 años","Se encuentra en una de las mejores zonas de villaverde"
"Carlos Sánchez Álvarez","Local Guide · 89 reseñas · 24 fotos","Hace un año","Cumple"
"Alfonso gonzalez saldaña","Local Guide · 34 reseñas · 12 fotos","Hace 6 años","Parada de metro ciudad de los angeles en Avda de andalucia"
"alex navarro flores","Local Guide · 54 reseñas · 14 fotos","Hace un año","Buena"
"Freddy Amaya","Local Guide · 108 reseñas · 10 fotos","Hace un año","Es mi barrio"
"Elsa Romero","2 reseñas","Hace 4 años","Excelente"
"Iván Sánchez Cordones","9 reseñas · 5 fotos","Hace 6 años","Muy limpio"
"José Quirce","Local Guide · 905 reseñas · 730 fotos","Hace 7 años","El metro es Genial!"
"Belen Martinez Perez","8 reseñas","Hace 6 años","Es unbEa"
"Andrés Matador","Local Guide · 21 reseñas · 55 fotos","Hace 7 años","Estación cercana a la comisaria"
"Juan Moral Moreno","1 reseña","Hace 9 años","calle virgen de  los doñores"
"Inactiva Sin Uso","Local Guide · 63 reseñas · 14 fotos","Hace 8 años","Como todas"
"Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 7 años","Metro Ciudad de los Angeles"
"Rhine D.","Local Guide · 24 reseñas · 4 fotos","Hace 8 meses","No es que Los Ángeles en Estados Unidos no pueda permitírselo, ¡pero es más rentable en Madrid y Los Ángeles!"
"Jefferson Guajan","5 reseñas · 5 fotos","Hace 7 años",""
"Luis Arias","Local Guide · 57 reseñas · 24 fotos","Hace un mes",""
"Alejandra Duarte Marcano","1 reseña","Hace 2 meses",""
"Pilar Cabrera","Local Guide · 26 reseñas","Hace 2 meses",""
"Marta Herrerias","Local Guide · 101 reseñas · 8 fotos","Hace 9 meses",""
"Alberto Martín de Hijas Liste","Local Guide · 177 reseñas · 4.663 fotos","Hace 9 meses",""
"Hector Bermudez","Local Guide · 71 reseñas · 26 fotos","Hace 10 meses",""
"Einalith Salcedo Entralgo","Local Guide · 60 reseñas · 38 fotos","Hace 11 meses",""
"كرم العراقي","Local Guide · 30 reseñas · 69 fotos","Hace un año",""
"Javier Garcia","Local Guide · 44 reseñas · 116 fotos","Hace un año",""
"José Francisco Reina Barbero","Local Guide · 131 reseñas · 14 fotos","Hace un año",""
"Gines Molina","Local Guide · 125 reseñas · 32 fotos","Hace un año",""
"Ross M.A.","Local Guide · 210 reseñas · 171 fotos","Hace un año",""
"Angel Jimenez Serna","Local Guide · 14 reseñas · 1 foto","Hace un año",""
"Begoña Alonso","Local Guide · 9 reseñas · 90 fotos","Hace un año",""
"efrain brizuela","Local Guide · 57 reseñas · 130 fotos","Hace un año",""
"Orisbel Fuentes","Local Guide · 74 reseñas · 499 fotos","Hace un año",""
"Vanesa Lopez","Local Guide · 114 reseñas · 219 fotos","Hace un año",""
"Javier López","Local Guide · 178 reseñas · 151 fotos","Hace 2 años",""
"Santiago Siani","Local Guide · 13 reseñas","Hace 2 años",""
"Toñi Mendez","Local Guide · 21 reseñas · 8 fotos","Hace 2 años",""
"Rosa Maria Villa","Local Guide · 97 reseñas · 17 fotos","Hace 2 años",""
"el chico fatness","Local Guide · 59 reseñas · 10 fotos","Hace 2 años",""
"ALEX","Local Guide · 60 reseñas · 700 fotos","Hace 2 años",""
"jose antonio martin","Local Guide · 154 reseñas · 184 fotos","Hace 2 años",""
"DRchoklin","Local Guide · 17 reseñas · 1 foto","Hace 3 años",""
"Yefran Bg","Local Guide · 137 reseñas · 253 fotos","Hace 3 años",""
"José Luis L “Yogui”","Local Guide · 1 reseña","Hace 3 años",""
"Juan Antonio Cacereño Sanchez","Local Guide · 2 reseñas · 70 fotos","Hace 4 años",""
"Alejandro Fuentes","1 reseña","Hace 4 años",""
"M.Angeles Moreno","Local Guide · 96 reseñas · 27 fotos","Hace 4 años",""
"alvarocid1","Local Guide · 41 reseñas · 114 fotos","Hace 4 años",""
"Alina Grosu","4 reseñas","Hace 4 años",""
"Saira Yonely Bonilla Maldonado","1 reseña","Hace 4 años",""
"J. M. M.","Local Guide · 56 reseñas · 278 fotos","Hace 5 años",""
"Marcial MF","Local Guide · 55 reseñas · 51 fotos","Hace 5 años",""
"Alberto Masa","Local Guide · 62 reseñas · 122 fotos","Hace 6 años",""
"Adrian Ramos","","Hace 6 años",""
"Alejandro López Fernández","Local Guide · 15 reseñas · 6 fotos","Hace 6 años",""
"Carmen Fernandez","","Hace 6 años",""
"Moises Montaña","Local Guide · 149 reseñas · 10 fotos","Hace 6 años",""
"paco taxi","9 reseñas · 16 fotos","Hace 6 años",""
"juan andres garcia carrion","2 reseñas · 1 foto","Hace 6 años",""
"gabriel arturo perez gonzalez","Local Guide · 33 reseñas · 11 fotos","Hace 6 años",""
"Angeles hernandez romeo","Local Guide · 24 reseñas · 1 foto","Hace 6 años",""
"Yolanda Pans Facila","","Hace 6 años",""
