"d4r55","RfnDt","rsqaWe","wiI7pd"
"Zsa Zsa Katz","Local Guide · 100 reseñas · 639 fotos","Hace un mes","Magnifica sala! Pantalla gigante butacas abatibles ,preferente, premium, excelente todo!!! Madrid en agosto puede ser lo más!!"
"Yelrish 1","Local Guide · 237 reseñas · 1.641 fotos","Hace 7 años","Muy buena ubicación, pero muy poca frecuencia. En especial sábados, y domingos. Lo peor el domingo porque pasa cada media hora."
"W. David Rivero (Riverowd)","Local Guide · 256 reseñas · 600 fotos","Hace 7 años","Utilicé el metro ligero el domingo 30 de mayo de 2017 y no contaba con que puede tardar hasta 37 minutos entre cada tren"
"Alba Martinez Lopez","Local Guide · 5 reseñas · 2 fotos","Hace 5 meses","No tiene mucho espacio para esperar pero esta bien situada"
"José M Alberca Gallego","Local Guide · 244 reseñas · 1.327 fotos","Hace 7 años","Buenas salas.  Increíble la grandiosidad de la 25. Muy buen sonido.  En las instalaciones dispones de gran variedad de restaurantes"
"DevPGSV","Local Guide · 61 reseñas · 61 fotos","Hace 6 años","Estación al aire libre que da acceso a Kinepolis"
"David Martín","Local Guide · 84 reseñas","Hace 8 años","Parada de Metro Ligero. Muy útil si quieres ir en transporte público al cine Kinépolis en Pozuelo."
"John Drebin","Local Guide · 81 reseñas · 50 fotos","Hace 8 años","Obviando el precio del billete, resulta cómodo para ir al cine sin coche (por la tarde claro)"
"Manuel Mendoza diaz","Local Guide · 176 reseñas · 253 fotos","Hace 6 años","Parada de metro ligero enfrente de Kinepolis. Alrededor hay varios restaurantes de comida rápida."
"Santiago Ramirez Cruz","Local Guide · 432 reseñas · 9.998 fotos","Hace 8 años","Muy accesible y cómodo sobre todo para ir al cine Kinepolis desde el centro de Madrid."
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Ciudad de cine es una estación del servicio de metro ligero 3 en el cine Kinépolis en Madrid España"
"Ana Vg","Local Guide · 89 reseñas · 38 fotos","Hace 5 años","Una pasada. Entorno y cine...hacia una noche para  estar hasta la madrugada en las terrazas"
"José Juan Aliaga","Local Guide · 149 reseñas · 378 fotos","Hace 8 años","Estación de metro ligero en la Ciudad de la Imagen, junto a los cines Kinepolis."
"David Rosa Menéndez","Local Guide · 63 reseñas · 43 fotos","Hace 8 años","Estación muy fria, y con poca frecuencia"
"Juan Ramón Pardo Alcocer","Local Guide · 1.863 reseñas · 5.409 fotos","Hace 7 años","Los fines de semana pasan cada media hora los trenes......"
"Borja Domínguez Moreno","Local Guide · 122 reseñas · 163 fotos","Hace 6 años","Deberían poner más frecuencia por la noche, media hora es mucho tiempo"
"Saúl A. G. Suárez","12 reseñas","Hace 3 años","Bien situado."
"VICTORM. DELBLANCOGLZ","Local Guide · 285 reseñas · 182 fotos","Hace un año",""
"alberto gamoneda","Local Guide · 87 reseñas · 227 fotos","Hace 6 años",""
"Hector Puertas","Local Guide · 450 reseñas · 1.014 fotos","Hace 7 años",""
"Raul Pino","Local Guide · 7 reseñas","Hace 7 años",""
"Carlos Serrano Redondo","Local Guide · 297 reseñas · 4.653 fotos","Hace 7 años",""
"David Martín","Local Guide · 3 reseñas · 133 fotos","Hace 7 años",""
"Sidonio Yepez","Local Guide · 105 reseñas · 122 fotos","Hace 7 años",""
