"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocK50tGaCq3JJrq7FPX-ZS9-lZKUU5CGwxmWbYb9OX0Rmu2bHw=w45-h45-p-rp-mo-ba6-br100","Manuel Sarmiento Cruz","Local Guide · 565 reseñas · 833 fotos","Hace un mes","Bonita y práctica estación. Puedes entrar y salir y cambiarte de línea rápidamente sin necesidad de recorrer infinitos pasillos ni multitud de escaleras"
"https://lh3.googleusercontent.com/a-/ALV-UjV6337uyfsmirD6qhfZ4a7GVeeXfwGYKBL8Rq0wVRtPuc_K8gM=w45-h45-p-rp-mo-br100","Yoonwoo Hwang","4 reseñas","Hace 3 meses","Buenas tardes, hoy fui a hacer unos recados con una amiga y perdí mi bono transporte, al darme cuenta fui inmediatamente a hacerme una tarjeta de metro y autobús (para volver después a casa) sobre las 18:15 al no saber cómo iba a la máquina pregunté al supervisor del lugar y debido a la ineptitud del susodicho me he gastado diez euros por una tarjeta que solo sirve para el metro casi dejándome tirado en Madrid, lo he explicado y no se me ha dado ningún tipo de solución. Una vergüenza estudien sobre su trabajo o no trabajen."
"https://lh3.googleusercontent.com/a-/ALV-UjX1pZppHVNvJZ02T8zqtnQidNLzBvtu5cbErmYPvDdFTeDG1dI4=w45-h45-p-rp-mo-ba6-br100","Paloma Toscano","Local Guide · 522 reseñas · 1.343 fotos","Hace 2 años","Buena estación de metro, limpia y amplia, tiene kioskos de café y pasteles en el hall para poder comprar algo si te entra hambre de camino al trabajo o de vuelta a casa. Los andenes son amplios y el diseño de la estación es moderno y agradable."
"https://lh3.googleusercontent.com/a-/ALV-UjVJ6de5lEcQKAYmreSBFbw8YyB3cKeXwuSPzrJ1U39YseOv6vXoLg=w45-h45-p-rp-mo-ba4-br100","Rafa","Local Guide · 199 reseñas · 116 fotos","Hace 7 meses","De las mejores estaciones de metro de Madrid. Es amplia y está bien decorada. Además cuenta con ascensores y dos kioscos de comida y bebida al traspasar los tornos."
"https://lh3.googleusercontent.com/a-/ALV-UjXrC7laAxzELMQZ_rnDPnPlexGle4f3b_W7jUtRaOxD6r7P12Vs=w45-h45-p-rp-mo-br100","Ernesto","4 reseñas · 1 foto","Hace una semana","No me dieron el justificante de metro cuando el metro en total tuvo 15m de retrasos"
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w45-h45-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Local Guide · 3.643 reseñas · 8.897 fotos","Hace 2 meses","Estación moderna y sencilla, toda ella accesible para movilidad reducida"
"https://lh3.googleusercontent.com/a/ACg8ocL31lrlQCu8tM2M8DvkFtr0tIg9zT-IsnUSa4F4p7-KwIn5SA=w45-h45-p-rp-mo-br100","Daniela Huayta Ramírez","2 reseñas","Hace una semana","No hay ningún ayudante disponible del metro q me pueda ayudar, ¡esto es una vergüenza!!"
"https://lh3.googleusercontent.com/a-/ALV-UjXGNbCPnbaNYS3cYkMKiL4odhAG7ysA9wJxdTMlHhakztDYLFfPaw=w45-h45-p-rp-mo-ba6-br100","Toni Jardim","Local Guide · 443 reseñas · 4.441 fotos","Hace 6 años","Me gustó la estación en particular el avión aunque creo que requiere pintura, más limpieza e iluminación... Para resaltar..."
"https://lh3.googleusercontent.com/a-/ALV-UjW63thEvWF0-SVW-3wrY4-5VKkPbqOec0eOELFlt9B7vOhuOWA=w45-h45-p-rp-mo-ba5-br100","Antonio Muñoz Urdaneta","Local Guide · 115 reseñas · 706 fotos","Hace 5 años","Una buena estación sin mucha gente y buena zona"
"https://lh3.googleusercontent.com/a/ACg8ocLHsAKSFVyv3sl15dqWy_3LR7t7A_e2Xft8favS_KuYgMTNTw=w45-h45-p-rp-mo-br100","Alicia Tapia Del Rocio Rodríguez","10 reseñas","Hace 10 meses","Hoy mi experiencia en la cafetería a sido muy mala  el ncargado me atendido fatal y una de las empleadas no se merece estar  en atención al cliente será por que soy y migrante me trata fatal   yo bengo a esta cafeteria durante años y primera vez me encuentro con unos empleados  de una actitud una de las empleadas desde la barra dando me voces  lo ciento tener que ponerles esta reseñs"
