"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocItj4dTxbKF839FS4S-vJSiZgGlfd3nrcmtutIBo1nG0iGoWA=w45-h45-p-rp-mo-ba4-br100","María MMC (MLMC)","Local Guide · 61 reseñas · 180 fotos","Hace 7 meses","En cuanto al barrio, tranquilo y mucha vegetacion, cuenta con zona de aparcamiento junto a la estacion de metro, zona para minusvalidos. Parada de autobuses a distintas. Zonas Boadilla, Villaviciosa, las rosas, Majadahonda. Metro ligero L1 Y L2; y la linea 10 porsuouesto. En cuanto a la salidas de la estacion de metro cuenta con ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjX315hkpW6gEFs3Ka8EWS8Q4Er-R0TEXnDusV9jydbIEL8FRbiw=w45-h45-p-rp-mo-ba3-br100","Paula Pereira","Local Guide · 31 reseñas · 3 fotos","Hace 4 semanas","Es una estación de metro bastante buena, tiene un montón de conexiones, cuenta con Línea de 10 de metro, con la que ir a metro sur (actualmente la única conexión) o al centro, con las líneas de metro ligero ML-2 y ML-3 y con un montón de autobuses interurbanos en el exterior. Además, cuenta con un servicio de recogida de paquetes de Amazon (Amazon-locker), muy cómodo. Lo malo, con tantas conexiones siempre van llenos los metros, en horas puntas vas como sardina en lata y la mayoría de veces no ponen el aire acondicionado y en verano...Terrible con tanta gente."
"https://lh3.googleusercontent.com/a/ACg8ocLnglwEpxTI2pnTEjm9DqjEHPEIlgduiR-mmwjsiXE9EmlJ4Q=w45-h45-p-rp-mo-br100","Edward Vivas","3 reseñas","Hace 2 semanas","El metro ligero debería de salir más continuo los fines de semana 15 min esperando para que salga de colonia jardín qué perdida de tiempo. A parte de ser super lento"
"https://lh3.googleusercontent.com/a-/ALV-UjUOcMxehfd1DXTjRYeS_8GN9rRlhipS1rUhQxrJkVAzI9SJNuw_=w45-h45-p-rp-mo-ba4-br100","Downtech","Local Guide · 107 reseñas · 8 fotos","Hace 6 meses","Estacion de Metro (Linea 10) y Metro Ligero Oeste para ir a Boadilla, Aravaca y Pozuelo.. Es muy comoda y cuenta con ascensores para no subir escaleras... Su gran parking la permite utilizar como parking disuasorio y acceder al centro de la ciudad en transporte publico"
"https://lh3.googleusercontent.com/a-/ALV-UjUsJcdZv8SFMNj-5_AmJv2_63mi5c-gCGuuc53PPmdZ0VRVBr8ksg=w45-h45-p-rp-mo-ba3-br100","JULIAN DAVID GOMEZ MARTÍNEZ","Local Guide · 26 reseñas · 117 fotos","Hace 3 años","Esta amplia tiene conexión con todas las líneas de metro ligero y ascensores para personas con movilidad reducida, además tiene conexión con varios buses interurbanos."
"https://lh3.googleusercontent.com/a/ACg8ocLNAqsSm79CToUhiqBS5k-5J2JfL6YIWszXE1ce2Fb33iCYYg=w45-h45-p-rp-mo-ba3-br100","Ivan Vara","Local Guide · 48 reseñas · 3 fotos","Hace 4 semanas","Me confundí de metro ligero y los asistentes de lujo. Oscar Puente. Aprende"
"https://lh3.googleusercontent.com/a-/ALV-UjV2bOM7Rrt00b7TfcFhP0UuANRD90Zl9QQp2wpAFbvEkpm34Dkh=w45-h45-p-rp-mo-ba4-br100","Almudena Fernandez","Local Guide · 168 reseñas · 182 fotos","Hace 5 meses","Bueno la verdad es que la estación no está mal salvo que tuve que cambiar de sentido no me daba opción si no pasaba por la salida y volvía a pagar, como en el Monopoly"
"https://lh3.googleusercontent.com/a/ACg8ocI_yrrjfnB_AQ5-SiOAyLwHZdaz0J-xXL-avpZ9A4LGCSDqFw=w45-h45-p-rp-mo-ba4-br100","Oo Oo","Local Guide · 64 reseñas · 75 fotos","Hace 8 meses","El metro de colonia jardín conecta con con varias paradas de autobús. Hay mucho movimiento de personas, coches parando en el espacio destinado a los autobuses, de los que no para de bajarse gente. Lo bueno es que justo al lado hay un parque."
"https://lh3.googleusercontent.com/a-/ALV-UjVsTkqVfzUL_9AK4AHneP4JglVqeXJ79ebro0MmdqPmxqg4cgp3=w45-h45-p-rp-mo-ba4-br100","Hugo Perez","Local Guide · 151 reseñas · 169 fotos","Hace 4 años","Estacion de metro Linea 10 con enlace a metro ligero. Tiene dos salidas, una a la calle Sedano y otra a la Avenida de los Poblados. Tiene parking gratuito aunque entre semana se llena pronto. Acceso con ascensor para discapacitados."
"https://lh3.googleusercontent.com/a-/ALV-UjU6tDOFeM2Ia4bD1i95lRz0NGH-ANdn6MW48aDJ8LiI17CUoE-0=w45-h45-p-rp-mo-ba7-br100","K","Local Guide · 1.250 reseñas · 2.852 fotos","Hace un año","Estacion totalmente al aire libre sin infraestructuras. Tienes en el andén una máquina expendedora de billetes y al subir debes validar tu viaje en las máquinas que hay dentro de los vagones ya que si no lo haces al llegar a una estación que posea tornos ( solo en las cabeceras) no podrás salir. La asiduidad de los trenes pasan con bastante frecuencia y es un transporte rápido que va casi vacío."
