"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjU37r8OYIa9P9BhwNMAkyCgHiXOyEqJiWJbv-EV0nbvhvKbqalwvA=w45-h45-p-rp-mo-ba4-br100","Eladia","Local Guide · 64 reseñas · 85 fotos","Hace 4 años","Por su tranquilidad, cercanía a la Casa de Campo y a Madrid."
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w45-h45-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Colonia de los ángeles es una estación del servicio de metro ligero 2 en Moncloa Aravaca en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjW1ja5dT4UQ0VWZRccG1CVW54RZ1w3E-QFELW-qST4iTFWyJ0LUdg=w45-h45-p-rp-mo-ba4-br100","Kevin Monterola","Local Guide · 137 reseñas · 254 fotos","Hace un año","Lugar muy tranquilo para vivir"
"https://lh3.googleusercontent.com/a-/ALV-UjXfLE_aGt_k6i2X896CD_btZGKdtgO92pHkQSlJcD-wo1zD5lTy=w45-h45-p-rp-mo-ba4-br100","bustobahamond844","Local Guide · 110 reseñas · 58 fotos","Hace un año","Parada de metro de la línea ml2"
"https://lh3.googleusercontent.com/a-/ALV-UjWJSIQLkEVPg-XjmO4SR8XoIJYR5uOy7g2RYbgANKLo56j1CP35=w45-h45-p-rp-mo-ba7-br100","Aquin J","Local Guide · 535 reseñas · 8.374 fotos","Hace 6 años","Estación de Metro ligero 2"
"https://lh3.googleusercontent.com/a-/ALV-UjWypEpMrmF6fWMwvBtKMB4e1vq7xFspWx3vUvyui3R5T1kg-V25Hw=w45-h45-p-rp-mo-ba4-br100","Humberto Johan Salazar","Local Guide · 31 reseñas · 430 fotos","Hace 6 años","A gusto"
"https://lh3.googleusercontent.com/a-/ALV-UjXQx10y0bOXyX-GkarA9O1VWZYTGHcck3zX0sbgNpBNL0sHjW4=w45-h45-p-rp-mo-ba3-br100","ricardo carrion","Local Guide · 32 reseñas · 27 fotos","Hace 7 años","Rápido y limpio"
"https://lh3.googleusercontent.com/a-/ALV-UjXJe038LOXLTse_aS0LxLhjXF2e_V8phLDN1Axsj7nP-E9mabcqjQ=w45-h45-p-rp-mo-ba4-br100","Abrakali S.A.N.M","Local Guide · 23 reseñas · 181 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjWkq43j7ZBLEDcDn3Z3MAPm-ZQTsTRVPVh5c9xjyxGauACGmRU=w45-h45-p-rp-mo-br100","Carlos Hernandez Garcia","1 reseña","Hace 3 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWMGY5bX3TVeqj2Lu8xSRlGnRYjSEP4x6YkkQyYKkZpkUvvneiS=w45-h45-p-rp-mo-br100","carlos dominguez","8 reseñas","Hace 6 años",""
