"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.843 fotos","Hace 5 años","Pertenece a la línea 12 de metro. La estación suele estar limpia. Estacion amplia y moderna. Lo malo es que no tiene cobertura, como toda la linea 12, que carece de cobertura móvil en los tiempos que corren..."
"https://lh3.googleusercontent.com/a/ACg8ocJ2S2TRvjM_03Cy1k3Cu039N4QYHvLsNNMtnQBDAMTnijTQaw=w45-h45-p-rp-mo-br100","Yousra Boukayoua lazaar","27 reseñas","Hace 9 meses","El ascensor para subir desde el andén a la estación está averiado, no ha ningún empleado abajo para facilitar el acceso a las personas con movilidad reducida ni a los viajeros que viaje con un carrito de bebé . He tendido que subir as escaleras mecánicas con una bebé en brazos y el carro en la otra mano … Atención penosa de la empleada que había en la estación conservatorio el día 15/12/2023 en horario de tarde en las granjas horarias desde las 18:00 a 21h . La reclamación la pondré mañana en ventanilla de dicha estación ! Que pésima atención y profesionalidad"
"https://lh3.googleusercontent.com/a-/ALV-UjVHQxtPcAyqmCUWcN1-vf3riAljQwdNHv9GFK1tvlqH5VS7xOv2=w45-h45-p-rp-mo-ba5-br100","SALLY SITTON","Local Guide · 250 reseñas","Hace un año","Un barrio muy tranquilo y sólo chalets grandes, pequeños y adosados. Tienen un centro comercial muy grande y desangelado."
"https://lh3.googleusercontent.com/a-/ALV-UjVoRTSJ0K1tAksMrs_1nZn8lM9dO6gtIjge180X1YIAuGiMjGWPdQ=w45-h45-p-rp-mo-ba3-br100","Javier Llanos","Local Guide · 36 reseñas · 105 fotos","Hace un año","Sigo apyando este fin de informar a otros usuarios, en esta parada accedes a sector 3 de getafe donde encuentras centro comercial getafe secror 3 (suoermecados Dia , Mercadona, alcampp, El sabio , Mac Donald, Makys Etc)"
"https://lh3.googleusercontent.com/a-/ALV-UjXQVn9dmlTx_LfocK4tctKMjJSajXdaoWghLR_VR3SIITc93dti=w45-h45-p-rp-mo-ba5-br100","Vicente Olaria","Local Guide · 239 reseñas · 179 fotos","Hace 6 años","Bueno, no está tan lejos del centro comercial, está cerca del Inem y del centro de TICs de la Comunidad de Madrid. La señal de movil es suficiente. Debería ser más directo con la linea 10, para quien viene de Madrid siempre hay que hacer muchos transbordos."
"https://lh3.googleusercontent.com/a/ACg8ocJyRLkojjyk57rNUF0B6N42VlTnH57ziaWMSYcZzKcyuQlC=w45-h45-p-rp-mo-ba4-br100","Marcial Izaguirre González","Local Guide · 50 reseñas · 48 fotos","Hace 2 años","Compro una tarjeta de 10 viajes. Me ayuda una empleada de metro sur. Marco mi billete y cruzo el torniquete, ante mi un muro de cinco mujeres y un hombre empleados todos uniformados de metro y dos de seguridad. Su billete por favor? Le digo: yo alucino. Has visto que acabo de comprar el billete ahora mismo. Son las 9:00 de la mañana y hay aquí seis personas viviendo de la sopa Boba. Respuesta de la que controla mi billete: ¡envidia cochina! Le digo que no entiendo a qué le tengo que tener envidia si yo pago mis impuestos y vivo de mi trabajo. Dice uno hay que ver… seguro que no tiene ni trabajo. Yo alucino en colores."
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w45-h45-p-rp-mo-ba5-br100","Gabriel Montero Montes","Local Guide · 403 reseñas · 582 fotos","Hace 8 años","La estación de Metro Sur de Conservatorio fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Avenida Arcas del Agua con Senda de Mafalda en el municipio de Getafe. Muy próximo a esta estación se encuentra Conservatorio Profesional de Música de Getafe, del que ha recibido esta estación el nombre. También podemos encontrar cerca el Centro Comercial Getafe 3, Centro de Poesía José Hierro, Centro de Formación en Tecnologías de la Información y las Comunicaciones, Agencia Local de Empleo y Formación de Getafe y Juzgado de lo Penal Número 4."
"https://lh3.googleusercontent.com/a-/ALV-UjWYO-Jui9L5fTyi19-w9utDNe2-MHrwRLkwlmYMg8sMKe-TbixU=w45-h45-p-rp-mo-br100","Isabel Ruiz","68 reseñas","Hace 3 años","Como siempre, magnifico el metro de Madrid. Un 10 en transporte👍🏼.…"
"https://lh3.googleusercontent.com/a-/ALV-UjXnTyhk_-e5CO4NBVVALJRxEEqowZXu8LZW5hVrmAKC-jUx_gJhVw=w45-h45-p-rp-mo-ba4-br100","Angel Martinez","Local Guide · 153 reseñas · 46 fotos","Hace 3 años","Centro de emprendedores, centro de estudios de nuevas tecnologías, Conservatorio de música y poesía, chalecitos, varios bares... Es una zona agradable para estar y vivir"
"https://lh3.googleusercontent.com/a-/ALV-UjWdZ8WpDm-tiEjdqczViOpdZj07H5KkdnsepUICmERgeL1m1HAiFg=w45-h45-p-rp-mo-ba8-br100","Alberto Pastor","Local Guide · 1.514 reseñas · 7.263 fotos","Hace 7 años","Parece bien cuidada. Tiene ascensor y cerca del centro comercial"
"https://lh3.googleusercontent.com/a-/ALV-UjWr8_Euujeb8fgy2HfZUdZfr7POZEI4yhcHILTtxxKRQ-sDycwfvw=w45-h45-p-rp-mo-br100","Mirtha del pilar Laredo Roman","67 reseñas · 108 fotos","Hace 6 meses","Bien gracias"
"https://lh3.googleusercontent.com/a/ACg8ocJO5FjBlOAPKf5dtL-pYL5Lksxp1TVV1F_6y3OgA9-e0_c-mg=w45-h45-p-rp-mo-br100","Ángel Cotarelo","3 reseñas","Hace 4 años","Un poco abandonada en cuanto servicios y limpieza"
"https://lh3.googleusercontent.com/a-/ALV-UjXcTFnz8SbktCxxpxS4Wc269X_u-G68wDYd-O1Re5n5AYpJqYa8=w45-h45-p-rp-mo-br100","Dudarenko","11 reseñas · 4 fotos","Hace 2 años","Esta bn"
"https://lh3.googleusercontent.com/a/ACg8ocJB8y90KFv10gbXQxXxSTXWZnK3cy9VQ4huu2hrxsg0iTA1qA=w45-h45-p-rp-mo-ba5-br100","Carlos","Local Guide · 339 reseñas · 13 fotos","Hace 3 años","Bonita y amplia estación"
"https://lh3.googleusercontent.com/a-/ALV-UjXCjbW7iJPEUzaFfFgRtKCFiNhiWsruz8b-CJhgO8u_RHoB3ojpuw=w45-h45-p-rp-mo-ba2-br100","andres espino","Local Guide · 20 reseñas · 1 foto","Hace un año","Buenisimo"
"https://lh3.googleusercontent.com/a/ACg8ocLPg9TgP-ytxKWreMpSkNcFjY6U_q2bAnB7PxM8U3c10AiDZg=w45-h45-p-rp-mo-ba3-br100","Amina B","Local Guide · 40 reseñas · 1 foto","Hace 6 años","Sin cobertura pero bien"
"https://lh3.googleusercontent.com/a-/ALV-UjXzhbtqx_Wuv-POmEpaCSNp1qXzjmL57QHZpafmE2LDehbX0dha=w45-h45-p-rp-mo-ba6-br100","Jose Luis Muñoz Gómez","Local Guide · 702 reseñas · 413 fotos","Hace 11 meses","Genial"
"https://lh3.googleusercontent.com/a-/ALV-UjXw_Q_hqth02kAGHCa3ofp3tVyM80iKt6yssFZYLsrnAYluLnAv=w45-h45-p-rp-mo-ba5-br100","JUAN MANUEL ESCRIBANO SILVAN","Local Guide · 333 reseñas · 423 fotos","Hace 6 años","Perfecta para el centro comercial."
"https://lh3.googleusercontent.com/a/ACg8ocISczdBhmyiMl2UKP9ANDIUXpdvC9ylGf9c9UYR7SjIFY-7Vw=w45-h45-p-rp-mo-br100","mama Poveda","7 reseñas · 9 fotos","Hace 5 años","R. Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjX365C6S11vq1mdfp3rO9olG8dPuA9GLicNIBvqUCeWSj97kFozTQ=w45-h45-p-rp-mo-ba4-br100","Rafael Diaz Moreno","Local Guide · 177 reseñas · 27 fotos","Hace 6 años","Pequeña"
"https://lh3.googleusercontent.com/a-/ALV-UjXnNaWrSZbCKYWMcIFjwp725YE_vnXPZSehUu2Um3fmunvcmROY=w45-h45-p-rp-mo-br100","MARCOS Sanagustin","249 reseñas","Hace 7 años","GETAFEMADRID"
"https://lh3.googleusercontent.com/a/ACg8ocK75_cUSXT2om-vAZp9BA7ME1_zQ8A2r_gaEK38siWM0OFbLg=w45-h45-p-rp-mo-ba6-br100","Ana G.","Local Guide · 713 reseñas · 1.289 fotos","Hace 9 meses","De acuerdo"
"https://lh3.googleusercontent.com/a-/ALV-UjX07hemKu9gY_lcm6DJqQsGyrWvn7WQe4EhsKmzDTNzxFayIr37=w45-h45-p-rp-mo-ba5-br100","Carlos de la Cruz","Local Guide · 143 reseñas · 331 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjXjHLBhk6i7PNFiJ1Rm1RTkLksnXz4YAH1vaiIbQ_97Rqgv0gzG=w45-h45-p-rp-mo-ba5-br100","fernando pozo creixell","Local Guide · 311 reseñas · 385 fotos","Hace 2 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjWIakex7t3zQlYLTpswmII5Ow9vka1LCnRnBCd7N8-SBMPX7SaW=w45-h45-p-rp-mo-ba3-br100","Maxime","Local Guide · 16 reseñas · 39 fotos","Hace 3 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjUJcf_kuISESkgCJH4xsHsrBqqgyrSUZVTtHWSw5_c_dgH9_PQC=w45-h45-p-rp-mo-ba5-br100","Chakir Doukali","Local Guide · 9 reseñas · 45 fotos","Hace 10 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjWSjwP07yK2ho16FsXpsaP9JLkFBDC6yYZHEfvXd4g11Os3O8A=w45-h45-p-rp-mo-ba4-br100","conchi zuloaga","Local Guide · 21 reseñas · 26 fotos","Hace 10 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocJFMs7wMFRdjPej4pL5yfl7KEUCK66WIjkAJlMavP42JNunww=w45-h45-p-rp-mo-ba5-br100","Juan Dorda","Local Guide · 287 reseñas · 44 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a/ACg8ocIfMHhowtO-GoH4C3z569CbJVGRBm9_UO_8BRsIGnKcSvBGf4I=w45-h45-p-rp-mo-ba5-br100","Alejandro","Local Guide · 153 reseñas · 159 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0hiT7v2YunA-1xVZd-9XDyUjWUhpb7Vm-tI7jAan8frNA_SA=w45-h45-p-rp-mo-ba5-br100","Camilo Rafael Fabra González","Local Guide · 85 reseñas · 372 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjVoim1-nxHj1AjuL9F7qWABSTvEBDDe4-xrBj0AyRMlu3-2zKbh4A=w45-h45-p-rp-mo-br100","Z Q","1 reseña · 9 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjWZTIx2utLNL-JCqwEWlNZqb6cWopuFM-dTRQ4uRbjXP0R4w5c9=w45-h45-p-rp-mo-ba5-br100","Ramón Bolaños","Local Guide · 206 reseñas · 2 fotos","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0fHa4gsm7lgwaMkv9RkDa7Qh6BjlOQzDPb3B96X1jGWgVOp7L=w45-h45-p-rp-mo-ba4-br100","Javier Martínez Misol.","Local Guide · 41 reseñas · 8 fotos","Hace 2 años",""
"https://lh3.googleusercontent.com/a/ACg8ocKqWmdfS0aJfdjPTO61A8fjJAvRrc31wPBhzLueT_4pnZ-hJg=w45-h45-p-rp-mo-ba5-br100","Luis Candelas","Local Guide · 178 reseñas · 9 fotos","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUOIhLp6T7bTBpJVrVHzYIiWSPxh6D2SUWUQKLL2wunjVhEHhaj=w45-h45-p-rp-mo-ba2-br100","Ivan Sanz san roman","Local Guide · 9 reseñas · 23 fotos","Hace 3 años",""
"https://lh3.googleusercontent.com/a/ACg8ocIv0XDQiyDlD0VOJTbbB3kMVwB7yKtQD1VxqDriJ-0qZf4Diw=w45-h45-p-rp-mo-br100","Lorena Suárez Sánchez","","Hace 5 años",""
"https://lh3.googleusercontent.com/a/ACg8ocIXbJzKq0fB6wzLw8wJaS8O886_8cvNVyFaKK5iS_Kh6ml0sw=w45-h45-p-rp-mo-ba4-br100","Simona Stanescu","Local Guide · 35 reseñas · 168 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjX_qZ10xrgRFBez5JM6B55TqENzIvOe-LvRVDxlz7U5GiFyNEpsqA=w45-h45-p-rp-mo-br100","Raquel AlmMas","16 reseñas","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjV62KxlTTbXOQXs0Q2urXpv198efliHfV5ROlDLvaF-PYQl9KHGAw=w45-h45-p-rp-mo-ba4-br100","jesus fuenla","Local Guide · 95 reseñas · 383 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVSZrXCSsIkrC4ZJ18AaMOP5KYmNMFA9UYTdStT4nDbhAorHPFK=w45-h45-p-rp-mo-br100","Celia Serrano Martínez","2 reseñas · 1 foto","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJAbXC1MUKc24EWKGCET6SYdg_rvC-XveMUYTVj4EfUWT3LMQ=w45-h45-p-rp-mo-br100","Tetyana Yatskevych","2 reseñas · 3 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocLmBEDCBXrNt5w0R2jGvIsy7XAJVCdTqEpyqFCZF7SAZ5sCUwk=w45-h45-p-rp-mo-ba2-br100","Nuria Lamela","Local Guide · 7 reseñas · 1 foto","Hace 10 años",""
