"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXGNbCPnbaNYS3cYkMKiL4odhAG7ysA9wJxdTMlHhakztDYLFfPaw=w45-h45-p-rp-mo-ba6-br100","Toni Jardim","Local Guide · 443 reseñas · 4.441 fotos","Hace 6 años","Estación de metro y renfe cercanías, posee instalaciones preparadas para alto flujo o tráfico de pasajeros, se observa bien mantenido en forma general, limpio, quizás debería disponer de señales más amigables para visitantes, pues si no tienes un Google maps, no estás muy claro la dirección que debes tomar."
"https://lh3.googleusercontent.com/a/ACg8ocJPrUkLBQdjMBbQKt6a5lHA1dbLSNORNiTJNGV9sG5F5_LnoA=w45-h45-p-rp-mo-br100","Sara Dura","6 reseñas","Hace 5 meses","He vivido una situación denigrante 3 veces seguidas por una empleada llamada Cerasela, ya que a parte de no querer actualizarme el abono con mi libro de familia me ha insultado y tratado mal las tres veces. No vivo en Coslada pero es la estación que más cerca queda de mi casa en tren para poder actualizar mi abono. La primera vez que fui a hacerlo me dijo que trajera una fotocopia del libro de familia ya que enviándoselo online no podía hacérmelo. Volví una segunda vez con el libro de familia general y me dijo que no me lo iba a hacer con ese y que trajera uno individual, palabras textuales “vete al locutorio y lo fotocopias”, después de eso me empezó a decir que no me lo quería hacer porque no le apetecía y que es ella quien manda ahí y dependo de ella. No paraba de vacilarme y hacerse la chula. Fui una tercera vez con el libro de familia individual y me dijo que ese no era, ya le volví a explicar que no tenía nada más que poder sacar de la sede de la Comunidad de Madrid y que en los dos documentos que traje ponía mi nombre y el de mi familia y me dijo que me lo hacía por hacerme un favor y que debería darle las gracias, todo esto quejándose y hablándome mal hasta llegándome a insultar diciéndome que fui una maleducada pero como ella no lo es pues me lo va a hacer. Procedí a decirle que no voy a aguantar más estos tratos y que le quería poner la reclamación. Al principio no quería darme el libro de reclamaciones y me dijo que pusiera una reseña en Google. Al decirle que su derecho es darme el libro e intentar convencerla, terminó dándomelo. Le pregunté su nombre y se negó a dármelo diciendo que no es necesario para la reclamación (siéndolo porque hay dos chicas en la caseta) encontré su nombre en las múltiples reclamaciones que tiene puestas en internet."
"https://lh3.googleusercontent.com/a/ACg8ocKWWkAQG1ReTxd2mz2q2bL57ABj9hoAYW_1S3Oe_eoazs10_w=w45-h45-p-rp-mo-br100","valentyna samokhval","3 reseñas","Hace una semana","Han cerrado el metro y  autobús que presta el servicio tarde mucho al llegar,  unas pérdidas de tiempo tremenda"
"https://lh3.googleusercontent.com/a-/ALV-UjW0oEqjsDKXF5bOoFs-Ao7UR_ByiVPEXQxiDDoMJ9tG8RPQ-GWj1g=w45-h45-p-rp-mo-ba5-br100","Yelrish 1","Local Guide · 237 reseñas · 1.644 fotos","Hace 6 años","Esteticamente esta estación de renfe no me agrada mucho. Es grande eso sí, incluso también tienes allí una parada de metro."
"https://lh3.googleusercontent.com/a-/ALV-UjV5Z_yPeOX-mTCRsH2OuoJQheIQ71vZP-reQIn36-3O4TnDAt0=w45-h45-p-rp-mo-ba5-br100","José Sandín","Local Guide · 240 reseñas · 595 fotos","Hace 5 años","He llegado a la conclusión de que la engorrosa obra faraónica en que se encuentra inmersa, no terminará jamás... ¡jamás! 😰 Se trata de una estación de ferrocarril con un incipiente número de viajeros, el modo en que se alarga su (por otro lado, supongo que necesaria) brutal obra de ampliación, convierte el hecho de coger el tren, en una tarea engorrosa."
"https://lh3.googleusercontent.com/a/ACg8ocIHXJGmbXUfuZ8gMyyhCrTFchtOz1Qp-5xge-e0_qrdZ9BkXA=w45-h45-p-rp-mo-br100","Nadia Yordanova Pendasheva","4 reseñas","Hace 11 meses","Hoy he acudido a la oficina para sacar tarjetas de transporte. La señora que me atendió era Cerasela. Muy mal trato, comportamiento fatal, parecía que estaba enfadada porque tiene trabajo. Hay mucha gente que no tiene trabajo y que lo haría mucho mejor que ella. Si podéis acudid a otra oficina."
"https://lh3.googleusercontent.com/a-/ALV-UjXS6dG8mY2XLy53lOvIVL-cqIsjZaPfZ2UGxcXZggBWmrb19p3VZA=w45-h45-p-rp-mo-ba3-br100","Johana M Figueira V.","Local Guide · 27 reseñas · 4 fotos","Hace un año","Lamentable Servicio. La chica Lara B y su compañera Cerasela  atienden de una manera insólita . Entras a la oficina  con mi cita previa y ni te preguntan que trámites vas a realizar . Comienzan a tramitarte una tarjeta y ni saben que necesito sobre dicha tarjeta de transporte."
"https://lh3.googleusercontent.com/a-/ALV-UjUlY1Zp_2TSkwRZq5YWhn5jtBOfRkcGH1kgr_5ABh6okUhfBmNBqg=w45-h45-p-rp-mo-ba4-br100","DCM","Local Guide · 86 reseñas · 143 fotos","Hace un año","He bajado a recoger una tarjeta y no me la han dado,  entiendo que no la tuviesen,  por eso no pasa nada,  pero la señora que atendida era muy cortante y hasta un poco mal educada,  he bajado con mi hija, que se quería hacer la tarjeta y no sabía que teníamos que pedir cita,  como no había absolutamente nadie y me daba cita para dentro de dos semanas se me ha ocurrido preguntar si no se lo podía hacer, en vista que no había nadie... en que momento se me ha ocurrido!, en fin,  muy borde"
"https://lh3.googleusercontent.com/a/ACg8ocLy3A1KC24Bgyv-sc-Lm0DrsVf3z77JA0Wqv7Ev4e4Ons7hSQ=w45-h45-p-rp-mo-ba4-br100","Raquel Arias Gomez","Local Guide · 164 reseñas · 2 fotos","Hace un año","He ido hoy 25 de enero para hacerme la tarjeta de transporte después de llamar a metro de Madrid, no me dijeron que tenía que pedir cita, la chica que atendía en Coslada central una desagradable, no había nadie en ese momento y no quería atenderme  por no tener cita, después de un rato me la tramitó  con toda desgana"
"https://lh3.googleusercontent.com/a-/ALV-UjX7F7NvB9NvR6DHj0_-K0y9UW0Gl-sKpgmlKZAO8L_GVMU6-tg=w45-h45-p-rp-mo-br100","Cristina","3 reseñas","Hace 4 años","He ido con mis hijos esta tarde  para tramitar la tarjeta de transporte individual. El encargado se ha mostrado extraordinariamente amable, paciente y muy educado. No ha perdido su sonrisa (a pesar de mis prisas y mi falta de documentación) en todo momento. Tono de voz apaciguador. Tengo que dar mi más sincera felicitación por su profesionalidad y trato exquisito con el cliente. Incluso a mis hijos pequeños les ha llamado gratamente la atención.No recuerdo haber tenido tan buen trato en años."
