"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXmFbqTj5WTxeqOIKUgO-e4A7Nm_wfQdvZROkOdhZ-Ywl0xJ866=w45-h45-p-rp-mo-ba6-br100","Carlos Chevallier Marina","Local Guide · 204 reseñas · 1.572 fotos","Hace 5 meses","Entrando desde el margen izquierdo (ascendente kilométricamente) de la Autovía 5 (llamada de Extremadura) se accede de forma inminente a la línea 10 de Metro 🚇 y a la línea C-5 de RENFE CERCANÍAS. El Intercambiador goza de buena Señalética, espacios diáfanos, tanto en vestíbulos como en accesos y andenes. Además dispone de abundantes máquinas expendedoras de billetes de viaje así como cajeros bancarios. Estaciones, tanto de metro 🚇 como de tren 🛤 con dispositivos y adecuaciones para personas con discapacidad. ♿️"
"https://lh3.googleusercontent.com/a-/ALV-UjWWBSLmyZwA_E51BxX5A1oyfJTDaKoDE93Ek7-hf6CXETA4l4tb=w45-h45-p-rp-mo-ba6-br100","Maria Elena Neska","Local Guide · 249 reseñas · 806 fotos","Hace 3 meses","La estación de Cuatro Vientos cuenta con un túnel donde se recrea la historia de la aviación. Muy buena propuesta."
"https://lh3.googleusercontent.com/a/ACg8ocKOjpofvmGnIZB7qGKp3RwcUA4Jn5t5cpmaqxFQ4-Ukpx3VbQ=w45-h45-p-rp-mo-ba4-br100","agapito mesa","Local Guide · 13 reseñas · 61 fotos","Hace 2 meses","La estación está muy bien con cercanías, metro y en el exterior autobuses urbanos e interurbanos. Es un problema para los que vivimos allí, hay pocas plazas de estacionamiento y la mitad se ocupan por coches que aparezcan en el barrio para usar el transporte público. Lo bueno para unos empeora la situación de otros."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.843 fotos","Hace 2 años","La estación de metro es moderna, está bien comunicada, comunica con la línea 10 de metro, además de tener conexión con la C5 de cercanías Renfe. La frecuencia de paso de los trenes es buena. La estación suele estar limpia siempre. La estación de Renfe está al aire libre y tiene un pequeño vestíbulo para portegerse del frío / lluvia. Tiene parking gratuito. También hay buses interurbanos y de la EMT que te dejan en la entrada del metro. No suele estar muy transitada de gente en general, ni metro ni Renfe. Además están justo al lado de una de las bases militares."
"https://lh3.googleusercontent.com/a/ACg8ocKg19mdLFCZE69hB4Ad0mkSFyXanHOH5MEjZPo0_Icdi6j7SA=w45-h45-p-rp-mo-br100","Roberto Javier Ortiz Serrano","7 reseñas","Hace un mes","Una vergüenza la línea C5 siempre va mal ,con este calor sin comer porque hacemos jornada intensiva por el calor y esperando más de media hora de un tren a otro y  hace dos días averías en el tren ,tenían que pagarnos a nosotros por usar el transporte de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjU8-mRejm6qCL0fmiMZIPpVGWr5b86xRJh_DNLhXRaqJTkX2iIcww=w45-h45-p-rp-mo-ba6-br100","Daniel velarde ruiz","Local Guide · 262 reseñas · 1.195 fotos","Hace 2 años","Estación de metro de cuatro vientos, una de las mas importantes de la línea, y a decir verdad siempre con algún desperfecto o descuido de mantenimiento que siempre hace que estén las escaleras averiadas. Cuatro Vientos es una estación donde confluyen la línea 10 del Metro de Madrid y la línea C-5 de Cercanías Madrid, situada junto y bajo la A-5 en torno al kilómetro 9, en el madrileño distrito de Latina."
"https://lh3.googleusercontent.com/a-/ALV-UjWoUJdwoSiTFANMBOmOxD6ZCTJQAmhOdmB6twgyLKIzyIcV89BNPw=w45-h45-p-rp-mo-ba5-br100","Sergio García","Local Guide · 95 reseñas · 414 fotos","Hace 10 meses","Pagar un billete de cercanías, pasarlo por el torno y decir he comprado un billete a Las Retamas y recibir la contestación: ""No, no tiene ni idea, no ha comprado nada, ah perdona pasalo por arriba y que yo lo vea"". Y después de eso funcionar, lo siento pero no, sean las 7.30 de la mañana o cualquier hora no es contestación y menos cuando sí que había pagado el billete y a la segunda funcionó."
"https://lh3.googleusercontent.com/a-/ALV-UjUF1Uk8Ogpb30y38YtUiyNcveUiITLUB98hoa2MP_MzxCAbAw00xA=w45-h45-p-rp-mo-ba5-br100","Rianda Diel","Local Guide · 159 reseñas · 205 fotos","Hace 11 meses","Buena estación para aparcar el coche y poder coger metro para ir de ruta por Madrid. Fácil aparcamiento en la zona y el metro cerca, para personas que no puedan caminar mucho."
"https://lh3.googleusercontent.com/a/ACg8ocIvaL3LFRImHMZxQDhHjIyvPuQUrWIjD_5XzNQNL4UBoBhELA=w45-h45-p-rp-mo-ba5-br100","Luis Alonso","Local Guide · 78 reseñas · 68 fotos","Hace un año","Una estación bastante limpia. Perteneciente a la l10 de metro. Es una especie de intercambiador,con Renfe línea C5 Móstoles humanes, y con líneas interurbanos de la zona de Alcorcón y Móstoles entre otros destinos.tiene parada de EMT concretamente la l139. Tiene ascensor desde la calle tanto para metro como para Renfe. Como malo diría que algo común es la falta de seguridad, pero bueno es algo común a todas las líneas de metro y Renfe. Espero que le deis un like y me animéis a poner más reseñas y a responder cualquier duda que tengáis sobre mis reseñas."
"https://lh3.googleusercontent.com/a-/ALV-UjVTSZg1YHpgcPJTc0SliEu6_8LRy-oqn-qDcO-FWaT0ywRqyq--=w45-h45-p-rp-mo-ba5-br100","Francisco belinchón","Local Guide · 333 reseñas · 817 fotos","Hace una semana","Conexión de bus, camionetas, metro y Renfe ."
