"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjW2wsAl8qDnsW4qRK0mJmh1XuC2T6peFhUOa3QUfLUEp9INAOhhwA=w45-h45-p-rp-mo-ba7-br100","Alex Tamagnini","Local Guide · 235 reseñas · 7.566 fotos","Hace un año","Es un parque precioso, alejado del centro de Madrid, y aunque es pequeño, es muy agradable para recorrer. Me encantan sus árboles enormes, y el diseño en si del espacio. Merece la pena hacer una visita, no lleva mucho tiempo y la experiencia es interesante. Hay carteles informativos que ayudan a comprender mejor este lugar."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w45-h45-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO EL CAPRICHO SE ENCUENTRA EN EL BARRIO DE EL CAPRICHO, EN EL DISTRITO DE SAN BLAS-CANILLEJAS, AL NORTE DE MADRID. ES UNA PARADA DE LA LÍNEA 5 DEL METRO. ### DISEÑO Y ESTRUCTURA EL CAPRICHO TIENE UN DISEÑO MODERNO Y FUNCIONAL, CON VARIAS ENTRADAS Y SALIDAS BIEN SEÑALIZADAS. LA ESTACIÓN ESTÁ EQUIPADA CON ESCALERAS MECÁNICAS Y ASCENSORES, FACILITANDO EL ACCESO A PERSONAS CON MOVILIDAD REDUCIDA Y A OTROS USUARIOS. ### SERVICIOS Y COMODIDADES - **CONECTIVIDAD:** LA ESTACIÓN DE EL CAPRICHO OFRECE UNA BUENA CONEXIÓN A TRAVÉS DE LA LÍNEA 5, QUE PROPORCIONA ACCESO A DIFERENTES ÁREAS DE MADRID. TAMBIÉN ESTÁ BIEN CONECTADA CON OTRAS FORMAS DE TRANSPORTE PÚBLICO, COMO LAS PARADAS DE AUTOBUSES. - **ENTORNO:** LA ESTACIÓN ESTÁ UBICADA CERCA DEL PARQUE DE EL CAPRICHO, UN ESPACIO VERDE POPULAR EN LA ZONA. EL ÁREA ES RESIDENCIAL Y TRANQUILA, CON ACCESO A VARIOS SERVICIOS LOCALES. - **SEGURIDAD:** EL CAPRICHO ESTÁ BIEN VIGILADA CON CÁMARAS DE SEGURIDAD Y CUENTA CON PERSONAL DE SEGURIDAD, LO QUE OFRECE UN ENTORNO SEGURO PARA LOS VIAJEROS. ### EXPERIENCIA DE USUARIO LOS USUARIOS VALORAN LA ESTACIÓN DE EL CAPRICHO POR SU UBICACIÓN CÓMODA Y SU BUENA CONEXIÓN CON LA LÍNEA 5. LA LIMPIEZA Y EL MANTENIMIENTO SON ADECUADOS, Y LA SEÑALIZACIÓN ES CLARA Y EFICAZ. LAS MÁQUINAS EXPENDEDORAS DE BILLETES Y LOS PUNTOS DE INFORMACIÓN SON ACCESIBLES Y ÚTILES. ### OPINIÓN GENERAL EL CAPRICHO ES UNA ESTACIÓN PRÁCTICA EN LA RED DE METRO DE MADRID, DESTACADA POR SU UBICACIÓN CERCA DEL PARQUE DE EL CAPRICHO Y EN UNA ZONA RESIDENCIAL TRANQUILA. SU FUNCIONALIDAD Y ACCESIBILIDAD LA CONVIERTEN EN UNA PARADA CONVENIENTE Y AGRADABLE PARA LOS VIAJEROS. EN RESUMEN, LA ESTACIÓN DE METRO EL CAPRICHO ES UNA PARADA BIEN EQUIPADA QUE OFRECE UNA BUENA CONEXIÓN A DIFERENTES PARTES DE MADRID Y PROPORCIONA UNA EXPERIENCIA DE USUARIO POSITIVA GRACIAS A SU DISEÑO FUNCIONAL Y SU UBICACIÓN EN UNA ÁREA RESIDENCIAL TRANQUILA."
"https://lh3.googleusercontent.com/a/ACg8ocIyTd0rEePIdPc73fsCvGQDZ0imepXeNQb6sT1jt-W1VQBV6Q=w45-h45-p-rp-mo-ba3-br100","Pilar España","Local Guide · 64 reseñas","Hace 2 meses","Un parque precioso, bien cuidado, para pasear y disfrutar de los árboles en las distintas estaciones del año"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w45-h45-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Esta estación de la línea 5 cuenta con dos accesos/salidas, uno a cada lado de la calle de la Rioja. También cuenta con ascensores que primero nos dan acceso al vestíbulo y después a los andenes. El parque del Capricho está muy cerca."
"https://lh3.googleusercontent.com/a/ACg8ocIzI9zlKU8BXnUE0rtPIhqDfSiGwTvp8j4Kpel4P-nH8yBE8Q=w45-h45-p-rp-mo-ba4-br100","Sebastian Alexis","Local Guide · 95 reseñas · 30 fotos","Hace 2 semanas","Excelente parque para disfrutar en familia...😀😀😀…"
"https://lh3.googleusercontent.com/a-/ALV-UjVMCHeKjzwIEub43-toyR1u_OKl6svz4TrMg_o0qZXYWjIVRCCw=w45-h45-p-rp-mo-ba5-br100","Pedro Ramirez","Local Guide · 186 reseñas · 390 fotos","Hace 9 meses","Uno de los mejores barrios de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjU7EqmbJpTifj0XFQjdFkWFLScMxfv7tdtcLBM6MXYJ8XIlW-X2JQ=w45-h45-p-rp-mo-ba7-br100","Cris Sánchez De Paz","Local Guide · 2.139 reseñas · 2.033 fotos","Hace 6 meses","La estación esta genial, da casi directamente al parque con este mismo nombre que vale mucho la pena visitar y es gratuito"
"https://lh3.googleusercontent.com/a-/ALV-UjX41nGVImt0aU1onzm4ObO0CtTgXajIIxozCuwyeiCrAONHCes_KA=w45-h45-p-rp-mo-ba4-br100","Nina G","Local Guide · 61 reseñas · 180 fotos","Hace 7 meses","Estación de metro lindísima, dos salidas/entradas en la calle La Rioja con acceso a elevador.  A un paso del Spacio Deportivo El Capricho y del parque."
"https://lh3.googleusercontent.com/a-/ALV-UjU4ixmUcDOO7ouqlkOlA31j1QwmmVK026Jzo41N4JK8H_-YLdRx=w45-h45-p-rp-mo-ba5-br100","Wilmis Viloria A.","Local Guide · 367 reseñas · 324 fotos","Hace un año","A muchos turistas que vienen a Madrid y desconocen que existe este lugar es lindo, entrada gratis no es muy grande pero es el lugar ideal para ir con tus amigos y familia."
"https://lh3.googleusercontent.com/a/ACg8ocI2BGDbK9u6WZ_jEYUVucIr9GUV731s33BzES6M9daguraAmw=w45-h45-p-rp-mo-ba3-br100","Francisco Mesa Espejo","Local Guide · 16 reseñas · 110 fotos","Hace 5 años","Madrid es una ciudad que dispones de gran cantidad de parques y la verdad es que la gran mayoría muy bien cuidados. No he visto en Madrid otro parque tan bien cuidado, limpio y conservado, con tanto detalle y Capricho. Indispensable no perderse esta maravilla en un rincón de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjWcUQ6R21siCEUJD0ekh9pVU8GHl6YdD5-4K930Noq_bPUdZSos=w45-h45-p-rp-mo-ba4-br100","Aurora Herrera","Local Guide · 149 reseñas · 160 fotos","Hace un año","Es un parque precioso y muy bien cuidado, con diferentes esculturas repartidas por el parque, además de algunos edificios pintorescos. Tiene un pequeño lago y en general es un lugar muy agradable para pasear. Dentro del parque hay baños."
"https://lh3.googleusercontent.com/a-/ALV-UjWrh3WI7U4pYzO_1-ySYGJRgyQHKbUyFTW-_o1MhQMFADGO3hNY=w45-h45-p-rp-mo-ba5-br100","Jorge Aranboll","Local Guide · 317 reseñas · 622 fotos","Hace 2 años","Posiblemente el parque más bonito de Madrid y afortunadamente no suele estar muy concurrido lo que permite visitarlo con tranquilidad, disfrutando del ruido de los pájaros y de la frondosa vegetación. Es un placer poder pasear por el sin rumbo cuando ya lo conoces y si no es así, un par de horas es suficiente para a verlo a fondo, aunque siempre encontrarás cosas nuevas cuando vuelvas de nuevo."
"https://lh3.googleusercontent.com/a-/ALV-UjVJG7PChjiVxhEXQ19iG9KxXLewRcCOpJjOiDJtWOWAZIdyCrg=w45-h45-p-rp-mo-ba4-br100","José David Pingarrón García","Local Guide · 134 reseñas · 34 fotos","Hace 8 años","Uno de los tres parques históricos de Madrid junto con la ""Quinta del Berro"" y el ""Parque del Buen Retiro"" además de uno de los mejor conservados. El acceso se realiza a través de tornos y el aforo se encuentra limitado. No esta permitida la entrada de animales, ni de comida, de bicicletas o balones. Es un jardín dedicado al paseo, la reflexión o la lectura. Si es esa su intención, resulta muy recomendable."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w45-h45-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Local Guide · 3.643 reseñas · 8.897 fotos","Hace 2 meses","Parada pequeña y fácil con solo una línea de metro"
"https://lh3.googleusercontent.com/a-/ALV-UjWZTqNSuOLC7MVpyGuYApj_cyvnynb3YnNe6T_vUV107csw-eUI=w45-h45-p-rp-mo-ba4-br100","Jose David Gutierrez","Local Guide · 41 reseñas · 117 fotos","Hace 2 años","Excelente lugar, la estación de metro super limpia y con acceso para discapacitados.  Convenientemente ubicada cerca del hotel de aeropuerto que utilize. Alrededor de la estación solo escuelas, parques, canchas deportivas y zonas residenciales.  Esta ubicada a 30 minutos del centro de Madrid y generalmente consigues asiento en el tren. Puedes comprar tickets en las maquina dispensadora usando efectivo o tarjetas crédito/debito. ----- Pretty nice metro station with easy access for disable people and convenient located near (2-3 min walking) my airport hotel. Nearby there is only parks, sport courts, schools,  and residencial areas. It takes you 30 minutes to reach Madrid center from this point and usually you find a seat. You can buy your metro tickets here from the ticket machine using cash or credit card."
"https://lh3.googleusercontent.com/a/ACg8ocKzyv3jWWoWIUQWXcNDPCI6xEejYRcu1ZbSsRtXUjof1nj17g=w45-h45-p-rp-mo-ba5-br100","Ana Carmen P","Local Guide · 189 reseñas · 285 fotos","Hace 3 años","Es un parque enorme con hierba y parterres bien cuidados pero, en estos momentos, tiene muchas zonas en mantenimiento. Entiendo que la inversión en jardinería es a veces un poco infructuosa."
"https://lh3.googleusercontent.com/a-/ALV-UjXY8NNOTuIFE7CGIM30PrY7NELleoKYA1AInJG64N4kEo26AqGErw=w45-h45-p-rp-mo-ba4-br100","Daniel Vargas","Local Guide · 92 reseñas · 97 fotos","Hace 7 años","El Capricho es un parque que no debe perderse absolutamente ningún ciudadano de Madrid; bien cuidado, con fuentes, lagos, canales, casetas, palacetes... muy bien conservados todos los elementos y un trato del personal muy amable. Imprescindible."
"https://lh3.googleusercontent.com/a-/ALV-UjVuMEs3HvxW6lS3oCkbxgSUxlxUbNkBGKBszLIZIdiR92wqK6GYfw=w45-h45-p-rp-mo-ba5-br100","Isabel María Baraza Molina","Local Guide · 139 reseñas · 332 fotos","Hace 8 años","Lugar con encanto, yo fui en otoño y la verdad que me encanto por su caída de la hoja y setas de varias clases por lo enrrecia aún más. Es muy bonito para ir con niños ya que es educativo y puedes dejarlos que correr libremente. Es muy bonito  para hacerse fotos, ya que hay lagos, riachuelos, césped, muchos árboles.. también es muy típico que  se hagan el reportaje de novios en este lugar."
"https://lh3.googleusercontent.com/a-/ALV-UjWFVkq6Qk3M2Vi3XAF_vRY0TuIhOYG-CDXpZ-FcULw-_gugZJ5y=w45-h45-p-rp-mo-ba5-br100","Manuel Vicente Roman","Local Guide · 134 reseñas · 511 fotos","Hace 2 años","Es una estación de metro ubicada en Linea número 5, en los alrededores de Alameda de Osuna, es una estación grande, muy limpia y organizada, cuenta con entrada y salida para personas con discapacidad, el metro en está estación no suele estar concurrido."
"https://lh3.googleusercontent.com/a/ACg8ocLk1zK_j-FIIekmjTWYuFHQj-gK1J9cl7JB2PJgU6kd0QCk6A=w45-h45-p-rp-mo-ba5-br100","molino santi","Local Guide · 439 reseñas · 338 fotos","Hace 8 meses","Buenísimas instalaciones, bastantes nuevas, con un parque....zona privilegiada,al lado del aeropuerto"
"https://lh3.googleusercontent.com/a-/ALV-UjU898QlQwODtzZ0KFqt74gaP2OyBKiPF77-dMFP70vqzLOpkObT=w45-h45-p-rp-mo-br100","Cristina Galdon Bononat","13 reseñas · 1 foto","Hace 3 años","El parque más bonito del España, solo abre los fines de semana con aforo limitado, merece la pena conocerlo"
"https://lh3.googleusercontent.com/a-/ALV-UjVXOtCiz4xjH4DXYDIXDTZ2MtszwSwRy49KShs7lpmNbj7-NeI4Jw=w45-h45-p-rp-mo-ba3-br100","Florencia González Poretti","Local Guide · 13 reseñas","Hace 2 años","Es una buena estación de metro, tiene acceso en ascensor para gente discapacitada. Si pides ayuda con algo te ayudan sin ningún problema, son muy amables y proveen un buen servicio."
"https://lh3.googleusercontent.com/a-/ALV-UjWJ1Vpvg-4FWtun_0jhw8BGFh7LYRXPwa9YGKX8lRP-P5JiOFk=w45-h45-p-rp-mo-ba4-br100","Arturo Bird","Local Guide · 87 reseñas · 327 fotos","Hace 5 años","Estación de metro de una sola línea (5) cercana al parque de El Capricho, está dotada de ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjVkMdijH3sVlOElyM-8-bw3MfqzimEZzdG9Buz0ktKl_WCuwuqrhg=w45-h45-p-rp-mo-ba6-br100","Raúl Rubio","Local Guide · 649 reseñas · 884 fotos","Hace 6 años","Una delicia perderse en un paseo por este parque. Totalmente aconsejable para fotografiar y con mucha historia. 100% recomendable."
"https://lh3.googleusercontent.com/a-/ALV-UjX8moIKIj39CeK9ceNT740cfbkdkDD-_hE9dBWkZu2n9FeL6vV8=w45-h45-p-rp-mo-ba4-br100","Rafa Pajares","Local Guide · 134 reseñas · 315 fotos","Hace 2 años","Precioso sitio, poco conocido pero una joya. Enorme extensión de parque bien cuidado con miles de curiosidades. Precioso"
"https://lh3.googleusercontent.com/a-/ALV-UjWMdyO2pHXWyU0p3K2on2RZz13RoPOgttuu0i0N_nn8ywjiDLpo=w45-h45-p-rp-mo-ba5-br100","José Luis E S","Local Guide · 271 reseñas · 296 fotos","Hace 8 años","El parqe precioso la estación unamierda...una año en esta parada y aún el cartel.solo marca la llegada del trenn cuando está a 1minuto.Para que coño la pantalla entonces? Los.metros son lentos y tardan en venir minimo 6 minutos..da igual el.clima..da igual todo"
"https://lh3.googleusercontent.com/a-/ALV-UjU58oYuf5Z19oIKWgraAqGD-K718SBcn-am_UCj-36BXSCEajSygg=w45-h45-p-rp-mo-ba8-br100","Roberto Cabezas","Local Guide · 1.724 reseñas · 9.859 fotos","Hace 2 años","El metro de Madrid es bien antiguo, pero cuenta con lo indispensable para la comunicación y traslado dentro de la ciudad"
"https://lh3.googleusercontent.com/a-/ALV-UjX8bzZ9fckDpzNiuXEvunSr4k-5YU2bE9cPtv493kXING5gXsCeNQ=w45-h45-p-rp-mo-ba5-br100","K-LI Reyes F.","Local Guide · 348 reseñas · 63 fotos","Hace 2 años","Hermoso parque, mucha naturaleza e historia."
"https://lh3.googleusercontent.com/a-/ALV-UjWvsQdAnLo3w9tDe-Tvzz5cYk9iv4gAiqHe1KOPl1WgJD4Zs4tO=w45-h45-p-rp-mo-ba4-br100","Vanessa Arismendi","Local Guide · 55 reseñas · 62 fotos","Hace un año","Perfecto y maravilloso. Lleno de buenas vibras y mágico para recargar energías"
"https://lh3.googleusercontent.com/a-/ALV-UjUGXeHVOUTfL0PzL25ZfNh_8Fj4kquMCtZWs0TvxUAEjw7kBUjZkg=w45-h45-p-rp-mo-ba5-br100","Fran P","Local Guide · 127 reseñas · 326 fotos","Hace un año","Super limpio. Grande. Una experiencia inolvidable. Bien cuidado."
"https://lh3.googleusercontent.com/a/ACg8ocIHAxRAv9IaCzQkVgRnEYFEPEIu5mnlze6hzQDmLdtba7XsAA=w45-h45-p-rp-mo-br100","Adrian Sala","12 reseñas · 3 fotos","Hace un año","Nos dejaron encerrados en esta parada   hasta final de línea, esta experiencia en el metro ha sido malisima"
