"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w45-h45-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO EL CARMEN SE ENCUENTRA EN EL BARRIO DE LA LATINA, EN EL SUR DE MADRID. ES UNA PARADA DE LA LÍNEA 1 DEL METRO. ### DISEÑO Y ESTRUCTURA EL CARMEN TIENE UN DISEÑO FUNCIONAL Y ACCESIBLE, CON VARIAS ENTRADAS Y SALIDAS BIEN SEÑALIZADAS. LA ESTACIÓN ESTÁ EQUIPADA CON ESCALERAS MECÁNICAS Y ASCENSORES, FACILITANDO EL ACCESO A PERSONAS CON MOVILIDAD REDUCIDA Y A OTROS USUARIOS. ### SERVICIOS Y COMODIDADES - **CONECTIVIDAD:** LA ESTACIÓN DE EL CARMEN OFRECE UNA BUENA CONEXIÓN A TRAVÉS DE LA LÍNEA 1, QUE PROPORCIONA ACCESO A DIFERENTES ÁREAS DE MADRID. TAMBIÉN ESTÁ BIEN CONECTADA CON OTRAS FORMAS DE TRANSPORTE PÚBLICO, COMO LAS PARADAS DE AUTOBUSES. - **ENTORNO:** LA ESTACIÓN ESTÁ UBICADA EN UNA ZONA RESIDENCIAL Y COMERCIAL, CON ACCESO A VARIOS SERVICIOS LOCALES, COMO TIENDAS Y RESTAURANTES. ES UNA ÁREA RELATIVAMENTE TRANQUILA EN COMPARACIÓN CON OTRAS ZONAS MÁS VIBRANTES DE MADRID. - **SEGURIDAD:** EL CARMEN ESTÁ BIEN VIGILADA CON CÁMARAS DE SEGURIDAD Y PRESENCIA DE PERSONAL DE SEGURIDAD, LO QUE PROPORCIONA UN ENTORNO SEGURO PARA LOS VIAJEROS. ### EXPERIENCIA DE USUARIO LOS USUARIOS VALORAN LA ESTACIÓN DE EL CARMEN POR SU UBICACIÓN CÓMODA Y SU BUENA CONEXIÓN CON LA LÍNEA 1. LA LIMPIEZA Y EL MANTENIMIENTO SON ADECUADOS, Y LA SEÑALIZACIÓN ES CLARA Y EFICAZ. LAS MÁQUINAS EXPENDEDORAS DE BILLETES Y LOS PUNTOS DE INFORMACIÓN SON ACCESIBLES Y ÚTILES. ### OPINIÓN GENERAL EL CARMEN ES UNA ESTACIÓN EFICIENTE EN LA RED DE METRO DE MADRID, DESTACADA POR SU UBICACIÓN EN UNA ZONA RESIDENCIAL Y COMERCIAL. SU FUNCIONALIDAD Y ACCESIBILIDAD LA CONVIERTEN EN UNA PARADA CONVENIENTE Y PRÁCTICA PARA LOS VIAJEROS. EN RESUMEN, LA ESTACIÓN DE METRO EL CARMEN ES UNA PARADA BIEN EQUIPADA QUE OFRECE UNA BUENA CONEXIÓN A DIFERENTES PARTES DE MADRID Y PROPORCIONA UNA EXPERIENCIA DE USUARIO POSITIVA GRACIAS A SU DISEÑO FUNCIONAL Y SU UBICACIÓN EN UNA ÁREA RESIDENCIAL Y COMERCIAL TRANQUILA."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w45-h45-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","No dispone de ascensores. Tiene cuatro accesos/salidas situados a ambos lados de la Calle de Alcalá."
"https://lh3.googleusercontent.com/a/ACg8ocK2lFApOhC9IeUuXJJFvZXzY8J-ZcwPKIXGh2IiqXuBBl2rTQ=w45-h45-p-rp-mo-ba5-br100","Pilar Francos","Local Guide · 352 reseñas · 531 fotos","Hace un año","El metro del Carmen es uno de los que tiene más escaleras y no tiene ni ascensor ni escaleras mecánicas, salvo en un tramo pequeño. Las personas mayores y con dificultades, los padres con carrito, las personas que hacen la compra las pasan canutas si tienen que acceder a la estación de El Carmen una de las grandes olvidadas de la red de metro. Nefasta gestión de la Comunidad de Madrid en la accesibilidad."
"https://lh3.googleusercontent.com/a-/ALV-UjVnHUEW_ZlRphA030yvQ-masjgn8iG_oMvnAG9s1vU8j_8R1qe8vA=w45-h45-p-rp-mo-ba5-br100","Json Burn","Local Guide · 241 reseñas · 1 foto","Hace 2 semanas","Nuestro Jardín del Paraíso de toda la vida"
"https://lh3.googleusercontent.com/a/ACg8ocIl5s1q_OyJjyo7lQvJVTDzALoaH7nLRJVnakKWbhl_DJq3QQ=w45-h45-p-rp-mo-br100","Alina Mariela Mendoza Florentin","6 reseñas","Hace 6 meses","Pésimo, sobre todo el personal... Sin duda pides ayuda y no lo Dan..cero amabilidad"
"https://lh3.googleusercontent.com/a-/ALV-UjXxeYJUURWFdLcivoafiHGB1qB0ed6-jHyNGLcpiR4_R0ZA_UwM=w45-h45-p-rp-mo-ba5-br100","Borja Suaza","Local Guide · 155 reseñas · 412 fotos","Hace 2 años","Necesita mejorar, no tiene acceso minusválidos, la altura de las escaleras las hace ser incomodas (muy bajas), las puertas son muy duras. El acceso a López Casero tiene muchas escaleras y muy empinadas, la escalera mecánica no llega a todo el tramo."
"https://lh3.googleusercontent.com/a-/ALV-UjV9wx-s1RRMi8kcGtwK0wgzLQny9NxZ-mxxiYKftMTYtdJjrRSd=w45-h45-p-rp-mo-ba6-br100","Eduardo Herranz","Local Guide · 393 reseñas · 4.809 fotos","Hace 2 años","Tiene varias salidas, está bien indicado. Pero no tiene ascensor para las personas discapacitadas (de piernas) ni para los carros de bebés, está muy mal. De hecho la salida de Alcalde López Casero la bautizamos como la ""pirámide azteca"" por la de escaleras que hay que subir."
"https://lh3.googleusercontent.com/a-/ALV-UjUR_AbNQWBJXyrs2WFTaOTfWUCSXek7ytyzsVrHjUYIjUfDgkX1iA=w45-h45-p-rp-mo-ba4-br100","R A","Local Guide · 77 reseñas · 19 fotos","Hace 2 años","Como es posible que se deban esperar 7 min al siguiente tren??? En pleno martes 7 am de abril, no son vacaciones ni fin de semana! Deberían al menos ponerlo cada 3 a 4 min. Ah y encima sin ascensor ni acceso a minusvalidos"
"https://lh3.googleusercontent.com/a-/ALV-UjXg8W5_e52Ljc82DO7n5Hugd6Gm8SDy6CDQixYXrxzI39piDQg=w45-h45-p-rp-mo-ba3-br100","Ekieid Jdjs (Adrián García Leira)","Local Guide · 74 reseñas · 2 fotos","Hace 2 meses","Estación bastante buena"
"https://lh3.googleusercontent.com/a-/ALV-UjVBJs68xeoOZFz4JJ__bv1AfUSN1G9kg5gCxWAeK_ew2rCU3kO7lA=w45-h45-p-rp-mo-ba4-br100","Salva Doménech Miguel","Local Guide · 158 reseñas · 1 foto","Hace 6 años","Estación dentro del barrio de Ventas en Ciudad Lineal. Cuatro bocas a ambos lados de Alcalá y ningún ascensor. Línea 5 de metro y algunos buses alrededor. Quizá se agradecería un poco de limpieza en las máquinas de venta rápida o algo así, porque habitualmente están muy sucias. Una estación más de metro."
