"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXK1zibsQPfoqw-Cpn_puy4JTqdPJ0wEYSh-oAVhLYXQSef7znV_Q=w45-h45-p-rp-mo-ba4-br100","Vivian VF","Local Guide · 54 reseñas · 304 fotos","Hace 2 meses","Deberían ampliar la frecuencia de trenes, al menos en horas punta, ya que en ese horario pasa abarrotado, pero además, dada la frecuencia actual, muchas veces hay que salir con demasiada antelación a la hora que uno debe llegar al destino. Por lo demás, la estación está bien y estará mejor, debido a la ampliación de la Línea 3 de metro que llegará hasta aquí. Hay personal en la oficina, con lo cual se puede recibir información o realizar cualquier gestión relacionada con Renfe Cercanías. Repito, en mi opinión el punto débil es la frecuencia con la que pasan los trenes."
"https://lh3.googleusercontent.com/a-/ALV-UjWd9zstJTR3KN8L2M3vrabnzl6XAibjJHziLjSGpVhFjpUREaFk=w45-h45-p-rp-mo-ba3-br100","Fernando El pro 15","Local Guide · 40 reseñas · 36 fotos","Hace 2 meses","Muy buena estación para hacer fotos y vídeos del ámbito ferroviario."
"https://lh3.googleusercontent.com/a-/ALV-UjVmD2u3FiK1eBH393pM087aCpSAgPl2rqPM6iwbEReSImTFtu_f=w45-h45-p-rp-mo-ba6-br100","JYC A","Local Guide · 252 reseñas · 1.123 fotos","Hace 5 años","Estación del cercanías en la línea Madrid Aranjuez C3 que cuenta con conexión a Metro Sur El Casar. Tiene ascensor para discapacitados, ancianos, carritos de bebés, etc. La estación cuenta con mercadona cercano. La frecuencia de trenes es de cada 15-30minutos."
"https://lh3.googleusercontent.com/a-/ALV-UjWR8Uw9siBjLwf8iiNmW2jNtamdc5R7Eib4n_MdzkZGuvG0i9Miew=w45-h45-p-rp-mo-ba4-br100","D MB","Local Guide · 59 reseñas · 125 fotos","Hace 6 años","Teniendo las apps de Renfe puedes ver ver los horarios, el problema es que la frecuencia no es muy alta y sobre todo cuando vas desde otras paradas tipo Nuevos Ministerios. Al estar en un descampado el aire corre y el frio se nota. Los asientos podrían estar en una zona más protegida para que la gente mayor no tenga frío al sentsde"
"https://lh3.googleusercontent.com/a-/ALV-UjU-c7lhcz6quktfhWF9FC0Ihp2Bv4T_xHz0omi-Y1UYiIaM-OlU=w45-h45-p-rp-mo-ba3-br100","ALEXANDER RAFAEL MACHADO LOPEZ","Local Guide · 32 reseñas · 14 fotos","Hace 5 meses","Por está en reparación, es lógico que no preste los servicios en su totalidad, el sistema de Renfe y metro Madrid a título personal, es uno de los mejores que he conocido."
"https://lh3.googleusercontent.com/a/ACg8ocJKJ8qKRtCwemISAmwFa8MM_L1F3bGzXAh8NCpWtFzx5N9YZw=w45-h45-p-rp-mo-ba3-br100","Antonio Herrero","Local Guide · 38 reseñas","Hace un año","La estación es moderna pero parece un descampado. Me resulta extraño que siendo unión entre cercanías y metro Sur no haya un triste bar para esperar mientras llega un tren. La cadencia entre trenes es de vergüenza en esta línea."
"https://lh3.googleusercontent.com/a/ACg8ocKMelEFCmEUN5zjaGRkIWX01urXrL9pJzkKascoxgs798fWzY6Z=w45-h45-p-rp-mo-ba5-br100","Jesus Martin Sanchez","Local Guide · 182 reseñas · 1.138 fotos","Hace 7 años","Ahora que se ha abierto el acceso a Los Molinos, que se ha generado un paso adicional a través de la estación, y que se ha abierto el párking disuasorio por fin contamos con una estación moderna y que acerca al ciudadano a Madrid por tren y a la zona sur por metro. Cuando los señores politicos incrementen la capacidad y frecuencia de la línea C3 de cercanías entonces tendremos el servicio acorde a las necesidades de la población."
"https://lh3.googleusercontent.com/a-/ALV-UjWlpoxxG3rrfCTja_QKthzf3DU6ljNLNmItrk-c7vswj0bm_WTa=w45-h45-p-rp-mo-ba4-br100","Paz","Local Guide · 138 reseñas · 18 fotos","Hace 3 años","Estación metro y tren. No pasan con mucha frecuencia pero da gran servicio a esta zona. Esta muy limpia y espaciosa. ( escepto ascensores) No hay gel en época de pandemia estaría bien a l entrada y salida . Grandes carteles uso de mascarilla pero personal la lleva en la barbilla. Parking muy grande lado De los molinos . Valla  rota  lateral molimos desde hace meses por el cual accede bastante gente sin  pasar por taquilla . Un día se va a colar un crío y va a pasar una desgracia .  Había un cordón policial pero lo han roto obviamente ahora han puesto una cuerdecita grosor cordón zapatos asique....... 🤪🤪🤪 Por lateral de casar  también se cuelan  saltando 😅"
"https://lh3.googleusercontent.com/a-/ALV-UjWdZ8WpDm-tiEjdqczViOpdZj07H5KkdnsepUICmERgeL1m1HAiFg=w45-h45-p-rp-mo-ba8-br100","Alberto Pastor","Local Guide · 1.514 reseñas · 7.263 fotos","Hace 7 años","Estación de Metro con transbordo en la misma para Cercanías Renfe. Mejor la estación en la parte de metro que la de trenes."
"https://lh3.googleusercontent.com/a-/ALV-UjUU8By_Dpbj1-rirmVKvej0xqOaAnv54sza3zEpnPE8RhgRUIH6sQ=w45-h45-p-rp-mo-ba6-br100","Gabriel Franco","Local Guide · 528 reseñas · 484 fotos","Hace 11 meses","Bonito lugar practicamente nuevo en Madrid"
