"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUcKi-RfaQkzSDxEc4AbgnMPLjf0yWmeI1kaSvNpAK6NtIqFPWP=w45-h45-p-rp-mo-ba5-br100","NAS","Local Guide · 474 reseñas · 423 fotos","Hace un mes","En verano la ventilación es nula. Tampoco tiene ascensor para personas con movilidad reducida."
"https://lh3.googleusercontent.com/a/ACg8ocJY8NF_yYJsZDUjIrVGGyYxeYEsFyqSf0AA-fIS_1veFS3IcBLT=w45-h45-p-rp-mo-ba6-br100","pepe lopez","Local Guide · 336 reseñas · 638 fotos","Hace 3 meses","No tiene ascensor ni salida para silla de ruedas es la línea 1 es un poco antigua y descuidada ."
"https://lh3.googleusercontent.com/a-/ALV-UjW5Dzn5WzWZGttkeX9uyr7pIFNkTJHiCqIMLYAn2m7im-XuDuH7=w45-h45-p-rp-mo-ba3-br100","Rocio Granda","Local Guide · 57 reseñas · 2 fotos","Hace 3 meses","Esta estación tampoco está adaptada para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w45-h45-p-rp-mo-ba6-br100","Julio Diarte","Local Guide · 825 reseñas · 3.509 fotos","Hace 3 años","📌 Tiene varias salidas en la Calle Bravo Murillo en los pares e impares, le falta ascensor para personas con movilidad reducida.…"
"https://lh3.googleusercontent.com/a-/ALV-UjUVgzWlkR8Ru9-QdyGuDkKWI3eLPbr28m0gR7WTjd9f0_Heyj0=w45-h45-p-rp-mo-ba5-br100","Andres Blanco","Local Guide · 241 reseñas · 114 fotos","Hace un mes","Una estación normal, en la que se cuela mucha gente"
"https://lh3.googleusercontent.com/a/ACg8ocJjq8YlkgyiA972bULofGAGVBRaueKNfaUooH9qpX0ZKAOYUQ=w45-h45-p-rp-mo-ba4-br100","Gabriel Riveros","Local Guide · 155 reseñas · 78 fotos","Hace un año","Lugar incómodo y desordenado..se nota la diferencia negativa frente a Alcalá con sector el Carmen o Quintana!!"
"https://lh3.googleusercontent.com/a-/ALV-UjWfB6ZjjbwCsK4GzqJ732LTToUkRaxSvOmSYKsbpftuJASBQAB-=w45-h45-p-rp-mo-ba5-br100","Moises Ardila","Local Guide · 184 reseñas · 606 fotos","Hace 2 años","Igual que casi todad las estaciones"
"https://lh3.googleusercontent.com/a/ACg8ocJpN6Gv0q_fN_KNLvG8tCjLb--BTilyjb7JjM9PnCrq-H91yg=w45-h45-p-rp-mo-ba5-br100","Mari Cruz Jiménez Mellado","Local Guide · 262 reseñas · 7 fotos","Hace 3 años","Pero tienes autobuses variados y con la pandemia ya no hay cortes por carreras de bicis ni fiestas de ningún tipo, por mi mejor porque, antes me veía de cuatro caminos al metro otra vez y a buscar como llegar a tetuan y si vas cansada y un domingo y se te ocurre ir a coger autobús, uff, te acuerdas de todos, perooo!! Ahora no Ya abrieron y la zona de bravo Murillo y colindantes no está por ahora en cuarentena a veces el ascensor de cuatro caminos lo tienen cerrado por obras y esto es mucho tiempo y veces por lo que tienes que caminar innumerables escaleras en los demás accesos"
"https://lh3.googleusercontent.com/a-/ALV-UjWxyAwMgmS1i_io2MmWx7u73laGKqQNOXDz6YfP6MIKzAnOXGYr=w45-h45-p-rp-mo-ba5-br100","D. Gómez","Local Guide · 118 reseñas · 118 fotos","Hace 4 años","Voy camino del trabajo en el hospital de La Paz y me la he encontrado cerrada sin previo aviso, después de una carrera hasta la estación de Tetuan no me acepta la tarjeta del Metro he tenido que sacar otra a prisas teniendo un bono mensual en la personal... Y nadie de seguridad ni trabajando para ayudar...Total facilidades para el personal sanitario en la situación que tenemos actualmente 0."
"https://lh3.googleusercontent.com/a-/ALV-UjUH5XEla4c9zf84IKMBSvK_jyg0FX2n2_EEICmjrprYDQbkNid6xA=w45-h45-p-rp-mo-br100","Mariano Marasco","888 reseñas","Hace 2 años","Un estación de metro ( 🚊🚊) cómoda que se puede hacer varias combinaciones de otra línea del metro. A su vez sale varias calles principales del barrio de Tentuan 🚏🚏🚇🚇🚇🚇🏢🏢.…"
