"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocKh3tR2ityy-7kOsH5iBJ06cAIwixrk9MUjTXR-Pi0ABPVEwA=w45-h45-p-rp-mo-ba6-br100","Manuel Tomás Rozalén Carmona","Local Guide · 494 reseñas · 788 fotos","Hace 2 semanas","Estación de metro de la linea 9. Amplios pasillos. Bien en general"
"https://lh3.googleusercontent.com/a-/ALV-UjUsqqDU-XSnPOnooFwzZoOZ1qq1o9ES3ZgtM6Iz9_mm33-WMinhIQ=w45-h45-p-rp-mo-br100","Lojanita Lojanita","30 reseñas · 1 foto","Hace 9 meses","Es un lindo lugar, tiene varias líneas de autobús, metro, centro comercial y mucho más  ,tiene un lugar recreativo para niños ,tienes dónde tomar café, comer, o disfrutar de algún postre a elección en cada momento que te encuentres en el lugar recomiendo siempre"
"https://lh3.googleusercontent.com/a/ACg8ocKMhfux4HgvneAfSijc1pIfzPw9sTn7hQ4XrHfQd4Koiojocw=w45-h45-p-rp-mo-ba6-br100","J. Noir","Local Guide · 91 reseñas · 78 fotos","Hace 7 años","Acceso de metro junto al Alcampo de Moratalaz, buena ubicación para acercarse a hacer la compra (aunque también hay autobuses que conectan el barrio). Estación sin cobertura móvil. Ésta estación no tiene ascensor ni está habilitada para personas con movilidad reducida."
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w45-h45-p-rp-mo-ba8-br100","Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 6 años","Línea 9 de metro, tiene tres salidas/entradas, una justo al lado del centro comercial Alcampo, otra enfrente de esta al otro lado de Camino de Viñateros y la tercera en la calle Sirio al otro lado de la M-30. No es una estación accesible."
"https://lh3.googleusercontent.com/a-/ALV-UjU9QN-OWbOjqOp32L8zzahs4S8dWx1qR92XhFlblHr6bhYei_fkWw=w45-h45-p-rp-mo-br100","Jose Enrique Marin Fernandez","181 reseñas · 9 fotos","Hace 8 años","Estrella es una estación de la línea 9 del Metro de Madrid situada bajo la M-30, perpendicular a la misma, siguiendo el eje del Camino de Vinateros y la calle Estrella Polar."
"https://lh3.googleusercontent.com/a-/ALV-UjWcHgpYnHSfs-PF1L5ZNZ8JjPdp97LHgq3wyRIaeXGcVJj7vWq9=w45-h45-p-rp-mo-ba5-br100","Alberto González","Local Guide · 265 reseñas · 29 fotos","Hace 8 años","Estación de metro de la linea nueva. Solo hay personal en la salida del Alcampo. La salida del barrio de la Estrella tiene horario restringido. Ninguna de las salidas cuenta con ascensor para minusvalidos."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.869 fotos","Hace 6 años","Es una estación antigua, pertenece a la linea 9 de metro. Tiene 2 accesos, uno justo al lado del Alcampo y el Mercadona."
"https://lh3.googleusercontent.com/a-/ALV-UjXrr9MKwrkyVRA4qmKfScB1-IxBRn8prX0lgUZ7UvTRonjYeEtj=w45-h45-p-rp-mo-ba3-br100","BRAWL STARS KING","Local Guide · 39 reseñas","Hace 4 años","Debería tener más seguridad ya que los chavales andan sin mascarillas,al igual que los seguridad deberían hacer ronda por las instalaciones"
"https://lh3.googleusercontent.com/a-/ALV-UjXkElzfd1fqqf55cVRB4iJ89eq5iq4DPWGSau6x-xAxkAzcSfUCvA=w45-h45-p-rp-mo-ba4-br100","JM","Local Guide · 182 reseñas · 195 fotos","Hace 8 años","En la zona del barrio de Moratalaz más cercana al centro dispone de una salida a un Alcampo y un Mercadona."
"https://lh3.googleusercontent.com/a-/ALV-UjWVuZRU0BEURDbXayZGqUoaGYwp-sNn_U35tZ26FzAT7kJ64Ium=w45-h45-p-rp-mo-ba3-br100","Robert Rodriguez","Local Guide · 45 reseñas · 43 fotos","Hace 4 meses","Excelente"
"https://lh3.googleusercontent.com/a-/ALV-UjUO0fTJHCX6BC4JlHWV6kn68b7XMgz5RH1ng3jxvmkenLvozYvq=w45-h45-p-rp-mo-ba5-br100","Irene López","Local Guide · 172 reseñas · 132 fotos","Hace 8 años","Aviso que se tenga cuidado con el parque que hay cerca. Hay bastante gente indeseable de noche."
"https://lh3.googleusercontent.com/a-/ALV-UjWCyuXwA0Ko76LV-GF64K9A5MaM8fQ7Y_QHWP4bIWJ7Fz_GjV4B=w45-h45-p-rp-mo-ba3-br100","Adan Esquivel","Local Guide · 79 reseñas · 36 fotos","Hace 2 años","Escaleras infernales para gente con carro de bebe y silla de ruedas."
"https://lh3.googleusercontent.com/a/ACg8ocKCxR2oWSA2FLmSeXhMJbfmo1JwMPC570qVsNQLuAjxvCpHQA=w45-h45-p-rp-mo-ba2-br100","ariel mosquea","Local Guide · 16 reseñas · 2 fotos","Hace 7 años","Tienen mesa libre y esperan a reserva a las 2 de la mañana se le fue el ambiente"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w45-h45-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Estrella es una estación del servicio de metro de Madrid línea 9 al lado de la autopista de la circulación en Madrid España"
"https://lh3.googleusercontent.com/a/ACg8ocI8Wy1SCKdWEaUdViINCp7nVH52MzEIHFMxTIwBf_bn-W1DLQ=w45-h45-p-rp-mo-ba5-br100","Jose Antonio Cortinas Cano","Local Guide · 180 reseñas · 201 fotos","Hace 3 años","Gran centro comercial en el que hay de todo"
"https://lh3.googleusercontent.com/a/ACg8ocKCshe9hCdfGR7VvpOh0W1gEmVQ8IFVlTbGcD6gU7Wswca2Aw=w45-h45-p-rp-mo-br100","Emi Garcia","4 reseñas","Hace 3 años","La zona el aparcamiento es gratuito?"
