"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjX8hrTi7s4sXp4bs1A4K0BhJQFRiM3TfDmqvwOuojNPnXZiK8LL=w45-h45-p-rp-mo-br100","Jesika Olrtg","13 reseñas","Hace 2 meses","Me pueden informar por aquí sobre objetos perdidos ? O hay que ir hasta allá ?"
"https://lh3.googleusercontent.com/a-/ALV-UjXMiY2iu7_UXZzHzsxmmLEJg0Y6lqes_YsmgSLCFT-i2gppxeU=w45-h45-p-rp-mo-ba5-br100","José Manuel Pertierra (Red_One)","Local Guide · 343 reseñas · 857 fotos","Hace 5 años","Estación de metro linea 5, desde Casa de Campo a Alameda de Osuna. Muy céntrica."
"https://lh3.googleusercontent.com/a-/ALV-UjW3jX9zWkkQwYG3AwM0UgpglZNA0P_6Tjqm88Ol-PBpBAkTHtVV=w45-h45-p-rp-mo-ba5-br100","George I. King","Local Guide · 343 reseñas · 502 fotos","Hace 3 años","Servicio fatal y la atención en la misma estacion zero. Hoy a las 14.45h me han denegado la entrada porque llevaba  mi perro, es pequeño) que sufrió unas operacion dura y por desgracia me fallo el coche. No me quedaba otra que utilizar el transporte publico. Sabia que hay horarios especiales pero segun lo que me recordaba en ciertos casos si que se permite viajar con mascotas. Ignorando la normativa y la situación la empleada dwl metro, mujer alrededor de 50 con pelo corto me prohibió entrar."
"https://lh3.googleusercontent.com/a-/ALV-UjWcm6fN0wTqQRsefNASvQSf46JGNNqTrORZAelRpEDLe5nD-tyPZQ=w45-h45-p-rp-mo-ba4-br100","Sergio Rico","Local Guide · 197 reseñas · 145 fotos","Hace 7 años","Los aledaños deparan un solar que fue despejado para una obra que no llegó a realizarse. Por lo demás, una estación de las modernas, bien equipada y espaciosa."
"https://lh3.googleusercontent.com/a-/ALV-UjVyvM5MdDGrJOoKiicSDSK3o-h2_p-sbUEmy2dS8dI9YGpx42SV=w45-h45-p-rp-mo-ba5-br100","Jesus Gutierrez","Local Guide · 86 reseñas · 139 fotos","Hace 6 años","En mi opinión una estación innecesaria un derroche aseptico con pinta de quirofano amarillo. A 5 minutos andando de Aluche y con autobuses de la emt que puedes coger en Aluche más vacíos. Por más que lo pienso no se para que la hicieron, algunas comisiones se cobrarían por hacerla"
"https://lh3.googleusercontent.com/a/ACg8ocJ6nOwxzcFN8O69TsszFBqFt2VHT5sa9o69XQcwGGku9lD3XQ=w45-h45-p-rp-mo-br100","Anisia Coelho","2 reseñas","Hace 3 años","El día 20 /09/2020 fui a la urgencia  con mi madre a las 15.30 al llegar allí  una auxiliar  le llevó directamente  a dentro para ser atendida  que se había hecho daño en la pierna y yo fui a dejar sus datos cuando entré con ella la señora que atiende en tiraje le dijo a mi madre que aquí en España  se atiende rápido  porque se era su país le había dejado morir porque en su país pasamos hambre y que nos deja morir en la calle ... solo porque la auxiliar  la llevó a donde esta ella encima le trata a su compañera  súper mal le dijo que ella no es nadie para llevar a nadie sin su permiso  ...  y no paró su agresión  verbal allí le pergunté porque hablaba  así y me dijo  esperó  que estén cotizando  como  que me pagará mis facturas  le digo mi madre lleva 35 años trabajando y pagamos los impuestos  igual que todos . Bueno esperó que el director  de ese hospital  ponga  a trabajar  personas que este capacitados para hacer su trabajo  y no para discriminar  la gente porque  ella no es nadie para hablar así a nadie  ... y le digo desde ya señora este asunto ya  estás en las manos de una buena abogada  para que puede tomar cartas en asunto  y vamos hacer de todo para para que pagues lo que has hecho ... porque no tienes respeto a la vida ni al ser humano"
"https://lh3.googleusercontent.com/a-/ALV-UjVXFu-ZmIFhew9Z0UWxTxvYdNFK64_Ldaynkk0HkjSL1ca__60=w45-h45-p-rp-mo-br100","eloisa jimenez","8 reseñas · 4 fotos","Hace 6 años","Limpia. Accesibilidad universal. Muy bien si vas lejos pero no merece la pena si se va a Aluche o Carabanchel, más compensa ir andando o coger el 17. Mejor andando"
"https://lh3.googleusercontent.com/a-/ALV-UjXsLT3q9RBTGSriBEVb7ztJ1puJdWNqJlpu1rpWojOIxqMWlbP8=w45-h45-p-rp-mo-ba5-br100","Jose Pascua","Local Guide · 246 reseñas · 19 fotos","Hace 4 años","Es una estación moderna, limpia y adaptada para minusválidos. Como a todas, le falta un baño publico"
"https://lh3.googleusercontent.com/a-/ALV-UjXN5v8d3k07O7ebY6Q91MLXTlplTmkulxGLVWgTLHXHkhMiDlNU=w45-h45-p-rp-mo-ba3-br100","Sandra Arranz Paraiso","Local Guide · 65 reseñas · 18 fotos","Hace 3 años","Está bastante bien la estación, además controlaban los aforos"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w45-h45-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Vestíbulo amplio y ascensores a los andenes"
