"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVEJA4sGnZ-9qNt8LNtQ0b2BSzanEM9AJP2SgKTa5nnMD681KvazQ=w45-h45-p-rp-mo-ba6-br100","Ben Hur Montejo","Local Guide · 296 reseñas · 724 fotos","Hace 6 años","Si vas a la feria de Madrid y tienes que volver recuerda primero recargar La tarjeta, porque en determinadas horas o cuando hay eventos en la feria la cantidad de gente que se aglomera delante de las máquinas de recarga es enorme, casi imposible recargar si vas con prisas. La parada es bastante limpia y el persona muy atento. Te ayuda en todo momento."
"https://lh3.googleusercontent.com/a-/ALV-UjVTwowN319cHCHI-IYFryd4G-j2OOm_nQGmU6ULnmqbUrgKid4H=w45-h45-p-rp-mo-ba6-br100","Andrés Diaz Acosta","Local Guide · 836 reseñas · 2.740 fotos","Hace 7 meses","Maravilloso espacio para Ferias y muestras. Muy bien comunicado con el centro de Madrid por metro y taxi. Está rodeado de nuevos restaurantes y cada vez florecen más hoteles. En su defecto hay que decir que en las muestras mas concurridas es un poco caos coger medio de transporte para desplazarse aunque con un poco de paciencia se soluciona."
"https://lh3.googleusercontent.com/a-/ALV-UjWhmEATa6JQaB_9paBcSqoMzDKOPJGFjh7wSQBrQsTTQ8dUnKA=w45-h45-p-rp-mo-ba4-br100","Miguel IZdi","Local Guide · 66 reseñas · 2 fotos","Hace 9 meses","Muy recomendable. Hemos ido a ver Mundo Pixar y salimos encantados. Lo tienen muy bien organizado de forma que puedes estar todo el tiempo que quieras en las sala sin prisas y hacerte muchísimas fotos. Los escenarios son geniales y el personal de las instalaciones siempre está dispuesto a hacerte una foto con una sonrisa en la cara, además dura un poquito más de una hora así es que tampoco se hace largo y puedes ir a la velocidad que quieras. La tienda está bien aunque es un poco cara pero para llevarte algún recuerdo no está mal. Un buen plan para hacer en familia"
"https://lh3.googleusercontent.com/a-/ALV-UjWUHwGDJ8j_3FNaLgp8OYNy3hZ06gIJNEIPnoprvCQErVuVBOTz=w45-h45-p-rp-mo-ba6-br100","AD613","Local Guide · 388 reseñas · 2.087 fotos","Hace 5 años","Si quieres ir al if Ena esta es tu parada de metro más cerca. Siempre limpia y todo muy ordenado."
"https://lh3.googleusercontent.com/a/ACg8ocLPM4zis9ruCHjE_GkcRcQwHq7yUUCIf2hbVAISbofMj6tZYQ=w45-h45-p-rp-mo-ba6-br100","David Perez Martorell","Local Guide · 599 reseñas · 4.751 fotos","Hace 6 meses","Feria de Madrid es un conjunti de pabellones donde se ofrecen exposiciones de todo tipo. De ocio o empresariales donde se fomenta el intercambio y el co.erxio. son espacios muu grandes con kuchis servicios"
"https://lh3.googleusercontent.com/a-/ALV-UjXC23I8I7d0AvLMei-Q8JvG_JYeRHeYFmkqTTcU4j4nIbTPdKfW=w45-h45-p-rp-mo-ba7-br100","Daniel de Haro Barbero","Local Guide · 1.150 reseñas · 7.021 fotos","Hace un año","Recinto ferial por excelencia de Madrid. De los mejores de Europa, la comunicación es excelente, con estación de Metro, líneas de autobuses que te llevan a cualquier parte, aeropuerto muy cercano y rodeado de autovías, que facilitan la llegada por si vienes en coche particular, amplia oferta gastronómica, parking muchos alrededor del propio recinto y caros."
"https://lh3.googleusercontent.com/a/ACg8ocKc4JO9ZlM2NxJaae1Io4ZsHata47Hp7VCJ46lGQbiP6bBHqg=w45-h45-p-rp-mo-ba4-br100","Nieves Perez","Local Guide · 85 reseñas · 2 fotos","Hace 6 meses","Me gusta porque es buen sitio para visitarlo en familia y pasar una estupenda tarde compartiendo opiniones y unas risas"
"https://lh3.googleusercontent.com/a-/ALV-UjVhZt9ga4Vx3eAvPAC85DxXeC02Lc6jEiEf1-uADH5qK-UXdzFFdg=w45-h45-p-rp-mo-ba7-br100","Elba Pazos","Local Guide · 824 reseñas · 9.747 fotos","Hace 4 años","Esta Estación de Feria de Madrid está muy bien mantenida y conservada. Suele estar a tope de gente ya que está en el área de IFEMA que es el recinto ferial de Madrid y por tanto es muy transitada y utilizada. En estos momentos en que se está celebrando FITUR o Feria Internacional de Turismo (Enero 22 al 26 2020) se puede realmente valorar la capacidad de esta estación en el manejo de gran cantidad de público."
"https://lh3.googleusercontent.com/a-/ALV-UjXRCoyeQWVY53OG-dbvyYNS16RoOKWsBgfoLoHE_Wlch5YhaJuc=w45-h45-p-rp-mo-ba5-br100","Alejandro Fregoso","Local Guide · 385 reseñas · 980 fotos","Hace 5 años","Espectacular,  está grandísimo, fuimos a una exposición de Banksy,  el acceso del metro a la sección de la exposición es muy largo,  si necesitan silla de ruedas a la entrada al complejo te la pueden prestar."
"https://lh3.googleusercontent.com/a/ACg8ocJx3VFgqTGdH5JsPrJCILCWgt_qn6Ka9PI74sPN1bKwWGhKEQ=w45-h45-p-rp-mo-ba6-br100","Salva Arellano","Local Guide · 527 reseñas · 2.830 fotos","Hace 7 meses","Un espacio polivalente, bien preparado y bien comunicado. Imprescindible para los grandes eventos que se preparan en Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w45-h45-p-rp-mo-ba8-br100","Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 4 años","Estación de la línea 8 de metro Madrid, cuenta con dos salidas a los pabellones y una tercera a la Avenida Capital de España, es accesible para personas con movilidad reducida tiene ascensor además de cobertura móvil y parking disuasorio de pago. Es amplia y sus andenes están bien decorados y limpios."
"https://lh3.googleusercontent.com/a-/ALV-UjXLRzmb1P8-sWYRSZkR_YRETEPW-50RZlW9bSkzwZyrqkmEjjE=w45-h45-p-rp-mo-ba4-br100","XABIER SUAREZ SANTAMARIA","Local Guide · 43 reseñas","Hace un año","En el metro feria de Madrid se encuentran los pabellones de IFEMA que son muy conocidos sobre todo por las empresas que realizan eventos. También está cerca el parque de Juan Carlos l que es muy interesante para todo tipo de actividades. Si va con la familia pueden pasar un un día fenomenal, puesto que tienen parques infantiles."
"https://lh3.googleusercontent.com/a-/ALV-UjU7EqmbJpTifj0XFQjdFkWFLScMxfv7tdtcLBM6MXYJ8XIlW-X2JQ=w45-h45-p-rp-mo-ba7-br100","Cris Sánchez De Paz","Local Guide · 2.139 reseñas · 2.033 fotos","Hace 6 meses","La estación esta genial, y para ir a IFEMA o al parque Juan Carlos I viene estupendamente"
"https://lh3.googleusercontent.com/a-/ALV-UjXLb7dgmgecBSdSERJL7M23FdZNPt-aA9GxPUkqaad7LPiEP_Yyew=w45-h45-p-rp-mo-ba5-br100","JAVIER ABREGO","Local Guide · 190 reseñas · 590 fotos","Hace 6 años","Un gran lugar para congresos y ferias."
"https://lh3.googleusercontent.com/a-/ALV-UjXpTI64NQs94l-z4PWPs--OL21LmDXoXsyU3wM0CcDyBxvircqx=w45-h45-p-rp-mo-ba3-br100","Francisco Mosqueda","Local Guide · 42 reseñas · 74 fotos","Hace 7 años","Pertenece a la línea más rápida de trenes del metro y conecta con el parque Juan Carlos I y una zona de edificios Bien modernos. Mola."
"https://lh3.googleusercontent.com/a-/ALV-UjWVWJcx-qlvg57ekIO3EvR5X7NHybfJZ03A5CcjaAQQwrkRNulV5A=w45-h45-p-rp-mo-ba5-br100","ANGELES LOPEZ","Local Guide · 336 reseñas · 226 fotos","Hace 7 meses","Muy bien montada , muy bonita y muy interesante, me he divertido mucho"
"https://lh3.googleusercontent.com/a/ACg8ocKHWaXubBuOMqBLnC6eZtDmUFQZSn6Ge7gJTXkMibyxYtl25Q=w45-h45-p-rp-mo-ba4-br100","Jhota Hernandez","Local Guide · 66 reseñas · 8 fotos","Hace un año","Estacion de metro sencilla, con servicios cada 15 minutos. Si vienes por una convencion, te viene genial. En la estacion de Barajas (a 1 parada del aeropuerto y de IFEMA) hay hoteles por 60e/noche. Tienes el aeropuerto a 2 paradas, por 5,00€ (ida) estas en el aeropuerto (aunque por 8,00€ tienes 24h de transporte.)"
"https://lh3.googleusercontent.com/a/ACg8ocKajBELIklaIOhyrU0wdFc9rWX7L1mAZKxR5mAA3d_qElDUdw=w45-h45-p-rp-mo-ba4-br100","Vicente Flores","Local Guide · 96 reseñas","Hace 9 meses","Una auténtica vergüenza, que no puedan acceder los conductores de autobús y otros servicios que trasportan pasajeros a dicho recinto  ni siquiera a comer o tomar un café."
"https://lh3.googleusercontent.com/a-/ALV-UjWo-OrwyikQzIt8ZO5Zly0C0zJBVzKXV-oyxKRT7nNY4V6HcowSaA=w45-h45-p-rp-mo-ba5-br100","Ninaclar","Local Guide · 237 reseñas · 941 fotos","Hace 2 años","Es la primera vez que la visito,y tengo que decir que está muy bien organizada las personas que están recibiendo a la gente chapó,la seguridad frente a la pandemia  máxima ,todo muy limpio.Me encantó. Gracias a los responsables por hacer un gran trabajo."
"https://lh3.googleusercontent.com/a/ACg8ocJnpsxNjfuVJ13Za_e5V_j0CHX24toh3Zjsh3F6_mUP1QGF-w=w45-h45-p-rp-mo-ba6-br100","Miguel Urosa","Local Guide · 344 reseñas · 13 fotos","Hace 4 meses","Palacio de Exposiciones y Congresos"
"https://lh3.googleusercontent.com/a-/ALV-UjWfsFuE79km_BK0aJ9ds64dN6N9bEOrc78NfxT1BGbhpp9oGLw=w45-h45-p-rp-mo-ba6-br100","Ramkrishna Pudasaini","Local Guide · 454 reseñas · 5.338 fotos","Hace 5 años","Feria de Madrid... anteriormente conocido como campo de las naciones..muy cerca de IFEMA y parque Juan Carlos... este estación de metro tiene pintado sus paredes con las banderas de todos los países y la cara de dicho país.... siempre busco la bandera de mi país Nepal cuando cruzo por esa estación...no se porque cambiaron el nombre pero me hubiera gustado el anterior que era Campo de las naciones.... habrán cambiado por IFEMA...."
"https://lh3.googleusercontent.com/a-/ALV-UjXXcLl_LXzQsZDhAWqwUCWhExJs0wFOA-t1p1MeGfUYaLiWGmfC=w45-h45-p-rp-mo-ba5-br100","Francisco Royo","Local Guide · 526 reseñas · 493 fotos","Hace 2 años","Es enorme y hay un montón de pabellones. El mejor centro de eventos de Madrid y probablemente de España"
