"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWsZjvyo7LHUrUpvfym3ewdnaD7rJN2WSr3GZEswZ39CizUFjAh-Q=w45-h45-p-rp-mo-ba5-br100","Kevin Costner","Local Guide · 215 reseñas · 114 fotos","Hace un año","Explanada que acoge el Palacio del Infante Don Luis, donde podrás ver unos jardines magníficos y múltiples añadidos como fuentes (uno se ve en la fotografía. Actualmente está en rehabilitación con lo cual el Palacio está cerrado así como las caballerizas, y un sinfín de cosas más. Sitio ideal para pasar un día de turismo cultural (y gastronómico)"
"https://lh3.googleusercontent.com/a-/ALV-UjXj0D2s_vjOF9Cys1KWFoNboOhPwXbHi36J93XgwjvIu6OfHEPJhw=w45-h45-p-rp-mo-ba6-br100","Leland L","Local Guide · 262 reseñas · 2.158 fotos","Hace 4 años","Pensaba que podría aparcar en el parking del recinto ferial. No parece el caso. No se ha pensado que un usuario podría ir a la estación en coche, dejándolo aparcado cerca. N.E.F.A.S.T.O. Si no es así, estoy dispuesto a corregir mi reseña."
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w45-h45-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Ferial de Boadilla es una estación del servicio de metro ligero 3 en la feria de Boadilla en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjV9PXxCGyZZglywsSaOUOi-tC9teqhKR1NHEZoUN_nBPc4d6AGNsw=w45-h45-p-rp-mo-ba3-br100","Pablo M.R","Local Guide · 43 reseñas · 32 fotos","Hace un año","Bien armada la carpa y concierto"
"https://lh3.googleusercontent.com/a/ACg8ocLhAO12x-F7XNo2dF_MWbKfo-ecPiDkDJacghzCU1c2-K65Qw=w45-h45-p-rp-mo-ba5-br100","Paloma Tallon","Local Guide · 336 reseñas · 610 fotos","Hace 6 años","Servicio práctico para el pueblo de Boadilla pero muy lento"
"https://lh3.googleusercontent.com/a-/ALV-UjUbKR2CY_iTQvGTh2XF4Z88baGXHUvVjmNPhrqap99lpBIKxDfc=w45-h45-p-rp-mo-ba4-br100","Graciela Rodriguez","Local Guide · 31 reseñas · 108 fotos","Hace 2 años","Todo bien"
"https://lh3.googleusercontent.com/a-/ALV-UjVYWJHlYqgkeE87frpgjgCuAPklPi0Qn0Gs_QK9mvG38FEfEVXUIA=w45-h45-p-rp-mo-ba6-br100","Jesús","Local Guide · 376 reseñas · 5.707 fotos","Hace 8 años","Práctico y muy animado en fiestas"
"https://lh3.googleusercontent.com/a/ACg8ocK3c7PuKHbcTc-BPjy84RX7FPNLftF46WbNkpld8FD6Gg0Njh_Z=w45-h45-p-rp-mo-ba6-br100","Zanther Bull","Local Guide · 141 reseñas · 3.178 fotos","Hace 6 años","Hay un buen aparcamiento"
"https://lh3.googleusercontent.com/a/ACg8ocKahnQWKtobVi8fiw-g-z3FTP4Sf7f_xseOep3h2i3Nn2OliQ=w45-h45-p-rp-mo-ba5-br100","María Rodriguez","Local Guide · 149 reseñas","Hace 6 años","Creo que muy lento"
"https://lh3.googleusercontent.com/a-/ALV-UjXLmVBfACl383vFNtG8F9cPN1kCXD3kHi8r11cR-uWkf27fjlb5=w45-h45-p-rp-mo-ba3-br100","Pablo","Local Guide · 60 reseñas · 6 fotos","Hace 7 años","Aburrida"
"https://lh3.googleusercontent.com/a/ACg8ocLiT0k6EAAj0Y4_UY-4g_qvl2MvdMZjtBJfjooD8N4biVMyjQ=w45-h45-p-rp-mo-ba5-br100","Carmen Sanchez Tirado","Local Guide · 24 reseñas · 309 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a/ACg8ocJBnVK1UJMIKOed32W-Cn4anWGdXujuMcsah01etSYJtaw7dQ=w45-h45-p-rp-mo-ba8-br100","Francisco","Local Guide · 1.401 reseñas · 7.779 fotos","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVuwJMWaVsO0R1WmFrMaWoK-cUyIXWW7YNBaiz-By52rwiZddo=w45-h45-p-rp-mo-ba2-br100","MCLaser MCLaser","Local Guide · 3 reseñas · 21 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJekopx-Bq9CNSipxBCFar4e-5d8IjHtv_kux_K5qved0QtBA=w45-h45-p-rp-mo-br100","Juaquin Mariano","","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocIqEZVCuwnKqCHmD8HZf4RyZEwVA4JZc5_hutOP2lQiD8icUg=w45-h45-p-rp-mo-ba3-br100","María Belén Encinar Galán","Local Guide · 20 reseñas · 16 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjW9DJ4eNxx1GIfNhwL1Fgh7OT3l3-a_4ywAJ00DqfSU4LCOQdfy=w45-h45-p-rp-mo-ba5-br100","kmaza","Local Guide · 334 reseñas · 707 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJYw3YIA7YqjEWg-QcreirH8KRErm8kWevH8vxLZsctby7y7g=w45-h45-p-rp-mo-br100","Miguel Caceres","10 reseñas","Hace 7 años",""
