"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocIrGjLDMkn1x6wwW36ng34VJx8sYE3HZDGTv_cVZNzQee9Hyw=w45-h45-p-rp-mo-br100","Dani","13 reseñas","Hace 2 meses","Es una parada muy bien adaptada siempre y cuando no se para el ascensor, además cuenta con unos yonkis locales que te los encuentras si sales hacia la izquierda por la calle morguer"
"https://lh3.googleusercontent.com/a/ACg8ocICRdWg-Muplm9zUkwsG_5L4xCpnUYA7Dufsqb8MnxD8ZyNVw=w45-h45-p-rp-mo-ba5-br100","Raúl F","Local Guide · 201 reseñas · 1.197 fotos","Hace 7 años","Aunque le cambiaron el nombre por plaza Rocío Durcal siempre  seguirá siendo  la plaza de Francos Rodríguez.   Hay muchos bares, tiendas y al lado de la dehesa de la villa donde poder pasar el día en la naturaleza"
"https://lh3.googleusercontent.com/a/ACg8ocIJrcj6XFy-9046NYRsny8vC0-Vj3mbJ69je41StkQtQ_c76A=w45-h45-p-rp-mo-br100","Hola Gente","4 reseñas · 7 fotos","Hace 6 meses","No se si me han robado o han cogido mi terminal por despiste. Ha sido un despiste. El móvil es un POCO X5 Pro 5G negro. Sk alguien ll deja agradecería una respuesta"
"https://lh3.googleusercontent.com/a/ACg8ocIJ-CDlu_Ui3B5mEDsgBhV1GHpjT1aT1Opi-Xxj-QvzMLFnfA=w45-h45-p-rp-mo-br100","alvaro peregrina","6 reseñas","Hace un año","El metro los fines de semana tarda entre 10-15 minutos en venir, es imposible organizarse si dependes de el para ir a trabajar, ademas llevan las escaleras mecanicas que suben de la direccion metropolitano rotas un mes y no hacen nada por arreglarlas, nunca ves a un tecnico ni nada, lo gracioso es que antes de este suceso funcionaron durante una semana porque ya habian estado otro mes rotas. Sinceramente muy mejorable todo de esta estacion"
"https://lh3.googleusercontent.com/a-/ALV-UjUR3jR9-6LcVdiPmmnzcu8KIqKbD2MSVoFE-qDmY0IFUiyMbxweXA=w45-h45-p-rp-mo-br100","Elena M.R.","107 reseñas · 129 fotos","Hace 7 años","Le daría 5 estrellas, si, las escaleras mecánicas, (subida y bajada) FUNCIONASEN TODOS LOS DÍAS; fallan más que ""una escopeta de feria"" y tardan muchos días (a veces meses) en repararlas. Es una estación muy profunda."
"https://lh3.googleusercontent.com/a/ACg8ocJpN6Gv0q_fN_KNLvG8tCjLb--BTilyjb7JjM9PnCrq-H91yg=w45-h45-p-rp-mo-ba5-br100","Mari Cruz Jiménez Mellado","Local Guide · 262 reseñas · 7 fotos","Hace 4 años","Hay cerca metro, autobuses y tiendas diversas, aconsejo Betel, buenos precios y productos y escelente trato humano, pero mirad bien la ropa porque mucha esta rota o manchada y no puedes devolverla ni probar la talla o sea si no te queda bien o tiene roturas o manchas te quedas con la desilusión y el mal sabor de boca y mucha no tiene arreglo"
"https://lh3.googleusercontent.com/a-/ALV-UjVbRPrWMeeyIyiPkjbZJYwVtuSYRKslxn0Ed1sbQHsCxvtjsZ-RSQ=w45-h45-p-rp-mo-br100","Jose Luis Gomez","12 reseñas · 10 fotos","Hace 7 años","Esta calle a partir del n°60 me parece de lo mejor de Madrid camina hacia el final de la calle cualquier tarde y espera su puesta de sol....y si vas bajando el camino de la dehesa todo mejora ...esto es solo algo de lo bueno de este lugar."
"https://lh3.googleusercontent.com/a/ACg8ocJFvKqG4Iso3yNTYM3HsuT6wVWXWmwisYOmrBVVgju6LWqs3DeP=w45-h45-p-rp-mo-ba4-br100","David Martín","Local Guide · 145 reseñas","Hace 8 meses","los ascensores tocaría cambiarlos aunque sea los carteles"
"https://lh3.googleusercontent.com/a-/ALV-UjXpHlqIHVI89ZYv3O1UDsBjmorgVGjhUgNkwAmB7rdKFEx26ljw=w45-h45-p-rp-mo-ba5-br100","Ramon Arceo Rodriguez","Local Guide · 368 reseñas · 1.081 fotos","Hace un año","Estación grande como toda la línea 7, bien señalizada e iluminada."
"https://lh3.googleusercontent.com/a-/ALV-UjUH5XEla4c9zf84IKMBSvK_jyg0FX2n2_EEICmjrprYDQbkNid6xA=w45-h45-p-rp-mo-br100","Mariano Marasco","888 reseñas","Hace 2 años","La estación del metro (🚊🚊🚊) está en (🤠🤠🧐🧐🧐) perfecto estado y está ubicada cerca de una escuela y de varios edificios (🏢🏢🏬🏬🏣🏣).…"
