"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w45-h45-p-rp-mo-ba8-br100","Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 6 años","Estación de renfe y metro ligero. En renfe es la línea de la T4 aeropuerto de Barajas. Las dos vías centrales de la estación se usan para mercancías y las dos exteriores para cercanías."
"https://lh3.googleusercontent.com/a-/ALV-UjWJ1Vpvg-4FWtun_0jhw8BGFh7LYRXPwa9YGKX8lRP-P5JiOFk=w45-h45-p-rp-mo-ba4-br100","Arturo Bird","Local Guide · 87 reseñas · 327 fotos","Hace 4 años","Con correspondencia con el ml1 cumple su función limpia buen ventilada y poco concurrida"
"https://lh3.googleusercontent.com/a-/ALV-UjVE9YvIwWQeHbxi_oVhzC8hN3HojYEMz0jcaJgFOCpRJDNTHEsfGA=w45-h45-p-rp-mo-ba3-br100","Jennifer Mafla","Local Guide · 32 reseñas · 14 fotos","Hace 3 años","Muy mal, pedimos información para ir a la civis que une fuente de la Mora con Torrejón ya que estábamos perdidos y la mujer de información o taquillas no nos explicó o no sabía ni en qué anden se cogía, nos mandó a la vía 2 y era la vía 1 al ir a reclamarle ya que vimos pasar el tren por la vía de enfrente se inventó que ya no pasaba ninguno por el resto del día así que tuvimos que dar toda la vuelta desde fuente de la Mora a vicálvaro y tardamos 2 horas en llegar mientras que si cogíamos el tren que debíamos eran tres estaciones, así que nos parece que tiene personal inepto e inútil que no ayudan ni informan lo más mínimo y pongo una estrella porque no puedo poner cero que es lo que se merece"
"https://lh3.googleusercontent.com/a-/ALV-UjUDv0Caksg4ov_hw0pX8YTZBLAXjL3BiLeeDBw0_jM-3Z_uib66=w45-h45-p-rp-mo-ba3-br100","Javier Ribera Diaz","Local Guide · 47 reseñas · 54 fotos","Hace 2 años","15 minutos esperando para ir hacia Chamartín. Conseguimos entrar al tren, circulamos 1 minuto, y nos paramos otros 15. Penoso Renfe, no es tan difícil"
"https://lh3.googleusercontent.com/a-/ALV-UjXpdRlMZX8HSI5TPdpm27iE5wpYvsOkDJWmNgYEJ4VLkqMp_In-GQ=w45-h45-p-rp-mo-ba5-br100","Alvaro Gonzalez","Local Guide · 203 reseñas · 188 fotos","Hace 8 años","Una buena estación de tren y metron ligero. Recomendación, evitar horas puntas si no quieres estar 10 minutos pasando por los tornos. Mucha gente."
"https://lh3.googleusercontent.com/a-/ALV-UjVfjSNhQU4YoMKRelhUWpPCCS3EQMqe6Piw0l0ScJTPnBInsEJK=w45-h45-p-rp-mo-ba5-br100","Habieru Grandson","Local Guide · 132 reseñas · 154 fotos","Hace 8 años","Estación de cercanías y Metro Ligero con buena comunicación con aeropuerto y zona centro de Madrid"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w45-h45-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Fuente de la mora es una estación del servicio de metro ligero 1 en la estación ferroviaria en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjX6QZtZ6sGX_elT_3suK1uUaJyTL5954iX7XeuNWh1HYdNxdedffA=w45-h45-p-rp-mo-ba6-br100","Fernando Gómez de la Mata Rodrigo","Local Guide · 127 reseñas · 2.412 fotos","Hace 7 años","La forma más fácil de conectar con Madrid desde toda la zona empresarial de Manoteras"
"https://lh3.googleusercontent.com/a/ACg8ocJguc_4QDBSRZbWPo12Q7VnOuxzRwNEUE3S5pV4RXFQIaQ4uA=w45-h45-p-rp-mo-ba2-br100","Ana","Local Guide · 21 reseñas · 11 fotos","Hace 5 años","El 90% de las veces no cumplen los horarios y además la frecuencia de los trenes es de risa."
"https://lh3.googleusercontent.com/a-/ALV-UjXndVmqRBnh6XqdZZa1ftnCtkGb_RNVnNaiCXN3GkKTns7USaM3Fg=w45-h45-p-rp-mo-ba5-br100","Juan Ruiz","Local Guide · 114 reseñas · 481 fotos","Hace 7 años","Buena accesibilidad, con un aparcamiento amplio y una buena frecuencia en los trenes"
