"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocKN6FpeMDskBZv6Ip4-PNB9npP7IU9K6u7P62iQfbm9ZnHKNw=w45-h45-p-rp-mo-ba5-br100","Duende Irene","Local Guide · 387 reseñas · 175 fotos","Hace 2 semanas","El ascensor de la Renfe está parado desde hace más de un mes y no saben cuándo volverá a estar operativo porque no está roto , la cuestión es que le pilló la mano a un viajero y ahora depende de industria que lo vuelvan a poner a funcionar , vamos burocracia y mientras tanto ni carros , ni viajeros en silla de ruedas , me paré fatal , deberían de acelerar estos trámites y pensar más en las personas con discapacidad ."
"https://lh3.googleusercontent.com/a-/ALV-UjUAxHHUvI3DxiQFV5uK3myaajb9AoUUXpLibvClinBYp_tRNZu0=w45-h45-p-rp-mo-ba4-br100","Eduardo Gutierrez","Local Guide · 74 reseñas · 31 fotos","Hace 8 meses","Llevo 30 mil de espera, no llega el tren y no comunican ni siquiera porque está tardando ni nada por el estilo, haciendo que se llene todo el andén de gente con el peligro que ello trae"
"https://lh3.googleusercontent.com/a-/ALV-UjXQC8SzlqrLl8DeVL1n3RpDJaP9QUN5xNx-f-_hiVt7Lkms3C8=w45-h45-p-rp-mo-ba4-br100","Lucia Recio","Local Guide · 74 reseñas · 154 fotos","Hace 3 meses","Buena estación de metro y tren. Muy bien comunicado y buen servicio."
"https://lh3.googleusercontent.com/a/ACg8ocJysrI_kdbhGOZBlvJjTfpZeYxu5OU4lU7tBrfGvTsWBuZiaw=w45-h45-p-rp-mo-br100","Carlos Muñoz Ibañez","34 reseñas","Hace 4 meses","La estacion está bien, el problema es que para las gente que no la conoce si va del tren al metro no se ven bien las indicaciones."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.869 fotos","Hace 5 años","Pertenece a la línea 12 de metro. No tiene cobertura móvil a pesar de ser una línea que no tiene muchos años. Tiene ascensor. Comunica con cercanías / Renfe (C4)"
"https://lh3.googleusercontent.com/a-/ALV-UjWnHAR2__A2aml2JGEToqeLfTLrrf0FzzoGiWjmnQgEOTw-J6BIPA=w45-h45-p-rp-mo-ba6-br100","jorge Prieto González","Local Guide · 464 reseñas · 1.279 fotos","Hace 2 años","Estación amplia, normalmente está limpia con instalaciones renovadas pero en hora punta vienen tardando unos 10 minutos tal como se puede observar en las fotos por ello no le doy las cinco estrellas, no puede ser que tarden tanto los trenes a las tres de la tarde."
"https://lh3.googleusercontent.com/a-/ALV-UjVOnMIuiVcZmDSl9t5eXaAa7Vux5a3Ve16AVrwQfJbN411tMxQ=w45-h45-p-rp-mo-br100","Jhovanny Vargas","7 reseñas","Hace 5 meses","Que horror la estación de Getafe central siempre con demoras todos los días y no hay manera de que esto cambie felicitaciones......para el colmo voy al trabajo y paso por ventanilla a cargar el Bono transporte 🚇🚈 de Renfe y el chaval me dice que ellos no estában para eso y yo le digo persona muchas veces lo he cargado por aca sin ningún problema vergüenza debiera de darle que se creee"
"https://lh3.googleusercontent.com/a-/ALV-UjXGqZNpqvaintsmgCSJKZsjpupBcb4pPXISEelCtWBbVTwEHbXVjA=w45-h45-p-rp-mo-ba5-br100","Juan Antonio Gil Suárez","Local Guide · 227 reseñas · 876 fotos","Hace un año","Estación vital de Getafe, pues tiene Cercanías y MetroSur. Bien diseñada, amplia y con mucha luz natural. Compatible para viajar con la bicicleta."
"https://lh3.googleusercontent.com/a/ACg8ocIXILxXRFPoNRFvD0pVluTAzMmZfZQKVKCOO5O98GQ8wgy1GiuJ=w45-h45-p-rp-mo-ba2-br100","Nadia","Local Guide · 21 reseñas · 1 foto","Hace 11 meses","Es una vergüenza como hay que soportar todas las noches que la gente esté vomitando y tirados por el suelo y que los vigilantes se queden mirando hablando entre ellos. Una vergüenza el trato de los vigilantes que les pides ayuda por esas personas y te ignoran."
"https://lh3.googleusercontent.com/a-/ALV-UjXHP_a5_7GwrDJu6Qz7Pe6xCegkRc8YRVd4gmI4483438GZS2U=w45-h45-p-rp-mo-ba4-br100","Jonny Martínez Vásquez","Local Guide · 48 reseñas · 47 fotos","Hace 2 meses","Es céntrico y puedo ir de aquí a varios lugares."
