"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXHhwJVIp3-4c4pN1luJ5FAePv6wDeVuwnCaQLy-eMiBY6oF-g0=w45-h45-p-rp-mo-ba5-br100","OMA MA","Local Guide · 177 reseñas · 20 fotos","Hace un año","Se la va a tragar la Tierra. Más de una decena de bloques de viviendas y algunas escuelas las ha engullido la tierra porque la línea se hizo sin un estudio geotécnico previo. Se hizo así por cabezonerías políticas y hoy viene la tragedia de casi un centenar de personas sin hogar porque se las ha tragado la Tierra por una obra absurda. Tendría que haberse quedado la línea hasta San Fernando, no más. El resto sobra."
"https://lh3.googleusercontent.com/a-/ALV-UjWKKbM5C11jE0Ku1izmo2GT3BtW5QrMSLtIlTwc9qLNeHdwSRir=w45-h45-p-rp-mo-ba4-br100","M Martin","Local Guide · 120 reseñas · 12 fotos","Hace 6 años","Es un desastre de pueblo, se gastan el dinero para quitar zona verde y poner aparcamientos, al contrario que los demás. Y esta zona en concreto más. Parece que estás en el parking del aeropuerto, la avenida está llenisima la de coches aparcados. Vaya ayuntamiento, esto es lo que hacen los podemitas. Para rematar ya lo malisimamente fatal que lo hizo anteriormente los de IU. buscaros otro pueblo para vivir. Fiestas penosas. Y para rematar quitaron los encierros de toros, que era lo que animaba el pueblo . Es un asco. Venderé el piso y me iré a otro sitio que tenga conciencia de habitabilidad, no de parking."
"https://lh3.googleusercontent.com/a-/ALV-UjWMtDoHm_iBcJrN52wEI3dGYsVd8bhI5ijVlOBYSA2AoKPZvUir=w45-h45-p-rp-mo-br100","Xavier Armando Núñez Páez","14 reseñas","Hace un año","Le pongo una estrella porque no me parece justo que no se pueda hacer una recarga de bono de transporte 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡…"
"https://lh3.googleusercontent.com/a-/ALV-UjXK7mlRD22tlw6dofatCmdpcPz3RpZ2FOuvFamHzk6V5bcNRWkCew=w45-h45-p-rp-mo-ba5-br100","Alex Lpzsb","Local Guide · 204 reseñas · 407 fotos","Hace 7 años","Bastante pequeña y poco equipada."
"https://lh3.googleusercontent.com/a-/ALV-UjX9Sd9pl9CzTog6ULAhLUxQ5gbyDfEuptAsJRtwBVZ8dxn54qo=w45-h45-p-rp-mo-ba4-br100","Eventos","Local Guide · 143 reseñas · 98 fotos","Hace 5 años","Cierra cada verano"
"https://lh3.googleusercontent.com/a/ACg8ocLKBm3YNiNn28h_wQ1n4G0kOAMpxiXku3zUkUwWW5-jyg26yQ=w45-h45-p-rp-mo-br100","Mariantonia Montalban","1 reseña","Hace 6 años","Muy util me gusta"
"https://lh3.googleusercontent.com/a/ACg8ocJwzza9ZjwSPSBozlakYFX5kmsc-l56d6e4t31PtnMPXlFaag=w45-h45-p-rp-mo-br100","ÓSCAR Z.R. EL MEJOR","10 reseñas · 13 fotos","Hace 4 años","Me ha encantado"
"https://lh3.googleusercontent.com/a-/ALV-UjXCLkC60oZhfFTZJrPGc1GwYFuiCS3LhauqAgUgBT6jobL3iGQS=w45-h45-p-rp-mo-ba5-br100","YMD","Local Guide · 242 reseñas · 302 fotos","Hace 7 años","Cierra cada dos años."
"https://lh3.googleusercontent.com/a-/ALV-UjWSa88gB2r_5SdeD-Vzttdj60bzhU5NugnnVS0pvbKhuMAx-Ms=w45-h45-p-rp-mo-ba4-br100","rogelio mecaliff","Local Guide · 50 reseñas · 182 fotos","Hace 3 años","Menuda nevada"
"https://lh3.googleusercontent.com/a-/ALV-UjWZCgRkTSIZiqbsS2IXuhxznRma_VojyOcLMlTKa9DBYyTppg=w45-h45-p-rp-mo-br100","Carlos Robledano","7 reseñas · 1 foto","Hace 7 años","Me encanta"
"https://lh3.googleusercontent.com/a-/ALV-UjXybL6gw2mtFrzqKdpD7SRhOfZdix4fCpZf2J59LD9YGCIYjcLm=w45-h45-p-rp-mo-br100","OLGA LUCIA RENGIFO GUERRRO","6 reseñas · 1 foto","Hace 6 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocLTY6YCXnGm7w5OA7bakVn-V8skb81-c91mqpIwwtOt11ifkQ=w45-h45-p-rp-mo-ba3-br100","Débora García","Local Guide · 29 reseñas · 25 fotos","Hace 3 años",""
"https://lh3.googleusercontent.com/a/ACg8ocLvGVd58FdnUH2kqz5tWQpNsCZvSMxe7BNftNdyZ1WrwSUWXg=w45-h45-p-rp-mo-br100","Román Pacheco","19 reseñas · 2 fotos","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjW9PMaDs3xiMgxq5hBDllzwdiLXAOiSr__HIwEIwgrzpJLX7P03eg=w45-h45-p-rp-mo-br100","Vicente Hernández Manzano","3 reseñas","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUjefPTxpMXISYpb6GOG5i_hMSjvicMuIqFHFaOQbvitc96_DM5=w45-h45-p-rp-mo-ba5-br100","Stella Meco","Local Guide · 120 reseñas · 351 fotos","Hace 5 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUqExvFFUQF6M7kfqV5dyCZUh9v_jSJgfU5NWvLtUWTSL9xqMa2=w45-h45-p-rp-mo-ba3-br100","Eliseo Sanchez","Local Guide · 38 reseñas","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVmjHsgoZDWzsAbF-fsnH_DlQvKg6dqEV5E0tH0cmx0b4dwXz5r=w45-h45-p-rp-mo-br100","Merche Cruz","2 reseñas","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocK63i58VDOgZjYb-GkaP8T3XwWo0Enq_le7Y8Iy6K8SUOMTBQ=w45-h45-p-rp-mo-br100","Ricardo Prados Calvo","5 reseñas","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJVtr6l23j53FST83zm4wzEs6wjc0AA0w0UA4oC--kyF3CbNQ=w45-h45-p-rp-mo-br100","Arantxa Romero Burgos","1 reseña","Hace 9 años",""
