"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXKTF3dMnuzD0tYT5DBDWJmTII5TG2TIIWbl5lHB2_6dhSSWWvl=w45-h45-p-rp-mo-ba3-br100","Luz Rojo","Local Guide · 24 reseñas · 5 fotos","Hace 2 meses","Solo funcionaba una de las maquinas que tienes que usar para sacar el ticket de tu cita y saber tu sala de espera"
"https://lh3.googleusercontent.com/a/ACg8ocJn_OZspVb63aTADojwDcgZKNP1jbrDfGj3Cz8DbghxklpzSQ=w45-h45-p-rp-mo-br100","Clara López Arnoso","10 reseñas","Hace 3 años","Han operado a mi padre de la próstata en este hospital y el trato ha sido excepcional. Tanto antes de operarle, que fue visitado en consultas de urología y en urgencias, como tras la operación, que estuvo en la planta 2E, todos los profesionales han sido magníficosmagníficos (especial mención a la Dra. Dorado). Al producirse el ingreso durante la pandemia, no pudimos estar con él, pero todos los días nos llamaba el médico para darnos información y contestar nuestras preguntas. Respecto a las instalaciones, son absolutamente magníficas, todo nuevo, limpio, luminoso y confortable. Toda mi recomendación, si tienes problemas urológicos."
"https://lh3.googleusercontent.com/a-/ALV-UjUqirStQXCmwY371SZdIUx5yo0SjkjAPqc60SGBo0tO6AhQqfTu=w45-h45-p-rp-mo-ba4-br100","Javier Moragues","Local Guide · 73 reseñas · 77 fotos","Hace 11 años","Sinceramente a mi me han operado 3 veces en ese hospital y la verdad que estoy bastante contento con respecto la limpieza no creo que sea como dices ya que cuando yo he estado todo estaba bastante limpio en el caso de que alguien no me crea que se pase por aquí y que lo compruebe por sí mismo"
"https://lh3.googleusercontent.com/a-/ALV-UjXIIBTKeLRnNze1xBi6N1wtbZoTDVxFcha_eccdxpSS-uGUijlsMw=w45-h45-p-rp-mo-ba4-br100","Rubén Jiménez","Local Guide · 19 reseñas · 428 fotos","Hace 4 años","Cómo es posible que no haya baños públicos en ninguna estación de metro ni en ningún otro establecimiento cerca? Es el lugar perfecto, y no podemos depender de negocios locales que hagan el favor de ofrecer los baños gratis La gente tiene necesidades. También estaría bien tener cobertura en las estaciones no?"
"https://lh3.googleusercontent.com/a-/ALV-UjXAhDi6sH4ePQP0WuAioNAPkkMjEHS_PEARf-GUH8Y_uHRaYkGe=w45-h45-p-rp-mo-ba5-br100","toñy s","Local Guide · 112 reseñas · 1.321 fotos","Hace 10 meses","Aparcamiento y eso que era la consulta por la tarde con lo demás todo bien,  depende a la consulta que vayas en el médico que te toque"
"https://lh3.googleusercontent.com/a-/ALV-UjWNpkIbwa0ZI7_DjMfG0LYj45Hvqka3SlS0Jvh987KN-89yYoNL=w45-h45-p-rp-mo-br100","Nana Perona","3 reseñas","Hace 4 años","No saben atender a la gente, la tienen de pie por falta de asientos y les falta personal, te puedes tirar tranquilamente 4/5 horas esperando, por urgencias no se ve pasar a ningún médico.. No lo recomiendo la verdad."
"https://lh3.googleusercontent.com/a-/ALV-UjVJmcGXAoiY3CyLFz9Y0g9q0TxB4nSafpGQQxWkMmKRNuXcdb6I5g=w45-h45-p-rp-mo-ba5-br100","Tomás","Local Guide · 143 reseñas · 505 fotos","Hace 7 años","Ha sido la segunda ocasión en la que he debido pasar aquí un mes debido a que.mi padre, con 92 años , ha tenido que ser intervenido quirúrgicamente en la primera ocasión y en reposo total por rotura de pelvis en esta última . Sólo tengo palabras de agradecimiento para todo el personal y orgullo de nuestra Sanidad Pública. Muchas gracias por todo."
"https://lh3.googleusercontent.com/a-/ALV-UjVFOhXdAexma--wLm6YSeCcLjrSnysZ-TpOEEGHa_gYbv-UH-2N=w45-h45-p-rp-mo-ba5-br100","Osky JB","Local Guide · 325 reseñas · 81 fotos","Hace 6 años","Buenas instalaciones, no dudo q buenos profesionales pero seguimos como en todos los hospitales en los que me ha tocado estar o visitar con la televisión de pago. Y en este concretamente 2 televisiones por habitacion hasta cuándo vamos a aguantar esto. TELEVISION GRATUITA YA !!!!!!! los presos en las cárceles la tiene sin pagar INDIGNANTE."
"https://lh3.googleusercontent.com/a/ACg8ocInlAfL7Y2QrayQ-sgv3R9ft8yHJqoR1gOZzablBwsM4_O9ag=w45-h45-p-rp-mo-br100","Jorge Jiménez Martínez","5 reseñas","Hace un año","Por dentro, Buen hospital y buen trato. Excelentes profesionales y muchos medios. Una pena que nadie coja nunca el teléfono"
"https://lh3.googleusercontent.com/a-/ALV-UjUL1OOTK6rqGETKSkLzcSvFKzw7WojwtWWikFxNhHt3y_plDYdYtg=w45-h45-p-rp-mo-ba4-br100","Lina Gabriela","Local Guide · 62 reseñas · 101 fotos","Hace 3 años","Buenas instalaciones y buen trato del personal médico. Las líneas para citaciones a menudo están congestionadas y la atención  en admisiones es muyyyyy demorada...  perfectamente puedes pasar allí toda la mañana para hacer una consulta muy minima... la última vez estuve 4 horas esperando solo para preguntar un número de historia clinica"
"https://lh3.googleusercontent.com/a-/ALV-UjVYZwEi4Y7CwUbTtwpA0ysXctgyWgGctcuoujLvhf10GK2KT-spdQ=w45-h45-p-rp-mo-ba4-br100","Noemi Lozano","Local Guide · 48 reseñas · 152 fotos","Hace 5 años","Cuando me quedé en urgencias, me despertaron a gritos a las 3 de la mañana , y las enfermeras hablaban todo el rato Y tiraban cosas al suelo y hacían mucho ruido. No lo recomiendo."
"https://lh3.googleusercontent.com/a-/ALV-UjVPd1U0mo8WPBE_q7M0IG17Xd0ep2L39gErI6FHE-Kve7OxBIY=w45-h45-p-rp-mo-ba4-br100","David “Super Eñe”","Local Guide · 156 reseñas · 33 fotos","Hace 2 años","Dentro del sitio que lleva el nombre ""hospital"", tratan al paciente con respeto y educación."
"https://lh3.googleusercontent.com/a-/ALV-UjU-c7lhcz6quktfhWF9FC0Ihp2Bv4T_xHz0omi-Y1UYiIaM-OlU=w45-h45-p-rp-mo-ba3-br100","ALEXANDER RAFAEL MACHADO LOPEZ","Local Guide · 32 reseñas · 14 fotos","Hace 7 meses","Es un hospital muy bueno,"
"https://lh3.googleusercontent.com/a/ACg8ocIPA2SrjgmPG_518xu8hPXgJUM6leOv2hiHVZ9nZWQizwWCUg0=w45-h45-p-rp-mo-ba3-br100","Elena Rojo","Local Guide · 49 reseñas · 3 fotos","Hace 5 años","Fatal no tienen gente suficiente y la atencion deja mucho que desear conozco gente de mi familia y todos han tenido malas experiencias el ultimo un prino mio fue a urgencias por una apendicitis y le mandaron a casa pensando que era un colico"
