"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWukglV-pimGsBWepFSHfm3iG45UXjjgR2iqRwSZAxXP3KRB9hT8A=w45-h45-p-rp-mo-ba5-br100","Susana Rodríguez","Local Guide · 221 reseñas · 409 fotos","Hace 3 meses","Amplio, cómodo, limpio. Tiene 3 salidas, una de ellas totalmente accesible para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a/ACg8ocJVkL0mXiReOS4yL8MLWLVXbgMhDoeFyF9g0CA84cJ0DBYV-U2K=w45-h45-p-rp-mo-ba2-br100","Oscar Eduardo Duque Vera (Tigre)","Local Guide · 14 reseñas","Hace 5 meses","La uso a diario y presta muy buen servicio, excelente"
"https://lh3.googleusercontent.com/a-/ALV-UjWGoOGqk2HBjqjsJEib8S_RVp68ojFR9gPX0wfKadfRdWKtkRuh=w45-h45-p-rp-mo-ba7-br100","JT","Local Guide · 415 reseñas · 4.092 fotos","Hace un año","Buena estácion de metro, varias salidas a la calle principal , todas con escaleras tradiciones y escaleras mecánicas. Tiene varias máquinas en el hall para comprar billetes y siempre hay alguien que te puede ayudar si lo necesitas. Dispone de ascensor para acceder a los andenes. Muy cerca de la fundación Jiménez Díaz"
"https://lh3.googleusercontent.com/a-/ALV-UjU5xtYz51wdfEVa0K1YSNajNedwrgwjiFTRLg_Y1RxK4gGXS8v84Q=w45-h45-p-rp-mo-ba5-br100","S P","Local Guide · 124 reseñas · 446 fotos","Hace 9 meses","Es una estación de metro amplia y diáfana. Los andenes también anchos. En limpieza: impecable."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w45-h45-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Local Guide · 3.628 reseñas · 8.902 fotos","Hace un mes","Metro complicado, solo una línea de metro pero con muchas salidas diferentes"
"https://lh3.googleusercontent.com/a-/ALV-UjW_wgpuSJY9wllbVE9u1GSAtlvpPTsMByX7elCR8J2_Dn-CWSpq=w45-h45-p-rp-mo-ba6-br100","cerrea cortijo","Local Guide · 652 reseñas · 1.337 fotos","Hace un año","Estación amplia con escaleras mecánicas"
"https://lh3.googleusercontent.com/a-/ALV-UjXO9ugZGmxnfMMpfy8CAXjDXXo0E1YiW0qcCp3-oEcEzjPajLoN=w45-h45-p-rp-mo-ba5-br100","Chloe y Lucas","Local Guide · 175 reseñas · 555 fotos","Hace 6 años","Una estación muy moderna, limpia y amplia tiene ascensores y escaleras eléctricas que facilita el acceso a sillas de ruedas. Es la estación que queda cerca de la Fundación Jiménez Díaz. Comparándola con otras es de lo mejor que hay en cuestión de estaciones en el centro. Se podría echar en falta la cobertura móvil que en estos tiempos es más útil que una vanidad. Y las escaleras eléctricas que en una de las salidas se queda a medias."
"https://lh3.googleusercontent.com/a-/ALV-UjX_jrlybVm7Urr-qnhuooriBac10OvIVrQIABAEwGylKMBzOgEB=w45-h45-p-rp-mo-ba3-br100","Court","Local Guide · 41 reseñas · 5 fotos","Hace un año","Estación muy limpia, con acceso facilitado con ascensores y con buen mantenimiento."
"https://lh3.googleusercontent.com/a-/ALV-UjWzY6yORY63axNztK0mYtTAfofjgq4F9181Blgo6PwZoV-X7xJN=w45-h45-p-rp-mo-ba5-br100","Juan Ramirez","Local Guide · 97 reseñas · 5 fotos","Hace 3 años","Estación de Metro Islas Filipinas, perteneciente a Metro de Madrid, situado en el distrito de Moncloa, y en el barrio de Moncloa igual que la parada de esta estación, en Madrid ciudad. Recorre por ella la linea 7 del metro, color mostaza que hace el recorrido desde Hospital de Henares hasta Pitis. La estación siempre se encuentra Limpia y en buena condiciones, tiene  acceso para discapacitados en silla de rueda. Es una estación segura, ya que siempre hay vigilante de seguridad y personal de la empresa Metro de Madrid trabajando y dando asistencia, ayudando a los viajeros, con una amabilidad, correctos, con una gran sonrisas y disposición a  los diferentes usuarios que necesita que le ayuden. En la salida de la estación se encuentra también paradas de autobuses por lo que complementa bastante las conexiones y la usabilidad del uso del transporte público de Madrid. Consiguiendo que se pueda usar todos los servicios colectivos, menos contaminante para el medio ambiente y por un precio correcto. También se encuentra cerca bajando la calle el Hospital Clínico o Jiménez de los Ríos. Para poder usar el servicio, hay distintas modalidades, desde abonos mensuales, hasta para billetes sencillos. Para los turista hay un abono para un uso como su nombre indica turístico. Por eso es una opción cien por ciento recomendable por mi parte y le doy la máxima puntuación."
"https://lh3.googleusercontent.com/a-/ALV-UjXiRFodQ7_hrNnCxlv0PaZsiVlchGd_0w0SOJwGCrp8MZRJ2c_jOw=w45-h45-p-rp-mo-ba5-br100","Marta Albi","Local Guide · 312 reseñas · 389 fotos","Hace un año","Antes vivía en este barrio y ME ENCANTA. Sus calles están llenas de vida sin estar abarrotadas, tienes multitud de lugares para ir a comer, tomarte un café o unas cervezas por la tarde noche."
"https://lh3.googleusercontent.com/a-/ALV-UjW_oenDTP8Aztmp8D3MF5zRqGQKjvLxl1qr1WyFUoflOgmqg3e0ag=w45-h45-p-rp-mo-ba7-br100","P.P Lopez Cade","Local Guide · 1.106 reseñas · 9.513 fotos","Hace 2 años","Un acceso accesible ascensor cea bermudez con andres mellado tiene 4 salidas con escaleras mecánicas hasta medio camino luego no son mecánica. ... una Salida Tiene un ascensor accesible hasta la calle. ..esquina cea bermudez con andres mellado.  estupendo máquina interior para recargar  tarjeta. ascensor interno"
"https://lh3.googleusercontent.com/a-/ALV-UjUYg-JmdRK_3zebEl5htLlj1xACGWHobewetIPwQfo_bLRmNeKz=w45-h45-p-rp-mo-ba6-br100","MIGUEL ANGEL ANDREU MARTIN","Local Guide · 568 reseñas · 60 fotos","Hace un año","Buena y moderna estación de metro con ascensor para acceso a personas con problemas de movilidad"
"https://lh3.googleusercontent.com/a-/ALV-UjXK7mlRD22tlw6dofatCmdpcPz3RpZ2FOuvFamHzk6V5bcNRWkCew=w45-h45-p-rp-mo-ba5-br100","Alex Lpzsb","Local Guide · 204 reseñas · 407 fotos","Hace 7 años","Una estación así de grande y céntrica debería tener cobertura."
"https://lh3.googleusercontent.com/a-/ALV-UjVigO5FVk_Xqoiy6NwX8SY5UU7_j4oL0y5N2AQK2jSM8PhI5-Y=w45-h45-p-rp-mo-ba3-br100","Pilar Gómez","Local Guide · 24 reseñas","Hace 3 años","Tienes 2 hospitales al lado. Fundación Jiménez Díaz Hospital Clínico San Carlos. El metro de Islas Filipinas tiene ascensor."
"https://lh3.googleusercontent.com/a-/ALV-UjVbbNKbCMG3qjOeQm-CvzGIEeW49CBgXA97BNqVmvU0x93eNsGq=w45-h45-p-rp-mo-ba5-br100","CESAR RICARDO ANDRADE LEON","Local Guide · 244 reseñas · 176 fotos","Hace un año","Excelente estación muy amplia la uso siempre..... Gracias Atte.cemarye"
"https://lh3.googleusercontent.com/a-/ALV-UjXnqkJfCMTcU1JoHSKC_7n1TCeArbxzbayFdr6KC9X9fUzv1Io=w45-h45-p-rp-mo-br100","Kike Garcinuño","6 reseñas","Hace 5 años","Es una línea de metro en toda regla, con su máquina expendedora de billetes, escaleras, andenes para que circulen los trenes en ambas direcciones. Muy recomendable"
"https://lh3.googleusercontent.com/a/ACg8ocL04DlFKsGylIPRFfNJ74jkF6ahMGAo0X_8eGYHSFxMhfyzYg=w45-h45-p-rp-mo-ba5-br100","Malugarcia Malu","Local Guide · 643 reseñas · 304 fotos","Hace 8 meses","Estación amplia con ascensor y escaleras mecánicas"
"https://lh3.googleusercontent.com/a-/ALV-UjWEiJy_NY5TpfZAShxnl7PwarCJG1KFspzHJ5CXfqsIvYvbdidUHw=w45-h45-p-rp-mo-ba5-br100","Ernesto Gonzalez Franco","Local Guide · 159 reseñas · 3 fotos","Hace 11 meses","Estacion de metro  moderna y cumple sus funciones"
"https://lh3.googleusercontent.com/a-/ALV-UjUR5wh1yaaeoxhoGLPtTxMV0dSNgDJIBauQTmGug-_EG9SQ5BeN=w45-h45-p-rp-mo-ba2-br100","Antonio Muriel","Local Guide · 21 reseñas · 1 foto","Hace 6 años","Estación grande y limpia, con variedad de líneas bien localizadas pero.. la señal móvil es penosa."
"https://lh3.googleusercontent.com/a/ACg8ocJ7BXrXTRfOKfw1foJc99ynZBOkvm9ceUfQzIZNNa0X30fGdg=w45-h45-p-rp-mo-ba7-br100","Angel B","Local Guide · 1.029 reseñas · 6.797 fotos","Hace 7 años","Una estación faraónica. Un hall enorme, grandes escaleras mecánicas y amplios andenes. Ojalá fueran todas así !!!"
"https://lh3.googleusercontent.com/a-/ALV-UjVbTzKUkCqvru5r1jPYEGDTNuGKfQ-09i8XJf6h84UQO8ppOfMqAQ=w45-h45-p-rp-mo-ba7-br100","Carlos De Miguel Vázquez","Local Guide · 1.185 reseñas · 3.965 fotos","Hace 3 años","Bien y muy buen barrio a veces demasiadas obras"
"https://lh3.googleusercontent.com/a-/ALV-UjVpuIp1q3823ghAaPTsDOgEhuGbfEFo_CF2DthPpQ0azeYCI9Z27w=w45-h45-p-rp-mo-ba4-br100","Lydia Tabarés","Local Guide · 117 reseñas · 3 fotos","Hace un año","Ésta vez funcionaba todo y parece que han arreglado lo de las goteras del año pasado."
"https://lh3.googleusercontent.com/a-/ALV-UjXv7xeClaRg6U2TfjuKBBL4C-JK3Js5t-P5ssxlDdut4_mR8diNDg=w45-h45-p-rp-mo-ba5-br100","Juan talavera","Local Guide · 231 reseñas · 200 fotos","Hace un año","Estación de metro bastante amplia"
"https://lh3.googleusercontent.com/a-/ALV-UjVAu-lJ6TNBdR1Iii54cBRpWThxtEZiCybc25lvpvMC-C94oBrUIQ=w45-h45-p-rp-mo-ba6-br100","José María Pérez","Local Guide · 1.020 reseñas · 293 fotos","Hace 4 años","Estación de la línea 7 del Metro de Madrid. Limpia y amplia."
"https://lh3.googleusercontent.com/a-/ALV-UjURjcJf2a_1gEMyuvGUDRHfNIee_QnK_63kvzXwM-qjPisJMDz5=w45-h45-p-rp-mo-ba4-br100","Francisco Carballo","Local Guide · 87 reseñas · 33 fotos","Hace 3 años","De fácil acceso, amplia y mucha señalización."
"https://lh3.googleusercontent.com/a-/ALV-UjXa6gC3PuYuCKBXRhGWIKtpkxYXV4DUrvGVK1cDCn1ynI5pNWc=w45-h45-p-rp-mo-ba5-br100","Jesus Pernas Garcia","Local Guide · 300 reseñas · 71 fotos","Hace 11 meses","Punto de acceso bien dotado"
"https://lh3.googleusercontent.com/a-/ALV-UjXO4sCbh51eyfA5hMRx17019bHaBxmAkn8oETn7xb7snHHfg84mXg=w45-h45-p-rp-mo-ba6-br100","José Luis Molinari","Local Guide · 634 reseñas · 1.304 fotos","Hace 7 años","Una grande estación, limpia, con mala señal para los móviles,"
"https://lh3.googleusercontent.com/a/ACg8ocJ0Jy-Kb2raNbtIqA9dFJDwePVAxQXY-xRkpGJZVvjPPVMdNQ=w45-h45-p-rp-mo-br100","Jorge Roy","1 reseña","Hace 6 años","Me parece que con solo un acero en ascensor hasta la calle es insuficiente ya Qué no funciona desde el día 7 de diciembre"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w45-h45-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Islas Filipinas es una estación del servicio de metro de Madrid línea 7 en el barrio Chamberí en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjU92gB6EHtawDrPDycwH5YrEd8mCbjv9Gosy8T8QzU3jrdGKAQmfw=w45-h45-p-rp-mo-ba7-br100","Fernando Campos Asensio","Local Guide · 1.524 reseñas · 5.984 fotos","Hace 2 años","El metro de Madrid de lo mejorcito del mundo mundial."
"https://lh3.googleusercontent.com/a-/ALV-UjX1a3ac7HDLU_dQrf3429KAlwp-CCppzhDL-9cHXuWJZscoViGDEw=w45-h45-p-rp-mo-ba5-br100","kan dela","Local Guide · 221 reseñas · 101 fotos","Hace 8 meses","tiene ascensor"
"https://lh3.googleusercontent.com/a/ACg8ocKncZ_c9Q1vR0lftMBo2XYVLadA5amK9UZBZdw1xMxzDWHskQ=w45-h45-p-rp-mo-ba4-br100","Ana María Posada Pérez","Local Guide · 105 reseñas · 271 fotos","Hace 4 años","Zona tranquila con muchas terrazas"
"https://lh3.googleusercontent.com/a-/ALV-UjXw9TQU4_W4TGJ7GMsMkOTwf1PX66yhwPs16uLky3hAkA2ayY4l=w45-h45-p-rp-mo-ba5-br100","Susana Gonzalez","Local Guide · 170 reseñas · 324 fotos","Hace 4 años","Parada de metro mas cercana para Hospitales Clinico y Jimenez Diaz"
"https://lh3.googleusercontent.com/a-/ALV-UjXssiqS4r3tn6uwlnDs-gYw4Xk0PeQJeJJLaYjfpueQp6hACaeM=w45-h45-p-rp-mo-ba5-br100","Rafael Peñalver","Local Guide · 461 reseñas · 109 fotos","Hace 5 años","Allí pase mi niñez en casa de mi abuela muy feliz"
