"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUBQuCRcKbY9-0Q0_IeZQMY7J4XsDZNFnvN9aVZpuaJaJcJrok=w45-h45-p-rp-mo-br100","Henio R. Nascimento","1 reseña","Hace 3 meses","y la gente sigue votando por el PP. Que luego no se quejen."
"https://lh3.googleusercontent.com/a-/ALV-UjXZqWkqIPDqbd54eiozHIdlAIl1h3ESWNxu6TaSsKwwdy4-ci6a=w45-h45-p-rp-mo-ba4-br100","José luis Perez ortega","Local Guide · 98 reseñas · 18 fotos","Hace un año","Jarama Coslada, buen ambiente hay deportes y bailoterapia."
"https://lh3.googleusercontent.com/a-/ALV-UjWGcPsBvWBJ_e97CDYOwPie56Bp4jFGF1PwhlJrKXoQCHB-Dhc=w45-h45-p-rp-mo-ba4-br100","J A P V","Local Guide · 72 reseñas · 245 fotos","Hace un año","Una estación de metro que está casi más tiempo cerrada, por problemas de la línea 7B que abierta. Con la cantidad de millones de Euros que es están gastando en las reparaciones ""cada poco"" se podría rellenar los túneles defectuoso, hacerles viviendas a los afectados que vieron, ven y verán, como devuelven sus casa por los problemas de los túneles, hacer un estudio ""bien, en condiciones, sin prisas  electorales"" para diseñar un nuevo trazado y si no es viable: Por la seguridad de las personas que diariamente usamos esa línea de metro. Por la seguridad de la propia construcción. O por........................ Pues no se construye. PERO NOOOOOOOOOOOO!!! MEJOR HACER MALLLLL EL ESTUDIO DE LOS TERRENOS. CONSTRUIR DEPRISA Y CORRIENDO, por la proximidad de las elecciones y tener que hacerse las fotitos inaugurando. Y LUEGO, DEJAR TIRADO, SI TIRADOS, A LOS AFECTADOS QUE SE QUEDARON, SE QUEDAN  Y SE QUEDARAN SIN SUS CASAS. Soluciones REALES y buenas ""no tienen que perder ni un céntimo y ni un minuto de salud"" por un problema que generaron unos políticos y ahora se esconden. Necesitamos Políticos que trabajen para los ciudadanos y no para ser reelegidos y llenar sus cuentas corrientes ""con los SUELDAZOS públicos"" de otros ingresos no puedo hablar."
"https://lh3.googleusercontent.com/a-/ALV-UjUJzuomAqpav9xH6IgfTuZf_AOe4_hXs0d3Ha0NIyWA3PiLVJNn=w45-h45-p-rp-mo-ba6-br100","Carlos Fernández","Local Guide · 261 reseñas · 607 fotos","Hace 2 años","Buen estado general pese a las filtraciones."
"https://lh3.googleusercontent.com/a-/ALV-UjX0s3Yxjalp6T2FtPyA2nGvbETucuTXflENMY4UqNKWj8PyU6rP=w45-h45-p-rp-mo-ba5-br100","Ricardo Petit","Local Guide · 223 reseñas · 494 fotos","Hace 2 años","Espacio de encuentro de grupos de deportistas de diferentes disciplinas. Kickingball tiene aquí un campo de práctica."
"https://lh3.googleusercontent.com/a-/ALV-UjVucdaOx-gDrj9N1etrED8uEqrseuyEYevD6BHAC7yylBeVzMfj=w45-h45-p-rp-mo-ba5-br100","oscar fernandez","Local Guide · 191 reseñas · 469 fotos","Hace 3 años","Un buen parque muy activo cada día mejor ,hay fuente para los perros y recinto para ellos ,un metro que pronto estará activo ."
"https://lh3.googleusercontent.com/a-/ALV-UjVzd4xeKBQKLill0hjva8kVMzXkYw72PRrTuSvd-EZSb1UVle8v6A=w45-h45-p-rp-mo-ba4-br100","Jessica Casares","Local Guide · 185 reseñas · 167 fotos","Hace 2 años","Campo de fútbol ⚽ donde practicamos y jugamos u  deporte llamado Kickigboll 🥰…"
"https://lh3.googleusercontent.com/a-/ALV-UjXEc8yEVX0yIegGBtm6eVXKahsB3nwy31_Q-OzPd3MfpP3-mhY=w45-h45-p-rp-mo-br100","Javier de Miguel","20 reseñas · 2 fotos","Hace 5 años","Estuvo cerrada un montón de tiempo, actualmente el estado de conservación es correcto pero no recomiendo su uso salvo que sea necesario"
"https://lh3.googleusercontent.com/a-/ALV-UjVMSH25HnuwuS733G7lY3gKAjxTaGbcl2JUIhQtHUAQXu9PXF1U=w45-h45-p-rp-mo-ba4-br100","Nevers Alexander Macias Intriago","Local Guide · 46 reseñas · 138 fotos","Hace 2 años","Pésima la atención del personal del metro, no sabia que en Madrid sean tan incultos"
"https://lh3.googleusercontent.com/a-/ALV-UjXRlJ8lBXrFwCbtrxwtPphlgeEmaiKWhHh-9xtdcOjkUWJYzT06Yg=w45-h45-p-rp-mo-ba5-br100","Soymanu","Local Guide · 224 reseñas · 268 fotos","Hace 3 años","Localidad muy bonita y tranquila."
"https://lh3.googleusercontent.com/a-/ALV-UjUNws8k2i5cD_ZvLWZWuMORuS34eNR3MeyZLREuT8n4N_O_BtIb=w45-h45-p-rp-mo-ba5-br100","Miguel B","Local Guide · 200 reseñas · 753 fotos","Hace 3 años","Inundado cada dos por tres."
"https://lh3.googleusercontent.com/a-/ALV-UjWJ1Vpvg-4FWtun_0jhw8BGFh7LYRXPwa9YGKX8lRP-P5JiOFk=w45-h45-p-rp-mo-ba4-br100","Arturo Bird","Local Guide · 87 reseñas · 327 fotos","Hace 5 años","Es una estación espaciosa pero casi desierta de pasajeros"
"https://lh3.googleusercontent.com/a-/ALV-UjXEIp2uGLZ4PidUo7ud-yFQ3nHjXrfSs-VxRoLw6FYLySsYTDU0=w45-h45-p-rp-mo-ba5-br100","Araceli Narvalina","Local Guide · 149 reseñas · 63 fotos","Hace 2 años","Buena atención y servicio 🙂…"
"https://lh3.googleusercontent.com/a-/ALV-UjXK7mlRD22tlw6dofatCmdpcPz3RpZ2FOuvFamHzk6V5bcNRWkCew=w45-h45-p-rp-mo-ba5-br100","Alex Lpzsb","Local Guide · 204 reseñas · 407 fotos","Hace 7 años","Una de las polémicas estaciones... Mucho tiempo cerrada."
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w45-h45-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","Metro Jarama L7"
"https://lh3.googleusercontent.com/a/ACg8ocJwzza9ZjwSPSBozlakYFX5kmsc-l56d6e4t31PtnMPXlFaag=w45-h45-p-rp-mo-br100","ÓSCAR Z.R. EL MEJOR","10 reseñas · 13 fotos","Hace 4 años","Me ha encantado"
"https://lh3.googleusercontent.com/a-/ALV-UjX_6imrdItMSovW-AWMOTdMIfI7pd080Dd1mCYSj6zETZM9YgJ6=w45-h45-p-rp-mo-br100","gabriel lozano","6 reseñas","Hace 5 años","Demasiado tiempo cerrada"
