"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.888 fotos","Hace 6 años","Estación de metro perteneciente a la línea 12 (metrosur). Cómo toda la linea de metrosur, tampoco tiene cobertura. La estación por lo general suele estar limpia. El personal es atento y amable. La frecuencia de los trenes en cuanto espera es más alta que el resto de metro de Madrid. Tiene ascensores."
"https://lh3.googleusercontent.com/a/ACg8ocL_3stNDyDIklc95y2-dr8otxOat3fuCg5RivlcFf-ex5c9HA=w45-h45-p-rp-mo-ba5-br100","Raquel Y “Raquel”","Local Guide · 95 reseñas · 25 fotos","Hace 7 meses","Es una estación grande y limpia tiene ascensor y escaleras mecánicas. No le doy las 5 estrellas porque muchas veces las escaleras están estropeadas y no siempre hay personal en la estación"
"https://lh3.googleusercontent.com/a-/ALV-UjWoGvFy1vSjWp6FFaiKDPe8e8FpY55z4_w8VvsQpH-xERYz8lY3=w45-h45-p-rp-mo-ba5-br100","Javier MC","Local Guide · 176 reseñas · 312 fotos","Hace 6 años","Esta estación en particular está muy bien cuidada, casi siempre está limpia. Cuenta con ascensor y escalera mecánica. Rara vez están estropeadas los dos a la vez, aunque eso alguna vez ya me ha pasado. En cuenta a la aglomeración de viajeros no es alta, no es una estación saturada, más bien diría todo lo contrario, las frecuencias de metro son las justas y necesarias."
"https://lh3.googleusercontent.com/a/ACg8ocKIIZTpp1wfp755ijmRgaOKaS6QFaNREdhImPthBlr8hLk0PA=w45-h45-p-rp-mo-ba4-br100","Victor Alcocer","Local Guide · 81 reseñas · 24 fotos","Hace 6 años","Estacion en Leganes. Estación de metro perteneciente a la línea 12 (metrosur). Cómo toda la linea de metrosur, tampoco tiene cobertura. La estación por lo general suele estar limpia. El personal es atento y amable. La frecuencia de los trenes en cuanto espera es más alta que el resto de metro de Madrid. Tiene ascensores. Dos salidas a ambos lados de la avenida, en la que se encuentran varios comercios y servicios."
"https://lh3.googleusercontent.com/a/ACg8ocKeNdGrXxPg7W_ENEcL06cNhuHoJYcYfWIBaLIYVQ3XB8aRng=w45-h45-p-rp-mo-ba4-br100","Cafe Y punto","Local Guide · 85 reseñas · 8 fotos","Hace 4 años","Repugnante servicio por parte de una trabajadora con el número 2808 que es el que me dijo ya que su identificación no estaba visible ni tampoco en condiciones legibles como marca la ley. Pasota, vacilante y llegando incluso a la provocación. Creando un ambiente enrarecido aplicando exceso de autoridad con los usuarios. En mi caso, fué patético como se regocijaba de que me confudiera supuestamente por pagar doble un billete combinado y haciendome pagarlo doble aún enseñándole el tikets. Yo quería 2 viajes ida y vuelta y otros dos para otro día. Total, que me ha costado pagar 4 viajes por 18€ y no los 12€ estipulados ha que esta mujer de metro es una persona que no merece estar en ese puesto. Nefasta la atención de metro con los usuarios y esta trabajadora, (por llamarla de alguna manera educada)...ya podía tener empatía y no ser tan denigradora hacia los usuarios."
"https://lh3.googleusercontent.com/a-/ALV-UjXblX5sx2o5ylEIUlydEHe2_2gO3zXd9ncpsbP9_K790rf-FI616A=w45-h45-p-rp-mo-ba3-br100","Marta LP","Local Guide · 54 reseñas · 3 fotos","Hace 3 años","Salida en una avenida concurrida por ciudadanos paseando. Parada de bus justo al lado con algun autobus como el 432. tiene  ascensor y escaleras mecánicas tanto de subida como de bajada. en invierno suelen poner un quiosko de churros"
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w45-h45-p-rp-mo-ba5-br100","Gabriel Montero Montes","Local Guide · 403 reseñas · 582 fotos","Hace 8 años","La estación de Metro Sur de Julián Besteiro fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Avenida Rey Juan Carlos I con Calle La Sagra en el municipio de Leganés. Esta estación se encuentra al pie del Centro Cívico Julián Besteiro, del que ha tomado su nombre. En las proximidades de la estación se encuentra el Teatro Egaleo, un teatro al aire libre que abre sus puertas y calendario con la llegada del buen tiempo."
"https://lh3.googleusercontent.com/a-/ALV-UjVdgGbF6yHkn4h8kZl4JIw9kILxhyR-laS-5Yja_wCnEcS02C_G=w45-h45-p-rp-mo-br100","ANTONIO CANANA","2 reseñas · 3 fotos","Hace 6 años","Metro Sur una línea de metro que desde hace meses no FUNCIONA  justo desde esta estación hasta San Nicasio camina a muy lenta velocidad !! SEGURAMENTE POR DEFICIENCIAS EN SU MANTENIMIENTO !! ? QUE ESTA SUCEDIENDO ?"
"https://lh3.googleusercontent.com/a-/ALV-UjXssiqS4r3tn6uwlnDs-gYw4Xk0PeQJeJJLaYjfpueQp6hACaeM=w45-h45-p-rp-mo-ba5-br100","Rafael Peñalver","Local Guide · 461 reseñas · 109 fotos","Hace 2 años","Casi siempre hay un señor empleado del metro muy amable y siempre dispuesto ayudarte con las maquinas"
"https://lh3.googleusercontent.com/a-/ALV-UjVkO72O7M48tFfk_PiMgszaN6-kXOCGP_fUDwNYBObplyP0No_T=w45-h45-p-rp-mo-ba4-br100","albertogb1955gb Luis Alberto","Local Guide · 154 reseñas · 44 fotos","Hace 2 meses","Excelente"
