"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXLxlknk-yN101r4imv9r5g-dtAh-khR-z_gKF9ZL56SMAVi_VY=w45-h45-p-rp-mo-ba3-br100","Guevara Ramirez","Local Guide · 30 reseñas · 107 fotos","Hace 3 meses","La estación de ""La Fortuna"" pertenece a la Linea 11 (la que es de color verde oscuro). Está situada en el Municipio de Leganes, en el Distrito de La Fortuna entre la calle de San José con calle Puerto de los Leones. Se encuentra dentro de la zona ""B1"" de la Comunidad de Madrid. Está estación tiene accesibilidad ya que cuenta con ascensor para personas con movilidad reducida, cochecitos para bebes y personas mayores, ademas cuenta con escaleras mecanicas; todo en buen estado y de buen uso. Es una estación con bastante profundidad y dentro de ella puedes apreciar una especie de museo fotográfico (fotos de la construcción de la estación). La misma fue inaugurada el 05 de octubre de 2010 de esta forma paso a convertirse en cabecera de la linea 11 y rinde su nombre al mismo barrio que se llamó La Fortuna ya que asi se llamaba la mujer del empresario de origen portugués dueño de esos terrenos. Posee una unica salida y su ascensor exterior, justo enfrente de esta estación pasan autobuses diurnos que conectan con los Distritos la Latina y Carabanchel de Madrid y nocturnos que conectan directamente con Atocha."
"https://lh3.googleusercontent.com/a-/ALV-UjUUnX2_YwbHy2OgyyFv6-4jFu3_D84RWtcFiPOTHL8UMAvEV8sL=w45-h45-p-rp-mo-ba8-br100","David Crespo","Local Guide · 1.353 reseñas · 6.918 fotos","Hace 3 años","Estación moderna muy grande,limpia y también muy luminosa.  Personal amable y atento. Buenos accesos para personas con movilidad reducida ascensores y escaleras mecánicas ♿🚻. Línea 11 de METRO. Comunica el barrio de la FORTUNA con MADRID directamente. Si vas al centro comercial SAMBIL te deja en la misma puer. 100% muy recomendable.…"
"https://lh3.googleusercontent.com/a-/ALV-UjWsQ4_Uu-NmAbFdheszyx32lQSOxvNVYp0fjNkJimeUrmQ7R-c=w45-h45-p-rp-mo-ba4-br100","Liliana Dos Santos","Local Guide · 165 reseñas · 100 fotos","Hace un año","La funcionaria que trabaja en el turno de 17:45 del día de hoy 19 de Agosto 2023, trabaja de mala gana y malas formas. Debería estar acostumbrada a las personas que llegan a ésta zona y que por alguna razón no adquirieron el ticket con anterioridad para entrar en la zona B. Sino le gusta su trabajo pues que pida traslado pero no que haga comentarios como ""me encanta la lectura selectiva de la gente"" y poner malas caras a todo los que le pedíamos ayuda. Si supieramos lo que hacemos, no pediríamos ayuda."
"https://lh3.googleusercontent.com/a-/ALV-UjU9Gk1yY1C-tdKX8EM488jM61p9iUR3EXxSW4UfhSKCdtUcohtQew=w45-h45-p-rp-mo-ba3-br100","Mavel","Local Guide · 20 reseñas · 47 fotos","Hace un año","Estación de metro super tranquila, grande y limpia, se debe tener acceso de abono de la Zona B1 de Madrid o pagar la diferencia de zona para entrar y salir de la misma."
"https://lh3.googleusercontent.com/a-/ALV-UjWMGSBGiLzSddBpcupg1nV6V_RLq0aKw-T6Ko6rxpSU8ldpbcs=w45-h45-p-rp-mo-ba5-br100","Jesús Farfan","Local Guide · 155 reseñas · 60 fotos","Hace 5 años","En general, el Barrio La Fortuna es un lugar muy agradable para vivir puesto que es bastante tranquilo, cuenta con una amalgamada mezcla de razas y religiones, gente trabajadora, gran cantidad de locales comerciales de la más amplia variedad, tiene la suerte de contar con extensas áreas de esparcimiento y recreación, además de un excelente Centro Comercial como lo es el Sambil Outlet. Tiene además un clima particular pues está rodeado de áreas verdes y en una especie de loma. Es muy grato para vivir."
"https://lh3.googleusercontent.com/a-/ALV-UjXGNkwuP8pRhTODBUhnM_EWxeRb4VQbDTxfCE3J7vOl_0q9jjrF=w45-h45-p-rp-mo-br100","Paula Vidal","3 reseñas","Hace un año","Uno de los mejores barrios de Madrid... O pertenece a Leganés? Es q no está unido no sé"
"https://lh3.googleusercontent.com/a/ACg8ocKN7NmNNPmbak5JfCLL4Ci4brOhsI9d8GMFhJDHzuNfwqn3Pw=w45-h45-p-rp-mo-br100","Buxifolius Leire","1 reseña","Hace 4 años","Esta calle esta llena de camellos, que con todo el descaro se forran traficando.  A que esperan para detenerlos, los vecinos estamos hartos de esta situacion y la Pojicia no hace nada. Pues pagamos impuestos como todos."
"https://lh3.googleusercontent.com/a-/ALV-UjX9T1DJ6OYN1H0shMNHOvGhzbVjsu3yC6gP1LHdjyQL_SOMVTgL=w45-h45-p-rp-mo-ba5-br100","Pedro Da Veiga","Local Guide · 40 reseñas · 64 fotos","Hace 6 años","Estación bien ubicada en el barrio, al lado de un gran parque con zonas verdes. A 2 minutos del CC Sambil, y al lado de una parada de bus para ir por el barrio de La Fortuna."
"https://lh3.googleusercontent.com/a-/ALV-UjV9mELnNvO9hSiQmG_cJvM13B1iOz12nF6dSJB2u_CVul4JS-W4=w45-h45-p-rp-mo-ba5-br100","Alberto Motta","Local Guide · 150 reseñas · 357 fotos","Hace 2 años","Agradable, pero se puede mejorar mucho mas en recogida de basura ya son obsoletos e incomodos para la mayoria de personas"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.888 fotos","Hace 6 años","Estación amplia y moderna. Está justo al lado del centro comercial Sambil. La pega es que no llega cobertura. Tiene ascensor"
