"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXLxlknk-yN101r4imv9r5g-dtAh-khR-z_gKF9ZL56SMAVi_VY=w36-h36-p-rp-mo-ba3-br100","Guevara Ramirez","Local Guide · 29 reseñas · 99 fotos","Hace 3 meses","La estación de ""La Peseta"" pertenece a la Linea 11 (la que es de color verde oscuro). Está situada en el Distrito de Carabanchel, justo en el Ensanche de la Peseta entre la calle Salvador Allende con la avenida La Peseta. Se encuentra dentro de la zona ""A"" de Madrid. Está estación tiene accesibilidad ya que cuenta con ascensor para personas con movilidad reducida, cochesitos para bebes y personas mayores, ademas cuenta con escaleras mecanicas; todo en buen estado y de buen uso, punto adicional dentro de la estacion justo frente del ascensor tienes parking para bicicletas. La misma fue inaugurada el 18 de diciembre de 2006 y rinde su nombre a la antigua moneda de España, posee una unica salida que dentro de ella se encuentra el ascensor y justo enfrente de esta estación pasan autobuses diurnos y nocturnos que conectan con el centro de la ciudad de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 22.102 fotos","Hace 6 años","La estación en si está bastante bien. Se ubica la salida en un parque, que está justo al lado. El inconveniente es que no llega cobertura móvil aún a la línea."
"https://lh3.googleusercontent.com/a-/ALV-UjUU_abdqmq4y9wTilIXUqN0W0t7s5mkZFqzSunKiglPxtr8cug3=w36-h36-p-rp-mo-ba5-br100","Carlos Palancar Clavo","Local Guide · 210 reseñas","Hace una semana","Está muy bien ese lugar"
"https://lh3.googleusercontent.com/a-/ALV-UjVxlnA-XdElFhuvtEwwGy8q7jVXVgvozBRwlbQvOknjCOSVjtActw=w36-h36-p-rp-mo-br100","VEBRMAD","211 reseñas · 11.393 fotos","Hace un año","Buena ubicación , salida a una gran avenida. Suelo limpio , próximamente tendrá ampliación de linea hasta el norte de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjXGNbCPnbaNYS3cYkMKiL4odhAG7ysA9wJxdTMlHhakztDYLFfPaw=w36-h36-p-rp-mo-ba6-br100","Toni Jardim","Local Guide · 443 reseñas · 4.440 fotos","Hace 5 años","Es un parque agradable, amplio, con parque para niños, mesas y sillas, por supuesto con la estación de metro la peseta"
"https://lh3.googleusercontent.com/a-/ALV-UjWMGSBGiLzSddBpcupg1nV6V_RLq0aKw-T6Ko6rxpSU8ldpbcs=w36-h36-p-rp-mo-ba5-br100","Jesús Farfan","Local Guide · 155 reseñas · 60 fotos","Hace un año","La estación del Metro La Peseta está muy bien ubicada y sus alrededores son muy agradables visualmente, puesto que sus áreas circundantes son amplias, arboladas y con salida a la avenida La Peseta de Carabanchel. A pocos metros tienes esta vía comercial, además de las diversas líneas de autobuses con paradas en los alrededores."
"https://lh3.googleusercontent.com/a-/ALV-UjUUnX2_YwbHy2OgyyFv6-4jFu3_D84RWtcFiPOTHL8UMAvEV8sL=w36-h36-p-rp-mo-ba8-br100","David Crespo","Local Guide · 1.354 reseñas · 6.921 fotos","Hace 3 años","Estación moderna, limpia ,amplia y luminosa. Con muy  buen acceso. Ascensor para personas con movilidad reducida♿🚻.Personal amable y atento. Para ser una estación moderna le falta cobertura de móvil, wifi. 100 % recomendable.…"
"https://lh3.googleusercontent.com/a-/ALV-UjU6GokDlaKaBkUO5qFZ1PRqrUuNgkkkdg9XKw04BYhAwLO4nKSZ=w36-h36-p-rp-mo-ba3-br100","Abraham EC (tпианист)","Local Guide · 16 reseñas · 1 foto","Hace 6 años","Es una estación de metro modernizada con una única entrada (y salida)  y con entrada para discapacitados. Ubicado en el parque de la peseta, no cuenta con cobertura pero el personal que se encuentra ahí para cualquier ayuda que necesites es bastante profesional."
"https://lh3.googleusercontent.com/a/ACg8ocLpLFvveQGCTvbFp9Abg4A1pGOtXPGAicSP_zBMDprecbDQ=w36-h36-p-rp-mo-ba4-br100","Noemi Arevalo","Local Guide · 146 reseñas · 13 fotos","Hace un año","La terraza funciona muy bien y es amplia. Funciona en invierno también"
"https://lh3.googleusercontent.com/a/ACg8ocIwwx5divUWSyVl4eP2v474YR0tsFqsTybEVM0AvIaGgLiSoA=w36-h36-p-rp-mo-ba4-br100","tatiana sierra navarrete","Local Guide · 39 reseñas · 8 fotos","Hace 2 años","Me encanta la zona,de relativa nueva construcción,con ambiente joven,buenos locales de restauración, bien comunicada,y que voy a decir,es mi barrio,me encanta."
