"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 22.125 fotos","Hace 3 meses","Estación de metro que pertenece a la línea 2. La salida da a un parque muy grande y bien cuidado. Dispone de ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjXGNbCPnbaNYS3cYkMKiL4odhAG7ysA9wJxdTMlHhakztDYLFfPaw=w36-h36-p-rp-mo-ba6-br100","Toni Jardim","Local Guide · 443 reseñas · 4.441 fotos","Hace 5 años","Última estación de la línea 2 del metro Madrid, bien mantenida, iluminación, temperatura, limpieza."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.804 reseñas · 12.348 fotos","Hace 7 años","Moderna estación cabecera de la línea 2. Tiene un solo acceso/salida en el bulevar del Paseo Ginebra al que podemos llegar a través de las escaleras o el ascensor."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Local Guide · 827 reseñas · 3.509 fotos","Hace un año","Tiene buen acceso para las personas con movilidad reducida. A la salida se puede disfrutar de un pequeño parque."
"https://lh3.googleusercontent.com/a-/ALV-UjVlELVKFdFkQ9CxYy83_SK7yjllVyyZQJeZpUCTIShGZGErzgE4=w36-h36-p-rp-mo-ba4-br100","Ana67","Local Guide · 117 reseñas · 197 fotos","Hace 7 años","Muy buen barrio. Gente joven. Para hacer cualquier tipo de deporte,  canchas de baloncesto y fútbol, Villa Olímpica (Estadio de fútbol del Atlético de Madrid), gimnasios callejeros, Asociación de vecinos con muchas actividades, comercios, muchas zonas verdes."
"https://lh3.googleusercontent.com/a/ACg8ocJWxNO6396N8AEIDpb5EYfs31aPsV9R2K4UWXZYWYYOu-AcDmLg=w36-h36-p-rp-mo-ba4-br100","Irene PL","Local Guide · 58 reseñas · 11 fotos","Hace 2 años","La gente de seguridad muy desagradable. Nunca están, y cuando están es para aparentar que trabajan.  Mientras saco el billete oigo cómo se ríen de la gente a la que pillan sin billete. Ahí se han quedado, de cháchara y aún mofándose."
"https://lh3.googleusercontent.com/a/ACg8ocJjHhlUXUHj7oU_aAr7lqV3rJvwbukjt9x1G6agnJ9jmcVNww=w36-h36-p-rp-mo-ba4-br100","ruben arnaiz","Local Guide · 103 reseñas · 16 fotos","Hace 8 meses","Estación de metro en una zona residencial tranquila y con muchas posibilidades de aparcar."
"https://lh3.googleusercontent.com/a-/ALV-UjW0DvHoqdwXJVJfhftF1u1D-1RanvgAWpAxXUQuYArIpZAn-yh6=w36-h36-p-rp-mo-ba5-br100","Iván de Diego","Local Guide · 291 reseñas · 168 fotos","Hace 6 años","Estación de Metro muy moderna que da muy buen servicio al barrio. Tiene buenos accesos con escaleras y ascensor. Se colapsa en días de partido, convirtiéndose todo en insuficiente."
"https://lh3.googleusercontent.com/a/ACg8ocIkLJFwPCuyVhmBvjjdjIxk5mBBgWvO7YpAWmpk_geetdszyg=w36-h36-p-rp-mo-ba2-br100","Victor Manuel Gonzalez","Local Guide · 12 reseñas · 5 fotos","Hace 2 años","Me gusta el color limón de la estación esta bien mantenido,muy limpia y una afluencia ni muy baja ni muy alta,la zona es muy bonita."
"https://lh3.googleusercontent.com/a-/ALV-UjUIDO8Lry50DSNfkx9ediCRsYLuClp169EsfGUccDLWnTB1N94=w36-h36-p-rp-mo-ba3-br100","Angel Alvarez","Local Guide · 25 reseñas","Hace un año","Estación con entrada muy bien cuidada, en un entorno muy agradable"
"https://lh3.googleusercontent.com/a-/ALV-UjVgpHYfzZvSm7Kdqf4aQyxr9ZHgj9aI4YobY_AOQuFHIOwcd3hu=w36-h36-p-rp-mo-ba4-br100","Norma Somoza","Local Guide · 76 reseñas · 1 foto","Hace un año","Hermoso florido ideal para vivir en flia"
"https://lh3.googleusercontent.com/a-/ALV-UjWBbwZ3NMWVVCwqIz5ew4JqPjlwKlyRmc1Np3_k9j_sHRMyep3t1A=w36-h36-p-rp-mo-ba8-br100","Blacky. (Blacki.)","Local Guide · 406 reseñas · 36.972 fotos","Hace un año","Un buen sitio para hacer deporte y pasear."
"https://lh3.googleusercontent.com/a/ACg8ocIuRLlGHWjVOkYTKvEJS96w1h0hjiXt-2pvu7LCDmxSjHvfgg=w36-h36-p-rp-mo-br100","Maria Hermira Diaz","5 reseñas","Hace 2 años","El metro está bien lo que pasa es que en Google no ponen la calle que es"
"https://lh3.googleusercontent.com/a-/ALV-UjXeY1tCKfvZFF66SNRrlS8BiBtn6Nx5gWGHWcZE9053e8QwFvlqGQ=w36-h36-p-rp-mo-ba5-br100","J","Local Guide · 117 reseñas · 934 fotos","Hace 7 años","Un barrio con mucha vida y más ahora con el Wanda. Muchos bares, etc."
"https://lh3.googleusercontent.com/a-/ALV-UjURrUdRVOXpFIkLyIK2HeU-WWhhQds3WWsxa_zFfUN-V1zPbapHXA=w36-h36-p-rp-mo-ba5-br100","Diego Diaz","Local Guide · 244 reseñas · 168 fotos","Hace 5 años","Espaciosa.moderna...y con muy buen acceso.salida entrada...."
"https://lh3.googleusercontent.com/a/ACg8ocIOVUzyoTkIr1Z84HFnYVDS6eV68v4KK6BvNOGzZi4SR9aN4w=w36-h36-p-rp-mo-ba3-br100","Antonio Paterna Benito","Local Guide · 19 reseñas · 1 foto","Hace 6 años","Cumple su función para el día a día , cuando hay partidos se colapsa."
"https://lh3.googleusercontent.com/a-/ALV-UjXVLl-46DQyGjoMc74oUbyCKziUWda39PddUwKgNHol4oWWQYun=w36-h36-p-rp-mo-ba4-br100","Adolfo Sánchez","Local Guide · 41 reseñas · 24 fotos","Hace 7 años","Una estación amplia y con muy buenos accesos."
"https://lh3.googleusercontent.com/a-/ALV-UjX365C6S11vq1mdfp3rO9olG8dPuA9GLicNIBvqUCeWSj97kFozTQ=w36-h36-p-rp-mo-ba4-br100","Rafael Diaz Moreno","Local Guide · 177 reseñas · 27 fotos","Hace 6 años","Los tres van bien pero la estación es pequeña"
"https://lh3.googleusercontent.com/a-/ALV-UjWjQu8FJg20KWqLhEAHQmjYYHdbAmUU4-C_flwVtQWL5v9FLC8o9Q=w36-h36-p-rp-mo-ba6-br100","Jota Saez","Local Guide · 562 reseñas · 2.059 fotos","Hace 5 años","Agradable y nuevo barrio al este de la ciudad"
"https://lh3.googleusercontent.com/a-/ALV-UjUpSZw-YDFkDeA6NnUXn6KFmaX_ObgpVOi4T1THIGyyUGV21Mt4=w36-h36-p-rp-mo-ba5-br100","Vicky salas","Local Guide · 52 reseñas · 913 fotos","Hace 7 años","Un barrio que crece según las necesidades de sus habitantes."
"https://lh3.googleusercontent.com/a-/ALV-UjVQk-CaeiF3G2WionX0zsB12Ts9LGQuvIndW3EcNX681WNuIek_=w36-h36-p-rp-mo-br100","Vicente valdeolivas martin","8 reseñas","Hace 7 años","Información necesaria para quien no conoce el lugar."
"https://lh3.googleusercontent.com/a-/ALV-UjW0egL49RhdsMfl5S0HIbzCxQRcIXufTF7dmiKpuFxUnjDzgkjF=w36-h36-p-rp-mo-ba4-br100","Food Love","Local Guide · 76 reseñas · 2 fotos","Hace un año","Una parada sin mas"
"https://lh3.googleusercontent.com/a-/ALV-UjWF-qy4QZL3R_IsroRlHt45T6Vt4Zgbx5gy6__eCC4oqVkIvVQ=w36-h36-p-rp-mo-ba2-br100","Juan Go","Local Guide · 19 reseñas","Hace 2 años","Buenas instalaciones."
"https://lh3.googleusercontent.com/a-/ALV-UjX2rJn7cnnH885zBecruu2a4HfPgPHdFispRfTs2_ikJuuKs6jhRA=w36-h36-p-rp-mo-ba4-br100","Arturo Vargas","Local Guide · 24 reseñas · 260 fotos","Hace 3 años","Muy bonito"
"https://lh3.googleusercontent.com/a/ACg8ocJ9LYRGG0NOaafblHGYzGdcyiJmbyOYjUejxLyuIT4mttV6Yg=w36-h36-p-rp-mo-ba4-br100","Esther","Local Guide · 78 reseñas · 73 fotos","Hace 5 años","Muy espaciosa"
"https://lh3.googleusercontent.com/a-/ALV-UjUJXBs4Oug_aaOHyau58OWlG6c-D_e-fH6YKskR-rrjcYX_8xFp=w36-h36-p-rp-mo-br100","Paulaaa Exposito","2 reseñas","Hace 7 años","Es el mejor barrio"
"https://lh3.googleusercontent.com/a/ACg8ocI-B9Ab5_EIo0Yks6psT2yKdNGQCWokBmuJ6g26qkD7PwQiUg=w36-h36-p-rp-mo-ba3-br100","tiago damaso pombo","Local Guide · 14 reseñas","Hace 6 años","Comodo"
"https://lh3.googleusercontent.com/a-/ALV-UjXlpTJ5518VdKO4LU6XY-_gf6FcETfRGoU_iANWFzviAJFFQiI=w36-h36-p-rp-mo-ba4-br100","Marcus Alexandre","Local Guide · 88 reseñas · 43 fotos","Hace 8 años","El dulce sabor de volver a casa."
