"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 227 fotos","Hace un mes","### Reseña: Estación de Metro Lista #### Ubicación y Contexto - **Localización:** La estación de Metro Lista se encuentra en el barrio de Salamanca, en el distrito Centro de Madrid, España. Está situada en la intersección de la calle Lista y la calle Príncipe de Vergara. - **Líneas:** Es una estación de la línea 4 (naranja) del Metro de Madrid. #### Historia y Desarrollo - **Inauguración:** La estación de Lista fue inaugurada el 24 de enero de 1944 como parte de la extensión de la línea 4. - **Nombre:** La estación recibe su nombre de la calle Lista, una importante arteria del barrio de Salamanca, cuyo nombre remonta a la calle Lista en la ciudad de Madrid. #### Infraestructura y Servicios - **Accesos:** La estación cuenta con accesos desde la calle Lista y está equipada con escaleras mecánicas y ascensores para facilitar el acceso a personas con movilidad reducida. - **Instalaciones:** Ofrece servicios como máquinas expendedoras de billetes, taquillas, y paneles informativos electrónicos. También hay algunas tiendas y servicios adicionales en los alrededores. - **Seguridad:** La estación está equipada con cámaras de vigilancia y personal de seguridad para garantizar la seguridad y el confort de los pasajeros. #### Conexiones y Transporte - **Líneas de Metro:** - **Línea 4:** Conecta Lista con Argüelles y Pinar de Chamartín, pasando por estaciones importantes como Bilbao y Goya. - **Autobuses:** Varias líneas de autobuses de la EMT Madrid tienen paradas en las cercanías, proporcionando conexiones adicionales a otras áreas de la ciudad. - **Cercanías:** Aunque la estación no tiene una conexión directa con la red de Cercanías Renfe, está relativamente cerca del intercambiador de Nuevos Ministerios, donde se puede hacer transbordo a otras líneas de Cercanías. #### Importancia y Uso - **Flujo de Pasajeros:** Lista es una estación de tráfico moderado, principalmente utilizada por residentes del barrio de Salamanca y personas que se desplazan por la zona comercial y residencial. - **Puntos de Interés:** La estación está cerca de la calle Lista, que ofrece una variedad de servicios y comercios. También se encuentra en una zona bien conectada con áreas comerciales y residenciales del barrio de Salamanca. #### Opiniones y Experiencias de los Usuarios - **Accesibilidad:** Los usuarios aprecian la accesibilidad de la estación, con buenas instalaciones para personas con movilidad reducida. - **Conectividad:** La estación proporciona una conexión útil dentro de la línea 4, facilitando el acceso a diferentes puntos de Madrid, aunque no es un nodo de transbordo principal. - **Mantenimiento:** La estación es generalmente bien considerada por su limpieza y mantenimiento, ofreciendo un entorno seguro y cómodo para los pasajeros. En resumen, la estación de Metro Lista es una parte integral de la línea 4, proporcionando acceso conveniente al barrio de Salamanca. Su ubicación y las conexiones que ofrece la hacen valiosa para los residentes y visitantes que se desplazan por esta zona de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjUCrVm9X3z0v6yBEQFls2PTexSGNpDzHfWJXrdd-QmB0oo03u4w=w36-h36-p-rp-mo-br100","runrunner8","10 reseñas","Hace 7 meses","como vas a llamasr a una parada lista eres memo o que te pasa esto es denunciable"
"https://lh3.googleusercontent.com/a/ACg8ocIw1xSKAXmkqOjFrjxkUQNBFDwXx-CXiWuGt8CP-ZjYsdyhMw=w36-h36-p-rp-mo-ba5-br100","Maria Zuazo","Local Guide · 254 reseñas · 1.451 fotos","Hace 2 años","No es una de las zonas que más visite, me queda algo apartado. Sin embargo cuando no tengo quehaceres me encanta caminar por la ciudad. Los ambientes, gentes, tiendas, restaurantes.."
"https://lh3.googleusercontent.com/a-/ALV-UjWs63pQW_O2GQM5RhwQ4JXL3YAOIyW1m1ndIKL7nsY5quLXg0dexw=w36-h36-p-rp-mo-ba8-br100","VÍCTOR VIRGÓS","Local Guide · 1.719 reseñas · 18.917 fotos","Hace 3 años","Esta zona tan cercana ya a Goya es súper animada y tiene muchos comercios para comprar y tomar algo. Es zona bastante exclusiva y de mucho paso comercial."
"https://lh3.googleusercontent.com/a-/ALV-UjWFHLTf2RBTAGsGFvGjqOcP_ej8_pc8maAeIbzdM47YjQsqjA=w36-h36-p-rp-mo-ba5-br100","luis MP","Local Guide · 143 reseñas · 30 fotos","Hace un año","De las que necesitan reforma, no hay acceso para silla de ruedas, cochecito de niños..."
"https://lh3.googleusercontent.com/a-/ALV-UjUgBhV5zhFAY2uT1ewP0PDTz-gYoa0GLQV6pXg9vqZ1uZHhZ4_D=w36-h36-p-rp-mo-br100","Nonchaloir","10 reseñas","Hace 6 años","He visto a varias personas accediendo al metro sin pagar por falta de personal de seguridad. Lo que no pagan los jetas que se cuelan luego lo pagamos entre todos"
"https://lh3.googleusercontent.com/a-/ALV-UjWqlZHFmBGzydjRw5l80wbpYfVY-gIaaZHG-o_Jj0WLxxVNCtEO=w36-h36-p-rp-mo-ba6-br100","Satur Vicente Vidal","Local Guide · 164 reseñas · 2.368 fotos","Hace 5 años","Ambiente de barrio(dentro del distrito SALAMANCA) popular y muy comercial."
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Lista es una estación del servicio de metro de Madrid línea 4 en el barrio de Salamanca en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjUZvuXpfTuxc4DfAg2OKIt_EAcZ3IcTd3M77LsgWW_7ve4s8FcA=w36-h36-p-rp-mo-ba6-br100","Jota Eme","Local Guide · 602 reseñas · 3.033 fotos","Hace un año","Un barrio muy ""barato"".."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.804 reseñas · 12.348 fotos","Hace 7 años","No tiene ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjVjqrA1TsCBlSvx8266oJkrc_-5TggHYcTo6eyqylysygLfk08w=w36-h36-p-rp-mo-ba5-br100","Antonio Casado","Local Guide · 152 reseñas · 17 fotos","Hace 11 meses","Calle Ortega y Gasset de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjV3oa_NnSsY2CESA5Rtoxe30-IW9isL17ysLZNS4s2T59LjdF-8=w36-h36-p-rp-mo-ba2-br100","Maria","Local Guide · 16 reseñas · 1 foto","Hace 3 años","Tranquilo seguro amigable cosmopolita y super elegante"
"https://lh3.googleusercontent.com/a/ACg8ocLZPLk3qAmsxlcLRN0BOmOifFok7Pnl5nBUC9M4DLTsXzVFFw=w36-h36-p-rp-mo-br100","Olga Lucia Alzate Duque","1 reseña","Hace 7 años","me encanta lo bien que  explican y  muestran fotos 360grados"
"https://lh3.googleusercontent.com/a-/ALV-UjXLWlWCKDx-wBQTJURIk7Pm2A3-87okoIhvODlMlNmHLBlJvosj=w36-h36-p-rp-mo-ba3-br100","Mauri Vera","Local Guide · 15 reseñas · 7 fotos","Hace 2 años","muy comercial genial"
"https://lh3.googleusercontent.com/a/ACg8ocLFDpMEDTyEs9YuF55jeah7bK91WrOjOVE8rSvB5qaH_rzZvg=w36-h36-p-rp-mo-br100","Pedro Garcia Hernandez","12 reseñas","Hace un año","necesitamos una remodelacion"
"https://lh3.googleusercontent.com/a-/ALV-UjXl9Tgk9U1a97wDEetGpKKjuQpygIywSACkWd34_dzBlCQBZfn-=w36-h36-p-rp-mo-br100","Miguel Angel Molina Rivero","523 reseñas · 19 fotos","Hace 6 años","Está muy bien ubicada"
"https://lh3.googleusercontent.com/a-/ALV-UjU9QN-OWbOjqOp32L8zzahs4S8dWx1qR92XhFlblHr6bhYei_fkWw=w36-h36-p-rp-mo-br100","Jose Enrique Marin Fernandez","181 reseñas · 9 fotos","Hace 8 años","Me encanta esta línea de metro"
"https://lh3.googleusercontent.com/a-/ALV-UjWWYv-0lZyyx7RfL1Bq3UAV6kgffGr1vg4-uSLAn9WCDnHmYk6eRg=w36-h36-p-rp-mo-ba3-br100","kevin Rivas","Local Guide · 33 reseñas · 24 fotos","Hace un año","Excelente lugar"
"https://lh3.googleusercontent.com/a/ACg8ocIPmzDm-5h6BTImxTdBRM_tA8ryt265f8Vat6NWjnZFHqZAwg=w36-h36-p-rp-mo-ba3-br100","Monica Navarro","Local Guide · 44 reseñas · 6 fotos","Hace 7 años","Una estación como cualquier otra"
"https://lh3.googleusercontent.com/a/ACg8ocI5UZWQO5guDggC7ViK1pt8UYzEop9xwBLaIJSt6CSyYqPZgg=w36-h36-p-rp-mo-br100","Leticia Rivera","1 reseña","Hace 7 años","Fenomenal"
"https://lh3.googleusercontent.com/a-/ALV-UjUbuoSE4va6hhIE00I1SzuUUhUY8mRkbfudSnLWjL6vazZtEnO5=w36-h36-p-rp-mo-ba7-br100","HTC G1","Local Guide · 2.123 reseñas · 10.340 fotos","Hace un año","La infraestructura es muy buena."
"https://lh3.googleusercontent.com/a-/ALV-UjXoZ99enDZsYVjtn9aTXE1TYE98U0NdKYcEN7XctHOkG-4fHWXugw=w36-h36-p-rp-mo-br100","Rafat Hamada","1.155 reseñas","Hace 7 años","Estación organizada"
"https://lh3.googleusercontent.com/a/ACg8ocIG8n2VjftkNqKxL70brDzL8DNoxfZ80_LAUrQnuoD6wy0eVA=w36-h36-p-rp-mo-ba5-br100","Ana Maria Colomer","Local Guide · 5 reseñas","Hace 8 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjXgmf_BOEkt6GtA_iCpG0gWHyI_8l9g9NDksffymI1hGTR70j8=w36-h36-p-rp-mo-ba4-br100","Sandra Mira Baena","Local Guide · 84 reseñas · 16 fotos","Hace 10 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocLfuOpb_cVjgUfHOwoPY2SOqDNPi9McczHoGmUmAhJpKrb3hQ=w36-h36-p-rp-mo-ba4-br100","Luis Menéndez","Local Guide · 26 reseñas · 6 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a/ACg8ocJBuxCmsrF_qA9k3p01YmGQGEcDoauUFb-BdEbY0L2b22y-=w36-h36-p-rp-mo-ba5-br100","Javier Nieto","Local Guide · 204 reseñas · 1.162 fotos","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWlz-lUCcCjf1lMko_L5Jy_WLL7HU29dtSvjBnjKSo2r3Xl41qu=w36-h36-p-rp-mo-br100","daniel mezzo garrido","10 reseñas · 2 fotos","Hace 3 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjV-YLnlXHpckttL-nfGVaYTXu3STBv2oIt1cJpndbbz_Qb30tsO=w36-h36-p-rp-mo-ba7-br100","Marta Ruiz Huerga","Local Guide · 1.053 reseñas · 4.793 fotos","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVvDuYkuaZXWPmz4LfLRupWUwpaCjUPgVNzZDHi7XmfwBieprw=w36-h36-p-rp-mo-br100","Nuria Cisneros López","19 reseñas · 1 foto","Hace 5 años",""
"https://lh3.googleusercontent.com/a/ACg8ocKkK31Q2pQCxHX8pZB09wIEidKxRy9eNTS3PgD9qTeYY4EJKA=w36-h36-p-rp-mo-br100","Ángel Ruiz Sanz","10 reseñas","Hace 5 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjXD62nP3AXoQD8DrnQ7w15WjfN8NDwBhZf4Cn6CPKsDv1R9K_u5=w36-h36-p-rp-mo-ba4-br100","Javier Cruz","Local Guide · 134 reseñas · 265 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVY3ngx_X35GD5OM8Zou2dhcsUKlXajopqWBwAH2hd9BqacluIfHg=w36-h36-p-rp-mo-ba4-br100","Santiago Centurión","Local Guide · 59 reseñas","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJqOkPHm4va0_ALXo3J5z8rh4_0zCKi5bQp1rvBwYBjxPv2SA=w36-h36-p-rp-mo-ba4-br100","Hongyan Xu","Local Guide · 134 reseñas · 208 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocKRyPSenmMnwfVIgjehY0Nuc_BRdI8E2n46IuBgY-3GmA1J9w=w36-h36-p-rp-mo-br100","M.Carmen Monge Rodríguez","","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJ6ZEvJiqjzrQqf2Le7WNlCceuShkPFYdIpHAv9XjCrxSzR18g=w36-h36-p-rp-mo-br100","Marita Castro-Mendívil Sosa","","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjXRyT5G9NVh0KBprbsULXg97xxsd1QMpfZlPPhYwMiqBnUNOf9Q=w36-h36-p-rp-mo-br100","Inés Ruiz del Castillo Robles","2 reseñas","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVJqo_PwMQm15tlwaskxWDfdYN9z5k_-XGtjxmQa01FDaqo23Kv=w36-h36-p-rp-mo-br100","Santos Alarcon Machuca","","Hace 8 años",""
