"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWa4afCcouSG2ZrITGBSLLoiS6U0B5_y64xoyQ8v4See5bwpttn=w36-h36-p-rp-mo-ba6-br100","José Luis Egido","Local Guide · 190 reseñas · 1.686 fotos","Hace 5 años","La linea 12 de metro es una de las más modernas de la red, en Loranca aparte de la estación hay unas cocheras de la línea, los trenes siempre paran un poquito más de lo normal, como es una línea circular es como si fuese una cabecera de línea, también hacen cambio de conductor. La linea de metro le dio mucho valor al barrio de Loranca, las ciudades crecen normalmente del centro hacia fuera, y este barrio es uno de esos casos escepcional que se encontraba muy aislado y con pocos servicios, al principio apenas eran cuatro torres aisladas como a cinco km del pueblo, hoy junto con el barrio de vivero es una de las zonas residenciales más bonitas de la ciudad, sin desmerecer otros claro. Cuenta con un edificio de distrito municipal, centro médico de salud, biblioteca que ha pasado a ser de dominio municipal, colegios infantil, primaria; institutos, colegio concertado,  un gran equipamiento deportivo, un gran parque, un gran centro comercial de Alcampo, salas de cine de última tecnología y una galería comercial más pequeña con un Dia, viviendas individuales y en edificios, 100% residencial. Si te ha sido de utilidad esta información gracias por dar un like (me gusta)s"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 22.125 fotos","Hace 6 años","La estación está siempre limpia y es grande. La pega es que no llega cobertura móvil. Tiene ascensor"
"https://lh3.googleusercontent.com/a-/ALV-UjVk38VwwcVwiMjb-EAZcAWia-5XE8nLJiTlMnQO-5GNOlfg2C4=w36-h36-p-rp-mo-ba2-br100","ARVIAL DJ","Local Guide · 20 reseñas","Hace 2 semanas","Gran barrio para vivir y bien ubicado"
"https://lh3.googleusercontent.com/a/ACg8ocLiSuAHwMrBeRs1BaQTQ05EcwY-VE-Cqav2wRSiDsw8PX8XYQ=w36-h36-p-rp-mo-br100","Wikii Lokii 18","5 reseñas","Hace un año","Estoy hasta los... Del metro de Madrid sur. 2 veces me han echo bajar del metro que cojo en Fuenlabrada para esperar al próximo tren que viene a Loranca y encima esperando en el andén 10 minutos a qué pase otro. No te dan explicaciones, no ponen otro tren de refuerzo para no esperar tanto. No puedo estar ajustando mis planes, citas o entrada al trabajo por qué estos señores les de la gana. Pondré una hoja de reclamaciones y hablaré con quién proceda. No es normal llegar tarde a los sitios por culpa de estos  cabro...."
"https://lh3.googleusercontent.com/a-/ALV-UjX_jrlybVm7Urr-qnhuooriBac10OvIVrQIABAEwGylKMBzOgEB=w36-h36-p-rp-mo-ba3-br100","Court","Local Guide · 41 reseñas · 5 fotos","Hace un año","Accesible, buen mantenimiento, estéticamente OK, la estación normalmente está desértica y no tiene casi cobertura."
"https://lh3.googleusercontent.com/a-/ALV-UjX8ExbBLG3ARNh0X34HcfbLDHg5I0wGYmwWdwm0HQUDannNYwgsVA=w36-h36-p-rp-mo-ba4-br100","Yoel Alonso","Local Guide · 109 reseñas · 52 fotos","Hace 4 años","Estación de la línea 12 no muy grande. Dispone de ascensor como entrada para personas con movilidad reducida y el trato del personal suele ser muy bueno. Esta limpia y cerca del centro de este barrio. El cambio de conductor en ocasiones es demasiado largo o algunos trenes solo circulan hasta esta parada."
"https://lh3.googleusercontent.com/a-/ALV-UjWnAxDcpl-1zVS2Bitb75lBY6Q4wZHximi58Hugqy3NTl2XBh8n=w36-h36-p-rp-mo-ba4-br100","DESTINOSLOWCOST DESTINOSLOWCOST","Local Guide · 115 reseñas · 204 fotos","Hace 4 años","Es un sitio ideal para vivir tiene de todo es una pasada"
"https://lh3.googleusercontent.com/a-/ALV-UjXd7Gb6iXpM85PFV4l8qi7nCDKycFJd-8C-wi_o-XyoJkzqTJ0=w36-h36-p-rp-mo-ba2-br100","vlad bullitt","Local Guide · 22 reseñas","Hace 5 años","La estación ha estado cerrada meses para reparar las filtraciones de agua y cuando han abierto lo han hecho igual que antes, con cubos por las escaleras por las goteras. Los trabajadores de esta estación brillan por su ausencia, ya te puede pasar cualquier problema que no los encuentras nunca en su puesto."
"https://lh3.googleusercontent.com/a-/ALV-UjVYZwEi4Y7CwUbTtwpA0ysXctgyWgGctcuoujLvhf10GK2KT-spdQ=w36-h36-p-rp-mo-ba4-br100","Noemi Lozano","Local Guide · 48 reseñas · 152 fotos","Hace 3 años","Loranca es un barrio precioso para visitar , tiene un lago enorme con varios tipos de animales y un centro comercial ""El Alcampo"" que es bastante conocido. Muchos colegios y un centro de salud con buenos médicos y pediatras. No le hace falta de nada , tiene de todo cerca."
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w36-h36-p-rp-mo-ba5-br100","Gabriel Montero Montes","Local Guide · 404 reseñas · 582 fotos","Hace 8 años","La estación de Metro Sur de Loranca fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Calle Alegría con Avenida Madres de Mayo en el municipio de Fuenlabrada. Esta estación es la parada para llegar a la urbanización de Loranca, dispone de un gran centro comercial a un paseo."
