"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVksKMECkLZERt-fObXWhfpH88va3lzOc_92gmjcb1vuDnL_UPLLA=w36-h36-p-rp-mo-ba3-br100","Leonardo Espinosa Deulofeu","Local Guide · 17 reseñas · 44 fotos","Hace 2 meses","Excelente estación con diversos servicios!!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjW8qRiEd-H0PS_DiHeQZ9wUw0mi3YJF-eZlU_Ka5-7DY9n3MddF=w36-h36-p-rp-mo-ba6-br100","Sofi","Local Guide · 384 reseñas · 1.780 fotos","Hace 9 meses","Parada en el que coincide parada de metro y estación de autobuses. Alrededor tienes el Faro y Arco de Moncloa, Museo de la América entre otroa y sede del Ejército del aire entre otros."
"https://lh3.googleusercontent.com/a-/ALV-UjX-QuNdYTJTVvv7VYfGpH0H3_4mTD1u8UMfrLJBrfW7tsfWfo_mUA=w36-h36-p-rp-mo-ba3-br100","María Fernanda González","Local Guide · 36 reseñas · 54 fotos","hace 3 días","La estación de Moncloa en Madrid conecta con distintos sitios de la ciudad, además está muy cerca del palacio de La Moncloa y la Universidad Complutense. Conexión de buses, metro y cercanías."
"https://lh3.googleusercontent.com/a-/ALV-UjVfGOvF_eOkgIoz4r7JZpGnkJ8sTshJAVvu6lBTY8drB80vpe3dmw=w36-h36-p-rp-mo-ba5-br100","Dorys Dodo","Local Guide · 228 reseñas · 1.037 fotos","Hace 4 meses","Impresionate estacion de buses con tres niveles o islas para la saluda y llegadas de buses. Super activa  de gente"
"https://lh3.googleusercontent.com/a/ACg8ocIl8tKUxoPaQOBNn3PF5cFPmZl4J4tb1D6r6q0NqU2kLY2_OA=w36-h36-p-rp-mo-br100","M .G","18 reseñas","Hace 5 meses","Sitio bien organizado y eficiente.  Me ha llamado la atención que la señora de la limpieza( pertenece a una empresa) limpiaba las papeleras metiendo la mano sin guantes, eso da una imagen regular......"
"https://lh3.googleusercontent.com/a-/ALV-UjVk0VLCoB9he3Cth_l8I7KON4pFu-vBMv1PhmC2pDOQAgEo6KLt5Q=w36-h36-p-rp-mo-ba7-br100","Agustin Fernandez Lucas","Local Guide · 714 reseñas · 10.150 fotos","Hace 2 años","Un paseo y un bulevar digno de caminar, desde Moncloa a la plaza de Cibeles. Poder admirar sus  tiendas y monumentos coronando sus edificios. Viva Madrid !!!😊😊😊…"
"https://lh3.googleusercontent.com/a-/ALV-UjWQDPM6wmzwXSydpwIdy-Hn-RAzVvvg9k334uomZ__DmCAyVm87=w36-h36-p-rp-mo-ba5-br100","Olga Gribel","Local Guide · 257 reseñas · 47 fotos","Hace un mes","Intercambiador de metro y buses con comercios apropiados para el ""de paso"" y bares. Un poco mas de aire acondicionado no estaría mal!!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjV_jEJ2I_K_I_06VgnF-uVPdoqGVjjVOG4yg-LXJR8dGuus8cqv=w36-h36-p-rp-mo-ba5-br100","M. B.","Local Guide · 216 reseñas · 1.060 fotos","Hace un año","En general el intercambiador funciona bien y hay regularidad en la ruta de autobuses. Cuenta con pequeñas casetas de venta variada y también máquinas de autoservicio incluyendo una de cargadores y dispositivos electrónicos variados. Es posible cargar el móvil mientras se espera ya q hay enchufes de cortesía. La limpieza suele ser buena. Incluyo foto de los horarios de algunos buses. Desde aquí también es posible realizar trayecto a Segovia."
"https://lh3.googleusercontent.com/a-/ALV-UjUS0B1_xvlTI4SVPNW2UGWmb1PJyJiQIdfm3tyaSHnLtkcG2ZCtLA=w36-h36-p-rp-mo-ba5-br100","ALONSO BETETTA","Local Guide · 256 reseñas · 16 fotos","Hace 4 meses","Bastante ordenado y limpio. Lo único que estorban son los maderos que te incordian discriminando y como siempre con sus preguntas de manual. Haber estudiado, pitufos"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.888 fotos","Hace 6 años","Aparte de tener 2 líneas de metro (3 y 6), tiene un intercambiador de autobuses que comunican con la zona norte de Madrid, Villalba, Majadahonda, el Escorial.... Tiene una zona de tiendas y restauración. En general todo suele estar bastante limpio. Tienen aseos en 2 zonas del Intercambiador y a veces están sucios"
