"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocKBPKrBHgCTTMuprtYzyLMLr_eo-Vg2UEuFqYZXpzxmWkNPOw=w36-h36-p-rp-mo-br100","Elena Pineda Salamanca","6 reseñas · 1 foto","Hace un mes","Muy mal climatizado. En general las instalaciones son sucias, y encima por entrar a los baños te hacen pagar 1 euro. El único baño gratuito está muy sucio y huele horrorosamente mal, yo fui 3 días después y seguía oliendo igual, lo que hace pensar que no se limpió ."
"https://lh3.googleusercontent.com/a-/ALV-UjXDqI6YcQt-mtmIGFFLGaGy-ebJ3tEwmyjjrN0PDXKEpEamT1h0=w36-h36-p-rp-mo-ba6-br100","Victoria Senaty","Local Guide · 412 reseñas · 2.035 fotos","Hace un año","La estación está al público desde 1990. Siempre limpia, cuidada y accesible. Varias compañías de Bus en los que puedes recorrer España. También con largo recorrido, Rumanía, Bélgica, Alemania, Francia etc. A un magnífico precio para tu viaje. Con conductores profesionales. Asientos con pantalla interactiva, WiFi, wc. Sus paradas pertinentes, para cambio de conductor y descanso. Velocidad muy controlada por tacómetros. Control de seguridad. En la misma estación puedes coger metro y cercanías. Taxi. Hay servicios de restaurantes, tiendas y máquinas para comprar baterías y cables. A la salida exterior tienes centro comercial y bares. El autobús siempre es una opción para llegar a tu destino, no es como antiguamente un calvario. Mi empresa favorita Busbud."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","La estación de metro Méndez Álvaro es una estación importante en la red de Metro de Madrid, situada en el distrito de Arganzuela. Esta estación es también un nodo crucial debido a su conexión con la estación de trenes y autobuses Méndez Álvaro. ### Líneas de Metro Méndez Álvaro es servida por: - Línea 6 (Circular) ### Conexiones Adicionales - Cercanías Renfe: Conexiones con varias líneas de tren de cercanías (C-1, C-5, C-7, C-10). - Estación de Autobuses Sur: Importante estación de autobuses que conecta Madrid con numerosas ciudades en España y Europa. ### Ubicación La estación se encuentra en el barrio de Palos de Moguer, en el distrito de Arganzuela. Está situada en la calle de Méndez Álvaro, cerca del Paseo de Santa María de la Cabeza. Esta ubicación la convierte en un punto de acceso clave tanto para el transporte local como para el transporte de larga distancia. ### Servicios y Facilidades La estación de Méndez Álvaro ofrece varias facilidades para los usuarios: - Ascensores y escaleras mecánicas para mejorar el acceso. - Instalaciones accesibles para personas con movilidad reducida. - Máquinas expendedoras de billetes y puntos de recarga de abonos. - Conexiones con autobuses urbanos e interurbanos, lo que permite a los pasajeros continuar su viaje hacia diferentes partes de la ciudad y otras localidades. ### Importancia Méndez Álvaro es una estación clave debido a su papel como nodo de transporte multimodal. La combinación de metro, trenes de cercanías y autobuses interurbanos facilita el acceso a muchas partes de Madrid y a destinos más lejanos. La Línea 6, siendo circular, permite un desplazamiento eficiente alrededor de la ciudad y conexiones con otras líneas de metro. ### Lugares de Interés Cercanos - Planetario de Madrid y Parque Tierno Galván: Como mencioné anteriormente, un centro de divulgación científica y un gran parque urbano con áreas recreativas y espacios verdes. - Estación de Autobuses Sur: Un importante punto de salida y llegada para autobuses interurbanos e internacionales. - Centro Comercial Méndez Álvaro: Ofrece una variedad de tiendas, restaurantes y opciones de entretenimiento. Si necesitas más detalles, como horarios específicos o información adicional sobre los servicios disponibles en la estación, estaré encantado de proporcionártela."
"https://lh3.googleusercontent.com/a-/ALV-UjV4O1VOKQDBvlEnO7BRkMb6BBuCFn5e1CzhyNA_Wn9jQu6teYPxFg=w36-h36-p-rp-mo-ba5-br100","Raquel Alameda Padilla","Local Guide · 201 reseñas · 288 fotos","Hace 5 meses","Una de mis estaciones preferidas de Madrid. Los policías pasean todo el día por la estación, mínimo, de dos en dos, por lo que es de las más seguras de Madrid. Es un gran Inter cambiador de metro, tren y autobuses que salen o llegan a Madrid. Puedes comer, descansar, hacer compras en una amplia variedad de negocios, leer… Además está rodeada de bares, tiendas, espacios al aire libre… Estupenda, limpia y muy cuidada."
"https://lh3.googleusercontent.com/a/ACg8ocLLXfZQpCV4St6iYYdAQQPoyn6jiik-wMeZ3p4QSxWmcPY2QA=w36-h36-p-rp-mo-ba3-br100","Aleks","Local Guide · 19 reseñas · 26 fotos","Hace 4 semanas","El metro Linia 6 MENDEZ ALVARO- ya SEGUNDA VEZ  veo como están Fumando la gente- adentró de estación de metro- Molestando MUCHO!!! ENCIMA CON CALOR QUE TENEMOS!!! el SEGURIDAD que veo cada día -es completamente INÚTIL!!!  I no se trata sólo del MENDEZ ALVARO!!! Unos  están sujetando paredes-que no se caen! Otros apoyando dormiendo la máquina  de acceso- sin dejar pasar! PARA QUE SIRVEN??- NO LO SÉ!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjURzRUvdErbUfsDaL2Y8ae0aeXz0K60xXehvDTY8ZcJEFpbJulc=w36-h36-p-rp-mo-ba5-br100","Javier Miranda Jiménez","Local Guide · 262 reseñas · 124 fotos","Hace 7 meses","Méndez Álvaro es una estación tanto de metro como de Cercanías. Pertenece a la línea 6 de metro, y a la 2 del mencionado Cercanías. La estación se encuentra en curva. Es sábado y hay poca gente, casi nada concurrido. Cerca se encuentra el corte inglés."
"https://lh3.googleusercontent.com/a-/ALV-UjU1_g-gdiUksVLWy6qO4PU5F1q6ykpYRYEVsXTp7gEhlZvxBvPW=w36-h36-p-rp-mo-br100","Irena DIMOVA","4 reseñas · 2 fotos","Hace un año","¿Hasta cuando nos van a tratar como borregos? ¿Dónde están los bancos para sentarse (abajo a donde los autobuses)? La gente joven termina sentada o tumbada en el suelo 🤷🏻‍♀️ ¿Alguien ha pensado para los mayores y para las mamás (hoy estaba observando una mamá dando pecho de pie, a su bebé.)? Es una vergüenza. 🤨"
"https://lh3.googleusercontent.com/a-/ALV-UjUu3Hbued19fU_VJihyzuFd3lZ1HfFhfdjljbBn_lVWtx0bnzga=w36-h36-p-rp-mo-ba4-br100","na. cv","Local Guide · 86 reseñas · 16 fotos","Hace 10 meses","Instalaron unas luces azules, para publicitar algo, en el pasadizo de la estación al metro, que son malísimas. Para las personas con problemas de visión u otro tipo de sensibilidad es horrible caminar por ahí."
"https://lh3.googleusercontent.com/a/ACg8ocL0KsYe7JrnUGkRt8j2qLar4y-RH_w8l3h1n3D5xq-qU6GzEg=w36-h36-p-rp-mo-ba2-br100","Luna Benitez","Local Guide · 20 reseñas","Hace 6 meses","Es vergonzoso que solamente haya 4 enchufes en la estacion, veniamos de un viaje largo granada-madrid, y al subir a la renfe a coger el tren direccion fuenlabrada/humanes tuvimos que esperar 50 minutos hasta que llegó. Ibamos sin bateria con los moviles apagados y de la desesperacion al ver que no venia el tren pensamos en bajar a cargar el movil 5 minutos para coger un uber, pero cual fue nuestra sorpresa cuando vimos que solo habia 4 enchufes y todos ocupados ya que la gente es tan empatica que usan el movil mientras lo cargan y no dejan que se liberen los enchufes para que todos los que lo necesiten lo puedan usar. Vergonzoso que en la estacion principal de autobuses de madrid no haya enchufes"
"https://lh3.googleusercontent.com/a-/ALV-UjVBSpqKdF2ShXox1HhkCSxIIHJAHLsja9oQ_mLg2ByWSMSaTknF=w36-h36-p-rp-mo-ba4-br100","Fran Bravo","Local Guide · 84 reseñas · 57 fotos","Hace 2 meses","Me parece delictivo que te cobren un euro por usar los aseos, es un abuso. Y claro los establecimientos próximos NO TIENEN ASEOS!!!😳 así tienen el negocio asegurado. Así que cuando vayas a la estación a coger un bus de 1 o más horas de trayecto ve evacuado ya de casa o a claudicar. Hoy día 05 de julio los precios para mear están en 2€, ya está bien de tanto abuso. Y no nos olvidemos que Lis aseos de la estación donde paran los buses, curiosamente siempre está ocupados por el servicio de limpieza. Sinverguenzas."
"https://lh3.googleusercontent.com/a-/ALV-UjWx06UnVQVIHkewkVP2sqbIH2cdGRPi0P_cjEaIiW-TCe5ZxzxO=w36-h36-p-rp-mo-br100","María delmar De la puente matos","37 reseñas","Hace 3 meses","Hoy fui a coger un autobús para ir a Nerja y el conductor del autobús me ha dicho que no iba a Nerja le enseñé mi billete y no me hizo caso ni siquiera lo miro y paso de mi y me he quedado en tierra al final fui al mostrador y conseguí uno para mañana a primera hora adiós"
"https://lh3.googleusercontent.com/a-/ALV-UjW8jgagBtV5oQgaNw-jkTdJ2A6-1jDWyRpTH8Yb8mT-D4cVXzLH=w36-h36-p-rp-mo-br100","Lirba Lirbi","4 reseñas · 1 foto","Hace un año","El problema no es con la estación, es con las máquinas expendedoras que tiene. Te gastas 25€ para comprar una batería portátil, la puerta de la máquina no va por lo que no puedes coger lo que acabas de comprar. Llamas a atención al cliente y te dan un número para reclamar que cuesta 3€ el minuto y no hay ninguna otra forma de poner una reclamación. Seguridad no quiso ni acompañarme a ver el problema y no fueron de ningún tipo de ayuda. Por no decir que la máquina de por sí tampoco tiene ningún número de contacto o número de identificación, así que para reclamar te las apañas tú solo."
"https://lh3.googleusercontent.com/a-/ALV-UjWgECvyPict19vX7ceM5y-QfNUfn-72l07lhWzP3DaYkG00OBY=w36-h36-p-rp-mo-ba2-br100","Sonsoles G. G. 66","Local Guide · 16 reseñas · 1 foto","Hace 6 meses","Estación horrorosa. Acoso total de mendigos pidiendo de todo y dentro de la estación los guardias de seguridad  una hora antes del cierre te obligan a ir a la parte de atrás de la estación,donde hace un frío polar , además de hacer preguntas estúpidas. Máquinas de café y chips que se tragan el dinero y no te dan el producto,y si llamas al número de averías te cuelgan el teléfono. Vamos una estación horrible en todo. No recomiendo esta estación ni para cinco minutos."
