"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVJ6de5lEcQKAYmreSBFbw8YyB3cKeXwuSPzrJ1U39YseOv6vXoLg=w36-h36-p-rp-mo-ba4-br100","Rafa","Local Guide · 203 reseñas · 124 fotos","Hace un mes","En esta estación de metro pasan las líneas 5 y 9. Es bastante grande y hay que caminar un rato entre los trasbordos. Me parece que están remodelando un tramo. Hace demasiado calor en los meses de verano, deberían potenciar el aire acondicionado"
"https://lh3.googleusercontent.com/a-/ALV-UjXe1Lv6hzjuyx8Wae9ZnpCpvEg4q4wuStLsiT3-E8eXpeqiHp3u=w36-h36-p-rp-mo-ba5-br100","Amanda Bergua","Local Guide · 303 reseñas · 996 fotos","Hace 2 años","Estación cercana a toda la “Villa de Oro” de Madrid. Normalita?? Sí. Pero bueno, el hecho de estar medianamente cerca de estas lujosas tiendas, es lo que hace de esta boca de metro algo interesante si lo que quieres es visitarlas o incluso darte algún capricho."
"https://lh3.googleusercontent.com/a/ACg8ocKluP8gEOFQ6VnbdzSQeHUf23CKq2UIasTE2CDBg0CQvB3MIA=w36-h36-p-rp-mo-ba5-br100","Attilio Di Lauro","Local Guide · 128 reseñas · 1.192 fotos","Hace 6 años","Estación de metro normal. Se puede a veder a dos lineas, la 9 y la 5. El trasbordo es bastante largo entre la dos, però bastante facial come hay buena presencia de escalesras meccanica y pasillo doeigidos. Sin embargo, No me parece una estación que se puede recurrir facilmente en sillas de Ruedas."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO NUÑEZ DE BALBOA SE ENCUENTRA EN EL BARRIO DE SALAMANCA, AL NORDESTE DE MADRID. ES UNA PARADA DE LAS LÍNEAS 5 Y 9 DEL METRO. ### DISEÑO Y ESTRUCTURA NUÑEZ DE BALBOA TIENE UN DISEÑO MODERNO Y FUNCIONAL, CON VARIAS ENTRADAS Y SALIDAS BIEN SEÑALIZADAS. LA ESTACIÓN ESTÁ EQUIPADA CON ESCALERAS MECÁNICAS Y ASCENSORES, LO QUE FACILITA EL ACCESO A PERSONAS CON MOVILIDAD REDUCIDA Y A OTROS USUARIOS. ### SERVICIOS Y COMODIDADES - **CONECTIVIDAD:** LA ESTACIÓN DE NUÑEZ DE BALBOA OFRECE UNA EXCELENTE CONEXIÓN A TRAVÉS DE LAS LÍNEAS 5 Y 9, PERMITIENDO A LOS USUARIOS ACCEDER A DIFERENTES ÁREAS DE MADRID Y TRANSFERIRSE FÁCILMENTE ENTRE ESTAS LÍNEAS. - **ENTORNO:** LA ESTACIÓN ESTÁ UBICADA EN UNA ZONA RESIDENCIAL Y COMERCIAL DE ALTO NIVEL, CON ACCESO A VARIOS COMERCIOS, RESTAURANTES Y SERVICIOS LOCALES. EL ÁREA ES CONOCIDA POR SU AMBIENTE EXCLUSIVO Y SU OFERTA COMERCIAL. - **SEGURIDAD:** NUÑEZ DE BALBOA ESTÁ BIEN VIGILADA CON CÁMARAS DE SEGURIDAD Y PRESENCIA DE PERSONAL DE SEGURIDAD, LO QUE OFRECE UN ENTORNO SEGURO PARA LOS VIAJEROS. ### EXPERIENCIA DE USUARIO LOS USUARIOS VALORAN LA ESTACIÓN DE NUÑEZ DE BALBOA POR SU UBICACIÓN CÓMODA Y SU BUENA CONEXIÓN ENTRE LÍNEAS. LA LIMPIEZA Y EL MANTENIMIENTO SON ADECUADOS, Y LA SEÑALIZACIÓN ES CLARA Y EFICAZ. LAS MÁQUINAS EXPENDEDORAS DE BILLETES Y LOS PUNTOS DE INFORMACIÓN SON ACCESIBLES Y ÚTILES. ### OPINIÓN GENERAL NUÑEZ DE BALBOA ES UNA ESTACIÓN CLAVE EN LA RED DE METRO DE MADRID, DESTACADA POR SU UBICACIÓN EN UNA ZONA RESIDENCIAL Y COMERCIAL DE ALTO NIVEL. SU FUNCIONALIDAD Y ACCESIBILIDAD LA CONVIERTEN EN UNA PARADA CONVENIENTE Y EFICIENTE PARA LOS VIAJEROS. EN RESUMEN, LA ESTACIÓN DE METRO NUÑEZ DE BALBOA ES UNA PARADA BIEN EQUIPADA QUE OFRECE UNA EXCELENTE CONEXIÓN ENTRE DIFERENTES LÍNEAS DEL METRO Y PROPORCIONA UNA EXPERIENCIA DE USUARIO POSITIVA GRACIAS A SU DISEÑO FUNCIONAL Y SU UBICACIÓN EN UN ÁREA RESIDENCIAL Y COMERCIAL DE ALTO NIVEL."
"https://lh3.googleusercontent.com/a-/ALV-UjWUHwGDJ8j_3FNaLgp8OYNy3hZ06gIJNEIPnoprvCQErVuVBOTz=w36-h36-p-rp-mo-ba6-br100","AD613","Local Guide · 388 reseñas · 2.087 fotos","Hace 5 años","Es una parade de metro relativamente grande.  Conecta la línea 9 y la line 5   Tiene acceso a Núñez de Balboa( en la calle Juan bravo) y también a la plaza de marqués de Salamanca  está generalmente limpia.  No tiene tiendas ni shops dentro aunque de vez en cuando hay vendedores ambulantes.  Llora andenes se conectan media res a pasillos subterráneos y consta de dos caminadoras electricas(?) para hacer el viaje más placentero al conectar."
"https://lh3.googleusercontent.com/a-/ALV-UjWNONXouScB0WI2ZzqWO7lassWXU1VrYHXlcTYdGngWUGYfNsqx=w36-h36-p-rp-mo-ba4-br100","Jon Navas","Local Guide · 116 reseñas · 72 fotos","Hace 3 meses","Normal, como cualquier otra parada de metro, línea 5 y 9, la cojo casi todos los días para ir a trabajar."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Local Guide · 826 reseñas · 3.509 fotos","Hace 3 años","📌 Si tuviera ascensor para personas con movilidad reducida estaría completo.…"
"https://lh3.googleusercontent.com/a-/ALV-UjUQA1Q23jGnlbtJluFD-lbkWvJ0z7jezMuwSNhcVioOoGhXK7k=w36-h36-p-rp-mo-ba2-br100","Mayumi","Local Guide · 16 reseñas · 32 fotos","Hace 8 meses","Al salir de la línea 5 destino Alameda de la Osuna, no hay cartel que indique la salida y nos hemos ido todos hacia la línea 9 por el pasillo de la cinta transportadora."
"https://lh3.googleusercontent.com/a/ACg8ocI3a9diF6j6BzxN-YeMHVPEpPHLVotdGPCnX3-ge3opEWamfg=w36-h36-p-rp-mo-br100","JUAN PASCUAL","14 reseñas","Hace un año","Gran trabajo en L9, se ve la estación más limpia y luminosa que antes, parece más grande. Muy bien los que trabajaron el mes que estuvo cortada."
"https://lh3.googleusercontent.com/a/ACg8ocKEwBfVz03HX-mC7GTZTVGxUGuBnWV0cw6DVSBwdquZGIx25Q=w36-h36-p-rp-mo-ba5-br100","Elena Reina","Local Guide · 144 reseñas · 168 fotos","Hace un año","Transbordo largo con dos pasillos mecánicos. Una pena que ya no estén abiertas las tiendecitas q había cuando era pequeña"
"https://lh3.googleusercontent.com/a-/ALV-UjXPExmPZiaRJkYxljnK4crAAUX-clYpczw5FkF-WGwjPtzVT4Fw=w36-h36-p-rp-mo-ba3-br100","Carlos García Sanz","Local Guide · 85 reseñas · 48 fotos","Hace 8 meses","La mitad de los interfonos no funcionan; en los que funcionan, no cogen el teléfono. Y ningún personal de estación a la vista. Mejor no tener emergencias sanitarias en esta estación."
"https://lh3.googleusercontent.com/a-/ALV-UjUDObMj9u546OEKBFJRdw67tKCUy_EFiQporLSkoDK7KCouYYQ2=w36-h36-p-rp-mo-ba5-br100","Leticia","Local Guide · 289 reseñas · 704 fotos","Hace 3 años","Metro que conecta las líneas 5 y 9. Han cambiado la cartelería y ahora está algo más grande."
"https://lh3.googleusercontent.com/a/ACg8ocJLrjLh4Jn4t3KvnIrIqAlMJZAziK_BQo_SxtUo3gNQlz8OT2NW=w36-h36-p-rp-mo-ba4-br100","Manjurul hoque Chowdury","Local Guide · 143 reseñas · 151 fotos","Hace un mes","Mi hijo colegio informe Ministerio educación registrado"
"https://lh3.googleusercontent.com/a-/ALV-UjVOdYmNBy9iLvsfFnuRJ9Y7rOmzbdWnQAhR4cOJ75p81iTL9hcCZw=w36-h36-p-rp-mo-ba4-br100","Orisbel Fuentes","Local Guide · 74 reseñas · 499 fotos","Hace un año","De lujo me encanta el metro de Madrid y la estación Núñez de Balboa no es una exepción  es accesible está climatizada, bien señalizada, hay personal de seguridad y asistencia creo que no le falta nada da gusto tener un sistema de transporte tan eficiente"
"https://lh3.googleusercontent.com/a-/ALV-UjWUgvSNl9Xa1V7q5LTbI7Tl9xvg80pYaeKrph90y34THmRZk3_T=w36-h36-p-rp-mo-ba3-br100","Yorlina Delgado","Local Guide · 30 reseñas · 99 fotos","Hace 3 años","Excelente gimnasio! Hay variedades de máquinas y es grande  voy más seguido a este"
"https://lh3.googleusercontent.com/a/ACg8ocIwxVq4azQN-UZ5enZHvCk9OKCgsfK9URXGR_OcujtRu85KAYg=w36-h36-p-rp-mo-ba2-br100","Nuria Lardies Viñau","Local Guide · 30 reseñas · 3 fotos","Hace un año","Es la peor estación de metro donde estado jamás no hay ni una sola indicación ni cartel de salida he tenido que dar 20 vueltas hasta conseguir salir"
"https://lh3.googleusercontent.com/a/ACg8ocKMhfux4HgvneAfSijc1pIfzPw9sTn7hQ4XrHfQd4Koiojocw=w36-h36-p-rp-mo-ba6-br100","J. Noir","Local Guide · 91 reseñas · 78 fotos","Hace 7 años","Estación sin ascensor perteneciente a la Línea 9 (morada) y Línea 5 (verde) del Metro de Madrid, y correspondiente a la zona A. El transbordo entre líneas es bastante largo pero cuenta con cintas y escaleras mecánicas."
