"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocJjHwrwlmKoXsrg-k9bQEJ-Pj_4IhY2Z1sFr58bkPXV62f__g=w36-h36-p-rp-mo-ba6-br100","Francisco Jiménez Gutiérrez","Local Guide · 402 reseñas · 1.184 fotos","Hace un año","Parada muy amplia. Está al principio de Las Tablas y muy cerca de la sede central del BBVA. Es una parada de metro ligero en superficie, con acceso muy cómodo incluyendo rampa para acceso en silla de ruedas. Madrid tiene que mejorar las conexiones con Sanchinarro y Valdebebas, tan cerca y tan lejos."
"https://lh3.googleusercontent.com/a-/ALV-UjXWJiaxTYBvq8MYKc3Mx7u3m-5EibAAMR0m1UvdLpXxbKLKUl25=w36-h36-p-rp-mo-br100","Adriantors","6 reseñas","Hace 6 años","Parada exterior de Metro Ligero, segunda antes del final de trayecto en Palas De Rey. Está equipada con asientos en ambos sentidos y máquinas para comprar o recargar los billetes también en ambos. Tiene mapas informativos de las lineas de tren y su frecuencia habitual además de iluminación nocturna. Durante las horas más movidas (por ejemplo de 7-8:30) suelen pasar los trenes cada 5 min sino sería un intervalo de entre 7 y 10 min. Los trenes son amplios y tienen bastantes filas de asientos acolchados."
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Palas del Rey es una estación del servicio de metro ligero 1 en la autopista Alcobendas en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjVtdEB4D5zTyuJGxK4Aff-rpdmWXDTM51Jg7hlu8Mv3jb2myjA8BQ=w36-h36-p-rp-mo-ba5-br100","Andrés Florido","Local Guide · 365 reseñas · 8 fotos","Hace 5 meses","Un barrio normal"
"https://lh3.googleusercontent.com/a-/ALV-UjV8yWZTosOtuI0YvWoErGrLc55RS8XVVfgKgMqWJX1UX3EfsJA=w36-h36-p-rp-mo-ba3-br100","Hazel Henriquez","Local Guide · 16 reseñas · 7 fotos","Hace 6 años","Tarda mucho en pasar el siguiente tren 😞 y en invierno hace un frio que pela…"
"https://lh3.googleusercontent.com/a-/ALV-UjWEmlbc9GehbtdL_X5eRXMk1wGtymmqgTZBI8MZoy1mqFsXPqxS=w36-h36-p-rp-mo-br100","djjavacaba","5 reseñas · 10 fotos","Hace 3 años","La estación de Daganzo es mejor"
"https://lh3.googleusercontent.com/a/ACg8ocLRVoaOQj1_905_iOIuppAvglv8fFRUQYBp2J7Ks3CppLuH=w36-h36-p-rp-mo-ba4-br100","Alicia Del Burgo","Local Guide · 154 reseñas · 1 foto","Hace 7 años","Estacion a la intemperie muy básica."
"https://lh3.googleusercontent.com/a-/ALV-UjX1Pa39fQsy6qb6NVS4POVhVxrKjSRNKKSBSQ9TOzXBcIqM4ctibA=w36-h36-p-rp-mo-ba5-br100","Francesco Piccone","Local Guide · 509 reseñas · 598 fotos","Hace 4 años","Todo bello"
"https://lh3.googleusercontent.com/a-/ALV-UjUiiiub5UJUiH_EXcRTgySty0PpVP218D69JBOONLcbxpo7qWnTNw=w36-h36-p-rp-mo-ba6-br100","Yogendra Singh","Local Guide · 235 reseñas · 1.518 fotos","Hace un año","Metro ligero línea 1, la mayoría de las veces te dan sábana gratis y tiene buena conectividad con la estación pinar de chamartin y buena vía de transporte público, si tienes que tomar la línea 1 del metro entonces puedes tomarla desde Las tablas (palas de Rayo) estación de metro."
"https://lh3.googleusercontent.com/a-/ALV-UjUnAyMwQ46Siz0cuzeAokUpgUExfBdAP04LXjX9l988GlzK5w7Y=w36-h36-p-rp-mo-br100","alvarovazt","4 reseñas · 8 fotos","Hace 3 años","José voy a 1"
"https://lh3.googleusercontent.com/a-/ALV-UjXds0KBUSRtkmgJjQmsrfQuttYKT_OZCXKtPo-Sj13kl6gJGBh9=w36-h36-p-rp-mo-ba4-br100","anonimo","Local Guide · 66 reseñas · 26 fotos","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjW7S6sICQJxVsHtdZ-vUxRlqn2DRY6bB5jOG3XpQUjqke6lYX3M=w36-h36-p-rp-mo-br100","Martha Luz Sejas Torrez","23 reseñas","Hace 7 años",""
