"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXA-o228LnJj72Ky0Grd_WeyV-X1vl1yx7luZh24Am7yKcJgZER=w36-h36-p-rp-mo-ba4-br100","ana del carmen lovera","Local Guide · 140 reseñas · 36 fotos","Hace 8 meses","Es una plaza muy bonita con parques para niños, también tiene máquinas para hacer ejercicios y banquillos para sentarte a descansar un rato rodeado de hermosa vegetación."
"https://lh3.googleusercontent.com/a-/ALV-UjWOzxNBGCnJl1RTF7amw8lfDfrbcr6smf6o1VUSI7Gzh3-bs0HZbw=w36-h36-p-rp-mo-ba4-br100","Yolanda.D. MORALES","Local Guide · 70 reseñas · 105 fotos","Hace 4 meses","Un hermoso lugar tranquilo pacífico para andar"
"https://lh3.googleusercontent.com/a-/ALV-UjUQC6W7lfBbvPMs4U8F9CwlziE3x3YdOD1Gevr0HjBenJx5O9P-=w36-h36-p-rp-mo-ba5-br100","Ángel Feliz","Local Guide · 238 reseñas · 193 fotos","Hace 6 años","Personal muy amable."
"https://lh3.googleusercontent.com/a/ACg8ocL3UhwdbAwqFfw-rr7_aBQ3H2a7yOx_bZw3pPNZdYu7g0uviLQ=w36-h36-p-rp-mo-ba4-br100","Liss Astorga","Local Guide · 66 reseñas · 158 fotos","Hace 2 años","Utilicé este servicio de metro durante 8 años, enlaza con el tren, con el abono mensual me movía desde allí hasta Madrid Central, me fue súper útil y nunca tuve problemas.  En todos los metros y trenes del mundo hay gente de todo tipo y hay retrasos, a mi las personas que piden ayuda no me molestan y si hay algún retraso lo entiendo ... es el mundo real.  Es una estación de metro que no es vieja, está limpia, tiene servicio para minusválidos y los trenes igual, a mí me parece muy bien!!"
"https://lh3.googleusercontent.com/a-/ALV-UjWKkDFKEgLQayD4IFBThIAfJw5fVEDx5SkZwhN5Ii3BQ-9nxoGB=w36-h36-p-rp-mo-ba4-br100","Manuel Gomez","Local Guide · 102 reseñas · 15 fotos","Hace 6 años","Bastante contento, el personal muy amable y  siempre intentando ayudarte en todo lo posible se tienen merecido su sueldo. Lo único malo que tiene que de vez en cuando las instalaciones están bastantes sucias y las pantallas informativas de horarios no funcionan algunos días. Pero si vas a preguntar a los empleados casi siempre te dan informacion."
"https://lh3.googleusercontent.com/a-/ALV-UjUsQRC4R2qi5UWBwsePsGQOEs7k7zSwiDvH4Q6eBBUiSjj52i4j7Q=w36-h36-p-rp-mo-ba6-br100","Daniel Fernández Capodiferro","Local Guide · 594 reseñas · 2.809 fotos","Hace 3 meses","Estación de Metro normalita, cómo todas...!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjV2K0KfO0FRI7Cy2tqvoWieJou2g1ogxXXzGNKaxgfkIW0MiHnIWw=w36-h36-p-rp-mo-ba7-br100","Adrian Panadero Martin","Local Guide · 391 reseñas · 7.144 fotos","Hace 5 años","Es una parada del metro en Fuenlabrada. Tiene una gran zona verde, un telepizza y estos dias y los venideros de calor, una escapada a estas tardes torridas. Yo solo pido que por favor recojamos los excrementos de nuestros perritos, y luego nos quejamos que a los demás, los que no tienen mascota nos llamen de todo. Con lo bien que se está tirado al cesped. Ánimo, unas bolsitas y a la papelera."
"https://lh3.googleusercontent.com/a-/ALV-UjUhjpADu2GC7gzJIhvJ94jYgnfJX8qt05puk7ayTKn9qui1VhQ9yQ=w36-h36-p-rp-mo-ba4-br100","Loonie","Local Guide · 84 reseñas · 22 fotos","Hace 2 años","Esta muy lleno siempre, dentro del tren es imposible moverte y encima encuentras gente así pidiendo dinero."
"https://lh3.googleusercontent.com/a-/ALV-UjX6lieE8a6wkNas8w_qwynp7rsbegl7o9TmSBnfArmiOP3LIoDj=w36-h36-p-rp-mo-ba4-br100","Leonardo José Tovar Gerardy","Local Guide · 40 reseñas","Hace 2 años","Excelente lugar con áreas verdes ideales para grandes y chicos"
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w36-h36-p-rp-mo-ba5-br100","Gabriel Montero Montes","Local Guide · 404 reseñas · 582 fotos","Hace 8 años","La estación de Metro Sur de Parque de los Estados fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Calle Miguel de Unamuno con Avenida de los Estados en el municipio de Fuenlabrada. Cercano a esta estación se encuentra la comisaría de Policía Local de Fuenlabrada."
"https://lh3.googleusercontent.com/a-/ALV-UjXQaeaL0g_T_DMN45fDZ6OiW2MrKZRJ4Rc3kAbenSPqAGYmq2dWng=w36-h36-p-rp-mo-ba6-br100","Ruben","Local Guide · 922 reseñas · 172 fotos","Hace un año","Buenos accesos y muy bien mantenida."
"https://lh3.googleusercontent.com/a-/ALV-UjXFRfStwl6OzOKvTjRSqABiwO11W3CgvWxi_YeQGF-20WwP_1Uq=w36-h36-p-rp-mo-br100","Jesús Martín","28 reseñas · 1 foto","Hace 11 meses","Un parque bonito con mucha vida"
"https://lh3.googleusercontent.com/a-/ALV-UjU4UTKNogjVvBE5UO6hYDsFsV-CvRRef7Yz3iXoWIWg_nf21neBfA=w36-h36-p-rp-mo-ba5-br100","Josué Galindo","Local Guide · 410 reseñas · 694 fotos","Hace 2 años","Depende de nosotros tener un parque en buen estado."
"https://lh3.googleusercontent.com/a-/ALV-UjVndSKVJqpd4PbGrcphYx7RoBtKkyIiPCV1GMIy0bwTfT8RQcUG=w36-h36-p-rp-mo-ba3-br100","Daniel paredes alvarez","Local Guide · 17 reseñas · 123 fotos","Hace 9 meses","Siempre ordenado y limpo"
"https://lh3.googleusercontent.com/a-/ALV-UjXxeqz5MhW-1PKEEdMM4CNsGm96-3OJI-72XVqnCU83nu6nlR3n=w36-h36-p-rp-mo-ba3-br100","Michy LOVE","Local Guide · 29 reseñas · 18 fotos","Hace 3 años","Mal servicio lo parámetro de tiempo que pone en los carteles no son correctos"
"https://lh3.googleusercontent.com/a/ACg8ocIk8vTvdTdU25PACNl_-ksP2HYTGlDWvs4giGO_DIZama3D6g=w36-h36-p-rp-mo-ba3-br100","Oscar Manchon","Local Guide · 32 reseñas · 2 fotos","Hace un año","No vivo allí pero el barrio cada vez está más bonito"
"https://lh3.googleusercontent.com/a-/ALV-UjXE4tPS2EY5HBx7iaKOJyp8E3-CMwZonjkF4npmqY8WAS0eJNLc=w36-h36-p-rp-mo-ba5-br100","Esther CamachO","Local Guide · 432 reseñas · 527 fotos","Hace 4 años","Agradable parque, tiene varias alturas con fuentes y patos."
"https://lh3.googleusercontent.com/a/ACg8ocLNMdCOuveuRU5rNSWaknSNlrQv3HQXHnDXxBSKAf-VJp0_ow=w36-h36-p-rp-mo-ba4-br100","Sandra.G","Local Guide · 167 reseñas · 13 fotos","Hace 4 años","Una estación moderna, bastante amplia y en general bastante bien"
"https://lh3.googleusercontent.com/a-/ALV-UjUYShQaO8Rm1ymrU1Xfixvs4x47IBQIfz0UIAhMz8lKctmQE3BoTw=w36-h36-p-rp-mo-ba2-br100","Nestor Blas","Local Guide · 8 reseñas · 5 fotos","Hace un año","Muy buena comunicación"
"https://lh3.googleusercontent.com/a-/ALV-UjXk0Lm4AkSfG0td4-2XPSG5yG-JAkijKG0eNJfCYKWEKIrBthIA=w36-h36-p-rp-mo-ba4-br100","Ty Negro","Local Guide · 106 reseñas · 4 fotos","Hace 10 meses","Es una estación amplia"
"https://lh3.googleusercontent.com/a-/ALV-UjVPCiojwBiZ0AbIZNAjIQO-2tH_CdDNMJ2JzmCk6h7qOqh9vt5E=w36-h36-p-rp-mo-ba3-br100","Alejandro Rodríguez","Local Guide · 38 reseñas · 19 fotos","Hace 7 años","El personal podría ser mas amable y ayudar al que necesita"
"https://lh3.googleusercontent.com/a-/ALV-UjXpdRlMZX8HSI5TPdpm27iE5wpYvsOkDJWmNgYEJ4VLkqMp_In-GQ=w36-h36-p-rp-mo-ba5-br100","Alvaro Gonzalez","Local Guide · 203 reseñas · 188 fotos","Hace 8 años","Como todas las estaciones de metro sur. Dos bocas de metro fácil de encontrar"
"https://lh3.googleusercontent.com/a-/ALV-UjUUtzaeosZDRZVLADxLEoSALLt08KX5qqlaTm_CphqifVwddK0S=w36-h36-p-rp-mo-ba3-br100","Tomas Rodriguez Rivas","Local Guide · 32 reseñas · 11 fotos","Hace 3 años","Una parada de metro como todas las demás."
"https://lh3.googleusercontent.com/a-/ALV-UjXdbbYL6iK2BKprHopnLBPoYHQ0kz3GgR7PI19lKhXZIdgj6mcx=w36-h36-p-rp-mo-ba5-br100","ALFONSO LOPEZ AREVALO","Local Guide · 271 reseñas · 228 fotos","Hace 3 años","Muy bonito."
"https://lh3.googleusercontent.com/a-/ALV-UjVAgESr-GfCuEDwaYoxcUa3Lt9R9zkt6JJjuDWjJ0zocMG9m6Zb=w36-h36-p-rp-mo-br100","Zepelin1","1 reseña","Hace 6 años","Lo hago porque ese es mi barrio😊…"
"https://lh3.googleusercontent.com/a-/ALV-UjV3FYLHO9eWR9J1q1LUkbQCxARVosEhWBOmwhvRhcYq5DlFGv0uFg=w36-h36-p-rp-mo-br100","Vanessa Martinez","6 reseñas · 9 fotos","Hace 2 años","Bonito"
"https://lh3.googleusercontent.com/a-/ALV-UjVTa4OgTi3sTy0YRJGmjFHNoslmRwFHi-kH8sD_7JR0zsFdncLQ=w36-h36-p-rp-mo-ba4-br100","Jesus Salvador Baena “LET ́S WALK TOGETHER”","Local Guide · 73 reseñas · 45 fotos","Hace un año","Buen acceso de metro"
"https://lh3.googleusercontent.com/a-/ALV-UjXtH7aI3XQQS6pvp45Thup4zI123YrjlH-kHDWSk_5IsePppJlQgQ=w36-h36-p-rp-mo-ba6-br100","Frank Alexander Montero Sanchez","Local Guide · 232 reseñas · 1.709 fotos","Hace 3 años","Hermoso"
"https://lh3.googleusercontent.com/a-/ALV-UjUW-CPnyEUbbbtIPn4ScBMANoyRvZCp8HDVUJoC8g3628s-qO-uSQ=w36-h36-p-rp-mo-ba3-br100","Francisco Moral Martinez","Local Guide · 37 reseñas · 27 fotos","Hace 4 años","Me pilla al lado del trabajo"
"https://lh3.googleusercontent.com/a-/ALV-UjXzhbtqx_Wuv-POmEpaCSNp1qXzjmL57QHZpafmE2LDehbX0dha=w36-h36-p-rp-mo-ba6-br100","Jose Luis Muñoz Gómez","Local Guide · 702 reseñas · 414 fotos","Hace 5 años","Precioso parque"
"https://lh3.googleusercontent.com/a-/ALV-UjW9qU6P5_mLwHGKZyvEFivFDnW_Y5ZLN7S4s9jR9Xo8KdEpEilewQ=w36-h36-p-rp-mo-br100","Daniela t","426 reseñas · 1.965 fotos","Hace 6 años","El personal pésimo"
"https://lh3.googleusercontent.com/a-/ALV-UjUpG-aGjHzlnGETXx2NEB8D510BtKe57GJ8PEtnXUTa3e1WE5RT=w36-h36-p-rp-mo-br100","Victor Daniek Navarro","8 reseñas · 1 foto","Hace 6 años","Personal amable"
"https://lh3.googleusercontent.com/a-/ALV-UjX365C6S11vq1mdfp3rO9olG8dPuA9GLicNIBvqUCeWSj97kFozTQ=w36-h36-p-rp-mo-ba4-br100","Rafael Diaz Moreno","Local Guide · 177 reseñas · 27 fotos","Hace 6 años","Gente amable"
"https://lh3.googleusercontent.com/a-/ALV-UjVESXJQe0xbXSqm6nW98PAxnbsu3fHQ8nH-a5G5-xDsttsBW7Myug=w36-h36-p-rp-mo-ba5-br100","Larry Writesel","Local Guide · 493 reseñas · 682 fotos","Hace un mes","Lugar familiar tranquilo"
"https://lh3.googleusercontent.com/a-/ALV-UjWdi0JOUZt4v_9vvDWrkF0PjpzbkunoGrHBsNTLpPPignLvqYVP=w36-h36-p-rp-mo-ba3-br100","DDC 12","Local Guide · 22 reseñas · 2 fotos","Hace un año","Metro"
"https://lh3.googleusercontent.com/a-/ALV-UjUwieCuI3zPXbNLzluZXs2yiYkvWBD1fhBDu97U7wieLKiB8iXdyA=w36-h36-p-rp-mo-ba6-br100","Albert Valle","Local Guide · 1.955 reseñas · 2.208 fotos","Hace 7 años","Molaaa"
"https://lh3.googleusercontent.com/a-/ALV-UjWdXWO58INwTSLTj6bhHTssC43yPfBtrWk_e37i5L92xMMVMQMs=w36-h36-p-rp-mo-ba4-br100","Aquilino Gonzalez Galan","Local Guide · 33 reseñas · 4 fotos","Hace un mes",""
