"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVbwLfzQ1S3APZdKnArrN6qnnny0-BgqgqicdqHsALIkI5m3Wut=w36-h36-p-rp-mo-ba2-br100","NADIEHTZDA FLORES ESCOBAR","Local Guide · 12 reseñas · 10 fotos","Hace 4 meses","La señora que atiende en la taquilla  le expliqué que de donde yo venía no me dio tiempo de recargar el bono del mes por que paso antes el tren  y subí y que quería. Recargar el del mes. Y me dijo que me cobraba. El viaje. Y que luego recarge  y le digo. Si ustedes antes recargaban el mes. Y ahora. Por que no. Serro la taquilla y ya  no me dejó salir.   Tuve que bajar a Ramón y Cajal que. Me han facilitado. Hacerlo y validar el billete"
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 6 años","Estación de cercanías de ADIF, correspondencia con las líneas C3 - C7 - C8 de cercanías e intercambiador de metro con la línea 7. La estación cuenta con máquinas expendedoras de billetes, esta dotada de ascensores desde la calle al vestíbulo y de este a los andenes. Hay un bar adosado a la estación y parada de autobús. Suele estar bastante limpia."
"https://lh3.googleusercontent.com/a/ACg8ocKJcE76jeCL1bJNJyEEhDo8Kd1BHbLj7-tNEw4L4krU1P_LzQ=w36-h36-p-rp-mo-ba4-br100","Marian","Local Guide · 157 reseñas","Hace 3 semanas","Una estación cómoda. Tren y metro. Al lado un buen restaurante."
"https://lh3.googleusercontent.com/a-/ALV-UjWWZ-92MzDtHNTN1UUH5pbBsx_IWaCWoxzbtSaL9abxd6S78Qk=w36-h36-p-rp-mo-ba3-br100","andres","Local Guide · 40 reseñas · 15 fotos","Hace 3 meses","Los servicios públicos van cada vez peor. Retrasos y fallos todos los días. A veces el tren de cierta hora no pasa y tienes que coger el siguiente. Ni los propios jefes de estación saben qué pasa."
"https://lh3.googleusercontent.com/a-/ALV-UjVVGS_q7cmFz0BQriM9TBLWLU_yZ-sXqUZAdTEUy7zdOHOuZyA0=w36-h36-p-rp-mo-ba3-br100","Adrián Fernandez","Local Guide · 36 reseñas · 79 fotos","Hace 5 meses","(2x1) metro y cercanías  las dos cosas va… Cercanías: c7 y c8 ejemplo directo a: Villalba, Alcalá de henares, príncipe pio, cercedilla y el escorial… pasando obviamente por Chamartín y Atocha. Y muchas más! Metro línea 7: hasta estadio metropolitano (wanda) pasando por canal (teatros canal) y Gregorio Marañon Linea 10 y otras tantas más… pasado el Wanda queda como ejemplo: Coslada y Hospital del henares"
"https://lh3.googleusercontent.com/a-/ALV-UjWWBSLmyZwA_E51BxX5A1oyfJTDaKoDE93Ek7-hf6CXETA4l4tb=w36-h36-p-rp-mo-ba6-br100","Maria Elena Neska","Local Guide · 256 reseñas · 812 fotos","Hace 3 meses","Una pequeña estación de tren de cercanías para dar servicio a una zona con un número importante de ciudadanos."
"https://lh3.googleusercontent.com/a-/ALV-UjUOcMxehfd1DXTjRYeS_8GN9rRlhipS1rUhQxrJkVAzI9SJNuw_=w36-h36-p-rp-mo-ba4-br100","Downtech","Local Guide · 108 reseñas · 8 fotos","Hace 6 meses","Estacion de Metro (Linea 7) y tren de Cercanias del Norte de la ciudad de Madrid... Es muy comoda y cuenta con ascensores para no subir escaleras... Su gran parking la permite utilizar como parking disuasorio y acceder al centro de la ciudad en transporte publico"
"https://lh3.googleusercontent.com/a/ACg8ocKw2manhqDRsew8xBZYsNTirVyksTNHufcWCjLaDalvBODn=w36-h36-p-rp-mo-ba5-br100","Miguel Angel_61","Local Guide · 284 reseñas · 458 fotos","Hace 3 años","La estación está bien, tiene horario como el resto de líneas de metro, la megafonía avisa normal y hay buena comunicación entre la línea 7 y cercanías."
"https://lh3.googleusercontent.com/a-/ALV-UjUvUa-RyFYXbEp0uNc4cs7EUb7jdw97w904vux9Dud8FvUuQTSZ=w36-h36-p-rp-mo-ba4-br100","Òscar m","Local Guide · 131 reseñas · 26 fotos","Hace 2 años","Que alguien me explique como voy a recargar el bono si una máquina no acepta efectivo y por la otra no puedes introducir billetes, una maravilla vamos. Por no hablar de los maravillosos trenes de renfe y su puntualidad."
"https://lh3.googleusercontent.com/a-/ALV-UjUcGt9cbZStcjyLUyI5XcjsFpD0cUsKW3Yc7JmNVIwnziVd7H16=w36-h36-p-rp-mo-br100","Ymen","6 reseñas · 4 fotos","Hace una semana","Muy mal servicio y los trenes hacen siempre el retardo"
"https://lh3.googleusercontent.com/a-/ALV-UjUInYEquUcPEw117bluh3_Z3ochy6eUADyve610ybfCERR1HKSx=w36-h36-p-rp-mo-br100","Maria Rubio","45 reseñas","Hace 9 meses","Hoy el taquillero me ha cobrado una zona de más, en lugar de cobrarme 3 zonas, me ha cobrado 4. Con un B1 hasta el Escorial son 3 zonas, no 4. Aprenda ud. Por favor a contar. 😑…"
"https://lh3.googleusercontent.com/a/ACg8ocKchbgO1Oi2mVk2T9PNeTS1v8-TUo3XtOF84xPHhCOzAT-KoA=w36-h36-p-rp-mo-br100","Cecilia Rc","5 reseñas","Hace 7 meses","Retrasos constantemente, no son nada puntuales. El cercanías no pasa a su hora y cuando esperas al siguiente cercanias, tampoco es nada puntual... Es horrible tener que estar así cuando tantísima gente tiene que depender de este..."
"https://lh3.googleusercontent.com/a-/ALV-UjW9RtqdMoXrYlti0VEMXyuB8cuplxeVTcx-NcNPLWtcb-EweS1_=w36-h36-p-rp-mo-br100","Irene Ortiz Zabaleta","5 reseñas","Hace un año","Hoy me han atendido con agilidad y rapidez. Había un chico joven con ganas y actitud de servicio, se ha levantado de inmediato para ayudarme a sacar el nuevo bono y todo con amabilidad y una sonrisa. Felicitar a Renfe por este tipo de perfiles (con actitud)."
"https://lh3.googleusercontent.com/a/ACg8ocKRoyLFs-zUIIejyagQnjpbfzwyrOUbz_A_LsjCIdppOEU6cw=w36-h36-p-rp-mo-ba6-br100","irautz etxeberria","Local Guide · 747 reseñas · 1.356 fotos","Hace 6 años","Porque no hay peor puntuación . Vigilancia nula , estación que no esta habituada correctamente ante las climatología adversa ,bastante sucia dado que vagabundea por allí dicha parada para ir ... En fin . Encima sera por sorna dicha estación posee horario estrambótico a las 22:00 cierra"
"https://lh3.googleusercontent.com/a-/ALV-UjWt2Pbxjnig241tmPxoXjBWRN-jBgAcEZ3O4EubQDDp7TvAyxp1=w36-h36-p-rp-mo-ba4-br100","Gloria Villar","Local Guide · 86 reseñas · 32 fotos","Hace un año","Una vez pierdes el tren tienes que esperar una hora. Sería estupendo más frecuencias.. sobretodo en invierno!"
"https://lh3.googleusercontent.com/a/ACg8ocIrN7LkovHPB0VU8bZ-L1piMaLI7BYe5F7lRTrjxl05dFFLtA=w36-h36-p-rp-mo-br100","Franco Zirotti","4 reseñas · 1 foto","Hace 7 años","La estación cierra a las 22.00 y Google no deja hacer la sugerencia de cambio, por eso 1 estrella y por qué es la única estación dentro de zona A que cierra a esa hora... será como no vive nadie por allí (ironía)"
"https://lh3.googleusercontent.com/a-/ALV-UjWgSmYTTWgD5sacMeA0n6fjzI5VyBDHv0pg240UuJQquiwDmTaOZA=w36-h36-p-rp-mo-ba6-br100","Alicia García Ramírez","Local Guide · 367 reseñas · 595 fotos","Hace 2 años","Estación de Renfe cercsnías y metro. Con un bar con terraza muy agradable. Se ha convertido en pocos años de un sitio de chabolas a un sitio de pisos de gran calidad y lujo. Zonas amplias"
"https://lh3.googleusercontent.com/a-/ALV-UjX_jrlybVm7Urr-qnhuooriBac10OvIVrQIABAEwGylKMBzOgEB=w36-h36-p-rp-mo-ba3-br100","Court","Local Guide · 41 reseñas · 5 fotos","Hace un año","Estación en zona nueva, con acceso directo a Renfe, y con una cafetería y una farmacia cerca, para descansar un rato."
"https://lh3.googleusercontent.com/a-/ALV-UjUu4iTFWDK6bFHTh14agc7qBwj0kt3cGjVbkXNy8o7q9r2v4bT5=w36-h36-p-rp-mo-ba6-br100","Candela Fernandez","Local Guide · 446 reseñas · 912 fotos","Hace 8 años","Parada combinada de Metro, ( Linea 9) y Cercanías ( C3, C7, C8).  La estación en sí está en medio de calles vacías en las que todavía no han costruido nada. Tiene un parking de tierra y suele haber muchos coches aparcados entre semana en las calles cercanas. Ojo porque la estación cierra a las 22:00, incluso la de metro y te tienes que bajar en Lacoma."
