"URL","Usuario","Fecha","Reseña"
"https://www.google.com/maps/contrib/106840545687149144903/reviews?hl=es","Jose Ricardo Nieto Primera","Hace 2 meses","Estación con un siglo de antigüedad, combina las líneas 2 y 9. Buenas instalaciones en general"
"https://www.google.com/maps/contrib/115561502631780339497/reviews?hl=es","JUAN JOSE ALONSO ROYO","Hace 2 años","Grande espaciosa limpia de las mejores estaciones de metro de la red  de Madrid.Y muy profunda hay cuatro niveles de escaleras para subir pero todo remodelado y muy nuevo y limpio."
"https://www.google.com/maps/contrib/114168659682314897733/reviews?hl=es","Dimitri George","Hace 3 años","Después de más de un año han ya terminado las obras en esta estación de metro y la han habilitado para personas de movilidad reducida con ascensores y limpios túneles. Sigue conectando las líneas 9 (morada) y 2 (roja) de metro. Han habilitado también papeleras de reciclaje en distintos puntos de la estación."
"https://www.google.com/maps/contrib/109959028149185681941/reviews?hl=es","ANTONIO CRUZ SANCHEZ","Hace 3 meses","Es una de las estaciones importantes de Madrid, no está nada pero que nada mal"
"https://www.google.com/maps/contrib/107617880028669830312/reviews?hl=es","José Julio Melgares","Hace 7 años","Esta estación nos deja a la altura del número 125 de la Calle de Alcalá, muy cerca de la Puerta de Madrid del Parque del Retiro."
"https://www.google.com/maps/contrib/101580934109156309119/reviews?hl=es","Ana (Annie NeveraDeLibros)","Hace 5 años","La estación está en obras y no hay ascensor ni escaleras automáticas para salir por lo que si vas con el carrito del bebe o tienes alguna lesión es un incordio.Hablando con los trabajadores parece que una de las reformas que van a incluir es el ascenso así que a ver si no tardan mucho"
"https://www.google.com/maps/contrib/101148079767238365217/reviews?hl=es","Maria","Hace un año","Hace mucho calor en vagones  línea 9 dirección Paco de Lucía, podían poner el aire un poco más fresco como en línea 2 por ejemplo"
"https://www.google.com/maps/contrib/107967261859031859713/reviews?hl=es","Julio Diarte","Hace un año","Una estación completa con fácil acceso."
"https://www.google.com/maps/contrib/112190811576239248722/reviews?hl=es","Michelli Denny","Hace 2 años","Lamentablemente el ascensor saliendo de la linea 2 sentido las rosas no funciona por lo menos des de hace 3 meses!!! Tengo a un bebé y está muy complicado!!!"
"https://www.google.com/maps/contrib/105803779041723829560/reviews?hl=es","Carmen Zincke","Hace un año","Al menos hay ascensor para salir a la calle, lo malo es que de bajada están estropeadas las escaleras mecánicas"
"https://www.google.com/maps/contrib/106491188026121838991/reviews?hl=es","S P","Hace 8 meses","No hay acceso para personas con movilidad reducida."
"https://www.google.com/maps/contrib/107467991566402401698/reviews?hl=es","Satur Vicente Vidal","Hace 5 años","Muchas motos, bicicletas,patines motorizados,y muchas terrazas dejan al peatón con muy poco espacio para caminar,y con riesgo de ser colisionado por alguno de esos artilugios rodantesAsí pues MAL MAL ...MUY MAL"
"https://www.google.com/maps/contrib/104601688390012618267/reviews?hl=es","Fuensanta Suarez","Hace un año","El hecho de que tenga ascensores y pueda moverme con mi bebé en carrito por la zona es de agradecer"
"https://www.google.com/maps/contrib/114053128478332363369/reviews?hl=es","Maite Rozas Rodríguez","Hace 2 años","La estación está reflejada hace muy poco y tiene sus estupendos ascensores"
"https://www.google.com/maps/contrib/106425373477399452125/reviews?hl=es","Arturo Bird","Hace 5 años","La estación está cerrada hasta el 23 de agosto por obras de modernización y accesibilidad. Antes de las obras era una estación antigua y poco luminosa"
"https://www.google.com/maps/contrib/103270408597117637505/reviews?hl=es","Mariana Zablah","Hace 2 años","En las palabras de Rosalía, las hamburguesas de este lugar son p de patronas. La señorita Halima provee una excelente atención y servicio. Totalmente recomendado."
"https://www.google.com/maps/contrib/106941731522881016311/reviews?hl=es","Manuel Sarmiento Cruz","Hace un mes","Una estación normal"
"https://www.google.com/maps/contrib/101300879697553171878/reviews?hl=es","Enrique Moreno","Hace un año","Estación de metro con conexión a otra línea. Bien amplia."
"https://www.google.com/maps/contrib/103679029788193060655/reviews?hl=es","CLARA SANCHEZ MONREAL","Hace 3 meses","Está muy bien comunicada"
"https://www.google.com/maps/contrib/106107038519094597383/reviews?hl=es","José María Pérez","Hace 3 años","La estación de metro es amplia, está limpia y tiene correspondencia con dos líneas de metro."
"https://www.google.com/maps/contrib/115726937315427840810/reviews?hl=es","J. Noir","Hace 7 años","Estación sin ascensor perteneciente a la Línea 9 (morada) y Línea 2 (roja) del Metro de Madrid, y correspondiente a la zona A."
"https://www.google.com/maps/contrib/111159285205647734604/reviews?hl=es","Arantxa Sanchez","Hace 3 años","La estación está en obras desde hace dos años"
"https://www.google.com/maps/contrib/103216596042752680013/reviews?hl=es","Eduardo Banus","Hace 2 años","Muy buena la estacion como la mayoría de las estaciones de la la red del metro de la Madrid"
"https://www.google.com/maps/contrib/110369613614338416322/reviews?hl=es","Bea Abad","Hace 3 años","Llevo casi 25 minutos esperando que pase un metro. No tienen vergüenza la gentuza esta."
"https://www.google.com/maps/contrib/116568916503697283370/reviews?hl=es","Manuel Díaz","Hace un año","Estación de metro con intercambiador entre linea 2 y línea 9."
"https://www.google.com/maps/contrib/101386647631038579993/reviews?hl=es","Jose Antonio Cortinas Cano","Hace 2 años","Por fin se acabaron las obras ,a quedado muy bien"
"https://www.google.com/maps/contrib/105337300046671889768/reviews?hl=es","Alejandro Ramírez Díaz","Hace un año","Buen sitio para visitar y disfrutarlo."
"https://www.google.com/maps/contrib/103604669014734766754/reviews?hl=es","Antoni Bella Pérez","Hace 7 años","La accesibilidad es su punto débil, sin ascensores en calle, líneas 2 y 9, y sin escaleras mecánicas para línea 2."
"https://www.google.com/maps/contrib/109087357673863066626/reviews?hl=es","Rocio Rodrigo Rubio","Hace 6 años","Ppe de Vergara es una estación del servicio de metro de Madrid línea 2 y 9 en la calle Alcalá en Madrid España"
"https://www.google.com/maps/contrib/114541505376534692940/reviews?hl=es","Dulce Sirenita","Hace un año","El tren a la partida silba...😊😊😊que bonito ❤💛🇪🇸"
"https://www.google.com/maps/contrib/109173727543410109936/reviews?hl=es","Pere Serrano Alonso","Hace un año","Estación metro línea 9"
"https://www.google.com/maps/contrib/108950464565408696061/reviews?hl=es","Rayanne Silva","Hace 4 años","Elegante, fino, camareros muy educados y gastronomía exquisita"
"https://www.google.com/maps/contrib/104074181070701689811/reviews?hl=es","Carmele Carmele","Hace 6 meses","Genial"
"https://www.google.com/maps/contrib/100799688281655872053/reviews?hl=es","Carlos","Hace 7 años","Esta mejor conservada que otras estaciones de metro de Madrid."
"https://www.google.com/maps/contrib/109315401760241567029/reviews?hl=es","javier ruiz","Hace un año","Renovada pero incómoda."
"https://www.google.com/maps/contrib/111548803009848518725/reviews?hl=es","Jesús Herrero","Hace 7 años","Un estación de metro pequeña, de una única salida."
"https://www.google.com/maps/contrib/102451943336981366095/reviews?hl=es","María Calle Santiago","Hace 7 años","Le doy 3 estrellas ya que carece de rampas o acceso a discapacitados."
"https://www.google.com/maps/contrib/101252094775266528608/reviews?hl=es","Douglas Aguirre","Hace 2 años","Guay!"
"https://www.google.com/maps/contrib/116096012919846650266/reviews?hl=es","Miguel Angel Viqueira Castelo","Hace 7 años","El presidente de la republica independiente de Kinarei recordando a sus antepasados."
"https://www.google.com/maps/contrib/110913766183817116384/reviews?hl=es","Blacky. (Blacki.)","Hace un año","Buen lugar para pasear."
"https://www.google.com/maps/contrib/118376352219296439913/reviews?hl=es","Mirela Da Silva","Hace 4 años","Edificios señoriales y un día brillante"
"https://www.google.com/maps/contrib/114151843464608690645/reviews?hl=es","Carlos Fernández","Hace 9 meses","Totalmente accesible y reformada."
"https://www.google.com/maps/contrib/112433433296915759183/reviews?hl=es","Julissa Garcia","Hace un año","Fenomenal"
"https://www.google.com/maps/contrib/103247502324902566470/reviews?hl=es","José M.","Hace 6 años","Estación de metro de las líneas 2 y 9"
"https://www.google.com/maps/contrib/102204150214810440104/reviews?hl=es","Andrés Velasco Antuña","Hace 2 años","Una zona estupenda"
"https://www.google.com/maps/contrib/108399417749428765037/reviews?hl=es","RDUJ RDUJ","Hace 2 años","Normal"
"https://www.google.com/maps/contrib/102792449471933553407/reviews?hl=es","diego meza","Hace 2 años","Muy limpio"
"https://www.google.com/maps/contrib/104462134433216208966/reviews?hl=es","Francisco León","Hace un mes","Indescriptible"
"https://www.google.com/maps/contrib/112140140200379839211/reviews?hl=es","Guillermo Fernandez","Hace 2 años","Buen servicio público."
"https://www.google.com/maps/contrib/100907464397812628029/reviews?hl=es","VznlTrolls","Hace 2 años","Estación limpia"
"https://www.google.com/maps/contrib/101097023332602461293/reviews?hl=es","Angel Leonardo Rosillo Sierra","Hace 6 años","Líneas 2 y 9"
"https://www.google.com/maps/contrib/100394505979269807228/reviews?hl=es","Rafael Diaz Moreno","Hace 6 años","Estación grande"
"https://www.google.com/maps/contrib/109969845125142815691/reviews?hl=es","Jose Enrique Marin Fernandez","Hace 8 años","bien comunicado"
"https://www.google.com/maps/contrib/116201140185232053162/reviews?hl=es","Michał Przech","Hace 2 años",""
"https://www.google.com/maps/contrib/114374462447607701473/reviews?hl=es","Rossano Desideri","Hace 8 meses","Bello"
"https://www.google.com/maps/contrib/106581588866971464178/reviews?hl=es","Valentina Lopezzapata","hace 3 días",""
"https://www.google.com/maps/contrib/103580566722976484444/reviews?hl=es","Adela Rodriguez","Hace 2 meses",""
"https://www.google.com/maps/contrib/103528569313465412444/reviews?hl=es","María del Mar Padrón","Hace 2 meses",""
"https://www.google.com/maps/contrib/117466574700689523997/reviews?hl=es","Carlos Garcia-Rico Espíldora","Hace 6 meses",""
"https://www.google.com/maps/contrib/102443462349010214097/reviews?hl=es","Dora UnaDoradita","Hace 6 meses",""
"https://www.google.com/maps/contrib/110653380742343284553/reviews?hl=es","Carmen Serbanescu","Hace 10 meses",""
"https://www.google.com/maps/contrib/113252806414217226400/reviews?hl=es","Daniel paredes alvarez","Hace 11 meses",""
"https://www.google.com/maps/contrib/106059096027785976217/reviews?hl=es","Mariano Ramon Espinosa Diaz","Hace 11 meses",""
"https://www.google.com/maps/contrib/118092184885011944357/reviews?hl=es","fernando martin serra","Hace un año",""
"https://www.google.com/maps/contrib/104339172607730913199/reviews?hl=es","Stelian Nedelea","Hace un año",""
"https://www.google.com/maps/contrib/104427527900877067556/reviews?hl=es","Ivan Martin","Hace un año",""
"https://www.google.com/maps/contrib/100625688840188741032/reviews?hl=es","Jorge Serrano","Hace un año",""
"https://www.google.com/maps/contrib/102356399937495447655/reviews?hl=es","José Francisco Ruano Leyva","Hace un año",""
"https://www.google.com/maps/contrib/107071916786748708054/reviews?hl=es","Maciej Ratajczyk","Hace un año",""
"https://www.google.com/maps/contrib/112206083054031773701/reviews?hl=es","Guadalupe Rodriguez Diez","Hace 2 años",""
"https://www.google.com/maps/contrib/102989105226492657645/reviews?hl=es","josefa carmen saiz de aja","Hace 2 años",""
"https://www.google.com/maps/contrib/116039749833097802641/reviews?hl=es","Florin86 Smadu","Hace 3 años",""
"https://www.google.com/maps/contrib/102438998574452010597/reviews?hl=es","Fernando Robles Ajenjo","Hace 3 años",""
"https://www.google.com/maps/contrib/114227448812358855662/reviews?hl=es","Raúl A. Iturria Caamaño","Hace 3 años",""
"https://www.google.com/maps/contrib/103206222326027218597/reviews?hl=es","Ricardo Cuadros","Hace 3 años",""
"https://www.google.com/maps/contrib/112991782945984015980/reviews?hl=es","Angel Lamela","Hace 3 años",""
"https://www.google.com/maps/contrib/106007019403431635762/reviews?hl=es","Augusto Mate","Hace 4 años",""
