"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXQf0z289Fqs8-irH4bql4OinUq6eTBXWleUOL2q3I1LHVlzvas=w36-h36-p-rp-mo-ba2-br100","Zacarías Oulad","Hace 2 meses","Que desastre servicio tiene el metro de Madrid, exactamente el metro del barrio del puerto, la segunda vez que pierdo mi dinero por nada hasta el atención de cliente no sabe explicar le hice caso 2 veces y me causó gastarme el dinero por nada y también la personal que trabaja en esta estación de pueblo nuevo es una mujer habla con mala leche y no trata bien a los clientes. ... 0 estrella"
"https://lh3.googleusercontent.com/a/ACg8ocLM_Q0kD1lZPT8fNYaW-BR4BNM7eXtGX88xxLnm4gdn_gkdtw=w36-h36-p-rp-mo-ba5-br100","Azu Cb","Hace un año","Estación de metro Pueblo Nuevo. Hola, hoy me encontré una cucaracha de 5 cm correteando por el ascensor que sube al vestíbulo. Por favor señores de Metro fumiguen esa zona. No es muy agradable ver cucarachas. Saludos! Os adjunto foto."
"https://lh3.googleusercontent.com/a/ACg8ocKLbb88vJZyyB_9rO9K5bYbVobQok-RfIRx5xh3KnPAUzY5QA=w36-h36-p-rp-mo-ba6-br100","Beac","Hace un año","Esta estación de Metro me trae muchos recuerdos de mi infancia. Mis abuelos vivían el Pueblo Nuevo y la utilizaba muchas veces. Era un barrio tan castizo, tan de Madrid, y me da pena todo lo que ha cambiado. La gente que lo compone, los establecimientos, ya no es lo mismo. Pero siempre, esta estación tendrá un huevo en mi ❤️"
"https://lh3.googleusercontent.com/a-/ALV-UjUsgDayBU8UUHud96dSfy4KBr8rpUuF2evnXBzvbJ6a0afS-BhS=w36-h36-p-rp-mo-ba5-br100","EVA SOUZA MARTINEZ","Hace una semana","Linea 7 de metro. Agil por la mañana. Puntual y no muy colapsada"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace un mes","### UBICACIÓN Y ACCESIBILIDAD LA ESTACIÓN DE METRO PUEBLO NUEVO SE ENCUENTRA EN EL BARRIO DE PUEBLO NUEVO, EN EL DISTRITO DE SAN BLAS-CANILLEJAS, AL NORTE DE MADRID. ES UNA PARADA DE LAS LÍNEAS 7 Y 5 DEL METRO. ### DISEÑO Y ESTRUCTURA PUEBLO NUEVO TIENE UN DISEÑO MODERNO Y FUNCIONAL, CON VARIAS ENTRADAS Y SALIDAS BIEN SEÑALIZADAS. LA ESTACIÓN ESTÁ EQUIPADA CON ESCALERAS MECÁNICAS Y ASCENSORES, FACILITANDO EL ACCESO A PERSONAS CON MOVILIDAD REDUCIDA Y A OTROS USUARIOS. ### SERVICIOS Y COMODIDADES - **CONECTIVIDAD:** LA ESTACIÓN DE PUEBLO NUEVO OFRECE UNA EXCELENTE CONEXIÓN A TRAVÉS DE LAS LÍNEAS 7 Y 5, PERMITIENDO A LOS USUARIOS ACCEDER A DIFERENTES ÁREAS DE MADRID Y TRANSFERIRSE FÁCILMENTE ENTRE ESTAS LÍNEAS. - **ENTORNO:** LA ESTACIÓN ESTÁ UBICADA EN UNA ZONA RESIDENCIAL Y COMERCIAL, CON ACCESO A VARIOS SERVICIOS LOCALES, COMO TIENDAS Y RESTAURANTES. ES UNA ÁREA TRANQUILA EN COMPARACIÓN CON OTRAS PARTES MÁS CENTRALES DE MADRID. - **SEGURIDAD:** PUEBLO NUEVO ESTÁ BIEN VIGILADA CON CÁMARAS DE SEGURIDAD Y CUENTA CON PERSONAL DE SEGURIDAD, LO QUE OFRECE UN ENTORNO SEGURO PARA LOS VIAJEROS. ### EXPERIENCIA DE USUARIO LOS USUARIOS VALORAN LA ESTACIÓN DE PUEBLO NUEVO POR SU UBICACIÓN CÓMODA Y SU BUENA CONEXIÓN ENTRE LÍNEAS. LA LIMPIEZA Y EL MANTENIMIENTO SON ADECUADOS, Y LA SEÑALIZACIÓN ES CLARA Y EFICAZ. LAS MÁQUINAS EXPENDEDORAS DE BILLETES Y LOS PUNTOS DE INFORMACIÓN SON ACCESIBLES Y ÚTILES. ### OPINIÓN GENERAL PUEBLO NUEVO ES UNA ESTACIÓN EFICIENTE EN LA RED DE METRO DE MADRID, DESTACADA POR SU UBICACIÓN EN UNA ZONA RESIDENCIAL Y COMERCIAL TRANQUILA. SU FUNCIONALIDAD Y ACCESIBILIDAD LA CONVIERTEN EN UNA PARADA CONVENIENTE Y PRÁCTICA PARA LOS VIAJEROS. EN RESUMEN, LA ESTACIÓN DE METRO PUEBLO NUEVO ES UNA PARADA BIEN EQUIPADA QUE OFRECE UNA BUENA CONEXIÓN A DIFERENTES PARTES DE MADRID Y PROPORCIONA UNA EXPERIENCIA DE USUARIO POSITIVA GRACIAS A SU DISEÑO FUNCIONAL Y SU UBICACIÓN EN UNA ÁREA RESIDENCIAL TRANQUILA."
"https://lh3.googleusercontent.com/a-/ALV-UjXR0YcFsu4Y8fXmY0iViSKlpdy0BMQXgvZg2DbeBNUw3iUUL9s=w36-h36-p-rp-mo-ba5-br100","Manuel Gil Saavedra (MANOLETE)","Hace 10 meses","Una estación de metro, algo renovada y más actual y moderna, puesta al día en las expectativas y sugerencias que nos exige la tecnología en la atención y transporte de viajeros. Y también añadir que habiendo estado trabajando como Guardia de seguridad en Metro de Madrid muchos años, dando cobertura en planificación, seguridad y control, pues me parece estupendo que la Seguridad Privada haya mejorado bastante desde que yo dejé mi puesto en Metro, y hay más control y mejor dedicación al servicio. Puesto que es de cara al público, me parece que ha mejorado como un 70 por ciento más desde mi época. ENHORABUENA A TODA LA SEGURIDAD PRIVADA Y TAMBIEN A LOS EMPLEADOS DE METRO. Gracias y Saludos muy cordiales. SEGUIR ASI. Hasta siempre compañeros VIGILANTES."
"https://lh3.googleusercontent.com/a-/ALV-UjXcBv5OccMOCvusRtQnnBxO2R-LqNoE1ZG4U8aSDG3vur63SQumHw=w36-h36-p-rp-mo-ba6-br100","NANCY EDITH GOMEZ FIGUERA","Hace un mes","Generalmente está muy limpio, aunque hay bastante gente, pero hace mucho calor."
"https://lh3.googleusercontent.com/a-/ALV-UjWaRJRxImN-DrrihGO7In80Q7h6OM34ewH_IM3PKlciqUa6IB5Jtw=w36-h36-p-rp-mo-ba5-br100","Alejandro Infestas Blanquiño","Hace 4 años","Una buena parada de metro suelen funcionar las escaleras mecánicas, hay opción siempre de ascensor, se encuentra adaptado, tiene linea de metro 5 y 7, la 7 es más rápida."
"https://lh3.googleusercontent.com/a/ACg8ocLcKq4sSNZi6p_ECIDuhUHWpmhe00dkeO5YWCRDb5bcNMAT5g=w36-h36-p-rp-mo-ba6-br100","Guillermo Rivas Plata Sierra","Hace 4 meses","Estación de metro normal con ascensor y escaleras metálicas. 2 máquinas para extender billetes."
"https://lh3.googleusercontent.com/a/ACg8ocLosKCs1h-t-tSfl_EEZAZKQg5MKd6AH0rqOT00RzS76yhMLhs=w36-h36-p-rp-mo-ba6-br100","Netrufo nfo","Hace 6 años","Estación de metro algo vieja. Los abcensor huelen a alcantarilla increíble.... Hace muchísimo calor en esta estación, no hay una ventilación adecuada. La limpieza en los pasillos y sobretodo en la línea 5 muy muy regular. Aproposito la gente se suele colar muy frecuentemente y fácilmente saltando."
