"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocJ7HS7oZoKl5DNCj-k7xg_6yyx78znExjid4Km1TtLhHSrWCA=w36-h36-p-rp-mo-ba6-br100","Bryan Villar","Hace un año","Puerta de Boadilla se pensó para ser una estación de gran importancia pero lo cierto es que sólo conecta con 3 líneas de autobús, el servicio de metro ligero es malo con ganas (línea mal construida que hace eses en las glorietas, en medio del campo, paradas absurdas hasta en sus propias cocheras, frecuencia pésima los fines de semana,...), la oficina de atención al viajero que tiene está cerrada con excusa de la pandemia de coronavirus (a pesar de hallarnos en pleno 2023) y cuando hace frío no hay donde cubrirse. El metro ligero sólo sirve para trayectos urbanos en Boadilla o intermedios en la línea. Para ir a Madrid es mucho mejor el bus, y eso que ninguno va directo. Las estaciones construidas a partir de 2003 con el nombre ""Puerta"" es porque tienen importantes conexiones y permiten transbordar para ir a multitud de destinos, pero Puerta de Boadilla no lleva a ninguna parte. Sólo te acerca a El Pastel, pero para eso puedes coger el bus en el centro de Boadilla y en cualquier parada de las calles por dónde va el metro ligero."
"https://lh3.googleusercontent.com/a-/ALV-UjWGlKteARgh347t7kXPmXcX_ukHELhb_hsjkLGkKZnMlt3pAvP91A=w36-h36-p-rp-mo-ba4-br100","Melina","Hace 2 meses","Interesante como se usa el tram en Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjUCxU6BMmSO9-Ea7GXx4RkMdJzg-VVLpNiaTbnGVvnBpBQ6kA19=w36-h36-p-rp-mo-ba5-br100","Jaime S.F.","Hace un año","Si lo vemos por el lado de que estamos en Boadilla ""lejos"" de un metro normal, pues a ver esto hace el apaño. Pero por el lado del tiempo, es horrible. Tarda mucho en llegar de un punto a otro, y la opción ""rápida"" a un horario concreto, simplemente ahorra 5min como máximo. Esto será problema de las velocidades máximas que puede coger o las que les dejan coger, no es problema de cantidad o frecuencia. Si calculamos solo desde el momento en el que arranca, hasta Colonia Jardín es eterno. ¿No podrían hacer algo así como que ciertos metros ligeros NO paren en determinadas paradas al menos? Algo asó como los trenes o buses que se saltan cachos. Seguro que hay ciertas paradas, que con demasiada frecuencia se baja nadie o 1 persona. En los trenes pasa igual y se optó por hacer esto, una gran idea teniendo en cuenta que se debe buscar el mayor bien común. El horario está muy bien, y puedes hacer lo del combinado sencillo para enganchar con el metro con algo de descuento. Con respecto a ticar, al conductor le sale una pantalla con la que debería ser tu cara (por si vais con tarjetas que no son vuestras) o que hay gente que no ha ticado, es el conductor el que llama a los revisores, no aparecen mágicamente ni has tenido mala suerte."
"https://lh3.googleusercontent.com/a-/ALV-UjVffnd7Z-RxBEITAK-xxN-dL3x2Z5NW0sEX_-mIk9QI-ztMvRfp=w36-h36-p-rp-mo-ba2-br100","f e r a s i t o.","Hace 3 años","Estación de tren ligero con destino a: Montepríncipe, Ciudad de la Imagen y Colonia Jardin. Tiene una conexión cercana con las autobuses interurbanos de Majadahonda, y con los autobuses urbanos de la zona. Y tiene un supermercado cerca a la estacion. Lo peor es que el billete cuesta como 2 euros y tarda demasiado en llegar a las siguientes paradas, los sábados se queda parado 20 minutos. Lo que me gustaría que hiciesen es: mejorar las frecuencias de tiempo, instalar servicios de renfe cercanías, metro para la zona y ampliarlo hacia Villaviciosa de Odon, ya que esa zona apenas tiene transporte publico (También se podria instalar un servicio de metro circular para Boadilla y Villaviciosa de Odon, y ampliar la linea 10 del metro hacia Mostoles para así ir hacia Villaviciosa y tener una conexion con el transporte publico que necesitamos, asi las dos líneas circulares del sur estaran conectadas."
"https://lh3.googleusercontent.com/a-/ALV-UjVM4VsWyiolhW1r1cClmd0wP1NlzaUIO6xZ6LotIAxUzUSp2En_Sg=w36-h36-p-rp-mo-ba4-br100","Alicia","Hace un año","Siempre salen tarde o pronto. Nunca a su hora. Para los que usamos transporte publico para ir a trabajar nos hace tener unos retrasos enorme incluso hasta llegar tarde porque no llegas a coger el bus por esos 5 minutos de retraso. Como hoy a la 13:30 que ha salido a las 13:35. Tambien parece que aunque vayas corriendo para cogerlo y te este mirando justo antes de darle a la puerta para que se abra decide irte sin dejarte subir. MUCHO MEJOR COGER UN BUS QUE VAN MAS RAPIDO TIENES MEJOR COMUNICACION Y ALMENOS TIENEN LA AMABILIDAD DE ESPERARTE Y DEJARTE SUBIR CUANDO TE VEN CORRIENDO HACIA ELLOS. MUCHO MAS AMABLES QUE LOS SEÑORES BORDES DEL METRO."
"https://lh3.googleusercontent.com/a/ACg8ocI8Lhn1I1gEplOiOmFpKcKtFbsJZoqkhmuNtTvfIfeDtgmELdI=w36-h36-p-rp-mo-ba2-br100","Jesús Sahagún Pareja","Hace 3 años","Es demasiado lento y demasiadas paradas. Mejor usar el autobús o el coche hasta Colonia Jardín, mucho más rápido. Solo merece la pena dentro de Boadilla o trayectos cortos."
"https://lh3.googleusercontent.com/a-/ALV-UjWCDWMkAJZ250s4utcmyR-CXtvTZp8z4h9FMDiHVZFO3zroxw=w36-h36-p-rp-mo-ba4-br100","Andres Rivero","Hace 3 años","Los conductores son unos amargados no pueden ni esperar un segundo te ven corriendo y simplemente no les importa, además de lento"
"https://lh3.googleusercontent.com/a-/ALV-UjU7W9IrrYinNslAB4k1gwNWJv7wXONh4H3YOc75DG0UT4q908VSug=w36-h36-p-rp-mo-ba5-br100","Jorge Luis","Hace 5 años","Los sábados tarda 20 minutos en salir"
"https://lh3.googleusercontent.com/a/ACg8ocITIdhEw8QAQAWAJ3lqV_Kk-kfTKB-5aCROnIpPLm2CEhYwHA=w36-h36-p-rp-mo-ba4-br100","GLORIA STELLA MANCILLA PAZ","Hace 2 años","El metro cumple con los horarios que anuncia, poca perdonas."
"https://lh3.googleusercontent.com/a/ACg8ocJYBqt3UjEtPjNK-QBEryrZ2daT7hAY5aeldVYNXkxoXnWJbg=w36-h36-p-rp-mo-ba4-br100","CARLOS","Hace un año","Entre otras cosas, faltan unos cargadores para coche eléctrico"
"https://lh3.googleusercontent.com/a/ACg8ocJN74JZZ-toFQktKg6lcQobq4yewUGpS3Jo2GqiBIv3moDA5w=w36-h36-p-rp-mo-ba2-br100","Maria Isabel Izarro","Hace 5 años","Lo peor que han hecho...y un robo te cobran el billete a 2 euros, no varia el precio según la distancia de la parada que deseas hacer."
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Hace 6 años","Puerta de Boadilla es una estación del servicio de metro ligero 3 hace final de trayecto en Madrid España"
"https://lh3.googleusercontent.com/a/ACg8ocInqH_rAMRCFWsviwEgfhabVYnJ2tPqYdvPcbOoKGAolbUn8A=w36-h36-p-rp-mo-ba3-br100","K. G. (no name)","Hace 4 años","Servicio nefasto. Disfrutan viendo al posible pasajero correr y viendo cómo se aleja Falta de humanidad total"
"https://lh3.googleusercontent.com/a-/ALV-UjVY6mv9y6HscIAqsn8elitDTg6OGk3ClDkbdlYJ7-Kp92HgRy8=w36-h36-p-rp-mo-br100","Diana Osorio","Hace 5 años","Es muy lento, un autobús con ese recorrido tardaría mucho menos, no le veo el sentido."
"https://lh3.googleusercontent.com/a-/ALV-UjXI4dqo-iTCNaKbatxWDhzdT-d7kO_jP7Pxd__ROituCcqpYy-d=w36-h36-p-rp-mo-ba3-br100","Darwin Caraballo","Hace 6 años","Excelente el ML3. Limpio,  puntual y encima con wifi Free!"
"https://lh3.googleusercontent.com/a-/ALV-UjXfMapC21Ie_Zv6ITH1VWugEZqC3vb6dHUKyFo9khhgURzPtb0=w36-h36-p-rp-mo-ba3-br100","Linda Naturaly","Hace 4 años","Un aparcamiento gigante, carrefour y otros mercados, bares restaurantes y una vistas espectaculares."
"https://lh3.googleusercontent.com/a/ACg8ocJWNJcklzA5DAn8Sw2KhidJRh4b13yMu-IN2r3lkCCeiP0u-g=w36-h36-p-rp-mo-ba3-br100","Hartjes Lips","Hace 2 años","Tranquilo, limpio y seguro"
"https://lh3.googleusercontent.com/a/ACg8ocLjlHLGFZb6kaj76llN8WsCjp3gQp2IZDRNGESylMnfiMBDkw=w36-h36-p-rp-mo-ba4-br100","Marcia Vera González","Hace un año","Hermoso Boadilla del Monte"
"https://lh3.googleusercontent.com/a/ACg8ocI6pd6hjN0Gh2kVda1KPJUzw6sGNN9NODhiXQKrxRKqXm8icg=w36-h36-p-rp-mo-ba6-br100","Mauricio C.G.","Hace 7 años","El metro ligero está bastante bien."
"https://lh3.googleusercontent.com/a-/ALV-UjW3sV4sRbw783eJNPQ_vroPrHZob35z4x5ey_Nyfr7Z3T6dmg=w36-h36-p-rp-mo-ba2-br100","Beatriz Sanchez","Hace 5 años","Tarda muchisimo a llegar a Colonia Jardin"
"https://lh3.googleusercontent.com/a-/ALV-UjVZY0HoHOb7lzycQDWjKey0rY0ABGKAZdibLczqX3_UWre4TRE=w36-h36-p-rp-mo-ba7-br100","Urban Traveler","Hace 4 años","Terminal de ML3, tranvía o tranvía como prefieras. Sólo hay un pequeño techo para cubrirte mientras esperas."
"https://lh3.googleusercontent.com/a-/ALV-UjW8TQ_Q0OrslLlybqnLFIL7izuYLdxq7ZMN7mcYHqUNGxIH_OM=w36-h36-p-rp-mo-ba6-br100","Eduardo Lima","Hace 4 años","ML es genial"
"https://lh3.googleusercontent.com/a-/ALV-UjVW87TYZTIcU_s36bBVyCyzucTCXdv5DGrXHao7yQe2RaXj5ph4=w36-h36-p-rp-mo-br100","Jose Serapio","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUliMlme-okdY61wOja2GStn_4u9uWJm7cy6zmWVVMChF_Pb0YM5g=w36-h36-p-rp-mo-ba3-br100","Candida Perreira","Hace una semana",""
"https://lh3.googleusercontent.com/a-/ALV-UjWWkUPZkBkMgl8OmxadB8ejbk63eiwJHJZ7k2gzrQ6j-sir5ZJsMQ=w36-h36-p-rp-mo-br100","jose Garcia","Hace 3 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocLiT0k6EAAj0Y4_UY-4g_qvl2MvdMZjtBJfjooD8N4biVMyjQ=w36-h36-p-rp-mo-ba5-br100","Carmen Sanchez Tirado","Hace 7 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjVavRpy8d2PME9cHhDyQII469b4jBnbktR1hHBz-G0QbOwyFQM=w36-h36-p-rp-mo-br100","Cazador De la Vida","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjXUPxdnFg8xsD6J--SRJ1LuyyYFKtMOL88C6kRNqaONOC7-3hMFKQ=w36-h36-p-rp-mo-br100","Pablo Lozano","Hace 4 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJBnVK1UJMIKOed32W-Cn4anWGdXujuMcsah01etSYJtaw7dQ=w36-h36-p-rp-mo-ba8-br100","Francisco","Hace 5 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjV3arpNS7_mf2VsF4ywCUvqYHZ4EvVscjpsJCxJNR1SeIy7WsQm=w36-h36-p-rp-mo-br100","lh luna","Hace 6 años",""
