"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","📌Tiene buen acceso para personas con movilidad reducida, es amplio y cómodo. Se ve muy limpio el metro y el parque que le rodea.…"
"https://lh3.googleusercontent.com/a-/ALV-UjXtf4F0KukS9ZcLzMSEzVCdC7Jjqsf-3AzSLBtX6ATvc8aP-C0fhQ=w36-h36-p-rp-mo-ba8-br100","Jose Antonio Garcia","Hace 4 años","ESTACIÓN REYES CATÓLICOS. SAN SEBASTIÁN DE LOS REYES. Una linea de metro construida en el 2007 que beneficia a casi 200 mil personas para moverse a Madrid y Alcobendas donde hay muchos población que labora y van por gestiones personales. Una estación que conjuga transporte y cultura porque posee un mosaico muy vistoso en sus paredes en contribuye a la presencia del Arte. Hay acceso a minusválidos."
"https://lh3.googleusercontent.com/a/ACg8ocK4NTBvbfZy_qxqe_ELgSjmAesm8SqcOFbnGmkcVH6shbUSeA=w36-h36-p-rp-mo-br100","yasmin lamfaddel","Hace 8 meses","Vergonzoso , es impuntual, encima que va con retraso se queda en las paradas como tres minutos , me parece fatal , deberíais contratar a más conductores o hacer algo, el metro va en mal camino y sobre todo la linea 10 , hacéroslo mirar"
"https://lh3.googleusercontent.com/a-/ALV-UjUBiPlnWQlRnf-HjlKU7Lv108LrfKt1SCd7ptAmYOoQMelIrStC=w36-h36-p-rp-mo-ba5-br100","Jose Manuel Martinez Martinez","Hace un año","Estación de metro amplia con salida cercana a polígono, ayuntamiento , policía local y protección civil en San Sebastián de los Reyes"
"https://lh3.googleusercontent.com/a-/ALV-UjXnpcZECdJr81UYgUAgXsqhGkGjGnjiH0o8seoxq91ZaW3YdRGa=w36-h36-p-rp-mo-ba5-br100","luis cañizalez","Hace 4 años","Estación de metro de buena iluminación, de fácil acceso para todo tipo de personas , siempre está limpia"
"https://lh3.googleusercontent.com/a/ACg8ocITFWyTDoGoWFEEhOWUIjzLMw-tgJ-IlSh5Iuya2btUcKmauQ=w36-h36-p-rp-mo-br100","Pablo Tabares Aparicio","Hace un año","Al de seguridad de las 00:10 (26-02-23) decirle que si no le gusta su trabajo de cara al público, se dedique a algo individual como por ejemplo el patinaje artístico o programador!! Menudo impresentable"
"https://lh3.googleusercontent.com/a-/ALV-UjV6iKLAcJxlqx9PNk7NCgPKz_MTgV6-b3JP55Gwsl77o86_u2bT=w36-h36-p-rp-mo-br100","karina alexandre","Hace 5 meses","Es vergonzoso que en los sábados haya que esperar 20 minutos"
"https://lh3.googleusercontent.com/a-/ALV-UjXwAJObIaRlXing2AR-4Y7y3Ng2MjbAySugqKAThz4JoTCRMOXm=w36-h36-p-rp-mo-ba4-br100","Fuensanta Suarez","Hace un año","Es una estación súper amplia, accesible y deja justo en la calle Real de San Sebastián de los Reyes a 10 min caminando del ayuntamiento"
"https://lh3.googleusercontent.com/a/ACg8ocJHIULYoFiHEsiJEF4dU0bZ2Jxx-5Jw840E7tRu2GH__ygDsw=w36-h36-p-rp-mo-ba4-br100","Pablo","Hace un año","Bastante bien y bastante limpio pero podría tardar menos en metro en llegar"
"https://lh3.googleusercontent.com/a/ACg8ocItE2M_S0ttVEdbU-p_fdXmOyOznaNvBU7_NYkJ_Ypp__h-3Q=w36-h36-p-rp-mo-ba4-br100","javi con le","Hace 2 años","Vestíbulo Metro Reyes Católicos."
"https://lh3.googleusercontent.com/a-/ALV-UjXfK-obc_Gkgh9xyiOqLsoKEgNa9pMfpIsbw2P-iKNdtktNU1bS=w36-h36-p-rp-mo-ba2-br100","Ruth Savini","Hace 6 años","Siempre se encuentra limpia la estación y los trenes llegan según el tiempo indicado"
"https://lh3.googleusercontent.com/a-/ALV-UjUwf0UA6U-En0DtqJNFZssu9ByWV8AkYKcfum_ssW1D1vqzaY1X=w36-h36-p-rp-mo-ba6-br100","Alvaro4","Hace 5 años","La estación esta bastante limpia. No cuenta con gran afluencia de pasajeros."
"https://lh3.googleusercontent.com/a/ACg8ocIIOB6xH9sj9WqpXRz33eBWihvpM8OpOhl7lt6M7Oz86F-HCKy-=w36-h36-p-rp-mo-ba3-br100","Fernando","Hace 9 meses","Te deja en cerca del centro"
"https://lh3.googleusercontent.com/a-/ALV-UjWMnQMMDMQzXgSNMTqMHNMWIsTNgAllxmGHSUP5mShhPxYM1hnv=w36-h36-p-rp-mo-ba8-br100","JotaPe","Hace 4 años","Está estación es relativamente nueva, con una estructura sin grandes diferencias respecto al estilo de las otras estaciones nuevas."
"https://lh3.googleusercontent.com/a-/ALV-UjWQx_TATGDC-92mI-QzEgEe_qMBat8OHnrcAE5QdqEJjgKDBLWO=w36-h36-p-rp-mo-ba4-br100","David Mellado Herrero","Hace 6 años","Estación de metro decorada con la plaza de toros de San Sebastián de los Reyes. Es curiosa."
