"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjU7EqmbJpTifj0XFQjdFkWFLScMxfv7tdtcLBM6MXYJ8XIlW-X2JQ=w36-h36-p-rp-mo-ba7-br100","Cris Sánchez De Paz","Hace un mes","La estación es grande y sus metros tiene una disposición diferente"
"https://lh3.googleusercontent.com/a/ACg8ocITYNTztpxbB2AiA5cR03-C-BfBCrpWbq8LofnGGUNDOcBVDg=w36-h36-p-rp-mo-ba3-br100","Maricarmen Fonta","Hace 2 meses","Es un buen barrio, la zona es tranquila , tiene , parqués, tiendas, supermercado 🛒 también bares, colegios, instituto,  centro de salud y sobretodo está muy bien comunicado, con autobús 🚌 y el metro 🚇 centro de mayores .…"
"https://lh3.googleusercontent.com/a-/ALV-UjVnDxxbEx9wArddjy9kMnm6bqcAk_KR-faULKX02QcC5fFfK1kFmA=w36-h36-p-rp-mo-ba5-br100","Sol Novad","Hace 4 meses","Me gustaría que los tiempos de espera fueran menores, que haya más vagones y que se elimine, de una vez por todas, el transbordo en Puerta de Arganda."
"https://lh3.googleusercontent.com/a-/ALV-UjVfPsRzyhd5n_bEu4rcKd6jHP6VE_H7dWtC9M_yTqQMEnYhF2Cm=w36-h36-p-rp-mo-ba3-br100","Luis Gonzaga","Hace 6 meses","8'05am estación rivas Urbanizaciones, el panel del metro pone 8minutos, pasan 12minutos y en dirección Arganda pasan 3 metros.. La estación no cabe un alfiler, se han dignado a poner un vagon más de Rivas Urbanizaciones a Puerta de Arganda una sola estación de metro 25 minutos, Ustedes gestores,de lo público, propietarios de lo público, se han dedicado a maltratar, a los usuarios  el transporte, para su propio beneficio, económico todas las empresas cuando la gestión no funciona se toman medidas, ustedes tienen el puesto de trabajo asegurado, por su inefucacia,  por que  quien debe  poner orden,  para que el transporte funcione LOS POLÍTICOS ,, son sus Colegas,, cuanto peor mejor..."
"https://lh3.googleusercontent.com/a-/ALV-UjVz14MC7G0puwi4rOIf31xR1osq3WjOmVRCrtbM_XZcf8lIH-P1Mw=w36-h36-p-rp-mo-ba4-br100","Isabel Palomeque","Hace 10 meses","Dan un servicio penoso, no puede ser que en hora punta pongan trenes con solo dos vagones. La gente va apiñada como si fuéramos ganado. Es vergonzoso. No se si servirá de algo poner este comentario por aquí, pero pienso poner también una reclamación a metro"
"https://lh3.googleusercontent.com/a-/ALV-UjU5u9yLzi8HK_brTQrViz1a6f3fZBfQ63XKWRmr0XrxIsfrAk2y8A=w36-h36-p-rp-mo-ba5-br100","luis S","Hace 7 meses","Hay poca frecuencia de trenes, el parking está muy mal iluminado y la pintura necesita un repaso"
"https://lh3.googleusercontent.com/a-/ALV-UjVWf9ZxaWHmun5b8BDC02sKDfRfKF3zzLhym87zcUUXZFvkMX1c=w36-h36-p-rp-mo-ba5-br100","CP For","Hace 4 años","El tiempo de espera es superior al que señalan. Si vienes de otra zona, como en mi caso zona A, la tarjeta no me acepto la recarga sugerida para salir en esta estación  y de regreso igual. El personal tuvo que darme paso libre por la puerta de servicio."
"https://lh3.googleusercontent.com/a-/ALV-UjUn2FqxBVhxFmOWPTtNptbz8Z-YirTDRYHIZFdM_CfXifdFnzcLow=w36-h36-p-rp-mo-ba3-br100","Angel Malagon","Hace 2 años","Hoy en día, esperar a trenes por 10 minutos y que en la estación no exista cobertura no me parece bien. Es de las pocas estaciones que le pasa esto en todo Madrid. Tiene un amplio aparcamiento, es una estación bonita pero ese detalle le resta mucha calidad"
"https://lh3.googleusercontent.com/a-/ALV-UjVGrzYjYvArGBrTYGlGVczbTsS7ZvU9XD50RM_A30qXgnv-EaQ=w36-h36-p-rp-mo-ba5-br100","Fernando M. A.","Hace 7 años","Tiene un amplio aparcamiento para dejar el coche y amplio vestíbulo. Es un trayecto un poco largo hasta Madrid y además hay que cambiar de andén en la primera estación. La frecuencia de paso de trenes no es muy alta tampoco."
"https://lh3.googleusercontent.com/a/ACg8ocIp4pM0iyLP3J7ZnwH3QT7q6wyQt-OLoWIwO5igROnItnG-XA=w36-h36-p-rp-mo-br100","Marco Mazuelas","Hace un año","Vergonzoso el servicio de esta línea. Vamos hacinados por las mañanas, tan sólo 2 tristes vagones para recoger a tanta gente. ¿En qué cabeza cabe? No sé si sirve para algo esta reseña... ¿Las personas tenemos que normalizar que el servicio es cutre y no se puede hacer nada para mejorar esto?"
"https://lh3.googleusercontent.com/a/ACg8ocLcKq4sSNZi6p_ECIDuhUHWpmhe00dkeO5YWCRDb5bcNMAT5g=w36-h36-p-rp-mo-ba6-br100","Guillermo Rivas Plata Sierra","Hace 3 meses","Estación de metro normal. Con parada de autobús en la puerta."
"https://lh3.googleusercontent.com/a-/ALV-UjUaJtZV71UYgQhfpeZIjjdBc-HhprW-oEWLOfsPjDKetXu5q-VvAQ=w36-h36-p-rp-mo-ba4-br100","Lola González Retortillo","Hace 6 años","La estación está bien. Pero el tramo de la L-9 entre Puerta de Arganda y Arganda del Rey no merece llamarse metro, pues el servicio es de sólo 50 cm. Horario reducido ;2 ó 3 vagones, frecuencia muy mala(12-15 minutos a las 15:00 - 15:30)y si  llueve puede que no funcione por avería."
"https://lh3.googleusercontent.com/a-/ALV-UjWGDI3E3QfflcCnkByRDh-TbT9M-q36hAowc9rSWv1WmKgtJNJP=w36-h36-p-rp-mo-br100","FRONITEKLK lima","Hace 7 meses","No pone bien el horario del metro. En Google como para fiarse uno …"
"https://lh3.googleusercontent.com/a-/ALV-UjWIlcfjt8yrwl3HcVbGuSau9B-LhxjiZrKUbZlXdp9-f9Y_VAhE=w36-h36-p-rp-mo-ba5-br100","Ismael Valenciano","Hace 5 años","Se aparca bastante bien para ir al metro. El servicio ofrecido es pésimo. En plena hora punta frecuencias de más de 5 minutos y en muchas ocasiones llevan solo 2 vagones y vamos como sardinas en lata. Una vergüenza."
