"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocLPM4zis9ruCHjE_GkcRcQwHq7yUUCIf2hbVAISbofMj6tZYQ=w36-h36-p-rp-mo-ba6-br100","David Perez Martorell","Hace 3 meses","Edificio moderno muy bien comunicado con personas exteemadamente formadas en una emoresa centenaria de telecomunicaciones en España que son participes de la historia de una nación y de las coatumbres populares. El telefono es medio de comunicacion que hay crecido desde una España de guerras y posguerra hacia una democracia moderna con um enteamado empresarial miu bien sentado siendo competidor a nivel mundial"
"https://lh3.googleusercontent.com/a-/ALV-UjVeZJ3cYGW7LcnIaB-uRkGrPs77Xjor_4tXsA8e3oO2RvrGEIE=w36-h36-p-rp-mo-ba5-br100","Mariano M","Hace 6 años","Estación de metro correspondiente a la línea 10, por la cual se accede al Distrito C de la empresa Telefónica. Cabe destacar que esta estación de metro cuenta con cobertura wi-fi sin contraseña! Además esta estación de metro cuenta con escaleras mecánicas, fijas y ascensores (interior y exterior) para personas con movilidad reducida."
"https://lh3.googleusercontent.com/a/ACg8ocKMhfux4HgvneAfSijc1pIfzPw9sTn7hQ4XrHfQd4Koiojocw=w36-h36-p-rp-mo-ba6-br100","J. Noir","Hace 7 años","Estación que pertenece a la línea 10 (azul) del metro de Madrid. Está bajo la ""Ciudad de las Comunicaciones"" (también llamado 'Distrito Telefónica', el parque empresarial de Telefónica). Se ubica en el distrito de Fuencarral - El Pardo, al norte del barrio de Las Tablas."
"https://lh3.googleusercontent.com/a-/ALV-UjXSeC9jU5wL0RaoUgMRmRrjqL5ABzHPCbNa1YdYjOeWQHKhM-b3Tg=w36-h36-p-rp-mo-ba5-br100","Luis Boville Lobo","Hace 8 años","Parada de metro del Distrito C de Telefónica S.A. que engloba los grupos diversos de Telefónica. Es la línea 10 y por las mañanas y por las tardes a las horas de entrada y salida de trabajo tiene muy buenas frecuencias de paso. Llegas con la tarifa-zona A1, es la última para de echo en esa línea con esa tarifa, justo para que puedas llegas al Distrito C jejeje"
"https://lh3.googleusercontent.com/a/ACg8ocLV74XHdNyQHy3BlnUVcmVaSEvc7XYHZVEvYmOioU49f8B6cw=w36-h36-p-rp-mo-ba3-br100","José Carlos Arboiro","Hace 7 años","La señora Esperanza Aguirre y su equipo de excelentes gestores con el fin de llevárselo crudo perpetraron la gran chapuza de la prolongación de la línea 10. Cualquiera que venga a Ronda de la Comunicación experimentará que a partir de Chamartín el tiempo se ralentiza, deteniéndose por completo en Tres Olivos como si se tratara del horizonte de sucesos de un agujero negro. Debemos agradecer a la señora Aguirre la lección magistral de Relatividad General. Yo, al menos, se la agradezco cinco días a la semana -a mi manera, claro-."
"https://lh3.googleusercontent.com/a-/ALV-UjV7mHSbVSRjaSPXsKU9_r6ppVQS1zM1Ea5pS88RU4URMDbXe1oVzQ=w36-h36-p-rp-mo-ba5-br100","Álex L. Mendoza","Hace 3 años","Hermosa vista de la Sierra Madrileña justo al frente a la sede de Telefónica donde está la estación de Metro Ronda de las Telecomunicaciones."
"https://lh3.googleusercontent.com/a-/ALV-UjXpHlqIHVI89ZYv3O1UDsBjmorgVGjhUgNkwAmB7rdKFEx26ljw=w36-h36-p-rp-mo-ba5-br100","Ramon Arceo Rodriguez","Hace 2 años","Estación grande, bien señalizada e iluminada, a la altura del distrito Telefonica que está a su salida"
"https://lh3.googleusercontent.com/a-/ALV-UjVC_AdX2TiIkp9frID9qVsOiqj4gS93_qhzKwYIdMPjEzgo2Vfr=w36-h36-p-rp-mo-ba3-br100","Jacob G","Hace 5 años","Magníficas instalaciones que crean un microclima en este área de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjUD_KJQoS25Saypj_fB-TpCMLWxAcVF7Cq1totl7HVffpGkA8XV=w36-h36-p-rp-mo-ba5-br100","Julio Gómez","Hace 8 años","Cuesta entender cómo todavía hay estaciones de metro sin cobertura y más si da servicio de transporte a Telefónica."
"https://lh3.googleusercontent.com/a/ACg8ocLC2VEpUxDzIX5QKjZgRR3Ub4AxifNx0UjVY9qJnKi4yxIS_XIg=w36-h36-p-rp-mo-ba4-br100","Ana Guardiola Sánchez","Hace 3 años","Estación muy amplia y moderna, muy limpia y con personal de metro muy amable."
"https://lh3.googleusercontent.com/a-/ALV-UjVjcPADctN26HQeT6DhNiocZKCs0BuYPfJt8fhKkQmCAyfwDAdQ=w36-h36-p-rp-mo-ba4-br100","Jorge Duque","Hace 6 años","Se llama Ronda de la Comunicación y no hay como comunicarse una vez estás dentro del metro. No hay cobertura."
