"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocIIyqNL2004eo6S_Bi4f1cyNyPutXmkp11yuhI0xcWRUSAjdw=w36-h36-p-rp-mo-br100","juanjo ovied","Hace 7 años","Una de las estaciones màs antiguas de Madrid correspondiente al primer tramo Sol-Cuatro Caminos. Cercano a Minas, y al Canal Isabel II."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w36-h36-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Hace 2 meses","Parada muy sencilla con varias salidas, es accesible para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a/ACg8ocKL1xiUmDHJ_CQ5kC7Ax7oTkgyq5oR6SIvZaWKfqPbMBDdisXBw=w36-h36-p-rp-mo-ba5-br100","Juan LR","Hace un año","Estación de metro, experiencia pasar en metro. Salida al Canal de Isabel II y Consorcio de Transporte de la Comunidad de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w36-h36-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Hace 6 años","Metro Ríos Rosas L1, línea azul claro"
"https://lh3.googleusercontent.com/a-/ALV-UjXILxm-5hTyrOk77i9p_wqDZ-gWFHQFvcTvRZxnRxXUDnT3yVzl=w36-h36-p-rp-mo-ba5-br100","Andrés","Hace 7 años","Por la noche cierran la salida más cercana a José Abascal y hay usuarios que aprovechan para orinar en ese rincón. A veces hay muy mal olor. Por favor, dejen de cerrar salidas por la noche."
"https://lh3.googleusercontent.com/a-/ALV-UjXpHlqIHVI89ZYv3O1UDsBjmorgVGjhUgNkwAmB7rdKFEx26ljw=w36-h36-p-rp-mo-ba5-br100","Ramon Arceo Rodriguez","Hace 2 años","Estación muy iluminada y bien señalizada, línea 1 de metro"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Hace 6 años","Ríos Rosas es una estación del servicio de metro de Madrid línea 1 en la calle santa Engracia en el barrio Ríos Rosas está entre cuatro caminos y iglesia en Chamberí en la ciudad de Madrid en Madrid la calle acaba en la glorieta de Cuatro caminos entre iglesia y cuatro caminos es moderna y rapidísima en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjUXFC8s-uYIGmtZU9mH1UZlUIbIcGqBh3Pho20VF4n_dKLbzHE7=w36-h36-p-rp-mo-ba6-br100","DANY YOLI","Hace un año","Estación de Linea 1."
"https://lh3.googleusercontent.com/a-/ALV-UjV-iahqqqdHTxV1yWVMD8CeUwVVNzPdI5DQ77blC7m3uu2QMzKv=w36-h36-p-rp-mo-ba5-br100","dani Dearce","Hace 2 años","Que decir de la estación de metro más cercana a tu domicilio. Pues eso, que es la mejor porque te queda cerca Ja ja ja."
"https://lh3.googleusercontent.com/a-/ALV-UjXhYgsPHHEbdwCCwKX4eymcobmXfJwxR84PctyhizrYOms5v7M=w36-h36-p-rp-mo-ba4-br100","Héctor","Hace 10 meses","No tiene acceso para silla de ruedas"
"https://lh3.googleusercontent.com/a-/ALV-UjXf0a62Iaj-zqGFkHOX5VJ38Sx_hpk50az2Mae0CH_ZTNcsKSVOKg=w36-h36-p-rp-mo-ba3-br100","Joanna Victoria","Hace 4 años","Muy amable los que allí trabajan. Una estación muy tranquila y con buenos accesos."
"https://lh3.googleusercontent.com/a-/ALV-UjWi7ktKYL0ps2W1cvTqJa3Z2P9IgQsLidfh0jtlxyTY7LsohW6z=w36-h36-p-rp-mo-ba3-br100","Ugartus _29","Hace 4 años","Una parada de.metro más no tiene nada bueno ni malo"
