"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocKFziSrxtds0AhZAh2Apy5PDXKT8zLSYAKmfIn4bbuF7P34sA=w36-h36-p-rp-mo-ba3-br100","María Teresa Martínez Palomino","Hace 2 meses","Super moderno con sus tiendas pequeñas de comerciantes.  Muy buena calidad de todas las mercancías."
"https://lh3.googleusercontent.com/a-/ALV-UjUcXEppGy1IIOJfHgcAwFzJwot7OsRPeRCxXc4vNLnzgAfG03cvOA=w36-h36-p-rp-mo-ba5-br100","Julissa Garcia","Hace un año","Me encantó y es barato volveré"
"https://lh3.googleusercontent.com/a/ACg8ocI6wVQseooFWQQduhErvVMQajxkxT_H0QQ8PwbBeklRT7KwEQ=w36-h36-p-rp-mo-ba4-br100","norma salguero","Hace 2 meses","Cita en el mismo día genial"
"https://lh3.googleusercontent.com/a-/ALV-UjU_vF_X4q4ECZGCdij0L5kucARnMGlUkGdQaA0e1R80Qph1_qM=w36-h36-p-rp-mo-ba4-br100","Isabel Casquero","Hace un año","Parada de metro sin ascensor. Si vas a la piscina con niños, es un dato importante. A no ser q te ayude alguien, las escaleras se hacen interminables."
"https://lh3.googleusercontent.com/a-/ALV-UjVoiWOrs7sWlRp8W51SS6t21WB4xH0QPT88hzkTPeOOozQU3gAM=w36-h36-p-rp-mo-ba5-br100","Fco Javier Martin Ramos","Hace 2 años","Se necesita mucha más limpieza en el distrito,y por eso éxito a los concejales y a la junta municipal tomen parte en el asunto y tengan a los vecinos contentos, puesto que en las siguientes elecciones del distrito lo van a llevar muy mal.espero que tomen nota y se paseen por el barrio un poquito más y vean las calles más desfavorecidas"
"https://lh3.googleusercontent.com/a/ACg8ocJBFnsG-apQrAgOfC30GXsIUtVkbSl2wc8ZHyH1n8UyrXUr0w=w36-h36-p-rp-mo-br100","José M.","Hace 6 años","Parada línea 7 cerca de la oficina de Hacienda y de la Comisaría de Policía Nacional dónde renovar el carnet o el pasaporte. No está adaptada para personas con discapacidad. No tiene ascensor y la escalera última de acceso a cada uno de los andenes no es mecánica."
"https://lh3.googleusercontent.com/a-/ALV-UjVcnuvAdaQWjrbmMZXlpRtN7xYJZw85krZ1-uFFPtV2sfqoruo8Vg=w36-h36-p-rp-mo-ba4-br100","Joaquin J","Hace 5 años","Estación de metro de la línea 7, igual que la gran mayoría de esa línea necesitan una reforma, no tienen ascensor, las escaleras mécanicas no sirven para discapacitados, no hay cobertura en el movil y menos internet. Los usuarios de esta línea esperamos que ya que va al estadio del Metropolitano y lleva mucha gente pronto se haga una reforma en muchas estaciones de esta línea."
"https://lh3.googleusercontent.com/a-/ALV-UjWw48h5oOevz_k5yh4A08pbJeLewDArJfbVszTTdc_Cyt_orbIh=w36-h36-p-rp-mo-ba5-br100","Larry Medina Andrade","Hace 6 años","Es una parada del metro muy comoda a pesar q esta en remodelacion no suele estar abarrotada de gente el metro es muy puntual y pasan muy  frecuentemente en ambos sentidos lo unico malo es que en esa y variar paradas de esa linea no hay cobertura"
"https://lh3.googleusercontent.com/a-/ALV-UjV--SwYsyLnIOm4e-QAlX_AHJFAZEcuKidcoyikjuYUKx1Wp3uc=w36-h36-p-rp-mo-ba5-br100","Jesus maria Henao","Hace 2 años","muy agradable su gente tranquilidad comodidad seguridad"
"https://lh3.googleusercontent.com/a-/ALV-UjUvUxod1XuE0IeUq7MsOaMLcVLYIh09Y73kFkM-CQpmymGfEmM=w36-h36-p-rp-mo-ba4-br100","Mayte","Hace 2 años","Regular se cuela todo el mundo"
