"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Hace 4 años","La estación tiene salida a la calle San Cipriano pares e impares, es accesible para personas con movilidad reducida, escaleras mecánicas y ascensor, no tiene covertura móvil. Suele estar en bastantes buenas condiciones de limpieza."
"https://lh3.googleusercontent.com/a-/ALV-UjV2g2XxR0xbQmqqNkEj_zdpheKWxVlmc1es6JgKexU0dhLPohwJ=w36-h36-p-rp-mo-ba5-br100","Yilda Villalba","Hace 7 meses","Qué morro tienen ante una incidencia, decirle a la gente qué se valla andando... No comienzan a trabajar a la hora que corresponde ni informan a nadie lo que está sucediendo... Un poco más de empatia y amabilidad con los usuarios por favor 😠…"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","Tiene varias salidas, buena ubicación  y para personas con movilidad reducida el ascensor 👍🏼…"
"https://lh3.googleusercontent.com/a-/ALV-UjXzPOj0b21hX3X3Uf7J0spEsAQTaQpQPT11t9cNzL8nUu7QuXPa=w36-h36-p-rp-mo-ba6-br100","José G Arcas A","Hace un año","Un pueblo bastante normalito, nada pintoresco. Buena opción para vivir por la cantidad de.servicio que tiene. Solo eso"
"https://lh3.googleusercontent.com/a/ACg8ocILeOIbVwD3xcp-tUhltrRt2NmfGZhmm4R2fpSKlx_v2BivxQ=w36-h36-p-rp-mo-br100","Raul Abraham Ibarra Castellanos","Hace 3 años","hoy 12/04/2021 siendo las 14:30 me ha surgido un inconveniente con mi abono, me ha acercado a solocitar ayuda y la persona que me ha atendido ha sido  despota poco profecional y no tenia la mascarilla"
"https://lh3.googleusercontent.com/a-/ALV-UjWvHmWEZw-8K0qXbGs_7gUAfeM7x-X6sm2d-pivMDMwlWPGeKs9=w36-h36-p-rp-mo-ba3-br100","Andueza","Hace 7 meses","Buena atención de personal de metro"
"https://lh3.googleusercontent.com/a-/ALV-UjXOIIW6tZzEJYYlWRFSNGmku8mbwmiS7LbgdxGjBSEF14NNP9yzfw=w36-h36-p-rp-mo-ba4-br100","Carel Sánchez","Hace un año","Una estación bastante rara, admirable de ser visitado"
"https://lh3.googleusercontent.com/a/ACg8ocLXt6dlHfW0m43sRBPd69hkUiXpUvPzxiykf0XF8S9XjrNWyw=w36-h36-p-rp-mo-ba3-br100","Maria Urruticoechea Rodriguez","Hace 6 años","Tiene acceso para minusválidos es pequeña pero es un punto de encuentro en vicalvaro"
"https://lh3.googleusercontent.com/a-/ALV-UjXLfn_FvGm7MLr8OAIns6bvOmMq3ffPE7yazf4j_siCXFeAExbx=w36-h36-p-rp-mo-br100","David Garcia","Hace 2 años","Avenida principal del distrito de Vicálvaro, lleno de todo tipo de comercios y servicios varios"
"https://lh3.googleusercontent.com/a-/ALV-UjVnTpqfX3TSjLRLKKX-W9Wcjf-Hcc6V4VJ2XftYyuK2tjNDbfd5=w36-h36-p-rp-mo-ba2-br100","Pablo Albarran","Hace 6 años","Facil de localizar y aunque sea un poco pequeña esta muy bueno"
"https://lh3.googleusercontent.com/a-/ALV-UjWBbwZ3NMWVVCwqIz5ew4JqPjlwKlyRmc1Np3_k9j_sHRMyep3t1A=w36-h36-p-rp-mo-ba8-br100","Blacky. (Blacki.)","Hace 3 años","Muy ruidoso, por las obras."
